onset	duration	trial_type	response_time	stim_file
120.65	3.0001.10	face4r1ext_st	N/A	face4r1ext_st.mat
123.67	3.0001.11	chairs2r3ext_st	N/A	chairs2r3ext_st.mat
126.68	3.0001.12	fruits4r1ext_st	N/A	fruits4r1ext_st.mat
129.7	3.15	vehicle2r3ext_st	N/A	vehicle2r3ext_st.mat
132.72	3.0001.13	fruits5r2ext_st	N/A	fruits5r2ext_st.mat
135.73	3.0001.14	vehicle3r1ext_st	N/A	vehicle3r1ext_st.mat
138.75	3.0001.15	face1r1ext_st	N/A	face1r1ext_st.mat
144.78	2.9999.5	vehicle2r4ext_st	N/A	vehicle2r4ext_st.mat
147.8	3.16	animal4r2ext_st	N/A	animal4r2ext_st.mat
150.82	3.17	vehicle4r3ext_st	N/A	vehicle4r3ext_st.mat
153.83	3.0001.16	chairs5r4ext_st	N/A	chairs5r4ext_st.mat
156.85	3.0001.17	animal5r4ext_st	N/A	animal5r4ext_st.mat
159.87	3.0001.18	fruits3r3ext_st	N/A	fruits3r3ext_st.mat
162.88	3.0001.19	vehicle5r3ext_st	N/A	vehicle5r3ext_st.mat
165.9	3.18	face4r4ext_st	N/A	face4r4ext_st.mat
168.92	3.0001.20	face5r3ext_st	N/A	face5r3ext_st.mat
171.93	3.0001.21	fruits2r5ext_st	N/A	fruits2r5ext_st.mat
174.95	3.19	face1r2ext_st	N/A	face1r2ext_st.mat
