onset	duration	sample	value	trial_type
310.0560000000	n/a	310056	60	PROPELL
315.5570000000	n/a	315557	210	DOG
321.0580000000	n/a	321058	51	BELL
326.5590000000	n/a	326559	66	WINDMILL
332.0600000000	n/a	332060	210	DOG
337.5610000000	n/a	337561	64	WOLF
343.0620000000	n/a	343062	210	DOG
348.5630000000	n/a	348563	210	DOG
354.0640000000	n/a	354064	43	BROOM
359.5650000000	n/a	359565	75	SYRINGE
365.0660000000	n/a	365066	210	DOG
370.5670000000	n/a	370567	76	MOUSE
376.0680000000	n/a	376068	45	BOTTLE
381.5690000000	n/a	381569	57	TRAFFICL
387.0700000000	n/a	387070	79	SCREWDRI
392.5710000000	n/a	392571	210	DOG
398.0720000000	n/a	398072	210	DOG
403.5730000000	n/a	403573	210	DOG
409.0740000000	n/a	409074	48	CHAIR
414.5750000000	n/a	414575	44	BENCH
420.0760000000	n/a	420076	53	TIE
425.5770000000	n/a	425577	210	DOG
431.0780000000	n/a	431078	41	LIGHTBUL
436.5790000000	n/a	436579	55	SQUIRREL
442.0800000000	n/a	442080	74	SAXOPHON
447.5810000000	n/a	447581	68	PANTS
453.0820000000	n/a	453082	54	SWAN
458.5830000000	n/a	458583	49	SHOE
464.0840000000	n/a	464084	210	DOG
469.5850000000	n/a	469585	70	PIPE
475.0860000000	n/a	475086	67	EAR
480.5870000000	n/a	480587	72	GRAPES
486.0880000000	n/a	486088	210	DOG
491.5890000000	n/a	491589	63	DRAGONFL
497.0900000000	n/a	497090	50	CIGARETT
502.5910000000	n/a	502591	80	CAR
508.0920000000	n/a	508092	78	TOMATO
513.5930000000	n/a	513593	61	LOBSTER
519.0940000000	n/a	519094	69	COMB
524.5950000000	n/a	524595	52	DRESSER
530.0960000000	n/a	530096	210	DOG
535.5970000000	n/a	535597	62	KOALA
541.0980000000	n/a	541098	210	DOG
546.5990000000	n/a	546599	56	STAR
552.1000000000	n/a	552100	210	DOG
557.6010000000	n/a	557601	46	BUS
563.1020000000	n/a	563102	65	HOUSE
568.6030000000	n/a	568603	59	FROG
574.1040000000	n/a	574104	71	GARBAGE
579.6050000000	n/a	579605	47	FISHING 
585.1060000000	n/a	585106	42	SPIDER
590.6070000000	n/a	590607	58	FORK
596.1080000000	n/a	596108	210	DOG
601.6090000000	n/a	601609	210	DOG
607.1100000000	n/a	607110	210	DOG
612.6110000000	n/a	612611	119	TRUMPET
618.1120000000	n/a	618112	108	PEACOCK
623.6130000000	n/a	623613	92	ROOSTER
629.1140000000	n/a	629114	111	DOLL
634.6150000000	n/a	634615	95	CHURCH
640.1160000000	n/a	640116	210	DOG
645.6170000000	n/a	645617	91	NAIL
651.1180000000	n/a	651118	104	GLASSES
656.6190000000	n/a	656619	97	LEAF
662.1200000000	n/a	662120	86	CACTUS
667.6210000000	n/a	667621	89	BAT
673.1220000000	n/a	673122	114	SAW
678.6230000000	n/a	678623	107	BEAR
684.1240000000	n/a	684124	99	TOASTER
689.6250000000	n/a	689625	103	LION
695.1260000000	n/a	695126	210	DOG
700.6270000000	n/a	700627	101	IGLOO
706.1280000000	n/a	706128	210	DOG
711.6290000000	n/a	711629	94	DOLPHIN
717.1300000000	n/a	717130	100	HELICOPT
722.6310000000	n/a	722631	85	BUTTON
728.1320000000	n/a	728132	210	DOG
733.6330000000	n/a	733633	116	SKELETON
739.1340000000	n/a	739134	105	GLOBE
744.6350000000	n/a	744635	93	PENCIL
750.1360000000	n/a	750136	106	NOSE
755.6370000000	n/a	755637	210	DOG
761.1380000000	n/a	761138	90	HANGER
766.6390000000	n/a	766639	118	LAWNMOWE
772.1400000000	n/a	772140	120	SCREW
777.6410000000	n/a	777641	109	PELICAN
783.1420000000	n/a	783142	210	DOG
788.6430000000	n/a	788643	84	SPOOLOFT
794.1440000000	n/a	794144	82	TREE
799.6450000000	n/a	799645	96	STARFISH
805.1460000000	n/a	805146	83	SCALE
810.6470000000	n/a	810647	115	WHISTLE
816.1480000000	n/a	816148	210	DOG
821.6490000000	n/a	821649	98	STRAWBER
827.1500000000	n/a	827150	81	PINEAPPL
832.6510000000	n/a	832651	210	DOG
838.1520000000	n/a	838152	87	CARROT
843.6530000000	n/a	843653	110	FEATHER
849.1540000000	n/a	849154	113	FAUCET
854.6550000000	n/a	854655	88	MUSHROOM
860.1560000000	n/a	860156	102	LAMP
865.6570000000	n/a	865657	210	DOG
871.1580000000	n/a	871158	210	DOG
876.6590000000	n/a	876659	117	TELESCOP
882.1600000000	n/a	882160	210	DOG
887.6610000000	n/a	887661	112	TENNISRA
893.1620000000	n/a	893162	123	SWING
898.6630000000	n/a	898663	135	ELEPHANT
904.1640000000	n/a	904164	129	SHIRT
909.6650000000	n/a	909665	150	PEAR
915.1660000000	n/a	915166	153	WHEEL
920.6670000000	n/a	920667	149	PIANO
926.1680000000	n/a	926168	152	RAKE
931.6690000000	n/a	931669	157	TELEVISI
937.1700000000	n/a	937170	160	YOYO
942.6710000000	n/a	942671	127	POT
948.1720000000	n/a	948172	210	DOG
953.6730000000	n/a	953673	139	GUITAR
959.1740000000	n/a	959174	130	SCISSORS
964.6750000000	n/a	964675	210	DOG
970.1760000000	n/a	970176	147	PALMTREE
975.6770000000	n/a	975677	125	ARM
981.1780000000	n/a	981178	210	DOG
986.6790000000	n/a	986679	126	LOCK
992.1800000000	n/a	992180	131	CLOWN
997.6810000000	n/a	997681	210	DOG
1003.1820000000	n/a	1003182	142	BABYCARR
1008.6830000000	n/a	1008683	210	DOG
1014.1840000000	n/a	1014184	210	DOG
1019.6850000000	n/a	1019685	136	HORSESHO
1025.1860000000	n/a	1025186	210	DOG
1030.6870000000	n/a	1030687	154	SCORPION
1036.1880000000	n/a	1036188	141	LEG
1041.6890000000	n/a	1041689	210	DOG
1047.1900000000	n/a	1047190	133	ALLIGATOR
1052.6910000000	n/a	1052691	137	FLAMINGO
1058.1920000000	n/a	1058192	210	DOG
1063.6930000000	n/a	1063693	210	DOG
1069.1940000000	n/a	1069194	143	BED
1074.6950000000	n/a	1074695	158	BARREL
1080.1960000000	n/a	1080196	145	MICROSCO
1085.6970000000	n/a	1085697	140	OWL
1091.1980000000	n/a	1091198	151	WELL
1096.6990000000	n/a	1096699	210	DOG
1102.2000000000	n/a	1102200	146	BOW
1107.7010000000	n/a	1107701	210	DOG
1113.2020000000	n/a	1113202	138	ROCKET
1118.7030000000	n/a	1118703	148	BUTTERFL
1124.2040000000	n/a	1124204	210	DOG
1129.7050000000	n/a	1129705	132	CROWN
1135.2060000000	n/a	1135206	134	THIMBLE
1140.7070000000	n/a	1140707	122	WATERING
1146.2080000000	n/a	1146208	144	WASHINGM
1151.7090000000	n/a	1151709	128	HAT
1157.2100000000	n/a	1157210	210	DOG
1162.7110000000	n/a	1162711	156	STETHOSC
1168.2120000000	n/a	1168212	121	ANCHOR
1173.7130000000	n/a	1173713	124	CAN
1179.2140000000	n/a	1179214	155	MONKEY
1184.7150000000	n/a	1184715	159	COW
1190.2160000000	n/a	1190216	182	RABBIT
1195.7170000000	n/a	1195717	168	CAT
1201.2180000000	n/a	1201218	210	DOG
1206.7190000000	n/a	1206719	169	HORSE
1212.2200000000	n/a	1212220	165	TOOTHBRU
1217.7210000000	n/a	1217721	186	EYE
1223.2220000000	n/a	1223222	210	DOG
1228.7230000000	n/a	1228723	196	IRONINGB
1234.2240000000	n/a	1234224	166	COUCH
1239.7250000000	n/a	1239725	171	LADYBUG
1245.2260000000	n/a	1245226	162	OSTRICH
1250.7270000000	n/a	1250727	210	DOG
1256.2280000000	n/a	1256228	173	FRENCHCR
1261.7290000000	n/a	1261729	210	DOG
1267.2300000000	n/a	1267230	198	TURTLE
1272.7310000000	n/a	1272731	210	DOG
1278.2320000000	n/a	1278232	210	DOG
1283.7330000000	n/a	1283733	163	BALL
1289.2340000000	n/a	1289234	185	WATCH
1294.7350000000	n/a	1294735	194	SADDLE
1300.2360000000	n/a	1300236	167	BELT
1305.7370000000	n/a	1305737	191	SWEATER
1311.2380000000	n/a	1311238	197	THERMOME
1316.7390000000	n/a	1316739	210	DOG
1322.2400000000	n/a	1322240	184	SWIMMING
1327.7410000000	n/a	1327741	210	DOG
1333.2420000000	n/a	1333242	199	BICYCLE
1338.7430000000	n/a	1338743	181	BINOCULA
1344.2440000000	n/a	1344244	188	UMBRELLA
1349.7450000000	n/a	1349745	172	KNIFE
1355.2460000000	n/a	1355246	210	DOG
1360.7470000000	n/a	1360747	210	DOG
1366.2480000000	n/a	1366248	195	SKI
1371.7490000000	n/a	1371749	210	DOG
1377.2500000000	n/a	1377250	192	RULER
1382.7510000000	n/a	1382751	189	FOOT
1388.2520000000	n/a	1388252	200	ZEBRA
1393.7530000000	n/a	1393753	161	DONKEY
1399.2540000000	n/a	1399254	183	BOOK
1404.7550000000	n/a	1404755	179	AXE
1410.2560000000	n/a	1410256	210	DOG
1415.7570000000	n/a	1415757	177	ARROW
1421.2580000000	n/a	1421258	176	IRON
1426.7590000000	n/a	1426759	178	GIRAFFE
1432.2600000000	n/a	1432260	190	FISH
1437.7610000000	n/a	1437761	210	DOG
1443.2620000000	n/a	1443262	174	DINOSAUR
1448.7630000000	n/a	1448763	210	DOG
1454.2640000000	n/a	1454264	187	PANDA
1459.7650000000	n/a	1459765	175	ENVELOPE
1465.2660000000	n/a	1465266	180	SEAHORSE
1470.7670000000	n/a	1470767	164	SNOWMAN
1476.2680000000	n/a	1476268	170	LEMON
1481.7690000000	n/a	1481769	193	LIPSTICK
