onset	duration	trial_type	taxonomy	behavior	task	repetition	response_time	mirror	stim_file
284.0	2.0	ungulate_eating	ungulate	eating	behavior	none	none	no	ungulate_eating_2.mp4
288.0	2.0	reptile_fighting	reptile	fighting	behavior	none	none	no	reptile_fighting_1.mp4
292.0	2.0	primate_eating	primate	eating	behavior	none	none	yes	primate_eating_1.mp4
296.0	2.0	ungulate_running	ungulate	running	behavior	none	none	yes	ungulate_running_2.mp4
300.0	2.0	bird_fighting	bird	fighting	behavior	none	none	no	bird_fighting_2.mp4
304.0	2.0	insect_swimming	insect	swimming	behavior	none	none	no	insect_swimming_2.mp4
308.0	2.0	reptile_fighting	reptile	fighting	behavior	none	none	yes	reptile_fighting_1.mp4
312.0	2.0	bird_eating	bird	eating	behavior	none	none	yes	bird_eating_1.mp4
316.0	2.0	ungulate_running	ungulate	running	behavior	none	none	yes	ungulate_running_1.mp4
320.0	2.0	primate_running	primate	running	behavior	behavior	0.683125019073	yes	primate_running_2.mp4
324.0	2.0	insect_fighting	insect	fighting	behavior	none	none	yes	insect_fighting_2.mp4
328.0	2.0	reptile_swimming	reptile	swimming	behavior	none	none	no	reptile_swimming_1.mp4
332.0	2.0	reptile_fighting	reptile	fighting	behavior	taxonomy	none	yes	reptile_fighting_1.mp4
336.0	2.0	insect_eating	insect	eating	behavior	none	none	no	insect_eating_1.mp4
340.0	2.0	primate_swimming	primate	swimming	behavior	none	none	yes	primate_swimming_2.mp4
348.0	2.0	reptile_eating	reptile	eating	behavior	none	none	yes	reptile_eating_1.mp4
352.0	2.0	primate_fighting	primate	fighting	behavior	none	none	no	primate_fighting_2.mp4
356.0	2.0	ungulate_swimming	ungulate	swimming	behavior	none	none	yes	ungulate_swimming_2.mp4
360.0	2.0	primate_eating	primate	eating	behavior	none	none	no	primate_eating_2.mp4
364.0	2.0	ungulate_fighting	ungulate	fighting	behavior	none	none	no	ungulate_fighting_2.mp4
368.0	2.0	insect_eating	insect	eating	behavior	none	none	yes	insect_eating_2.mp4
372.0	2.0	primate_running	primate	running	behavior	none	none	no	primate_running_2.mp4
376.0	2.0	ungulate_eating	ungulate	eating	behavior	none	none	no	ungulate_eating_1.mp4
