onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
315.9573	1.6000	dynamic	25	1	0	267	281	252.2368
320.5570	1.6000	dynamic	25	0	0	267	294	270.7895
325.1737	1.6000	dynamic	25	1	0	267	274	275.1316
329.7899	1.6000	dynamic	25	0	0	267	264	265.2632
334.4064	1.6000	dynamic	25	0	0	267	260	268.0263
339.0231	1.6000	dynamic	25	0	0	267	243	260.5263
343.6388	1.6000	dynamic	25	0	1	101	124	250.6579
348.2551	1.6000	dynamic	25	1	0	101	110	143.2895
352.8714	1.6000	dynamic	25	1	0	101	124	110.5263
357.4879	1.6000	dynamic	25	1	0	101	100	119.6053
362.1877	1.6000	dynamic	25	0	0	101	78	100.6579
366.8040	1.6000	dynamic	25	1	0	101	95	86.4474
371.4204	1.6000	dynamic	25	1	0	101	76	93.5526
376.0368	1.6000	dynamic	25	0	0	101	94	82.8947
380.6532	1.6000	dynamic	25	0	0	101	78	91.1842
385.2695	1.6000	dynamic	25	0	0	101	54	86.8421
389.8859	1.6000	dynamic	25	0	0	101	143	65.5263
394.5023	1.6000	dynamic	25	0	1	112	139	99.0789
399.1186	1.6000	dynamic	25	0	0	112	94	109.3421
403.7517	1.6000	dynamic	25	0	0	112	106	101.8421
408.3684	1.6000	dynamic	25	1	0	112	102	98.6842
413.0011	1.6000	dynamic	25	0	0	112	108	94.7368
417.6341	1.6000	dynamic	25	0	0	112	108	102.2368
422.3004	1.6000	dynamic	25	0	0	112	157	103.0263
426.9335	1.6000	dynamic	25	0	0	112	85	127.5000
431.5668	1.6000	dynamic	25	1	0	112	157	106.1842
436.1999	1.6000	dynamic	25	0	0	112	73	159.0789
440.8329	1.6000	dynamic	25	1	0	112	109	123.9474
445.4657	1.6000	dynamic	25	0	0	112	80	106.5789
450.0987	1.6000	dynamic	25	0	0	112	101	98.6842
454.7321	1.6000	dynamic	25	0	0	112	72	97.8947
459.3648	1.6000	dynamic	25	0	0	112	87	86.8421
463.9979	1.6000	dynamic	25	1	0	112	88	90.7895
468.6312	1.6000	dynamic	25	0	0	112	94	84.0789
473.2642	1.6000	dynamic	25	1	0	112	148	87.2368
477.9136	1.6000	dynamic	25	1	0	112	115	110.9211
482.5803	1.6000	dynamic	25	0	1	39	33	120.0000
487.2134	1.6000	dynamic	25	0	0	39	45	102.6316
491.8630	1.6000	dynamic	25	0	0	39	14	91.1842
496.5131	1.6000	dynamic	25	1	0	39	42	93.9474
501.1621	1.6000	dynamic	25	0	0	39	5	65.1316
505.8122	1.6000	dynamic	25	1	0	39	26	55.6579
510.4618	1.6000	dynamic	25	1	0	39	41	48.1579
515.1116	1.6000	dynamic	25	0	0	39	29	40.6579
519.7609	1.6000	dynamic	25	1	0	39	72	36.7105
524.4106	1.6000	dynamic	25	1	0	39	63	70.6579
529.0607	1.6000	dynamic	25	0	0	39	52	67.5000
533.7103	1.6000	dynamic	25	1	1	289	295	57.6316
538.3599	1.6000	dynamic	25	0	0	289	273	252.2368
543.0095	1.6000	dynamic	25	0	0	289	297	270.3947
547.6758	1.6000	dynamic	25	1	0	289	272	282.2368
552.3254	1.6000	dynamic	25	0	0	289	278	276.3158
