onset	duration	trial_type	outcome noise	outcome value	isChangeTrial	current state	current outcome	current prediction
316.3151	1.6000	dynamic	25	1	0	50	41	11.8421
320.9314	1.6000	dynamic	25	0	0	50	25	26.4474
325.5483	1.6000	dynamic	25	1	0	50	51	24.8684
330.1643	1.6000	dynamic	25	1	0	50	52	45.7895
334.7810	1.6000	dynamic	25	1	0	50	43	56.8421
339.3974	1.6000	dynamic	25	0	1	15	22	45.3947
344.0135	1.6000	dynamic	25	0	0	15	60	38.2895
348.6301	1.6000	dynamic	25	0	0	15	36	48.9474
353.2461	1.6000	dynamic	25	0	0	15	3	41.4474
357.8623	1.6000	dynamic	25	1	0	15	18	24.8684
362.4814	1.6000	dynamic	25	0	0	15	14	15.0000
367.1123	1.6000	dynamic	25	0	0	15	62	16.1842
371.7286	1.6000	dynamic	25	0	1	143	161	53.6842
376.3446	1.6000	dynamic	25	1	0	143	121	129.4737
380.9610	1.6000	dynamic	25	1	0	143	190	118.8158
385.5777	1.6000	dynamic	25	0	0	143	121	157.8947
390.2104	1.6000	dynamic	25	0	0	143	123	144.4737
394.8434	1.6000	dynamic	25	1	0	143	164	135.0000
399.4768	1.6000	dynamic	25	1	0	143	92	161.8421
404.1095	1.6000	dynamic	25	0	0	143	147	122.7632
408.7426	1.6000	dynamic	25	1	0	143	154	138.5526
413.3756	1.6000	dynamic	25	1	0	143	157	156.3158
418.0090	1.6000	dynamic	25	0	0	143	123	161.8421
422.6419	1.6000	dynamic	25	1	0	143	122	151.9737
427.2751	1.6000	dynamic	25	1	0	143	159	126.7105
431.9081	1.6000	dynamic	25	1	0	143	138	149.6053
436.5411	1.6000	dynamic	25	1	0	143	161	138.5526
441.1738	1.6000	dynamic	25	0	0	143	181	153.1579
445.8068	1.6000	dynamic	25	1	0	143	187	180.0000
450.4738	1.6000	dynamic	25	1	0	143	143	184.7368
455.1070	1.6000	dynamic	25	0	0	143	174	153.9474
459.7396	1.6000	dynamic	25	1	0	143	113	161.4474
464.3723	1.6000	dynamic	25	0	0	143	144	111.7105
469.0054	1.6000	dynamic	25	1	0	143	148	120.7895
473.6551	1.6000	dynamic	25	0	0	143	121	141.7105
478.3048	1.6000	dynamic	25	1	0	143	130	132.6316
482.9544	1.6000	dynamic	25	0	0	143	163	126.7105
487.6042	1.6000	dynamic	25	1	0	143	165	137.3684
492.2539	1.6000	dynamic	25	0	0	143	156	151.1842
496.9036	1.6000	dynamic	25	0	1	123	101	159.0789
501.5533	1.6000	dynamic	25	0	0	123	122	128.2895
506.2034	1.6000	dynamic	25	0	0	123	83	123.9474
510.8530	1.6000	dynamic	25	1	0	123	86	116.8421
515.5023	1.6000	dynamic	25	0	0	123	118	105.3947
520.1521	1.6000	dynamic	25	0	0	123	104	108.1579
524.8035	1.6000	dynamic	25	1	0	123	139	106.1842
529.4514	1.6000	dynamic	25	1	1	46	108	129.8684
534.1012	1.6000	dynamic	25	1	0	46	53	105.7895
538.7509	1.6000	dynamic	25	1	0	46	15	86.8421
543.4008	1.6000	dynamic	25	0	0	46	43	58.4211
548.0696	1.6000	dynamic	25	1	0	46	47	49.3421
552.7333	1.6000	dynamic	25	0	0	46	20	46.5789
