onset	duration	sample	trial_type	response_time	stim_file	value	correct
518.7760000000	n/a	518776	NegAlcP2000	n/a	n/a	n/a	n/a
522.7630000000	n/a	522763	NegAlcP2000	n/a	n/a	n/a	n/a
534.3260000000	n/a	534326	PosStim	n/a	n/a	n/a	n/a
537.4260000000	n/a	537426	PosAlcP2000	n/a	n/a	n/a	n/a
541.4130000000	n/a	541413	PosAlcP2000	n/a	n/a	n/a	n/a
550.8930000000	n/a	550893	NeuStim	n/a	n/a	n/a	n/a
553.9260000000	n/a	553926	NeuAlcStimWithoutStartle	n/a	n/a	n/a	n/a
568.5590000000	n/a	568559	NegStim	n/a	n/a	n/a	n/a
571.6590000000	n/a	571659	NegNonAlcP1000	n/a	n/a	n/a	n/a
576.6460000000	n/a	576646	NegNonAlcP1000	n/a	n/a	n/a	n/a
584.8260000000	n/a	584826	NeuStim	n/a	n/a	n/a	n/a
587.9260000000	n/a	587926	NeuNonAlcP1000	n/a	n/a	n/a	n/a
592.9130000000	n/a	592913	NeuNonAlcP1000	n/a	n/a	n/a	n/a
604.9430000000	n/a	604943	PosStim	n/a	n/a	n/a	n/a
608.0430000000	n/a	608043	PosNonAlcP3000	n/a	n/a	n/a	n/a
611.0300000000	n/a	611030	PosNonAlcP3000	n/a	n/a	n/a	n/a
624.3590000000	n/a	624359	NeuStim	n/a	n/a	n/a	n/a
627.3930000000	n/a	627393	NeuNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
643.7590000000	n/a	643759	NegStim	n/a	n/a	n/a	n/a
646.7930000000	n/a	646793	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
663.5260000000	n/a	663526	NeuStim	n/a	n/a	n/a	n/a
666.6260000000	n/a	666626	NeuNonAlcP3000	n/a	n/a	n/a	n/a
669.6130000000	n/a	669613	NeuNonAlcP3000	n/a	n/a	n/a	n/a
683.4260000000	n/a	683426	PosStim	n/a	n/a	n/a	n/a
686.5260000000	n/a	686526	PosAlcP1000	n/a	n/a	n/a	n/a
691.5130000000	n/a	691513	PosAlcP1000	n/a	n/a	n/a	n/a
701.1090000000	n/a	701109	NegStim	n/a	n/a	n/a	n/a
704.2090000000	n/a	704209	NegNonAlcP1000	n/a	n/a	n/a	n/a
709.1960000000	n/a	709196	NegNonAlcP1000	n/a	n/a	n/a	n/a
721.1260000000	n/a	721126	PosStim	n/a	n/a	n/a	n/a
724.1590000000	n/a	724159	PosNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
740.5090000000	n/a	740509	NeuStim	n/a	n/a	n/a	n/a
743.6090000000	n/a	743609	NeuAlcP2000	n/a	n/a	n/a	n/a
747.5960000000	n/a	747596	NeuAlcP2000	n/a	n/a	n/a	n/a
759.8260000000	n/a	759826	PosStim	n/a	n/a	n/a	n/a
762.9260000000	n/a	762926	PosAlcP1000	n/a	n/a	n/a	n/a
767.9130000000	n/a	767913	PosAlcP1000	n/a	n/a	n/a	n/a
778.3590000000	n/a	778359	NegStim	n/a	n/a	n/a	n/a
781.3920000000	n/a	781392	NegNonAlcStimWithoutStartle	n/a	n/a	n/a	n/a
796.8420000000	n/a	796842	PosStim	n/a	n/a	n/a	n/a
799.9420000000	n/a	799942	PosNonAlcP2000	n/a	n/a	n/a	n/a
803.9290000000	n/a	803929	PosNonAlcP2000	n/a	n/a	n/a	n/a
814.3260000000	n/a	814326	NegStim	n/a	n/a	n/a	n/a
817.4260000000	n/a	817426	NegNonAlcP3000	n/a	n/a	n/a	n/a
820.4130000000	n/a	820413	NegNonAlcP3000	n/a	n/a	n/a	n/a
831.8260000000	n/a	831826	NeuStim	n/a	n/a	n/a	n/a
834.9260000000	n/a	834926	NeuNonAlcP2000	n/a	n/a	n/a	n/a
838.9130000000	n/a	838913	NeuNonAlcP2000	n/a	n/a	n/a	n/a
851.7590000000	n/a	851759	NegStim	n/a	n/a	n/a	n/a
854.7920000000	n/a	854792	NegAlcStimWithoutStartle	n/a	n/a	n/a	n/a
868.7420000000	n/a	868742	PosStim	n/a	n/a	n/a	n/a
871.7760000000	n/a	871776	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
887.1760000000	n/a	887176	NeuStim	n/a	n/a	n/a	n/a
890.2760000000	n/a	890276	NeuAlcP3000	n/a	n/a	n/a	n/a
893.2630000000	n/a	893263	NeuAlcP3000	n/a	n/a	n/a	n/a
906.2920000000	n/a	906292	NegStim	n/a	n/a	n/a	n/a
909.3920000000	n/a	909392	NegNonAlcP1000	n/a	n/a	n/a	n/a
914.3790000000	n/a	914379	NegNonAlcP1000	n/a	n/a	n/a	n/a
924.3420000000	n/a	924342	NeuStim	n/a	n/a	n/a	n/a
927.4420000000	n/a	927442	NeuNonAlcP2000	n/a	n/a	n/a	n/a
931.4290000000	n/a	931429	NeuNonAlcP2000	n/a	n/a	n/a	n/a
942.8420000000	n/a	942842	PosStim	n/a	n/a	n/a	n/a
945.8750000000	n/a	945875	PosAlcStimWithoutStartle	n/a	n/a	n/a	n/a
959.8420000000	n/a	959842	NegStim	n/a	n/a	n/a	n/a
962.9420000000	n/a	962942	NegNonAlcP2000	n/a	n/a	n/a	n/a
966.9290000000	n/a	966929	NegNonAlcP2000	n/a	n/a	n/a	n/a
976.0250000000	n/a	976025	NeuStim	n/a	n/a	n/a	n/a
979.1250000000	n/a	979125	NeuAlcP1000	n/a	n/a	n/a	n/a
984.1120000000	n/a	984112	NeuAlcP1000	n/a	n/a	n/a	n/a
