onset	duration	weight	trial_type	auxillary	Word	Concreteness	Log_Freq	DenB	Freq_Den_Interxn
208.753	0	1	RepeatCorrect	NA	wake	3.11	9.4	26	244.4
211.823	0	1	null	NA	null	-1	-1	-1	-1
214.893	0	1	RepeatCorrect	NA	jig	3.85	6.79	17	115.43
217.963	0	1	null	NA	null	-1	-1	-1	-1
221.033	0	1	null	NA	null	-1	-1	-1	-1
224.103	0	1	null	NA	null	-1	-1	-1	-1
227.172	0	1	RepeatCorrect	NA	hag	3.68	8.3	25	207.5
230.242	0	1	null	NA	null	-1	-1	-1	-1
233.312	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
236.382	0	1	null	NA	null	-1	-1	-1	-1
239.452	0	1	RepeatCorrect	NA	map	4.93	10.16	20	203.2
242.522	0	1	null	NA	null	-1	-1	-1	-1
245.592	0	1	null	NA	null	-1	-1	-1	-1
248.661	0	1	null	NA	null	-1	-1	-1	-1
251.731	0	1	RepeatCorrect	NA	leash	4.89	7.6	16	121.6
254.801	0	1	null	NA	null	-1	-1	-1	-1
257.871	0	1	RepeatIncorrect	NA	shuck	3.09	4.52	17	76.84
260.941	0	1	null	NA	null	-1	-1	-1	-1
264.011	0	1	RepeatCorrect	NA	hick	3.45	6.07	25	151.75
267.081	0	1	null	NA	null	-1	-1	-1	-1
270.151	0	1	null	NA	null	-1	-1	-1	-1
273.221	0	1	null	NA	null	-1	-1	-1	-1
276.291	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
279.361	0	1	null	NA	null	-1	-1	-1	-1
282.431	0	1	RepeatCorrect	NA	wean	2.59	6.62	25	165.5
285.501	0	1	null	NA	null	-1	-1	-1	-1
288.57	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
291.64	0	1	null	NA	null	-1	-1	-1	-1
294.71	0	1	RepeatCorrect	NA	chop	4.48	7.75	18	139.5
297.781	0	1	null	NA	null	-1	-1	-1	-1
300.85	0	1	RepeatIncorrect	NA	buck	4.67	8.82	29	255.78
303.92	0	1	null	NA	null	-1	-1	-1	-1
306.99	0	1	RepeatCorrect	NA	heed	1.93	6.96	21	146.16
310.06	0	1	null	NA	null	-1	-1	-1	-1
313.13	0	1	RepeatCorrect	NA	taught	2.21	9.83	22	216.26
316.2	0	1	null	NA	null	-1	-1	-1	-1
319.27	0	1	null	NA	null	-1	-1	-1	-1
322.34	0	1	null	NA	null	-1	-1	-1	-1
325.41	0	1	RepeatCorrect	NA	woke	3.15	8.08	18	145.44
328.479	0	1	null	NA	null	-1	-1	-1	-1
331.549	0	1	RepeatCorrect	NA	curse	2.39	8.95	16	143.2
334.619	0	1	null	NA	null	-1	-1	-1	-1
337.689	0	1	RepeatCorrect	NA	sick	2.97	10	29	290
340.759	0	1	null	NA	null	-1	-1	-1	-1
343.829	0	1	RepeatCorrect	NA	pipe	4.88	9.41	18	169.38
346.899	0	1	null	NA	null	-1	-1	-1	-1
349.969	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
353.038	0	1	null	NA	null	-1	-1	-1	-1
356.108	0	1	RepeatCorrect	NA	ware	3.54	7.57	25	189.25
359.178	0	1	null	NA	null	-1	-1	-1	-1
362.248	0	1	null	NA	null	-1	-1	-1	-1
365.318	0	1	null	NA	null	-1	-1	-1	-1
368.387	0	1	RepeatCorrect	NA	tab	4.14	9.13	17	155.21
371.457	0	1	null	NA	null	-1	-1	-1	-1
374.527	0	1	null	NA	null	-1	-1	-1	-1
377.597	0	1	null	NA	null	-1	-1	-1	-1
380.667	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
383.737	0	1	null	NA	null	-1	-1	-1	-1
386.807	0	1	RepeatIncorrect	NA	loon	4.26	6.78	25	169.5
389.877	0	1	null	NA	null	-1	-1	-1	-1
392.947	0	1	RepeatCorrect	NA	mile	3.63	9.18	28	257.04
396.017	0	1	null	NA	null	-1	-1	-1	-1
399.087	0	1	RepeatCorrect	NA	rook	4.38	6.46	17	109.82
402.157	0	1	null	NA	null	-1	-1	-1	-1
405.227	0	1	RepeatCorrect	NA	mead	4.22	7.43	20	148.6
408.297	0	1	null	NA	null	-1	-1	-1	-1
411.366	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
414.436	0	1	null	NA	null	-1	-1	-1	-1
417.506	0	1	RepeatCorrect	NA	weave	4.2	7.03	16	112.48
420.576	0	1	null	NA	null	-1	-1	-1	-1
423.646	0	1	RepeatCorrect	NA	share	2.96	10.96	22	241.12
426.716	0	1	null	NA	null	-1	-1	-1	-1
429.786	0	1	null	NA	null	-1	-1	-1	-1
432.856	0	1	null	NA	null	-1	-1	-1	-1
435.926	0	1	RepeatCorrect	NA	bull	4.85	9.02	13	117.26
438.996	0	1	null	NA	null	-1	-1	-1	-1
442.066	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
445.136	0	1	null	NA	null	-1	-1	-1	-1
448.206	0	1	RepeatIncorrect	NA	seethe	2.39	3.85	16	61.6
451.275	0	1	null	NA	null	-1	-1	-1	-1
454.345	0	1	RepeatCorrect	NA	met	2.58	10.43	26	271.18
457.415	0	1	null	NA	null	-1	-1	-1	-1
460.485	0	1	RepeatCorrect	NA	cheer	2.77	7.55	27	203.85
463.555	0	1	null	NA	null	-1	-1	-1	-1
466.625	0	1	RepeatCorrect	NA	null	1.79	9.64	17	163.88
469.695	0	1	null	NA	null	-1	-1	-1	-1
472.765	0	1	RepeatCorrect	NA	job	3.19	11.93	19	226.67
475.834	0	1	null	NA	null	-1	-1	-1	-1
478.904	0	1	null	NA	null	-1	-1	-1	-1
481.974	0	1	null	NA	null	-1	-1	-1	-1
485.044	0	1	RepeatCorrect	NA	moat	4.69	7.73	31	239.63
488.114	0	1	null	NA	null	-1	-1	-1	-1
491.183	0	1	RepeatCorrect	NA	loaf	4.79	7.11	16	113.76
494.253	0	1	null	NA	null	-1	-1	-1	-1
497.323	0	1	RepeatCorrect	NA	folk	3.57	9.39	16	150.24
500.393	0	1	null	NA	null	-1	-1	-1	-1
503.463	0	1	RepeatCorrect	NA	tile	4.68	7.19	29	208.51
506.533	0	1	null	NA	null	-1	-1	-1	-1
509.603	0	1	null	NA	null	-1	-1	-1	-1
512.673	0	1	null	NA	null	-1	-1	-1	-1
515.743	0	1	RepeatCorrect	NA	date	3.9	11.82	24	283.68
518.813	0	1	null	NA	null	-1	-1	-1	-1
521.883	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
524.953	0	1	null	NA	null	-1	-1	-1	-1
528.023	0	1	RepeatCorrect	NA	learn	2.2	11.18	16	178.88
531.092	0	1	null	NA	null	-1	-1	-1	-1
534.162	0	1	null	NA	null	-1	-1	-1	-1
537.232	0	1	null	NA	null	-1	-1	-1	-1
540.302	0	1	RepeatCorrect	NA	rod	4.43	9.88	21	207.48
543.372	0	1	null	NA	null	-1	-1	-1	-1
546.442	0	1	RepeatNoise	NA	null	-1	-1	-1	-1
549.512	0	1	null	NA	null	-1	-1	-1	-1
