onset	duration	dsgn_onset	dsgn_duration	trial_type	database	identifier	valence	arousal
474.357	2.000	474.342	2.000	ex_stim	iaps	2205	1.95	4.53
481.530	1.999	481.521	2.000	ex_stim	iaps	7031	4.52	2.03
488.509	2.001	488.501	2.000	ex_stim	iaps	2351	5.49	4.74
494.498	2.010	494.503	2.000	in_stim	iaps	8185	7.57	7.27
496.508	1.990	496.503	2.000	in_prep	n/a	n/a	n/a	n/a
498.498	8.007	498.503	8.000	in_feel	n/a	n/a	n/a	n/a
511.564	1.997	511.543	2.000	ex_stim	iaps	6930	4.39	4.88
517.809	1.995	517.804	2.000	in_stim	iaps	1460	8.21	4.31
519.804	2.004	519.804	2.000	in_prep	n/a	n/a	n/a	n/a
521.808	7.997	521.804	8.000	in_feel	n/a	n/a	n/a	n/a
