onset	duration	#	type	cat	block	trial	p2ans	p3ans	ansType	resp	conf	acc	rt
n/a	n/a	82	stay	scene	5	9	-1	-1	OLD	-3	OLD+	1	1.21
n/a	n/a	83	switch	scene	6	17	1	-1	OLD	-3	OLD+	1	1.35
n/a	n/a	84	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.41
n/a	n/a	85	switch	scene	3	13	1	-1	OLD	-2	old-	1	2.14
n/a	n/a	86	stay	scene	6	2	-1	-1	OLD	-3	OLD+	1	1.23
n/a	n/a	87	stay	scene	3	17	-1	-1	OLD	-3	OLD+	1	1.31
n/a	n/a	88	stay	scene	2	14	-1	-1	OLD	-3	OLD+	1	0.91
n/a	n/a	89	new	scene	0	0	0	1	NEW	2	new-	1	1.52
n/a	n/a	90	new	scene	0	0	0	1	NEW	2	new-	1	1.83
n/a	n/a	91	new	scene	0	0	0	1	NEW	2	new-	1	3.48
n/a	n/a	92	new	scene	0	0	0	1	NEW	-2	old-	0	1.47
n/a	n/a	93	new	scene	0	0	0	1	NEW	-2	old-	0	2.98
n/a	n/a	94	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.39
n/a	n/a	95	new	scene	0	0	0	1	NEW	2	new-	1	1.46
n/a	n/a	96	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.5
n/a	n/a	97	new	scene	0	0	0	1	NEW	2	new-	1	2.46
n/a	n/a	98	stay	scene	2	1	-1	-1	OLD	2	new-	0	1.27
n/a	n/a	99	switch	scene	1	15	-1	-1	OLD	3	NEW+	0	0.85
n/a	n/a	100	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.03
n/a	n/a	101	new	scene	0	0	0	1	NEW	3	NEW+	1	1.68
n/a	n/a	102	switch	scene	4	3	-1	-1	OLD	-3	OLD+	1	1.2
n/a	n/a	103	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.14
n/a	n/a	104	stay	scene	3	3	-1	-1	OLD	3	NEW+	0	1.32
n/a	n/a	105	new	scene	0	0	0	1	NEW	3	NEW+	1	0.88
n/a	n/a	106	new	scene	0	0	0	1	NEW	3	NEW+	1	1.19
n/a	n/a	107	switch	scene	1	8	-1	-1	OLD	-2	old-	1	1.59
n/a	n/a	108	new	scene	0	0	0	1	NEW	-2	old-	0	2.19
n/a	n/a	109	switch	scene	1	14	1	-1	OLD	3	NEW+	0	1.19
n/a	n/a	110	switch	scene	1	17	1	-1	OLD	-3	OLD+	1	1.97
n/a	n/a	111	new	scene	0	0	0	1	NEW	3	NEW+	1	1.29
n/a	n/a	112	switch	scene	3	18	-1	-1	OLD	-3	OLD+	1	0.88
n/a	n/a	113	new	scene	0	0	0	1	NEW	2	new-	1	1.39
n/a	n/a	114	stay	scene	2	9	-1	-1	OLD	-3	OLD+	1	1.5
n/a	n/a	115	new	scene	0	0	0	1	NEW	-3	OLD+	0	0.81
n/a	n/a	116	new	scene	0	0	0	1	NEW	2	new-	1	1.23
n/a	n/a	117	new	scene	0	0	0	1	NEW	3	NEW+	1	1.97
n/a	n/a	118	switch	scene	3	11	-1	-1	OLD	-3	OLD+	1	1.09
n/a	n/a	119	new	scene	0	0	0	1	NEW	-3	OLD+	0	0.95
n/a	n/a	120	new	scene	0	0	0	1	NEW	2	new-	1	1.18
n/a	n/a	121	new	scene	0	0	0	1	NEW	3	NEW+	1	2.66
n/a	n/a	122	stay	scene	3	10	-1	-1	OLD	-3	OLD+	1	1.27
n/a	n/a	123	stay	scene	5	18	-1	-1	OLD	-3	OLD+	1	1.13
n/a	n/a	124	stay	scene	2	16	-1	-1	OLD	-3	OLD+	1	0.96
n/a	n/a	125	switch	scene	6	7	1	-1	OLD	2	new-	0	1.56
n/a	n/a	126	stay	scene	1	2	-1	-1	OLD	-3	OLD+	1	1.06
n/a	n/a	127	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.3
n/a	n/a	128	switch	scene	6	1	-1	-1	OLD	3	NEW+	0	2.39
n/a	n/a	129	switch	scene	4	17	-1	-1	OLD	-3	OLD+	1	0.85
n/a	n/a	130	switch	scene	3	16	-1	-1	OLD	-3	OLD+	1	1.04
n/a	n/a	131	new	scene	0	0	0	1	NEW	-3	OLD+	0	2.12
n/a	n/a	132	stay	scene	4	12	-1	-1	OLD	-3	OLD+	1	0.84
n/a	n/a	133	stay	scene	4	9	-1	-1	OLD	-3	OLD+	1	1.45
n/a	n/a	134	switch	scene	2	6	1	-1	OLD	-3	OLD+	1	0.91
n/a	n/a	135	new	scene	0	0	0	1	NEW	2	new-	1	2.49
n/a	n/a	136	new	scene	0	0	0	1	NEW	3	NEW+	1	1.51
n/a	n/a	137	new	scene	0	0	0	1	NEW	3	NEW+	1	3.04
n/a	n/a	138	new	scene	0	0	0	1	NEW	2	new-	1	1.59
n/a	n/a	139	new	scene	0	0	0	1	NEW	2	new-	1	1.22
n/a	n/a	140	switch	scene	4	14	-1	-1	OLD	2	new-	0	6.68
n/a	n/a	141	new	scene	0	0	0	1	NEW	2	new-	1	2.47
n/a	n/a	142	new	scene	0	0	0	1	NEW	3	NEW+	1	1.29
n/a	n/a	143	stay	scene	2	8	-1	-1	OLD	3	NEW+	0	1.18
n/a	n/a	144	new	scene	0	0	0	1	NEW	-3	OLD+	0	1.15
