onset	duration	trial_type	response_time	feedback_onset	correct/incorrect
220.72951130400003	2.5	BL	0.633438679102	221.729505267	0.0
223.22942105099997	2.5	B	0.783387364545	224.229407468	0.0
225.72935343700001	2.5	C	0.516716471973	226.72932596799998	1.0
228.229269522	2.5	BL	0.733403060764	229.22928370900001	1.0
230.72919798400002	2.5	B	0.666707114613	231.729154517	1.0
233.229111051	2.5	BL	0.766792236409	234.22912554	0.0
235.729034079	2.5	A	0.66671375532	236.72900842200002	1.0
238.228955598	2.5	B	0.6833940052509999	239.228950466	1.0
240.728877117	2.5	BL	0.7668275528990001	241.728861722	1.0
243.228853271	2.5	C	0.5167493736609999	244.228809804	1.0
245.72871381599998	2.5	A	0.41675269401500004	246.728690875	1.0
248.228650729	2.5	BL	0.566792840109	249.228642277	1.0
250.728555042	2.5	B	0.466719792328	251.72853119599998	0.0
