onset	duration	trial_type	RT	response	stim_height	stim_width	stim_area	stim_area_scaled	stim_name
304.99	3.00	mal6	761	2	295	500	147500	0.0498	malware09.jpg
308.49	3.00	bus6	664	1	768	1148	881664	0.8623	busRept17.jpg
311.99	3.00	mal6	965	1	236	500	118000	0.0172	malware08.jpg
315.49	3.00	novel	1894	1	768	1176	903168	0.8861	busNoRept11.jpg
318.99	3.00	bus4	572	1	772	1280	988160	0.9802	busRept04.jpg
322.49	3.00	mal6	2007	2	360	500	180000	0.0858	malware04.jpg
325.99	3.00	bus6	1364	1	768	1056	811008	0.7841	busRept20.jpg
329.49	3.00	mal6	1286	1	410	500	205000	0.1134	malware17.jpg
332.99	3.00	bus5	992	1	768	1244	955392	0.9439	busRept14.jpg
336.49	3.00	bus5	2837	1	768	879	675072	0.6337	busRept16.jpg
339.99	3.00	mal6	1200	1	448	500	224000	0.1345	malware20.jpg
343.49	3.00	bus6	790	1	768	1021	784128	0.7544	busRept06.jpg
346.99	3.00	bus5	686	1	772	1280	988160	0.9802	busRept04.jpg
350.49	3.00	mal5	790	1	229	500	114500	0.0133	malware18.jpg
353.99	3.00	mal5	973	1	281	500	140500	0.0421	malware14.jpg
357.49	3.00	bus6	610	1	768	1056	811008	0.7841	busRept18.jpg
360.99	3.00	bus4	1098	1	768	1059	813312	0.7867	busRept08.jpg
364.49	3.00	bus5	1186	1	768	1020	783360	0.7535	busRept01.jpg
367.99	3.00	mal6	836	2	334	500	167000	0.0714	malware13.jpg
371.49	3.00	mal6	656	2	229	500	114500	0.0133	malware18.jpg
374.99	3.00	bus6	670	1	760	1280	972800	0.9632	busRept07.jpg
378.49	3.00	mal6	1805	2	300	461	138300	0.0396	malware07.jpg
381.99	3.00	bus6	1225	1	768	879	675072	0.6337	busRept16.jpg
385.49	3.00	bus5	0	NaN	768	1059	813312	0.7867	busRept08.jpg
388.99	3.00	mal6	1023	1	281	500	140500	0.0421	malware14.jpg
392.49	3.00	bus5	550	1	768	1029	790272	0.7612	busRept12.jpg
395.99	3.00	bus6	2685	1	692	1280	885760	0.8668	busRept15.jpg
399.49	3.00	mal6	2526	2	676	1274	861224	0.8397	malware19.jpg
402.99	3.00	bus6	1209	1	768	1059	813312	0.7867	busRept08.jpg
406.49	3.00	bus6	597	1	768	1020	783360	0.7535	busRept01.jpg
409.99	3.00	bus6	585	1	697	1280	892160	0.8739	busRept13.jpg
413.48	3.00	bus6	727	1	772	1280	988160	0.9802	busRept04.jpg
416.98	3.00	mal6	1178	1	768	1223	939264	0.9261	malware03.jpg
420.48	3.00	bus6	549	1	686	1280	878080	0.8583	busRept19.jpg
423.98	3.00	bus6	1036	2	720	1280	921600	0.9065	busRept05.jpg
427.48	3.00	mal6	2649	2	598	1007	602186	0.5530	malware02.jpg
430.98	3.00	mal6	723	2	205	500	102500	0.0000	malware05.jpg
434.48	3.00	novel	1291	1	768	1009	774912	0.7442	busNoRept07.jpg
437.98	3.00	bus6	1173	1	768	1244	955392	0.9439	busRept14.jpg
441.48	3.00	mal6	2931	2	265	500	132500	0.0332	malware10.jpg
444.98	3.00	bus6	583	2	768	1024	786432	0.7569	busRept03.jpg
448.48	3.00	bus6	718	1	768	1029	790272	0.7612	busRept12.jpg
451.98	3.00	bus6	1281	1	686	1280	878080	0.8583	busRept11.jpg
