onset	duration	trial_type	trial_number	stroop_condition	stim_text(PL)	stim_text(eng)	stim_color(PL)	stim_color(eng)	response_type	response_color
62.4008	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
62.4359	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
63.4526	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
63.9692	1.0834	INK	9	Neutral	xxxxxxxx	xxxxxxxx	niebieski	blue	hit	n/a
65.0188	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
65.0526	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
66.0693	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
66.5859	1.1833	INK	10	Incongruent	zielony	green	niebieski	blue	hit	n/a
67.7484	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
67.7693	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
68.786	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
69.3026	0.7333	INK	11	Neutral	xxxxxxx	xxxxxxx	czerwony	red	hit	n/a
70.0153	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
70.036	1.0166	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
71.0526	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
71.5693	1.2	INK	12	Neutral	xxxxxxxxx	xxxxxxxxx	zielony	green	hit	n/a
72.7449	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
72.7693	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
73.786	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
74.3026	0.7667	INK	13	Incongruent	czerwony	red	zielony	green	hit	n/a
75.0437	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
75.0693	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
76.086	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
76.6026	0.7	INK	14	Neutral	xxxxxxx	xxxxxxx	niebieski	blue	hit	n/a
77.2786	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
77.3027	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
78.3194	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
78.836	0.6666	INK	15	Neutral	xxxxxxxx	xxxxxxxx	zielony	green	hit	n/a
79.4816	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
79.5027	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
80.5194	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
81.036	0.6333	INK	16	Incongruent	niebieski	blue	żółty	yellow	hit	n/a
81.6366	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
81.6694	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
82.686	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
83.2027	0.7666	INK	17	Neutral	xxxxxxxxx	xxxxxxxxx	czerwony	red	hit	n/a
83.9512	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
83.9694	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
84.986	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
85.5027	0.8167	INK	18	Incongruent	czerwony	red	niebieski	blue	hit	n/a
86.2977	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
86.3194	1.0166	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
87.336	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
87.8528	1.1	INK	19	Incongruent	zielony	green	żółty	yellow	hit	n/a
88.9317	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
88.9527	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
89.9694	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
90.4861	1.15	INK	20	Incongruent	żółty	yellow	zielony	green	hit	n/a
91.6136	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
91.6361	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
92.6528	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
93.1695	1.0	INK	21	Neutral	xxxxxxxxx	xxxxxxxxx	czerwony	red	hit	n/a
94.1516	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
94.1694	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
95.1861	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
95.7028	0.7	INK	22	Neutral	xxxxxxx	xxxxxxx	żółty	yellow	hit	n/a
96.3706	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
96.4028	1.0166	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
97.4195	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
97.9361	0.7	INK	23	Neutral	xxxxxxx	xxxxxxx	czerwony	red	hit	n/a
98.6054	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
98.6362	1.0166	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
99.6528	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
100.1695	0.7	INK	24	Neutral	xxxxxxxxx	xxxxxxxxx	żółty	yellow	hit	n/a
100.8403	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
100.8695	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
101.8862	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
102.4029	0.8833	INK	25	Incongruent	żółty	yellow	czerwony	red	hit	n/a
103.2667	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
103.2862	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
104.3029	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
104.8196	0.9167	INK	26	Incongruent	zielony	green	czerwony	red	hit	n/a
105.7092	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
105.7362	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
106.7529	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
107.2695	0.8167	INK	27	Incongruent	zielony	green	niebieski	blue	hit	n/a
108.0557	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
108.0862	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
109.1029	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
109.6196	0.6166	INK	28	Incongruent	niebieski	blue	zielony	green	hit	n/a
110.2107	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
110.2362	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
111.2529	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
111.7696	0.7834	INK	29	Neutral	xxxxx	xxxxx	czerwony	red	hit	n/a
112.5253	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
112.5529	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
113.5696	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
114.0863	0.7333	INK	30	Incongruent	żółty	yellow	niebieski	blue	hit	n/a
114.7922	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
114.8196	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
115.8363	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
116.353	0.8	INK	31	Incongruent	niebieski	blue	czerwony	red	hit	n/a
117.1228	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
117.153	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
118.1696	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
118.6863	0.8667	INK	32	Incongruent	niebieski	blue	czerwony	red	hit	n/a
119.5332	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
119.553	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
120.5697	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
121.0863	0.9333	INK	33	Neutral	xxxxxxxxx	xxxxxxxxx	żółty	yellow	hit	n/a
121.9916	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
122.0197	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
123.0363	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
123.553	1.2667	INK	34	Incongruent	czerwony	red	niebieski	blue	hit	n/a
124.7852	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
124.8197	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
125.8364	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
126.353	1.1833	INK	35	Incongruent	zielony	green	żółty	yellow	hit	n/a
127.5148	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
127.5364	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
128.553	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
129.0697	0.7333	INK	36	Incongruent	czerwony	red	zielony	green	hit	n/a
129.7816	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
129.8031	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
130.8197	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
131.3364	0.5333	INK	37	Incongruent	żółty	yellow	zielony	green	hit	n/a
131.8408	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
131.8697	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
132.8864	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
133.403	0.4667	INK	38	Incongruent	niebieski	blue	zielony	green	hit	n/a
133.8362	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
133.8698	1.0166	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
134.8864	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
135.4031	0.4834	INK	39	Neutral	xxxxx	xxxxx	zielony	green	hit	n/a
135.8635	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
135.8864	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
136.9031	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
137.4198	0.7333	INK	40	Incongruent	zielony	green	czerwony	red	hit	n/a
138.1304	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
138.1531	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
139.1698	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
139.6864	0.6834	INK	41	Neutral	xxxxx	xxxxx	zielony	green	hit	n/a
140.3492	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
140.3698	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
141.3865	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
141.9031	0.6	INK	42	Incongruent	żółty	yellow	czerwony	red	hit	n/a
142.4723	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
142.5031	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
143.5198	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
144.0365	0.4834	INK	43	Neutral	xxxxxxx	xxxxxxx	czerwony	red	hit	n/a
144.4997	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
144.5198	1.0166	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
145.5365	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
146.0532	0.4334	INK	44	Incongruent	zielony	green	czerwony	red	hit	n/a
146.4631	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
146.4865	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
147.5032	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
148.0199	0.6666	INK	45	Neutral	xxxxxxxxx	xxxxxxxxx	żółty	yellow	hit	n/a
148.6661	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
148.6865	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
149.7032	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
150.2198	0.6667	INK	46	Neutral	xxxxxxxxx	xxxxxxxxx	zielony	green	hit	n/a
150.8531	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
150.8866	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
151.9032	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
152.4199	0.6666	INK	47	Incongruent	czerwony	red	żółty	yellow	hit	n/a
153.0559	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
153.0865	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
154.1032	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
154.6199	0.8833	INK	48	Incongruent	niebieski	blue	czerwony	red	hit	n/a
155.4824	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
155.5032	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
156.5199	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
157.0366	0.7167	INK	49	Incongruent	zielony	green	żółty	yellow	hit	n/a
157.7333	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
157.7532	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
158.7699	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
159.2866	0.55	INK	50	Neutral	xxxxxxxx	xxxxxxxx	żółty	yellow	hit	n/a
159.8085	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
159.8366	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
160.8533	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
161.3699	0.8167	INK	51	Neutral	xxxxx	xxxxx	niebieski	blue	hit	n/a
162.155	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
162.1866	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
163.2033	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
163.72	0.8	INK	52	Neutral	xxxxx	xxxxx	czerwony	red	hit	n/a
164.5016	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	red
164.52	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
165.5367	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
166.0533	0.6667	INK	53	Neutral	xxxxxxx	xxxxxxx	żółty	yellow	hit	n/a
166.6886	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
166.72	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
167.7367	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
168.2533	0.8	INK	54	Incongruent	niebieski	blue	zielony	green	hit	n/a
169.0351	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	green
169.0533	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
170.07	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
170.5867	0.7333	INK	55	Incongruent	niebieski	blue	żółty	yellow	hit	n/a
171.302	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
171.32	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
172.3367	0.5166	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
172.8533	0.6334	INK	56	Incongruent	czerwony	red	żółty	yellow	hit	n/a
173.457	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	yellow
173.4867	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
174.5034	0.5167	FIXCROSS	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
175.0201	0.7667	INK	57	Neutral	xxxxxxxx	xxxxxxxx	niebieski	blue	hit	n/a
175.7557	n/a	RESPONSE	n/a	n/a	n/a	n/a	n/a	n/a	n/a	blue
175.7867	1.0167	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
