onset	duration	trial_type	stim_file	stim_file_index	note
162.511	0.3	47	task-sfprescaled_stimuli.npy	379	n/a
163.012	0.3	47	task-sfprescaled_stimuli.npy	376	n/a
163.512	0.3	47	task-sfprescaled_stimuli.npy	378	n/a
164.012	0.3	48	task-sfprescaled_stimuli.npy	392	blank trial
164.512	0.3	48	task-sfprescaled_stimuli.npy	398	blank trial
165.012	0.3	48	task-sfprescaled_stimuli.npy	395	blank trial
165.512	0.3	48	task-sfprescaled_stimuli.npy	394	blank trial
166.012	0.3	48	task-sfprescaled_stimuli.npy	393	blank trial
166.512	0.3	48	task-sfprescaled_stimuli.npy	399	blank trial
167.012	0.3	48	task-sfprescaled_stimuli.npy	397	blank trial
167.512	0.3	48	task-sfprescaled_stimuli.npy	396	blank trial
168.014	0.3	5	task-sfprescaled_stimuli.npy	40	n/a
168.514	0.3	5	task-sfprescaled_stimuli.npy	46	n/a
169.014	0.3	5	task-sfprescaled_stimuli.npy	41	n/a
169.514	0.3	5	task-sfprescaled_stimuli.npy	47	n/a
170.014	0.3	5	task-sfprescaled_stimuli.npy	43	n/a
170.513	0.3	5	task-sfprescaled_stimuli.npy	44	n/a
171.014	0.3	5	task-sfprescaled_stimuli.npy	42	n/a
171.513	0.3	5	task-sfprescaled_stimuli.npy	45	n/a
172.014	0.3	48	task-sfprescaled_stimuli.npy	400	blank trial
172.514	0.3	48	task-sfprescaled_stimuli.npy	403	blank trial
173.015	0.3	48	task-sfprescaled_stimuli.npy	401	blank trial
173.515	0.3	48	task-sfprescaled_stimuli.npy	404	blank trial
174.015	0.3	48	task-sfprescaled_stimuli.npy	402	blank trial
174.515	0.3	48	task-sfprescaled_stimuli.npy	405	blank trial
175.014	0.3	48	task-sfprescaled_stimuli.npy	406	blank trial
175.515	0.3	48	task-sfprescaled_stimuli.npy	407	blank trial
176.016	0.3	41	task-sfprescaled_stimuli.npy	333	n/a
176.515	0.3	41	task-sfprescaled_stimuli.npy	330	n/a
177.016	0.3	41	task-sfprescaled_stimuli.npy	332	n/a
177.515	0.3	41	task-sfprescaled_stimuli.npy	335	n/a
178.017	0.3	41	task-sfprescaled_stimuli.npy	328	n/a
178.517	0.3	41	task-sfprescaled_stimuli.npy	329	n/a
179.017	0.3	41	task-sfprescaled_stimuli.npy	334	n/a
179.517	0.3	41	task-sfprescaled_stimuli.npy	331	n/a
180.017	0.3	3	task-sfprescaled_stimuli.npy	24	n/a
180.517	0.3	3	task-sfprescaled_stimuli.npy	31	n/a
181.017	0.3	3	task-sfprescaled_stimuli.npy	25	n/a
181.517	0.3	3	task-sfprescaled_stimuli.npy	30	n/a
182.017	0.3	3	task-sfprescaled_stimuli.npy	28	n/a
182.517	0.3	3	task-sfprescaled_stimuli.npy	26	n/a
