onset	duration	trial_type	stim_file	oneback
5.995018	0.999275	train_face	sub01/run72/M3130.jpg	0
8.992418	0.999236	train_face	sub01/run72/M3144.jpg	0
12.006788	0.999050	Fix	placeholders/fixation.png	0
15.004283	0.999154	test_face	sub01/run72/M2248.jpg	0
18.001923	0.999101	test_face	sub01/run72/M2248.jpg	1
20.999311	0.999186	train_face	sub01/run72/F3154.jpg	0
23.996822	0.999156	train_face	sub01/run72/F3145.jpg	0
26.994519	0.999032	train_face	sub01/run72/F3146.jpg	0
30.008618	0.999121	Fix	placeholders/fixation.png	0
33.006132	0.999201	train_face	sub01/run72/M3138.jpg	0
