onset	duration	stim_filename	verbal_resp	key_resp	event_type
638.892	0	L432	0	1	STIM_LOGO
639.892	5	L432	0	1	RETENTION_LOGO
644.892	0	L432	NaN	NaN	VERBALRESP_LOGO
649.052	0	L432	NaN	NaN	KEYRESP_LOGO
657.892	0	L401	1	2	STIM_LOGO
658.892	5	L401	1	2	RETENTION_LOGO
663.892	0	L401	NaN	NaN	VERBALRESP_LOGO
668.325	0	L401	NaN	NaN	KEYRESP_LOGO
670.892	0	L426	0	1	STIM_LOGO
671.892	5	L426	0	1	RETENTION_LOGO
676.892	0	L426	NaN	NaN	VERBALRESP_LOGO
681.027	0	L426	NaN	NaN	KEYRESP_LOGO
682.892	0	L28	1	2	STIM_LOGO
683.892	5	L28	1	2	RETENTION_LOGO
688.892	0	L28	NaN	NaN	VERBALRESP_LOGO
692.732	0	L28	NaN	NaN	KEYRESP_LOGO
701.892	0	L203	0	1	STIM_LOGO
702.892	5	L203	0	1	RETENTION_LOGO
707.892	0	L203	NaN	NaN	VERBALRESP_LOGO
712.167	0	L203	NaN	NaN	KEYRESP_LOGO
716.892	0	L170	0	1	STIM_LOGO
717.892	5	L170	0	1	RETENTION_LOGO
722.892	0	L170	NaN	NaN	VERBALRESP_LOGO
726.916	0	L170	NaN	NaN	KEYRESP_LOGO
735.892	0	L268	0	1	STIM_LOGO
736.892	5	L268	0	1	RETENTION_LOGO
741.892	0	L268	NaN	NaN	VERBALRESP_LOGO
746.328	0	L268	NaN	NaN	KEYRESP_LOGO
748.328	8	NaN	NaN	NaN	BREAK
756.892	0	L205	NaN	2	STIM_BRAND
757.892	5	L205	NaN	2	RETENTION_BRAND
764.668	0	L205	NaN	NaN	KEYRESP_BRAND
766.892	0	L2	NaN	2	STIM_BRAND
767.893	5	L2	NaN	2	RETENTION_BRAND
774.279	0	L2	NaN	NaN	KEYRESP_BRAND
775.893	0	L157	NaN	1	STIM_BRAND
776.893	5	L157	NaN	1	RETENTION_BRAND
782.684	0	L157	NaN	NaN	KEYRESP_BRAND
784.893	0	L315	NaN	1	STIM_BRAND
785.893	5	L315	NaN	1	RETENTION_BRAND
792.232	0	L315	NaN	NaN	KEYRESP_BRAND
794.893	0	L301	NaN	1	STIM_BRAND
795.893	5	L301	NaN	1	RETENTION_BRAND
802.032	0	L301	NaN	NaN	KEYRESP_BRAND
804.893	0	L323	NaN	1	STIM_BRAND
805.893	5	L323	NaN	1	RETENTION_BRAND
811.931	0	L323	NaN	NaN	KEYRESP_BRAND
814.393	0	L71	NaN	1	STIM_BRAND
