onset	duration	trial_type	stimfile
180.1	5.5	nullosevent	room3_cond0_B.mov
185.08	2.5	room2	room2_cond7_A.mov
188.11	3.5	nullosevent	room6_cond0_B.mov
191.08	2.5	room7	room7_cond12_A_right.mov
194.07	5.5	nullosevent	room5_cond0_B.mov
199.08	2.5	room8	room8_cond7_A.mov
202.06	7.5	nullosevent	room4_cond0_B.mov
209.09	2.5	room1	room1_cond8_A.mov
212.11	5.5	nullosevent	room1_cond0_B.mov
217.01	2.5	fix	fix
219.51	3.5	nullosevent	room6_cond0_B.mov
223.08	2.5	room2	room2_cond4_A.mov
226.1	5.5	nullosevent	room7_cond0_B.mov
231.02	2.5	fix	fix
233.52	3.5	nullosevent	room3_cond0_B.mov
237.08	2.5	room8	room8_cond10_A.mov
240.1	3.5	nullosevent	room7_cond0_B.mov
243.08	2.5	room2	room2_cond4_A.mov
246.1	5.5	nullosevent	room6_cond0_B.mov
251.08	2.5	room1	room1_cond14_A_right.mov
254.1	3.5	nullosevent	room4_cond0_B.mov
257.08	2.5	room5	room5_cond8_A.mov
260.06	3.5	nullosevent	room8_cond0_B.mov
263.08	2.5	room3	room3_cond5_A.mov
266.1	5.5	nullosevent	room3_cond0_B.mov
271.01	2.5	fix	fix
273.51	7.5	nullosevent	room2_cond0_B.mov
281.09	2.5	room8	room8_cond3_A.mov
284.11	3.5	nullosevent	room4_cond0_B.mov
287.08	2.5	room1	room1_cond11_A_left.mov
290.1	3.5	nullosevent	room6_cond0_B.mov
293.09	2.5	room7	room7_cond2_A.mov
296.11	3.5	nullosevent	room2_cond0_B.mov
299.09	2.5	room3	room3_cond14_A_right.mov
302.1	3.5	nullosevent	room7_cond0_B.mov
305.08	2.5	room1	room1_cond5_A.mov
308.1	3.5	nullosevent	room6_cond0_B.mov
311.09	2.5	onebacktril	room1_cond5_A.mov
314.1	3.5	nullosevent	room8_cond0_B.mov
317.08	2.5	room4	room4_cond3_A.mov
320.1	3.5	nullosevent	room8_cond0_B.mov
323.08	2.5	room6	room6_cond7_A.mov
326.07	3.5	nullosevent	room7_cond0_B.mov
329.08	2.5	room3	room3_cond2_A.mov
332.1	3.5	nullosevent	room4_cond0_B.mov
335.08	2.5	room1	room1_cond1_A.mov
338.07	3.5	nullosevent	room2_cond0_B.mov
341.08	2.5	room5	room5_cond10_A.mov
344.1	3.5	nullosevent	room4_cond0_B.mov
347.08	2.5	room2	room2_cond11_A_left.mov
350.11	7.5	nullosevent	room1_cond0_B.mov
357.1	2.5	room5	room5_cond4_A.mov
360.11	5.5	nullosevent	room8_cond0_B.mov
365.08	2.5	room6	room6_cond12_A_right.mov
368.08	3.5	nullosevent	room7_cond0_B.mov
371.08	2.5	room3	room3_cond1_A.mov
374.11	3.5	nullosevent	room8_cond0_B.mov
377.09	2.5	room5	room5_cond14_A_right.mov
380.11	3.5	nullosevent	room6_cond0_B.mov
383.08	2.5	room7	room7_cond9_A.mov
386.11	5.5	nullosevent	room3_cond0_B.mov
391.08	2.5	room4	room4_cond3_A.mov
394.11	3.5	nullosevent	room2_cond0_B.mov
397.08	2.5	room1	room1_cond1_A.mov
400.08	3.5	nullosevent	room3_cond0_B.mov
403.09	2.5	room4	room4_cond8_A.mov
406.08	3.5	nullosevent	room6_cond0_B.mov
409.09	2.5	room2	room2_cond13_A_left.mov
412.09	5.5	nullosevent	room7_cond0_B.mov
417.08	2.5	onebacktril	room2_cond13_A_left.mov
420.07	5.5	nullosevent	room8_cond0_B.mov
425.08	2.5	room5	room5_cond12_A_right.mov
428.08	3.5	nullosevent	room4_cond0_B.mov
431.08	2.5	room5	room5_cond6_A.mov
434.07	3.5	nullosevent	room3_cond0_B.mov
437.09	2.5	room1	room1_cond2_A.mov
440.11	3.5	nullosevent	room8_cond0_B.mov
443.08	2.5	onebacktril	room1_cond2_A.mov
446.1	3.5	nullosevent	room2_cond0_B.mov
449.01	2.5	fix	fix
451.51	3.5	nullosevent	room1_cond0_B.mov
455.01	15	nullosevent	room5_cond0_A.mov
