onset	duration	trial_type	modality	stimulus	word	operation	recalled	rt
1260001	10000	Volume127	n/a	n/a	n/a	n/a	NaN	NaN
1270001	10000	Volume128	n/a	n/a	n/a	n/a	NaN	NaN
1280001	10000	Volume129	n/a	n/a	n/a	n/a	NaN	NaN
1290001	10000	Volume130	n/a	n/a	n/a	n/a	NaN	NaN
1294412	15000	Stimulus Onset	Auditory	GUITAR	CHEESE	encoding	0	NaN
1300001	10000	Volume131	n/a	n/a	n/a	n/a	NaN	NaN
1310001	10000	Volume132	n/a	n/a	n/a	n/a	NaN	NaN
1320001	10000	Volume133	n/a	n/a	n/a	n/a	NaN	NaN
1330001	10000	Volume134	n/a	n/a	n/a	n/a	NaN	NaN
1340001	10000	Volume135	n/a	n/a	n/a	n/a	NaN	NaN
1344713	15000	Stimulus Onset	Auditory	PIANO	BELL	encoding	1	0.777552461294363
1350001	10000	Volume136	n/a	n/a	n/a	n/a	NaN	NaN
1360001	10000	Volume137	n/a	n/a	n/a	n/a	NaN	NaN
1370001	10000	Volume138	n/a	n/a	n/a	n/a	NaN	NaN
1380001	10000	Volume139	n/a	n/a	n/a	n/a	NaN	NaN
1390001	10000	Volume140	n/a	n/a	n/a	n/a	NaN	NaN
1395061	15000	Stimulus Onset	Auditory	TRUMPET	MINNOW	encoding	0	NaN
1400001	10000	Volume141	n/a	n/a	n/a	n/a	NaN	NaN
1410001	10000	Volume142	n/a	n/a	n/a	n/a	NaN	NaN
1420001	10000	Volume143	n/a	n/a	n/a	n/a	NaN	NaN
1430001	10000	Volume144	n/a	n/a	n/a	n/a	NaN	NaN
1440001	10000	Volume145	n/a	n/a	n/a	n/a	NaN	NaN
1445393	15000	Stimulus Onset	Auditory	GUITAR	RABBIT	encoding	1	1.13789459354211
1450001	10000	Volume146	n/a	n/a	n/a	n/a	NaN	NaN
1460001	10000	Volume147	n/a	n/a	n/a	n/a	NaN	NaN
1470001	10000	Volume148	n/a	n/a	n/a	n/a	NaN	NaN
1480001	10000	Volume149	n/a	n/a	n/a	n/a	NaN	NaN
1490001	10000	Volume150	n/a	n/a	n/a	n/a	NaN	NaN
1495811	15000	Stimulus Onset	Auditory	PIANO	EAR	encoding	1	1.34440912429091
1500001	10000	Volume151	n/a	n/a	n/a	n/a	NaN	NaN
1510001	10000	Volume152	n/a	n/a	n/a	n/a	NaN	NaN
1520001	10000	Volume153	n/a	n/a	n/a	n/a	NaN	NaN
1530001	10000	Volume154	n/a	n/a	n/a	n/a	NaN	NaN
1540001	10000	Volume155	n/a	n/a	n/a	n/a	NaN	NaN
1546163	15000	Stimulus Onset	Auditory	ACCORDIAN	ROBIN	encoding	1	0.815038074226322
1550001	10000	Volume156	n/a	n/a	n/a	n/a	NaN	NaN
1560001	10000	Volume157	n/a	n/a	n/a	n/a	NaN	NaN
1570001	10000	Volume158	n/a	n/a	n/a	n/a	NaN	NaN
1580001	10000	Volume159	n/a	n/a	n/a	n/a	NaN	NaN
1590001	10000	Volume160	n/a	n/a	n/a	n/a	NaN	NaN
1596548	15000	Stimulus Onset	Auditory	ACCORDIAN	EYE	encoding	1	1.13716773155375
1600001	10000	Volume161	n/a	n/a	n/a	n/a	NaN	NaN
1610001	10000	Volume162	n/a	n/a	n/a	n/a	NaN	NaN
1620001	10000	Volume163	n/a	n/a	n/a	n/a	NaN	NaN
1630001	10000	Volume164	n/a	n/a	n/a	n/a	NaN	NaN
1640001	10000	Volume165	n/a	n/a	n/a	n/a	NaN	NaN
1647051	15000	Stimulus Onset	Auditory	GUITAR	BARN	encoding	0	NaN
