onset	duration	sample	trial_type	response_time	stim_file	value
1053.3050002020	1.0000000000	526652.5001	n/a	n/a	n/a	standard3
1053.6364861767	1.0000000000	526818.2431	n/a	n/a	n/a	ParTOO_WT1
1053.9754861767	1.0000000000	526987.7431	n/a	n/a	n/a	ExpTOO_WT1
1053.9994861767	1.0000000000	526999.7431	n/a	n/a	n/a	ParHSO_WT1
1054.4514861767	1.0000000000	527225.7431	n/a	n/a	n/a	ExpHSO_WT1
1054.4550170313	1.0000000000	527227.5085	n/a	n/a	n/a	standard3
1054.8004861767	1.0000000000	527400.2431	n/a	n/a	n/a	ParTOO_WT1
1055.1734861767	1.0000000000	527586.7431	n/a	n/a	n/a	ParHSO_WT1
1055.3454861767	1.0000000000	527672.7431	n/a	n/a	n/a	ExpTOO_WT1
1055.7350316532	1.0000000000	527867.5158	n/a	n/a	n/a	standard3
1055.8014861767	1.0000000000	527900.7431	n/a	n/a	n/a	ExpHSO_WT1
1055.9824861767	1.0000000000	527991.2431	n/a	n/a	n/a	ParTOO_WT1
1056.3554861767	1.0000000000	528177.7431	n/a	n/a	n/a	ParHSO_WT1
1056.6424861767	1.0000000000	528321.2431	n/a	n/a	n/a	ExpTOO_WT1
1056.8850458185	1.0000000000	528442.5229	n/a	n/a	n/a	standard3
1057.0854861767	1.0000000000	528542.7431	n/a	n/a	n/a	ExpHSO_WT1
1057.1694861767	1.0000000000	528584.7431	n/a	n/a	n/a	ParTOO_WT1
1057.5434861767	1.0000000000	528771.7431	n/a	n/a	n/a	ParHSO_WT1
1057.7850443551	1.0000000000	528892.5222	n/a	n/a	n/a	standard3
1057.9474861767	1.0000000000	528973.7431	n/a	n/a	n/a	ExpTOO_WT1
1058.3494861767	1.0000000000	529174.7431	n/a	n/a	n/a	ParTOO_WT1
1058.4074861767	1.0000000000	529203.7431	n/a	n/a	n/a	ExpHSO_WT1
1058.5550558763	1.0000000000	529277.5279	n/a	n/a	n/a	standard3
1058.7054861767	1.0000000000	529352.7431	n/a	n/a	n/a	ParHSO_WT1
1059.2804861767	1.0000000000	529640.2431	n/a	n/a	n/a	ExpTOO_WT1
1059.5104861767	1.0000000000	529755.2431	n/a	n/a	n/a	ParTOO_WT1
1059.6994861767	1.0000000000	529849.7431	n/a	n/a	n/a	ExpHSO_WT1
1059.8250709085	1.0000000000	529912.5355	n/a	n/a	n/a	deviant3
1059.8854861767	1.0000000000	529942.7431	n/a	n/a	n/a	ParHSO_WT1
1060.5324861767	1.0000000000	530266.2431	n/a	n/a	n/a	ExpTOO_WT1
1060.6494861767	1.0000000000	530324.7431	n/a	n/a	n/a	ParTOO_WT1
1060.9494861767	1.0000000000	530474.7431	n/a	n/a	n/a	ExpHSO_WT1
1061.0154861767	1.0000000000	530507.7431	n/a	n/a	n/a	ParHSO_WT1
1061.2250892834	1.0000000000	530612.5446	n/a	n/a	n/a	standard3
1061.7450999850	1.0000000000	530872.55	n/a	n/a	n/a	standard3
1061.7834861767	1.0000000000	530891.7431	n/a	n/a	n/a	ParTOO_WT1
1061.8294861767	1.0000000000	530914.7431	n/a	n/a	n/a	ExpTOO_WT1
1062.1614861767	1.0000000000	531080.7431	n/a	n/a	n/a	ParHSO_WT1
1062.2574861767	1.0000000000	531128.7431	n/a	n/a	n/a	ExpHSO_WT1
1062.9424861767	1.0000000000	531471.2431	n/a	n/a	n/a	ParTOO_WT1
1063.0151073611	1.0000000000	531507.5537	n/a	n/a	n/a	standard3
1063.0844861767	1.0000000000	531542.2431	n/a	n/a	n/a	ExpTOO_WT1
1063.3214861767	1.0000000000	531660.7431	n/a	n/a	n/a	ParHSO_WT1
1063.4994861767	1.0000000000	531749.7431	n/a	n/a	n/a	ExpHSO_WT1
1063.5351096726	1.0000000000	531767.5548	n/a	n/a	n/a	standard3
1064.1124861767	1.0000000000	532056.2431	n/a	n/a	n/a	ParTOO_WT1
1064.2974861767	1.0000000000	532148.7431	n/a	n/a	n/a	ExpTOO_WT1
1064.4894861767	1.0000000000	532244.7431	n/a	n/a	n/a	ParHSO_WT1
1064.7214861767	1.0000000000	532360.7431	n/a	n/a	n/a	ExpHSO_WT1
