onset	duration	Subject	event	firstRESP	firstRT	firstACC	TrialType	BlocksInRun	MainBlocksInRun	SubTrial	firstON	RandomDelay	PatternDelay	ScaningOnset	Run	Condition	TrialOnset	TrialDuration	BlockOnset	BlockDuration	RestOnset	RestDuration
26.176	0.5	1	3	3.0	308	1	Prac	1	n/a	33	100953	16.0	n/a	74777	1	n/a	26.176	0.5	6.0	52.9	58.9	7.1
26.789	0.5	1	2	2.0	388	1	Prac	1	n/a	34	101566	9.0	n/a	74777	1	n/a	26.789	0.5	6.0	52.9	58.9	7.1
27.403	0.5	1	4	4.0	324	1	Prac	1	n/a	35	102180	3.0	n/a	74777	1	n/a	27.403	0.5	6.0	52.9	58.9	7.1
28.033	0.5	1	2	2.0	295	1	Prac	1	n/a	36	102810	13.0	n/a	74777	1	n/a	28.033	0.5	6.0	52.9	58.9	7.1
28.646	0.5	1	1	1.0	310	1	Prac	1	n/a	37	103423	6.0	n/a	74777	1	n/a	28.646	0.5	6.0	52.9	58.9	7.1
29.26	0.5	1	2	2.0	364	1	Prac	1	n/a	38	104037	0.0	n/a	74777	1	n/a	29.26	0.5	6.0	52.9	58.9	7.1
29.89	0.5	1	3	3.0	294	1	Prac	1	n/a	39	104667	10.0	n/a	74777	1	n/a	29.89	0.5	6.0	52.9	58.9	7.1
30.503	0.5	1	4	4.0	331	1	Prac	1	n/a	40	105280	3.0	n/a	74777	1	n/a	30.503	0.5	6.0	52.9	58.9	7.1
31.133	0.5	1	1	1.0	419	1	Prac	1	n/a	41	105910	13.0	n/a	74777	1	n/a	31.133	0.5	6.0	52.9	58.9	7.1
31.747	0.5	1	4	4.0	355	1	Prac	1	n/a	42	106524	7.0	n/a	74777	1	n/a	31.747	0.5	6.0	52.9	58.9	7.1
32.36	0.5	1	1	1.0	361	1	Prac	1	n/a	43	107137	0.0	n/a	74777	1	n/a	32.36	0.5	6.0	52.9	58.9	7.1
32.99	0.5	1	3	3.0	329	1	Prac	1	n/a	44	107767	10.0	n/a	74777	1	n/a	32.99	0.5	6.0	52.9	58.9	7.1
33.603	0.5	1	4	4.0	321	1	Prac	1	n/a	45	108380	3.0	n/a	74777	1	n/a	33.603	0.5	6.0	52.9	58.9	7.1
34.233	0.5	1	2	2.0	274	1	Prac	1	n/a	46	109010	13.0	n/a	74777	1	n/a	34.233	0.5	6.0	52.9	58.9	7.1
34.847	0.5	1	1	1.0	303	1	Prac	1	n/a	47	109624	7.0	n/a	74777	1	n/a	34.847	0.5	6.0	52.9	58.9	7.1
35.46	0.5	1	3	3.0	287	1	Prac	1	n/a	48	110237	0.0	n/a	74777	1	n/a	35.46	0.5	6.0	52.9	58.9	7.1
36.09	0.5	1	1	1.0	366	1	Prac	1	n/a	49	110867	10.0	n/a	74777	1	n/a	36.09	0.5	6.0	52.9	58.9	7.1
36.704	0.5	1	3	3.0	293	1	Prac	1	n/a	50	111481	4.0	n/a	74777	1	n/a	36.704	0.5	6.0	52.9	58.9	7.1
37.334	0.5	1	2	2.0	299	1	Prac	1	n/a	51	112111	14.0	n/a	74777	1	n/a	37.334	0.5	6.0	52.9	58.9	7.1
37.947	0.5	1	4	4.0	369	1	Prac	1	n/a	52	112724	7.0	n/a	74777	1	n/a	37.947	0.5	6.0	52.9	58.9	7.1
38.561	0.5	1	2	2.0	302	1	Prac	1	n/a	53	113338	1.0	n/a	74777	1	n/a	38.561	0.5	6.0	52.9	58.9	7.1
39.191	0.5	1	3	3.0	254	1	Prac	1	n/a	54	113968	11.0	n/a	74777	1	n/a	39.191	0.5	6.0	52.9	58.9	7.1
39.804	0.5	1	1	1.0	430	1	Prac	1	n/a	55	114581	4.0	n/a	74777	1	n/a	39.804	0.5	6.0	52.9	58.9	7.1
40.434	0.5	1	2	2.0	395	1	Prac	1	n/a	56	115211	14.0	n/a	74777	1	n/a	40.434	0.5	6.0	52.9	58.9	7.1
41.047	0.5	1	3	3.0	306	1	Prac	1	n/a	57	115824	7.0	n/a	74777	1	n/a	41.047	0.5	6.0	52.9	58.9	7.1
41.661	0.5	1	2	2.0	358	1	Prac	1	n/a	58	116438	1.0	n/a	74777	1	n/a	41.661	0.5	6.0	52.9	58.9	7.1
42.291	0.5	1	3	3.0	349	1	Prac	1	n/a	59	117068	11.0	n/a	74777	1	n/a	42.291	0.5	6.0	52.9	58.9	7.1
42.904	0.5	1	2	2.0	341	1	Prac	1	n/a	60	117681	4.0	n/a	74777	1	n/a	42.904	0.5	6.0	52.9	58.9	7.1
43.534	0.5	1	1	1.0	302	1	Prac	1	n/a	61	118311	14.0	n/a	74777	1	n/a	43.534	0.5	6.0	52.9	58.9	7.1
44.148	0.5	1	1	1.0	347	1	Prac	1	n/a	62	118925	8.0	n/a	74777	1	n/a	44.148	0.5	6.0	52.9	58.9	7.1
44.761	0.5	1	3	3.0	443	1	Prac	1	n/a	63	119538	1.0	n/a	74777	1	n/a	44.761	0.5	6.0	52.9	58.9	7.1
45.391	0.5	1	1	1.0	404	1	Prac	1	n/a	64	120168	11.0	n/a	74777	1	n/a	45.391	0.5	6.0	52.9	58.9	7.1
46.005	0.5	1	4	4.0	329	1	Prac	1	n/a	65	120782	5.0	n/a	74777	1	n/a	46.005	0.5	6.0	52.9	58.9	7.1
46.635	0.5	1	4	4.0	413	1	Prac	1	n/a	66	121412	15.0	n/a	74777	1	n/a	46.635	0.5	6.0	52.9	58.9	7.1
47.248	0.5	1	2	2.0	436	1	Prac	1	n/a	67	122025	8.0	n/a	74777	1	n/a	47.248	0.5	6.0	52.9	58.9	7.1
47.862	0.5	1	2	2.0	351	1	Prac	1	n/a	68	122639	2.0	n/a	74777	1	n/a	47.862	0.5	6.0	52.9	58.9	7.1
48.492	0.5	1	3	3.0	304	1	Prac	1	n/a	69	123269	12.0	n/a	74777	1	n/a	48.492	0.5	6.0	52.9	58.9	7.1
49.105	0.5	1	1	1.0	278	1	Prac	1	n/a	70	123882	5.0	n/a	74777	1	n/a	49.105	0.5	6.0	52.9	58.9	7.1
49.735	0.5	1	1	1.0	346	1	Prac	1	n/a	71	124512	15.0	n/a	74777	1	n/a	49.735	0.5	6.0	52.9	58.9	7.1
50.348	0.5	1	2	2.0	442	1	Prac	1	n/a	72	125125	8.0	n/a	74777	1	n/a	50.348	0.5	6.0	52.9	58.9	7.1
50.962	0.5	1	4	4.0	393	1	Prac	1	n/a	73	125739	2.0	n/a	74777	1	n/a	50.962	0.5	6.0	52.9	58.9	7.1
51.592	0.5	1	1	1.0	403	1	Prac	1	n/a	74	126369	12.0	n/a	74777	1	n/a	51.592	0.5	6.0	52.9	58.9	7.1
52.205	0.5	1	3	3.0	287	1	Prac	1	n/a	75	126982	5.0	n/a	74777	1	n/a	52.205	0.5	6.0	52.9	58.9	7.1
52.835	0.5	1	3	3.0	364	1	Prac	1	n/a	76	127612	15.0	n/a	74777	1	n/a	52.835	0.5	6.0	52.9	58.9	7.1
53.449	0.5	1	1	1.0	331	1	Prac	1	n/a	77	128226	9.0	n/a	74777	1	n/a	53.449	0.5	6.0	52.9	58.9	7.1
54.062	0.5	1	3	3.0	326	1	Prac	1	n/a	78	128839	2.0	n/a	74777	1	n/a	54.062	0.5	6.0	52.9	58.9	7.1
54.692	0.5	1	2	2.0	318	1	Prac	1	n/a	79	129469	12.0	n/a	74777	1	n/a	54.692	0.5	6.0	52.9	58.9	7.1
55.306	0.5	1	4	4.0	368	1	Prac	1	n/a	80	130083	6.0	n/a	74777	1	n/a	55.306	0.5	6.0	52.9	58.9	7.1
55.936	0.5	1	2	2.0	385	1	Prac	1	n/a	81	130713	16.0	n/a	74777	1	n/a	55.936	0.5	6.0	52.9	58.9	7.1
56.549	0.5	1	2	2.0	354	1	Prac	1	n/a	82	131326	9.0	n/a	74777	1	n/a	56.549	0.5	6.0	52.9	58.9	7.1
57.162	0.5	1	2	2.0	314	1	Prac	1	n/a	83	131939	2.0	n/a	74777	1	n/a	57.162	0.5	6.0	52.9	58.9	7.1
57.792	0.5	1	3	3.0	289	1	Prac	1	n/a	84	132569	12.0	n/a	74777	1	n/a	57.792	0.5	6.0	52.9	58.9	7.1
58.406	0.5	1	2	1.0	302	0	Prac	1	n/a	85	133183	6.0	n/a	74777	1	n/a	58.406	0.5	6.0	52.9	58.9	7.1
66.331	0.5	1	4	4.0	415	1	Prac	2	n/a	1	141108	11.0	n/a	74777	1	n/a	66.331	0.5	66.0	52.9	118.9	7.1
66.944	0.5	1	2	2.0	289	1	Prac	2	n/a	2	141721	4.0	n/a	74777	1	n/a	66.944	0.5	66.0	52.9	118.9	7.1
67.574	0.5	1	2	2.0	221	1	Prac	2	n/a	3	142351	14.0	n/a	74777	1	n/a	67.574	0.5	66.0	52.9	118.9	7.1
68.188	0.5	1	3	3.0	329	1	Prac	2	n/a	4	142965	8.0	n/a	74777	1	n/a	68.188	0.5	66.0	52.9	118.9	7.1
68.801	0.5	1	3	3.0	303	1	Prac	2	n/a	5	143578	1.0	n/a	74777	1	n/a	68.801	0.5	66.0	52.9	118.9	7.1
69.431	0.5	1	1	1.0	289	1	Prac	2	n/a	6	144208	11.0	n/a	74777	1	n/a	69.431	0.5	66.0	52.9	118.9	7.1
70.044	0.5	1	3	3.0	317	1	Prac	2	n/a	7	144821	4.0	n/a	74777	1	n/a	70.044	0.5	66.0	52.9	118.9	7.1
70.675	0.5	1	3	3.0	304	1	Prac	2	n/a	8	145452	15.0	n/a	74777	1	n/a	70.675	0.5	66.0	52.9	118.9	7.1
71.288	0.5	1	3	3.0	319	1	Prac	2	n/a	9	146065	8.0	n/a	74777	1	n/a	71.288	0.5	66.0	52.9	118.9	7.1
71.901	0.5	1	4	4.0	332	1	Prac	2	n/a	10	146678	1.0	n/a	74777	1	n/a	71.901	0.5	66.0	52.9	118.9	7.1
72.531	0.5	1	2	2.0	331	1	Prac	2	n/a	11	147308	11.0	n/a	74777	1	n/a	72.531	0.5	66.0	52.9	118.9	7.1
73.145	0.5	1	3	3.0	286	1	Prac	2	n/a	12	147922	5.0	n/a	74777	1	n/a	73.145	0.5	66.0	52.9	118.9	7.1
73.775	0.5	1	3	3.0	293	1	Prac	2	n/a	13	148552	15.0	n/a	74777	1	n/a	73.775	0.5	66.0	52.9	118.9	7.1
74.388	0.5	1	3	3.0	276	1	Prac	2	n/a	14	149165	8.0	n/a	74777	1	n/a	74.388	0.5	66.0	52.9	118.9	7.1
75.002	0.5	1	1	1.0	323	1	Prac	2	n/a	15	149779	2.0	n/a	74777	1	n/a	75.002	0.5	66.0	52.9	118.9	7.1
75.632	0.5	1	2	2.0	305	1	Prac	2	n/a	16	150409	12.0	n/a	74777	1	n/a	75.632	0.5	66.0	52.9	118.9	7.1
76.245	0.5	1	4	4.0	398	1	Prac	2	n/a	17	151022	5.0	n/a	74777	1	n/a	76.245	0.5	66.0	52.9	118.9	7.1
76.875	0.5	1	2	2.0	301	1	Prac	2	n/a	18	151652	15.0	n/a	74777	1	n/a	76.875	0.5	66.0	52.9	118.9	7.1
77.489	0.5	1	4	4.0	331	1	Prac	2	n/a	19	152266	9.0	n/a	74777	1	n/a	77.489	0.5	66.0	52.9	118.9	7.1
78.102	0.5	1	4	4.0	319	1	Prac	2	n/a	20	152879	2.0	n/a	74777	1	n/a	78.102	0.5	66.0	52.9	118.9	7.1
78.732	0.5	1	3	3.0	362	1	Prac	2	n/a	21	153509	12.0	n/a	74777	1	n/a	78.732	0.5	66.0	52.9	118.9	7.1
79.345	0.5	1	2	2.0	381	1	Prac	2	n/a	22	154122	5.0	n/a	74777	1	n/a	79.345	0.5	66.0	52.9	118.9	7.1
79.975	0.5	1	2	2.0	349	1	Prac	2	n/a	23	154752	15.0	n/a	74777	1	n/a	79.975	0.5	66.0	52.9	118.9	7.1
80.589	0.5	1	2	2.0	337	1	Prac	2	n/a	24	155366	9.0	n/a	74777	1	n/a	80.589	0.5	66.0	52.9	118.9	7.1
81.202	0.5	1	2	2.0	318	1	Prac	2	n/a	25	155979	2.0	n/a	74777	1	n/a	81.202	0.5	66.0	52.9	118.9	7.1
81.832	0.5	1	3	3.0	352	1	Prac	2	n/a	26	156609	12.0	n/a	74777	1	n/a	81.832	0.5	66.0	52.9	118.9	7.1
82.446	0.5	1	1	1.0	309	1	Prac	2	n/a	27	157223	6.0	n/a	74777	1	n/a	82.446	0.5	66.0	52.9	118.9	7.1
83.076	0.5	1	3	3.0	336	1	Prac	2	n/a	28	157853	16.0	n/a	74777	1	n/a	83.076	0.5	66.0	52.9	118.9	7.1
83.689	0.5	1	4	4.0	372	1	Prac	2	n/a	29	158466	9.0	n/a	74777	1	n/a	83.689	0.5	66.0	52.9	118.9	7.1
84.303	0.5	1	1	1.0	400	1	Prac	2	n/a	30	159080	3.0	n/a	74777	1	n/a	84.303	0.5	66.0	52.9	118.9	7.1
84.933	0.5	1	3	3.0	282	1	Prac	2	n/a	31	159710	13.0	n/a	74777	1	n/a	84.933	0.5	66.0	52.9	118.9	7.1
85.546	0.5	1	4	4.0	337	1	Prac	2	n/a	32	160323	6.0	n/a	74777	1	n/a	85.546	0.5	66.0	52.9	118.9	7.1
86.176	0.5	1	2	2.0	321	1	Prac	2	n/a	33	160953	16.0	n/a	74777	1	n/a	86.176	0.5	66.0	52.9	118.9	7.1
86.789	0.5	1	2	2.0	339	1	Prac	2	n/a	34	161566	9.0	n/a	74777	1	n/a	86.789	0.5	66.0	52.9	118.9	7.1
87.403	0.5	1	1	1.0	376	1	Prac	2	n/a	35	162180	3.0	n/a	74777	1	n/a	87.403	0.5	66.0	52.9	118.9	7.1
88.033	0.5	1	1	1.0	351	1	Prac	2	n/a	36	162810	13.0	n/a	74777	1	n/a	88.033	0.5	66.0	52.9	118.9	7.1
88.646	0.5	1	1	1.0	315	1	Prac	2	n/a	37	163423	6.0	n/a	74777	1	n/a	88.646	0.5	66.0	52.9	118.9	7.1
89.26	0.5	1	4	4.0	387	1	Prac	2	n/a	38	164037	0.0	n/a	74777	1	n/a	89.26	0.5	66.0	52.9	118.9	7.1
89.89	0.5	1	1	1.0	386	1	Prac	2	n/a	39	164667	10.0	n/a	74777	1	n/a	89.89	0.5	66.0	52.9	118.9	7.1
90.503	0.5	1	1	1.0	300	1	Prac	2	n/a	40	165280	3.0	n/a	74777	1	n/a	90.503	0.5	66.0	52.9	118.9	7.1
91.133	0.5	1	3	3.0	323	1	Prac	2	n/a	41	165910	13.0	n/a	74777	1	n/a	91.133	0.5	66.0	52.9	118.9	7.1
91.747	0.5	1	2	2.0	312	1	Prac	2	n/a	42	166524	7.0	n/a	74777	1	n/a	91.747	0.5	66.0	52.9	118.9	7.1
92.36	0.5	1	3	3.0	356	1	Prac	2	n/a	43	167137	0.0	n/a	74777	1	n/a	92.36	0.5	66.0	52.9	118.9	7.1
92.99	0.5	1	2	2.0	370	1	Prac	2	n/a	44	167767	10.0	n/a	74777	1	n/a	92.99	0.5	66.0	52.9	118.9	7.1
93.604	0.5	1	3	3.0	368	1	Prac	2	n/a	45	168381	4.0	n/a	74777	1	n/a	93.604	0.5	66.0	52.9	118.9	7.1
94.234	0.5	1	2	2.0	416	1	Prac	2	n/a	46	169011	14.0	n/a	74777	1	n/a	94.234	0.5	66.0	52.9	118.9	7.1
94.847	0.5	1	2	2.0	339	1	Prac	2	n/a	47	169624	7.0	n/a	74777	1	n/a	94.847	0.5	66.0	52.9	118.9	7.1
95.46	0.5	1	3	3.0	422	1	Prac	2	n/a	48	170237	0.0	n/a	74777	1	n/a	95.46	0.5	66.0	52.9	118.9	7.1
96.09	0.5	1	2	2.0	475	1	Prac	2	n/a	49	170867	10.0	n/a	74777	1	n/a	96.09	0.5	66.0	52.9	118.9	7.1
96.704	0.5	1	2	2.0	373	1	Prac	2	n/a	50	171481	4.0	n/a	74777	1	n/a	96.704	0.5	66.0	52.9	118.9	7.1
97.334	0.5	1	4	4.0	378	1	Prac	2	n/a	51	172111	14.0	n/a	74777	1	n/a	97.334	0.5	66.0	52.9	118.9	7.1
97.947	0.5	1	3	3.0	348	1	Prac	2	n/a	52	172724	7.0	n/a	74777	1	n/a	97.947	0.5	66.0	52.9	118.9	7.1
98.561	0.5	1	3	3.0	335	1	Prac	2	n/a	53	173338	1.0	n/a	74777	1	n/a	98.561	0.5	66.0	52.9	118.9	7.1
99.191	0.5	1	1	1.0	282	1	Prac	2	n/a	54	173968	11.0	n/a	74777	1	n/a	99.191	0.5	66.0	52.9	118.9	7.1
99.804	0.5	1	4	4.0	402	1	Prac	2	n/a	55	174581	4.0	n/a	74777	1	n/a	99.804	0.5	66.0	52.9	118.9	7.1
100.434	0.5	1	1	1.0	430	1	Prac	2	n/a	56	175211	14.0	n/a	74777	1	n/a	100.434	0.5	66.0	52.9	118.9	7.1
101.048	0.5	1	4	4.0	320	1	Prac	2	n/a	57	175825	8.0	n/a	74777	1	n/a	101.048	0.5	66.0	52.9	118.9	7.1
101.661	0.5	1	2	2.0	330	1	Prac	2	n/a	58	176438	1.0	n/a	74777	1	n/a	101.661	0.5	66.0	52.9	118.9	7.1
102.291	0.5	1	4	4.0	323	1	Prac	2	n/a	59	177068	11.0	n/a	74777	1	n/a	102.291	0.5	66.0	52.9	118.9	7.1
102.904	0.5	1	3	3.0	387	1	Prac	2	n/a	60	177681	4.0	n/a	74777	1	n/a	102.904	0.5	66.0	52.9	118.9	7.1
103.534	0.5	1	1	1.0	346	1	Prac	2	n/a	61	178311	14.0	n/a	74777	1	n/a	103.534	0.5	66.0	52.9	118.9	7.1
104.148	0.5	1	4	4.0	332	1	Prac	2	n/a	62	178925	8.0	n/a	74777	1	n/a	104.148	0.5	66.0	52.9	118.9	7.1
104.761	0.5	1	3	3.0	329	1	Prac	2	n/a	63	179538	1.0	n/a	74777	1	n/a	104.761	0.5	66.0	52.9	118.9	7.1
105.391	0.5	1	1	1.0	295	1	Prac	2	n/a	64	180168	11.0	n/a	74777	1	n/a	105.391	0.5	66.0	52.9	118.9	7.1
106.005	0.5	1	4	4.0	276	1	Prac	2	n/a	65	180782	5.0	n/a	74777	1	n/a	106.005	0.5	66.0	52.9	118.9	7.1
106.635	0.5	1	3	3.0	280	1	Prac	2	n/a	66	181412	15.0	n/a	74777	1	n/a	106.635	0.5	66.0	52.9	118.9	7.1
107.248	0.5	1	3	3.0	348	1	Prac	2	n/a	67	182025	8.0	n/a	74777	1	n/a	107.248	0.5	66.0	52.9	118.9	7.1
107.862	0.5	1	1	1.0	311	1	Prac	2	n/a	68	182639	2.0	n/a	74777	1	n/a	107.862	0.5	66.0	52.9	118.9	7.1
108.492	0.5	1	3	3.0	293	1	Prac	2	n/a	69	183269	12.0	n/a	74777	1	n/a	108.492	0.5	66.0	52.9	118.9	7.1
109.105	0.5	1	4	4.0	356	1	Prac	2	n/a	70	183882	5.0	n/a	74777	1	n/a	109.105	0.5	66.0	52.9	118.9	7.1
109.735	0.5	1	2	2.0	302	1	Prac	2	n/a	71	184512	15.0	n/a	74777	1	n/a	109.735	0.5	66.0	52.9	118.9	7.1
110.349	0.5	1	1	1.0	316	1	Prac	2	n/a	72	185126	9.0	n/a	74777	1	n/a	110.349	0.5	66.0	52.9	118.9	7.1
110.962	0.5	1	4	4.0	322	1	Prac	2	n/a	73	185739	2.0	n/a	74777	1	n/a	110.962	0.5	66.0	52.9	118.9	7.1
111.592	0.5	1	3	3.0	332	1	Prac	2	n/a	74	186369	12.0	n/a	74777	1	n/a	111.592	0.5	66.0	52.9	118.9	7.1
112.205	0.5	1	3	3.0	344	1	Prac	2	n/a	75	186982	5.0	n/a	74777	1	n/a	112.205	0.5	66.0	52.9	118.9	7.1
112.835	0.5	1	3	3.0	318	1	Prac	2	n/a	76	187612	15.0	n/a	74777	1	n/a	112.835	0.5	66.0	52.9	118.9	7.1
113.449	0.5	1	3	3.0	307	1	Prac	2	n/a	77	188226	9.0	n/a	74777	1	n/a	113.449	0.5	66.0	52.9	118.9	7.1
114.062	0.5	1	3	3.0	313	1	Prac	2	n/a	78	188839	2.0	n/a	74777	1	n/a	114.062	0.5	66.0	52.9	118.9	7.1
114.692	0.5	1	1	1.0	300	1	Prac	2	n/a	79	189469	12.0	n/a	74777	1	n/a	114.692	0.5	66.0	52.9	118.9	7.1
115.306	0.5	1	4	3.0	262	0	Prac	2	n/a	80	190083	6.0	n/a	74777	1	n/a	115.306	0.5	66.0	52.9	118.9	7.1
115.936	0.5	1	1	1.0	374	1	Prac	2	n/a	81	190713	16.0	n/a	74777	1	n/a	115.936	0.5	66.0	52.9	118.9	7.1
116.549	0.5	1	4	4.0	292	1	Prac	2	n/a	82	191326	9.0	n/a	74777	1	n/a	116.549	0.5	66.0	52.9	118.9	7.1
117.163	0.5	1	3	3.0	289	1	Prac	2	n/a	83	191940	3.0	n/a	74777	1	n/a	117.163	0.5	66.0	52.9	118.9	7.1
117.793	0.5	1	2	2.0	320	1	Prac	2	n/a	84	192570	13.0	n/a	74777	1	n/a	117.793	0.5	66.0	52.9	118.9	7.1
118.406	0.5	1	2	2.0	319	1	Prac	2	n/a	85	193183	6.0	n/a	74777	1	n/a	118.406	0.5	66.0	52.9	118.9	7.1
126.331	0.5	1	4	4.0	417	1	Prac	3	n/a	1	201108	11.0	n/a	74777	1	n/a	126.331	0.5	126.0	52.9	178.9	7.1
126.944	0.5	1	1	1.0	444	1	Prac	3	n/a	2	201721	4.0	n/a	74777	1	n/a	126.944	0.5	126.0	52.9	178.9	7.1
127.574	0.5	1	2	2.0	464	1	Prac	3	n/a	3	202351	14.0	n/a	74777	1	n/a	127.574	0.5	126.0	52.9	178.9	7.1
128.188	0.5	1	3	3.0	339	1	Prac	3	n/a	4	202965	8.0	n/a	74777	1	n/a	128.188	0.5	126.0	52.9	178.9	7.1
128.801	0.5	1	2	2.0	372	1	Prac	3	n/a	5	203578	1.0	n/a	74777	1	n/a	128.801	0.5	126.0	52.9	178.9	7.1
129.431	0.5	1	4	4.0	317	1	Prac	3	n/a	6	204208	11.0	n/a	74777	1	n/a	129.431	0.5	126.0	52.9	178.9	7.1
130.045	0.5	1	4	4.0	331	1	Prac	3	n/a	7	204822	5.0	n/a	74777	1	n/a	130.045	0.5	126.0	52.9	178.9	7.1
130.675	0.5	1	4	4.0	339	1	Prac	3	n/a	8	205452	15.0	n/a	74777	1	n/a	130.675	0.5	126.0	52.9	178.9	7.1
131.288	0.5	1	1	1.0	399	1	Prac	3	n/a	9	206065	8.0	n/a	74777	1	n/a	131.288	0.5	126.0	52.9	178.9	7.1
131.901	0.5	1	3	3.0	331	1	Prac	3	n/a	10	206678	1.0	n/a	74777	1	n/a	131.901	0.5	126.0	52.9	178.9	7.1
