bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	efc_shell04	efc_shell05	efc_shell06	efc_shell07	efc_shell08	efc_shell09	efc_shell10	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fber_shell04	fber_shell05	fber_shell06	fber_shell07	fber_shell08	fber_shell09	fber_shell10	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	snr_cc_shell3_best	snr_cc_shell3_worst	snr_cc_shell4_best	snr_cc_shell4_worst	snr_cc_shell5_best	snr_cc_shell5_worst	snr_cc_shell6_best	snr_cc_shell6_worst	snr_cc_shell7_best	snr_cc_shell7_worst	snr_cc_shell8_best	snr_cc_shell8_worst	snr_cc_shell9_best	snr_cc_shell9_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-24696_ses-1_dir-AP_run-01_part-mag_dwi	9	Likely DSI	[937.0, 1195.0, 1734.0, 2087.0, 2682.0, 3481.0, 3790.0, 4313.0, 4936.0]	0.2362	0.0695	0.0327	0.0005	0.4217	0.4443	0.4472	0.4568	0.4636	0.4729	0.4764	0.4793	0.4843	0.489	0.0	0.0	18911.6602	4032.0071	2852.655	1561.4204	1089.3396	652.3217	421.2556	355.9882	296.8322	248.8908	9.701	103	99.03846153846153	0.5299	1060.0606	261.0775	12.2156	5.53	5.54	5.54	3.26	1.61	2.37	1.33	1.67	0.86	1.67	0.85	1.4	0.75	1.18	0.71	1.44	1.44	1.06	0.92	64.66	357.72	329.1	369.62	249.0426	31.1346	190.0571	43.0	1238093.0	15.0	852.0	534.4676	21.8519	1696.0969	6507.791	6049.0	315571.0	2656.0	11488.0	2904.8098	124.0423	966.6566	5652.453	5478.0	81836.0	4061.0	7573.0	1470.0996
sub-24696_ses-1_dir-AP_run-01_part-phase_dwi	9	Likely DSI	[937.0, 1195.0, 1734.0, 2087.0, 2682.0, 3481.0, 3790.0, 4313.0, 4936.0]	0.671	0.2712	0.2566	0.0454											0.0	0.0	31.7696	8.556	6.7402	6.4607	8.0866	4.9693	5.3445	1.8234	2.5528	2.5416	139.0897	103	99.03846153846153	0.0347	0.0	62.2872	460.8913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1093.27	10349.33	10476.43	9363.77	-1.8961	2545.628	27821.3801	1895.0	1386183.0	108.0	65401.0	31493.1221	1.0013	1083.7822	12079.788	1079.0	167481.0	87.0	65439.0	24289.3964	1.0146	1083.7822	12053.3428	1078.0	167277.0	87.0	65439.0	24267.9175
sub-24697_ses-1_dir-AP_run-01_part-mag_dwi	9	Likely DSI	[1034.0, 1734.0, 2124.0, 2723.0, 3396.0, 3672.0, 4313.0, 4793.0, 4994.0]	0.2446	0.0795	0.0496	0.0009	0.4245	0.4516	0.4625	0.4701	0.4807	0.484	0.4848	0.4927	0.4952	0.4947	0.0	0.0	18336.9727	3407.2476	1537.4177	1041.6743	621.714	410.511	371.3866	280.358	246.1011	233.4105	11.2273	102	98.07692307692308	0.9148	797.64	265.5354	11.8855	6.36	6.4	6.4	3.47	2.18	2.01	1.36	1.96	1.28	1.68	1.13	1.39	1.07	1.04	1.15	1.34	1.24	1.26	1.18	84.11	535.31	499.96	503.75	263.6097	34.0999	240.6289	44.0	1226384.0	15.0	1107.0	719.2585	14.9308	2194.2513	6852.9805	6178.0	327280.0	2954.0	13193.0	3487.5296	50.285	1128.2603	5320.6055	5137.0	91082.0	3300.0	7817.0	1912.8374
sub-24697_ses-1_dir-AP_run-01_part-phase_dwi	9	Likely DSI	[1034.0, 1734.0, 2124.0, 2723.0, 3396.0, 3672.0, 4313.0, 4793.0, 4994.0]	1.0265	0.3757	0.3227	0.0101											0.0	0.0	37.7267	22.8882	6.3477	6.0732	8.2127	3.8764	3.4602	4.549	2.9583	2.5816	147.5823	103	99.03846153846153	0.1058	0.0	66.0626	251.7658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1119.95	11031.1	10808.05	9773.94	-1.758	2112.7082	25293.8593	1690.0	1421329.0	112.0	65394.0	30950.616	-0.0208	1183.1166	14582.0936	1025.0	132335.0	69.0	65462.0	26311.9344	-0.0088	1181.634	14544.9682	1024.0	132104.0	69.0	65462.0	26286.4848
sub-24699_ses-1_dir-AP_run-01_part-mag_dwi	9	Likely DSI	[798.0, 996.0, 1195.0, 1734.0, 2124.0, 2723.0, 3549.0, 4313.0, 4936.0]	0.2626	0.0897	0.0764	0.0012	0.4626	0.4765	0.4772	0.4772	0.4834	0.4888	0.4943	0.4969	0.5005	0.5039	0.0	0.0	20246.4238	5267.5312	4052.4636	3133.6399	1734.2708	1186.6008	735.4156	461.0952	338.0669	286.3917	11.4897	102	98.07692307692308	0.9361	1011.1347	257.2066	10.5648	4.72	4.71	4.71	2.96	1.45	2.0	1.33	1.89	1.31	1.43	0.88	1.36	0.84	1.2	0.76	1.0	0.83	0.94	0.96	91.66	558.04	446.09	494.91	138.6928	28.1694	287.0807	38.0	1191089.0	14.0	1338.0	899.1858	9.2693	1798.3965	6166.9429	5668.0	362575.0	3203.0	11141.0	2713.0572	14.0572	981.4827	4943.455	4822.0	89931.0	3449.0	6782.0	1210.6173
sub-24699_ses-1_dir-AP_run-01_part-phase_dwi	9	Likely DSI	[798.0, 996.0, 1195.0, 1734.0, 2124.0, 2723.0, 3549.0, 4313.0, 4936.0]	0.6045	0.2609	0.253	0.0206											0.0	0.0	2.5463	3.6138	8.8518	6.7831	7.822	5.6754	5.1027	3.8421	4.7572	2.3723	124.7328	103	99.03846153846153	0.1881	0.0	71.6437	320.1696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	868.9	7275.51	7703.08	6581.98	-1.8024	2429.985	26012.3804	1922.0	1354379.0	123.0	65381.0	31028.554	3.1022	891.0439	9020.6386	868.0	199285.0	82.0	65432.0	21318.8592	3.1373	889.5613	8984.6187	866.0	198983.0	82.0	65432.0	21279.324
sub-24702_ses-1_dir-AP_run-01_part-mag_dwi	9	Likely DSI	[1034.0, 1734.0, 1995.0, 2238.0, 2723.0, 3396.0, 3672.0, 4313.0, 4936.0]	0.2413	0.039	0.0185	0.0003	0.4269	0.4484	0.4625	0.4686	0.4731	0.4835	0.4891	0.4909	0.4957	0.5029	0.0	0.0	15909.6338	3286.4263	1464.9138	1107.2885	890.6857	588.2821	386.9412	348.3186	275.2212	229.1201	6.661	102	98.07692307692308	0.6393	699.0469	250.3478	10.7299	7.03	7.01	7.01	3.85	2.19	2.28	1.15	2.11	1.05	2.72	2.3	1.78	1.05	1.49	1.02	0.94	1.13	1.45	1.34	50.98	235.67	212.95	195.99	247.1589	26.6868	209.5243	38.0	1242644.0	15.0	987.0	603.9674	51.212	1490.0152	5390.4215	5155.0	311020.0	1506.0	9014.0	2526.9854	14.0315	914.7656	4803.1125	4742.0	86490.0	2814.0	6834.0	1554.1965
sub-24702_ses-1_dir-AP_run-01_part-phase_dwi	9	Likely DSI	[1034.0, 1734.0, 1995.0, 2238.0, 2723.0, 3396.0, 3672.0, 4313.0, 4936.0]	0.7106	0.27	0.2318	0.0129											0.0	0.0	65.9944	7.8656	5.4436	4.328	4.0626	5.378	5.7688	2.7549	2.302	2.5871	141.2173	103	99.03846153846153	0.1364	0.0	79.193	236.945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1101.95	10855.18	10714.62	9474.5	-1.8253	2213.5251	26366.6365	1720.0	1388583.0	109.0	65398.0	31217.7514	1.0927	1022.9955	11822.938	950.0	165081.0	69.0	65457.0	24158.6815	1.1085	1021.5129	11792.7389	949.0	165001.0	69.0	65457.0	24132.9282
sub-60295_ses-1_dir-AP_run-01_part-mag_dwi	9	Likely DSI	[937.0, 1195.0, 1734.0, 1995.0, 2238.0, 2723.0, 3549.0, 4313.0, 4936.0]	0.1809	0.062	0.0395	0.0006	0.4203	0.4447	0.4482	0.4565	0.461	0.4654	0.4727	0.4771	0.483	0.4882	0.0	0.0	18190.668	3972.594	2837.1694	1568.5781	1210.6477	969.3877	657.4614	409.5661	304.0182	256.6382	7.1579	102	98.07692307692308	0.8641	787.2618	263.2272	11.2251	5.86	5.9	5.9	3.59	1.8	2.58	1.7	1.88	1.08	1.86	1.07	2.14	2.2	1.67	1.06	1.41	0.95	1.27	1.3	71.13	402.32	436.83	396.66	252.107	26.6868	245.1552	39.0	1241983.0	15.0	1091.0	839.8587	23.8496	1819.1529	6025.6756	5580.0	311681.0	2055.0	11074.0	3027.4849	67.9578	1101.5734	5212.302	5027.0	79898.0	3383.0	7387.0	1756.1129
sub-60295_ses-1_dir-AP_run-01_part-phase_dwi	9	Likely DSI	[937.0, 1195.0, 1734.0, 1995.0, 2238.0, 2723.0, 3549.0, 4313.0, 4936.0]	0.7962	0.3039	0.2674	0.0023											0.0	0.0	0.4344	7.6693	11.9963	7.7097	6.1195	7.3347	6.1652	4.0224	4.9785	2.9398	145.3242	103	99.03846153846153	0.0842	0.0	71.3019	296.662	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1251.06	12971.17	11801.23	10690.46	-1.6529	1951.1045	23925.396	1627.0	1404248.0	117.0	65387.0	30577.3843	2.4364	913.283	9752.485	857.0	149416.0	71.0	65454.0	22174.9496	2.4672	911.8004	9713.9479	856.0	149072.0	71.0	65453.0	22135.8759
sub-PILOT02_ses-1_dir-AP_run-01_part-mag_dwi	9	Likely DSI	[1034.0, 1596.0, 1889.0, 2238.0, 2723.0, 3549.0, 4313.0, 4793.0, 4994.0]	0.2564	0.0735	0.0526	0.0005	0.4264	0.4535	0.4599	0.4667	0.4719	0.4785	0.4777	0.4853	0.4857	0.4851	0.0	0.0	20006.0508	3714.0017	1999.0541	1441.3064	1029.2903	685.7415	455.7428	314.4616	280.3396	278.5929	12.5902	103	99.03846153846153	0.347	974.0697	254.3593	11.5553	5.33	5.31	5.31	3.01	1.6	1.3	1.36	2.62	0.9	1.91	2.02	1.46	0.86	1.32	0.89	1.04	1.21	1.06	1.08	78.21	499.12	488.18	395.62	482.4978	28.1694	204.6543	39.0	1216644.0	13.0	955.0	717.1595	33.6615	1804.3269	6124.1853	5676.0	337020.0	2460.0	10881.0	3049.3321	33.0902	1110.4691	5295.8887	5092.0	101821.0	3450.0	7625.0	1790.4419
sub-PILOT02_ses-1_dir-AP_run-01_part-phase_dwi	9	Likely DSI	[1034.0, 1596.0, 1889.0, 2238.0, 2723.0, 3549.0, 4313.0, 4793.0, 4994.0]	0.6991	0.3089	0.2814	0.0615											0.0	0.0	116.2143	9.8307	4.3829	7.0639	5.0263	5.2136	3.9079	2.5893	2.6531	2.6816	138.6906	103	99.03846153846153	0.1856	0.0	61.4548	462.2119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1901.1	17621.47	14190.77	13743.62	-1.6944	1682.7535	24363.5919	1384.0	1443072.0	99.0	65407.0	30848.2123	-0.4261	896.9743	15812.2121	742.0	110592.0	46.0	65485.0	27371.8875	-0.4148	894.0091	15768.3572	740.0	110381.0	46.0	65486.0	27345.7402
