onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
325.619	0.2	645	17	0	47	33	4	9	0	0	0	stim005_stimuli_original_animals_fish_1.png	L	0	0	0	371.896790876432	372.096807650552
326.019	0.2	646	17	0	47	34	15	6	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	G	0	0	0	372.296797849383	372.49680852826
326.419	0.2	647	17	0	47	35	0	14	0	0	0	stim001_stimuli_original_animals_birds_1.png	V	0	0	0	372.696800433769	372.896789901191
330.785	0.2	648	18	1	36	0	7	15	0	0	0	stim008_stimuli_original_animals_fish_4.png	Y	0	0	0	377.063604154129	377.263587038673
331.185	0.2	649	18	1	36	1	14	11	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	R	0	0	0	377.463584795623	377.663591817342
331.585	0.2	650	18	1	36	2	3	13	0	0	0	stim004_stimuli_original_animals_birds_4.png	U	0	0	0	377.86362834007	378.063630973222
331.985	0.2	651	18	1	36	3	9	1	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	B	0	0	0	378.263624829211	378.463923203759
332.385	0.2	652	18	1	36	4	12	5	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	F	0	0	0	378.663633265038	378.863656865811
332.785	0.2	653	18	1	36	5	2	0	0	0	0	stim003_stimuli_original_animals_birds_3.png	A	0	0	0	379.063662668486	379.263662375917
333.185	0.2	654	18	1	36	6	8	8	0	1	0	stim009_stimuli_original_vehicles_boats_1.png	K	0	0	0	379.463655988104	379.663683246064
333.585	0.2	655	18	1	36	7	4	12	0	0	0	stim005_stimuli_original_animals_fish_1.png	T	0	0	0	379.863694168744	380.063673639932
333.985	0.2	656	18	1	36	8	1	8	0	1	1	stim002_stimuli_original_animals_birds_2.png	K	0	0	0	380.263677492156	380.463681588153
334.385	0.2	657	18	1	36	9	2	10	1	0	0	stim003_stimuli_original_animals_birds_3.png	Q	0	0	0	380.663690560352	380.863719037356
334.785	0.2	658	18	1	36	10	6	2	0	0	0	stim007_stimuli_original_animals_fish_3.png	C	NaN	381.056317407347	1	381.063727278117	381.263725766505
335.185	0.2	659	18	1	36	11	2	3	1	0	0	stim003_stimuli_original_animals_birds_3.png	D	0	0	0	381.463721816777	381.663725425169
335.585	0.2	660	18	1	36	12	11	9	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	L	0	0	0	381.863746587856	382.063753365772
335.985	0.2	661	18	1	36	13	10	4	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	E	0	0	0	382.263757705601	382.463782037841
336.385	0.2	662	18	1	36	14	0	14	0	0	0	stim001_stimuli_original_animals_birds_1.png	V	0	0	0	382.663774430956	382.86376024122
336.785	0.2	663	18	1	36	15	15	7	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	J	0	0	0	383.063777746778	383.263765751326
337.186	0.2	664	18	1	36	16	5	8	0	0	0	stim006_stimuli_original_animals_fish_2.png	K	0	0	0	383.463775942597	383.663798324327
337.586	0.2	665	18	1	36	17	13	6	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	G	0	0	0	383.863811197487	384.063807735394
337.986	0.2	666	18	1	36	18	6	13	0	0	0	stim007_stimuli_original_animals_fish_3.png	U	0	0	0	384.26381451331	384.463818853139
338.386	0.2	667	18	1	36	19	8	5	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	F	0	0	0	384.663832701539	384.863830702292
338.786	0.2	668	18	1	36	20	7	15	0	0	0	stim008_stimuli_original_animals_fish_4.png	Y	0	0	0	385.063826996367	385.26382694763
339.186	0.2	669	18	1	36	21	14	0	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	A	0	0	0	385.463850060798	385.663840747264
339.586	0.2	670	18	1	36	22	4	10	0	0	0	stim005_stimuli_original_animals_fish_1.png	Q	0	0	0	385.863861178543	386.063865518343
339.986	0.2	671	18	1	36	23	9	11	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	R	0	0	0	386.263870833413	386.463859325566
340.386	0.2	672	18	1	36	24	3	2	0	1	0	stim004_stimuli_original_animals_birds_4.png	C	0	0	0	386.663861714915	386.863891410962
340.786	0.2	673	18	1	36	25	2	6	0	0	0	stim003_stimuli_original_animals_birds_3.png	G	0	0	0	387.063896726002	387.263880829618
341.186	0.2	674	18	1	36	26	10	2	0	1	1	stim011_stimuli_original_vehicles_boats_3.png	C	0	0	0	387.463884437981	387.663903406414
341.586	0.2	675	18	1	36	27	8	1	1	0	0	stim009_stimuli_original_vehicles_boats_1.png	B	0	0	0	387.863917742419	388.063923545094
341.986	0.2	676	18	1	36	28	12	4	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	E	NaN	388.256560680864	1	388.263932517322	388.463914182794
342.386	0.2	677	18	1	36	29	8	8	1	0	0	stim009_stimuli_original_vehicles_boats_1.png	K	0	0	0	388.663916815945	388.863921399578
342.786	0.2	678	18	1	36	30	0	2	0	0	0	stim001_stimuli_original_animals_birds_1.png	C	0	0	0	389.064278532343	389.263955923059
343.186	0.2	679	18	1	36	31	5	12	0	0	0	stim006_stimuli_original_animals_fish_2.png	T	0	0	0	389.463960994297	389.663963871251
343.586	0.2	680	18	1	36	32	1	9	0	0	0	stim002_stimuli_original_animals_birds_2.png	L	0	0	0	389.863974306325	390.063970844232
343.986	0.2	681	18	1	36	33	13	3	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	D	0	0	0	390.263980060234	390.463987569587
344.386	0.2	682	18	1	36	34	11	14	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	V	0	0	0	390.664003368467	390.864002100658
344.786	0.2	683	18	1	36	35	15	7	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	J	0	0	0	391.064009366179	391.264005172648
350.552	0.2	684	19	0	18	0	4	5	0	0	0	stim005_stimuli_original_animals_fish_1.png	F	0	0	0	396.830805918522	397.030819523119
350.952	0.2	685	19	0	18	1	2	6	0	0	0	stim003_stimuli_original_animals_birds_3.png	G	0	0	0	397.230828739121	397.430836492276
351.352	0.2	686	19	0	18	2	3	8	0	0	0	stim004_stimuli_original_animals_birds_4.png	K	0	0	0	397.630833517818	397.830834688095
351.753	0.2	687	19	0	18	3	1	0	0	0	0	stim002_stimuli_original_animals_birds_2.png	A	0	0	0	398.030872186064	398.230850194406
352.153	0.2	688	19	0	18	4	15	14	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	V	0	0	0	398.430851608515	398.630855216878
352.553	0.2	689	19	0	18	5	9	15	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	Y	0	0	0	398.830863945273	399.030896567041
352.953	0.2	690	19	0	18	6	8	4	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	E	0	0	0	399.231336351368	399.430893299985
353.353	0.2	691	19	0	18	7	10	12	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	T	0	0	0	399.630883498845	399.830923678703
353.753	0.2	692	19	0	18	8	4	7	1	0	0	stim005_stimuli_original_animals_fish_1.png	J	0	0	0	400.030924605177	400.230929676443
354.153	0.2	693	19	0	18	9	6	1	0	0	0	stim007_stimuli_original_animals_fish_3.png	B	0	0	0	400.430907197151	400.630946889403
354.553	0.2	694	19	0	18	10	4	13	1	0	1	stim005_stimuli_original_animals_fish_1.png	U	0	0	0	400.830922947294	401.030926799489
354.953	0.2	695	19	0	18	11	7	11	0	0	0	stim008_stimuli_original_animals_fish_4.png	R	0	0	0	401.230929432611	401.430967418215
355.353	0.2	696	19	0	18	12	13	7	0	1	0	stim014_stimuli_original_vehicles_planes_2.png	J	0	0	0	401.63097322089	401.830984875007
355.753	0.2	697	19	0	18	13	11	10	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	Q	0	0	0	402.030984094803	402.230966247909
356.153	0.2	698	19	0	18	14	5	7	0	1	0	stim006_stimuli_original_animals_fish_2.png	J	0	0	0	402.430997894437	402.631000527588
356.553	0.2	699	19	0	18	15	0	3	0	0	0	stim001_stimuli_original_animals_birds_1.png	D	0	0	0	402.831026810309	403.030979462405
356.953	0.2	700	19	0	18	16	12	9	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	L	0	0	0	403.230995505117	403.431022763049
357.353	0.2	701	19	0	18	17	14	2	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	C	0	0	0	403.631027590483	403.83100413598
357.753	0.2	702	19	0	18	18	2	14	0	0	0	stim003_stimuli_original_animals_birds_3.png	V	0	0	0	404.031013352011	404.231017204205
358.153	0.2	703	19	0	18	19	9	12	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	T	0	0	0	404.43102763925	404.631254821317
358.553	0.2	704	19	0	18	20	3	0	0	0	0	stim004_stimuli_original_animals_birds_4.png	A	0	0	0	404.83103826936	405.031067965407
358.953	0.2	705	19	0	18	21	7	5	1	0	0	stim008_stimuli_original_animals_fish_4.png	F	0	0	0	405.231073768082	405.431050557381
359.353	0.2	706	19	0	18	22	10	11	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	R	0	0	0	405.63106148006	405.831063869409
