onset	duration	Event Type
1486.84	6.0068	Picture
1497.86	7.0079	Picture
1510.87	2.0023	Picture
1521.37	0	Response
1522.93	0	Response
1523.13	0	Response
1523.29	0	Response
1523.56	0	Response
1523.7	0	Response
1523.83	0	Response
1523.93	0	Response
1524.04	0	Response
1524.16	0	Response
1524.27	0	Response
1524.41	0	Response
1524.66	0	Response
1524.81	0	Response
1525.45	0	Response
1525.59	0	Response
1526.1	0	Response
1526.15	6.0067	Picture
1539.27	5.7065	Picture
1549.98	2.0023	Picture
1560.04	0	Response
1560.28	0	Response
1561.39	0	Response
1565.98	6.0068	Picture
1578.2	7.7087	Picture
1591.91	2.0022	Picture
1600.41	6.0067	Picture
1615.42	1.9856	Picture
1618.15	0	Response
1618.37	0	Response
1618.75	0	Response
1618.93	0	Response
1619.83	0	Response
1622.41	6.0068	Picture
1634.43	8.4095	Picture
1648.84	2.0023	Picture
1652.54	0	Response
1652.75	0	Response
1652.88	0	Response
1653.02	0	Response
1653.14	0	Response
1653.28	0	Response
1653.38	0	Response
1653.51	0	Response
1653.63	0	Response
1653.76	0	Response
1653.88	0	Response
1654.01	0	Response
1654.14	0	Response
1654.31	0	Response
1654.43	0	Response
1654.58	0	Response
1655.26	0	Response
1657.94	6.0068	Picture
1672.75	8.4095	Picture
1689.17	2.0022	Picture
1697.45	0	Response
1697.68	0	Response
1698.55	0	Response
1698.75	0	Response
1699.73	0	Response
1705.66	6.0068	Picture
1720.67	7.0079	Picture
1736.69	2.0023	Picture
1746.39	7.4083	Picture
1758.8	2.0023	Picture
1770.05	0	Response
1771.75	0	Response
1771.98	0	Response
1772.16	0	Response
1772.31	0	Response
1772.44	0	Response
1772.72	0	Response
1772.88	0	Response
1773.89	0	Response
1776.2	6.0067	Picture
1788.82	7.6086	Picture
1803.43	2.0022	Picture
1806.75	0	Response
1806.94	0	Response
1807.06	0	Response
1807.19	0	Response
1807.3	0	Response
1807.45	0	Response
1807.57	0	Response
1807.69	0	Response
1807.83	0	Response
1807.97	0	Response
1808.11	0	Response
1808.28	0	Response
1808.96	0	Response
1809.13	0	Response
1809.64	0	Response
1809.83	0	Response
1810.35	0	Response
1810.54	0	Response
1811.8	0	Response
1812.73	6.0068	Picture
1826.74	7.0079	Picture
1838.76	2.0023	Picture
1845.27	0	Response
1846.8	0	Response
1846.96	0	Response
1847.17	0	Response
1847.25	0	Response
1847.38	0	Response
1847.47	0	Response
1847.6	0	Response
1847.72	0	Response
1847.84	0	Response
1847.99	0	Response
1848.14	0	Response
1849.02	0	Response
1849.21	0	Response
1850.07	0	Response
1852.76	6.0067	Picture
1867.37	8.4094	Picture
1883.79	2.0022	Picture
1887.81	0	Response
1889.92	0	Response
1890.09	0	Response
1890.25	0	Response
1890.38	0	Response
1890.52	0	Response
1890.71	0	Response
1890.85	0	Response
1891.86	0	Response
1892.02	0	Response
1892.62	0	Response
1895.79	6.0068	Picture
1909.2	7.5084	Picture
1921.72	2.0022	Picture
1930.8	0	Response
1931.06	0	Response
1931.18	0	Response
1931.33	0	Response
1931.97	0	Response
1932.13	0	Response
1932.72	0	Response
1937.52	6.0068	Picture
1950.53	7.0079	Picture
1963.55	2.0023	Picture
1975.12	0	Response
1975.31	0	Response
1975.41	0	Response
1975.66	0	Response
1975.75	0	Response
1978.59	0	Response
1978.87	0	Response
1979.03	0	Response
1979.14	0	Response
1979.29	0	Response
1979.84	0	Response
1981.54	6.0067	Picture
1993.85	7.8089	Picture
2006.66	2.0023	Picture
2017.98	0	Response
2018.83	0	Response
