onset	duration	trial_type	accuracy	response_time	prime_stim	target_stim
117.15	3.4099999999999966	5	1.0	0.421	n/a	/BLUEbox.bmp
120.56	4.0120000000000005	1	1.0	0.457	beef	reef
124.572	3.0090000000000003	5	0.0	n/a	n/a	/BLUEbox.bmp
127.581	4.814000000000007	2	0.0	0.607	wart	smart
132.395	4.814999999999998	2	0.0	0.448	dose	pose
137.21	3.4099999999999966	5	1.0	0.523	n/a	/BLUEbox.bmp
140.62	4.0120000000000005	2	0.0	0.716	touch	couch
144.632	4.0120000000000005	6	0.0	1.028	task-Rhyming/perceptual_v.bmp	task-Rhyming/perceptual_m.bmp
148.644	3.811000000000007	5	1.0	0.477	n/a	/BLUEbox.bmp
152.455	3.8119999999999834	5	1.0	0.455	n/a	/BLUEbox.bmp
156.267	3.4099999999999966	5	1.0	0.314	n/a	/BLUEbox.bmp
159.677	3.0090000000000146	5	1.0	0.444	n/a	/BLUEbox.bmp
162.686	3.811000000000007	5	1.0	0.406	n/a	/BLUEbox.bmp
166.497	4.4129999999999825	4	0.0	0.559	port	warm
170.91	4.814999999999998	3	1.0	0.65	june	noon
175.725	4.413000000000011	4	0.0	0.574	wreath	leap
180.138	3.008999999999986	5	1.0	0.572	n/a	/BLUEbox.bmp
183.147	4.413000000000011	6	1.0	0.495	task-Rhyming/perceptual_c.bmp	task-Rhyming/perceptual_d.bmp
187.56	4.413000000000011	2	0.0	0.608	glove	stove
191.973	4.814999999999998	1	1.0	0.479	numb	crumb
196.788	4.813999999999993	2	0.0	0.648	stood	flood
201.602	4.4129999999999825	6	1.0	0.583	task-Rhyming/perceptual_i.bmp	task-Rhyming/perceptual_j.bmp
206.015	4.815000000000026	4	0.0	0.672	smart	drought
210.83	4.4129999999999825	3	1.0	0.589	stir	blur
215.243	3.4099999999999966	5	1.0	0.482	n/a	/BLUEbox.bmp
218.653	3.811000000000007	5	1.0	0.43	n/a	/BLUEbox.bmp
222.464	4.814999999999998	2	0.0	0.606	pool	wool
227.279	3.0090000000000146	5	1.0	0.452	n/a	/BLUEbox.bmp
230.288	3.4099999999999966	5	1.0	0.406	n/a	/BLUEbox.bmp
233.698	4.4129999999999825	2	0.0	0.778	fought	drought
238.111	4.0120000000000005	3	1.0	1.148	flight	spite
242.123	4.413000000000011	3	1.0	0.593	scheme	cream
246.536	4.0120000000000005	6	0.0	0.702	task-Rhyming/perceptual_z.bmp	task-Rhyming/perceptual_g.bmp
250.548	4.814999999999998	4	0.0	0.642	ghost	pose
255.363	3.410000000000025	5	1.0	0.542	n/a	/BLUEbox.bmp
258.773	4.0120000000000005	4	0.0	0.754	grace	fence
262.785	4.0120000000000005	4	0.0	0.602	dried	stood
266.797	4.0120000000000005	4	0.0	0.647	ford	rod
270.809	4.412999999999954	1	1.0	0.559	strap	gap
275.222	4.814000000000021	6	1.0	0.622	task-Rhyming/perceptual_e.bmp	task-Rhyming/perceptual_f.bmp
280.036	3.0090000000000146	5	1.0	0.537	n/a	/BLUEbox.bmp
283.045	4.0120000000000005	4	0.0	0.562	gross	post
287.057	4.0120000000000005	4	0.0	0.661	fault	note
291.069	4.814999999999998	1	1.0	0.513	bull	full
295.884	4.8139999999999645	3	0.0	0.587	chase	grace
300.698	4.0120000000000005	3	1.0	0.634	float	note
304.71	4.814999999999998	3	1.0	0.972	bride	dried
309.525	4.814000000000021	4	0.0	1.04	thief	plead
314.339	4.413000000000011	1	1.0	0.537	bluff	puff
318.752	4.8139999999999645	6	1.0	0.78	task-Rhyming/perceptual_v.bmp	task-Rhyming/perceptual_w.bmp
323.566	4.814999999999998	1	1.0	0.598	shove	glove
328.381	4.413000000000011	6	0.0	1.072	task-Rhyming/perceptual_y.bmp	task-Rhyming/perceptual_o.bmp
332.794	4.814000000000021	2	0.0	0.629	stamp	swamp
337.608	4.413999999999987	4	0.0	0.765	stamp	tomb
342.022	3.0	5	1.0	0.617	n/a	/BLUEbox.bmp
