onset	duration	stim+AF8-file
252	2	pRF+AF8-stimuli.mat
254	2	pRF+AF8-stimuli.mat
256	2	pRF+AF8-stimuli.mat
258	2	pRF+AF8-stimuli.mat
260	2	pRF+AF8-stimuli.mat
262	2	pRF+AF8-stimuli.mat
264	2	pRF+AF8-stimuli.mat
266	2	pRF+AF8-stimuli.mat
274	2	pRF+AF8-stimuli.mat
276	2	pRF+AF8-stimuli.mat
278	2	pRF+AF8-stimuli.mat
280	2	pRF+AF8-stimuli.mat
282	2	pRF+AF8-stimuli.mat
284	2	pRF+AF8-stimuli.mat
286	2	pRF+AF8-stimuli.mat
288	2	pRF+AF8-stimuli.mat
290	2	pRF+AF8-stimuli.mat
292	2	pRF+AF8-stimuli.mat
294	2	pRF+AF8-stimuli.mat
296	2	pRF+AF8-stimuli.mat
298	2	pRF+AF8-stimuli.mat
300	2	pRF+AF8-stimuli.mat
302	2	pRF+AF8-stimuli.mat
304	2	pRF+AF8-stimuli.mat
306	2	pRF+AF8-stimuli.mat
308	2	pRF+AF8-stimuli.mat
316	2	pRF+AF8-stimuli.mat
318	2	pRF+AF8-stimuli.mat
320	2	pRF+AF8-stimuli.mat
322	2	pRF+AF8-stimuli.mat
324	2	pRF+AF8-stimuli.mat
326	2	pRF+AF8-stimuli.mat
328	2	pRF+AF8-stimuli.mat
330	2	pRF+AF8-stimuli.mat
332	2	pRF+AF8-stimuli.mat
334	2	pRF+AF8-stimuli.mat
336	2	pRF+AF8-stimuli.mat
338	2	pRF+AF8-stimuli.mat
340	2	pRF+AF8-stimuli.mat
342	2	pRF+AF8-stimuli.mat
344	2	pRF+AF8-stimuli.mat
346	2	pRF+AF8-stimuli.mat
348	2	pRF+AF8-stimuli.mat
350	2	pRF+AF8-stimuli.mat
358	2	pRF+AF8-stimuli.mat
360	2	pRF+AF8-stimuli.mat
362	2	pRF+AF8-stimuli.mat
364	2	pRF+AF8-stimuli.mat
366	2	pRF+AF8-stimuli.mat
368	2	pRF+AF8-stimuli.mat
370	2	pRF+AF8-stimuli.mat
372	2	pRF+AF8-stimuli.mat
374	2	pRF+AF8-stimuli.mat
376	2	pRF+AF8-stimuli.mat
378	2	pRF+AF8-stimuli.mat
380	2	pRF+AF8-stimuli.mat
382	2	pRF+AF8-stimuli.mat
384	2	pRF+AF8-stimuli.mat
386	2	pRF+AF8-stimuli.mat
388	2	pRF+AF8-stimuli.mat
