onset	duration	value	event	stim_file
62634	0	63	white/neutral/standard/3	SHINEd_008_y_m_n_b.jpg
62719	0	20	cross/white	n/a
63230	0	64	white/neutral/standard/4	SHINEd_008_y_m_n_b.jpg
63363	0	20	cross/white	n/a
63881	0	65	white/neutral/standard/5	SHINEd_008_y_m_n_b.jpg
63965	0	20	cross/white	n/a
64453	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
64543	0	20	cross/white	n/a
65037	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
65139	0	20	cross/white	n/a
65645	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
65747	0	20	cross/white	n/a
66241	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
66332	0	20	cross/white	n/a
66807	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
66892	0	20	cross/white	n/a
67391	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
67506	0	20	cross/white	n/a
68042	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
68150	0	20	cross/white	n/a
68650	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
68746	0	20	cross/white	n/a
69246	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
69343	0	20	cross/white	n/a
69848	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
69957	0	20	cross/white	n/a
70475	0	23	white/angry/standard/3	SHINEd_010_y_f_a_a.jpg
70589	0	20	cross/white	n/a
71119	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
71233	0	20	cross/white	n/a
71763	0	15	red/angry/standard/5	SHINEd_010_y_f_a_a.jpg
71884	0	20	cross/white	n/a
71956	0	111	button_press	n/a
72402	0	26	white/angry/standard/6	SHINEd_010_y_f_a_a.jpg
72504	0	20	cross/white	n/a
73022	0	27	white/angry/standard/7	SHINEd_010_y_f_a_a.jpg
73136	0	20	cross/white	n/a
73678	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
73799	0	20	cross/white	n/a
74323	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
74425	0	20	cross/white	n/a
74931	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
75033	0	20	cross/white	n/a
75521	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
75611	0	20	cross/white	n/a
76093	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
76189	0	20	cross/white	n/a
76671	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
76755	0	20	cross/white	n/a
77279	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
77406	0	20	cross/white	n/a
77936	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
78044	0	20	cross/white	n/a
78550	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
