onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
399.73	n/a	199865	dot_no3_ON	13	n/a	n/a	8
400.318	n/a	200159	dot_no3_OFF	23	n/a	n/a	8
401.64	n/a	200820	dot_no8_ON	18	n/a	n/a	8
402.228	n/a	201114	dot_no8_OFF	28	n/a	n/a	8
403.55	n/a	201775	dot_no5_ON	15	n/a	n/a	8
404.138	n/a	202069	dot_no5_OFF	25	n/a	n/a	8
405.46	n/a	202730	dot_no2_ON	12	n/a	n/a	8
406.048	n/a	203024	dot_no2_OFF	22	n/a	n/a	8
407.37	n/a	203685	dot_no7_ON	17	n/a	n/a	8
407.958	n/a	203979	dot_no7_OFF	27	1-5-4-2-7-5-1-8-6-7	1-6-4-2-7-3-8-5-2-7	8
440.882	n/a	220441	learningBlock_5	35	n/a	n/a	8
440.89	n/a	220445	dot_no1_ON	11	n/a	n/a	8
441.478	n/a	220739	dot_no1_OFF	21	n/a	n/a	8
442.8	n/a	221400	dot_no6_ON	16	n/a	n/a	8
443.39	n/a	221695	dot_no6_OFF	26	n/a	n/a	8
444.71	n/a	222355	dot_no4_ON	14	n/a	n/a	8
445.298	n/a	222649	dot_no4_OFF	24	n/a	n/a	8
446.62	n/a	223310	dot_no2_ON	12	n/a	n/a	8
447.208	n/a	223604	dot_no2_OFF	22	n/a	n/a	8
448.53	n/a	224265	dot_no7_ON	17	n/a	n/a	8
449.118	n/a	224559	dot_no7_OFF	27	n/a	n/a	8
450.44	n/a	225220	dot_no3_ON	13	n/a	n/a	8
451.028	n/a	225514	dot_no3_OFF	23	n/a	n/a	8
452.35	n/a	226175	dot_no8_ON	18	n/a	n/a	8
452.938	n/a	226469	dot_no8_OFF	28	n/a	n/a	8
454.26	n/a	227130	dot_no5_ON	15	n/a	n/a	8
454.85	n/a	227425	dot_no5_OFF	25	n/a	n/a	8
456.17	n/a	228085	dot_no2_ON	12	n/a	n/a	8
456.76	n/a	228380	dot_no2_OFF	22	n/a	n/a	8
458.08	n/a	229040	dot_no7_ON	17	n/a	n/a	8
458.668	n/a	229334	dot_no7_OFF	27	1-3-5-2-4-1-8-6-3-7	1-6-4-2-7-3-8-5-2-7	8
516.87	n/a	258435	seqLearning_stop	50	n/a	n/a	8
517.608	n/a	258804	break cnt	break cnt	n/a	n/a	8
517.609	n/a	258804.5	boundary	boundary	n/a	n/a	8
