onset	duration	trial_type	catch_trial	trial_phase	XDAT	stim_dot_position	score	score_txt	latency_to_first_saccade
174.0	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
175.5	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	2	ERROR_CORRECTED	0.4
181.5	1.5	NEUTRAL	NONCATCH	CUE	165	n/a	n/a	n/a	n/a
183.0	1.5	NEUTRAL	NONCATCH	PREP	165	n/a	n/a	n/a	n/a
184.5	1.5	NEUTRAL	NONCATCH	RESPONSE	165	532	-1	DROP	-0.001
187.5	1.5	REWARD	NONCATCH	CUE	183	n/a	n/a	n/a	n/a
189.0	1.5	REWARD	NONCATCH	PREP	183	n/a	n/a	n/a	n/a
190.5	1.5	REWARD	NONCATCH	RESPONSE	183	214	1	CORRECT	0.433
193.5	1.5	NEUTRAL	NONCATCH	CUE	164	n/a	n/a	n/a	n/a
195.0	1.5	NEUTRAL	NONCATCH	PREP	164	n/a	n/a	n/a	n/a
196.5	1.5	NEUTRAL	NONCATCH	RESPONSE	164	426	1	CORRECT	0.15
199.5	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
202.5	1.5	NEUTRAL	NONCATCH	CUE	163	n/a	n/a	n/a	n/a
204.0	1.5	NEUTRAL	NONCATCH	PREP	163	n/a	n/a	n/a	n/a
205.5	1.5	NEUTRAL	NONCATCH	RESPONSE	163	214	0	INCORRECT	0.467
208.5	1.5	REWARD	NONCATCH	CUE	184	n/a	n/a	n/a	n/a
210.0	1.5	REWARD	NONCATCH	PREP	184	n/a	n/a	n/a	n/a
211.5	1.5	REWARD	NONCATCH	RESPONSE	184	426	1	CORRECT	0.383
214.5	1.5	REWARD	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
216.0	1.5	REWARD	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
222.0	1.5	REWARD	NONCATCH	CUE	182	n/a	n/a	n/a	n/a
223.5	1.5	REWARD	NONCATCH	PREP	182	n/a	n/a	n/a	n/a
225.0	1.5	REWARD	NONCATCH	RESPONSE	182	108	1	CORRECT	0.567
241.5	1.5	NEUTRAL	NONCATCH	CUE	166	n/a	n/a	n/a	n/a
243.0	1.5	NEUTRAL	NONCATCH	PREP	166	n/a	n/a	n/a	n/a
244.5	1.5	NEUTRAL	NONCATCH	RESPONSE	166	633	1	CORRECT	0.5
252.0	1.5	REWARD	NONCATCH	CUE	182	n/a	n/a	n/a	n/a
253.5	1.5	REWARD	NONCATCH	PREP	182	n/a	n/a	n/a	n/a
255.0	1.5	REWARD	NONCATCH	RESPONSE	182	108	2	ERROR_CORRECTED	0.367
258.0	1.5	NEUTRAL	CATCH1	CUE	n/a	n/a	n/a	n/a	n/a
259.5	1.5	NEUTRAL	CATCH1	PREP	n/a	n/a	n/a	n/a	n/a
262.5	1.5	REWARD	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
265.5	1.5	REWARD	NONCATCH	CUE	186	n/a	n/a	n/a	n/a
267.0	1.5	REWARD	NONCATCH	PREP	186	n/a	n/a	n/a	n/a
268.5	1.5	REWARD	NONCATCH	RESPONSE	186	633	1	CORRECT	0.433
271.5	1.5	REWARD	NONCATCH	CUE	181	n/a	n/a	n/a	n/a
273.0	1.5	REWARD	NONCATCH	PREP	181	n/a	n/a	n/a	n/a
274.5	1.5	REWARD	NONCATCH	RESPONSE	181	7	0	INCORRECT	0.283
277.5	1.5	NEUTRAL	CATCH2	CUE	n/a	n/a	n/a	n/a	n/a
