onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
375.828191	4.435075	ITI	21	neutral	39.830508	60.169492
380.391967	1.432207	trialstart	22	neutral	35.593220	67.796610
383.900060	3.380219	liking	22	neutral	35.593220	67.796610
383.900060	4.123803	intensity	22	neutral	35.593220	67.796610
394.356394	3.937500	ITI	22	neutral	35.593220	67.796610
398.398059	1.417306	trialstart	23	neutral	46.610169	39.830508
401.913096	2.949813	liking	23	neutral	46.610169	39.830508
401.913096	2.739723	intensity	23	neutral	46.610169	39.830508
410.541809	5.743273	ITI	23	neutral	46.610169	39.830508
416.404259	1.417299	trialstart	24	neutral	53.389831	41.525424
419.916453	3.820827	liking	24	neutral	53.389831	41.525424
419.916453	3.338710	intensity	24	neutral	53.389831	41.525424
430.013055	4.278227	ITI	24	neutral	53.389831	41.525424
434.410450	1.420376	trialstart	25	chocolate	78.813559	62.711864
437.921970	3.093487	liking	25	chocolate	78.813559	62.711864
437.921970	1.732173	intensity	25	chocolate	78.813559	62.711864
445.688500	6.612051	ITI	25	chocolate	78.813559	62.711864
452.416678	1.421883	trialstart	26	chocolate	73.728814	61.864407
455.927317	1.823519	liking	26	chocolate	73.728814	61.864407
455.927317	1.748039	intensity	26	chocolate	73.728814	61.864407
462.241848	8.066473	ITI	26	chocolate	73.728814	61.864407
