onset	duration	Scoring1
17741.0000006855	30	4
17771.0000006855	30	4
17801.0000006855	30	3
17831.0000006855	30	4
17861.0000006855	30	4
17891.0000006855	30	4
17921.0000006855	30	4
17951.0000006855	30	4
17981.0000006855	30	4
18011.0000006855	30	4
18041.0000006855	30	4
18071.0000006855	30	4
18101.0000006855	30	4
18131.0000006855	30	4
18161.0000006855	30	4
18191.0000006855	30	4
18221.0000006855	30	4
18251.0000006855	30	4
18281.0000006855	30	4
18311.0000006855	30	4
18341.0000006855	30	4
18371.0000006855	30	4
18401.0000006855	30	4
18431.0000006855	30	4
18461.0000006855	30	4
18491.0000006855	30	4
18521.0000006855	30	4
18551.0000006855	30	4
18581.0000006855	30	4
18611.0000006855	30	4
18641.0000006855	30	4
18671.0000006855	30	4
18701.0000006855	30	4
18731.0000006855	30	5
18761.0000006855	30	5
18791.0000006855	30	5
18821.0000006855	30	5
18851.0000006855	30	5
18881.0000006855	30	5
18911.0000006855	30	5
18941.0000006855	30	5
18971.0000006855	30	5
19001.0000006855	30	5
19031.0000006855	30	5
19061.0000006855	30	5
19091.0000006855	30	5
19121.0000006855	30	5
19151.0000006855	30	5
19181.0000006855	30	5
19211.0000006855	30	5
19241.0000006855	30	5
19271.0000006855	30	5
19301.0000006855	30	5
19331.0000006855	30	5
19361.0000006855	30	5
19391.0000006855	30	5
19421.0000006855	30	5
19451.0000006855	30	5
19481.0000006855	30	5
19511.0000006855	30	5
19541.0000006855	30	5
19571.0000006855	30	5
19601.0000006855	30	5
19631.0000006855	30	5
19661.0000006855	30	5
19691.0000006855	30	5
19721.0000006855	30	5
19751.0000006855	30	5
19781.0000006855	30	5
19811.0000006855	30	5
19841.0000006855	30	3
19871.0000006855	30	3
19901.0000006855	30	3
19931.0000006855	30	3
19961.0000006855	30	4
19991.0000006855	30	4
20021.0000006855	30	4
20051.0000006855	30	4
20081.0000006855	30	4
20111.0000006855	30	4
20141.0000006855	30	4
20171.0000006855	30	4
20201.0000006855	30	4
20231.0000006855	30	4
20261.0000006855	30	4
20291.0000006855	30	4
20321.0000006855	30	4
20351.0000006855	30	4
20381.0000006855	30	3
20411.0000006855	30	4
20441.0000006855	30	4
20471.0000006855	30	4
20501.0000006855	30	4
20531.0000006855	30	4
20561.0000006855	30	4
20591.0000006855	30	4
20621.0000006855	30	4
20651.0000006855	30	4
20681.0000006855	30	3
20711.0000006855	30	4
20741.0000006855	30	4
20771.0000006855	30	4
20801.0000006855	30	4
20831.0000006855	30	4
20861.0000006855	30	4
20891.0000006855	30	4
20921.0000006855	30	4
20951.0000006855	30	4
20981.0000006855	30	4
21011.0000006855	30	4
21041.0000006855	30	4
21071.0000006855	30	4
21101.0000006855	30	4
21131.0000006855	30	4
21161.0000006855	30	4
21191.0000006855	30	4
21221.0000006855	30	4
21251.0000006855	30	4
21281.0000006855	30	4
21311.0000006855	30	4
21341.0000006855	30	4
21371.0000006855	30	3
21401.0000006855	30	2
21431.0000006855	30	2
21461.0000006855	30	2
21491.0000006855	30	2
21521.0000006855	30	2
21551.0000006855	30	2
21581.0000006855	30	2
21611.0000006855	30	2
21641.0000006855	30	2
21671.0000006855	30	1
21701.0000006855	30	3
21731.0000006855	30	2
21761.0000006855	30	2
21791.0000006855	30	2
21821.0000006855	30	2
21851.0000006855	30	2
21881.0000006855	30	2
21911.0000006855	30	2
21941.0000006855	30	2
21971.0000006855	30	2
22001.0000006855	30	2
22031.0000006855	30	2
22061.0000006855	30	2
22091.0000006855	30	2
22121.0000006855	30	2
22151.0000006855	30	2
22181.0000006855	30	2
22211.0000006855	30	2
22241.0000006855	30	1
22271.0000006855	30	3
22301.0000006855	30	3
22331.0000006855	30	2
22361.0000006855	30	2
22391.0000006855	30	2
22421.0000006855	30	2
22451.0000006855	30	2
22481.0000006855	30	3
22511.0000006855	30	2
22541.0000006855	30	2
22571.0000006855	30	2
22601.0000006855	30	2
22631.0000006855	30	2
22661.0000006855	30	2
22691.0000006855	30	2
22721.0000006855	30	2
22751.0000006855	30	2
22781.0000006855	30	2
22811.0000006855	30	2
22841.0000006855	30	2
22871.0000006855	30	2
22901.0000006855	30	4
22931.0000006855	30	7
22961.0000006855	30	3
22991.0000006855	30	4
