onset	duration	trial_type	response
183.6326	3.0227	cross	other
188.1552	1.5226	response	hit
189.6778	1.5226	blank2	other
191.217	0.4226	cross	other
191.7396	1.5226	6_letters_same	other
193.2622	3.0227	cross	other
197.7848	1.5226	response	hit
199.3074	2.0226	blank2	other
201.3467	0.4227	cross	other
201.8694	1.5226	4_letters_different	other
203.392	3.0227	cross	other
207.9146	1.5226	response	hit
209.4372	3.0226	blank2	other
212.4765	0.4226	cross	other
212.9991	1.5226	6_letters_same	other
214.5217	3.0227	cross	other
219.0444	1.5226	response	hit
220.5669	4.0226	blank2	other
224.6062	0.4226	cross	other
225.1288	1.5226	2_letters_different	other
226.6514	3.0227	cross	other
231.174	1.5226	response	hit
232.6966	2.5226	blank2	other
235.2359	0.4226	cross	other
235.7418	1.5226	4_letters_same	other
237.2644	3.0227	cross	other
241.787	1.5226	response	hit
243.3096	1.0226	blank2	other
244.3488	0.4226	cross	other
244.8715	1.5226	6_letters_different	other
246.3941	3.0227	cross	other
250.9167	1.5226	response	hit
252.4392	1.5226	blank2	other
253.9785	0.4226	cross	other
254.5012	1.5226	2_letters_same	other
256.0237	3.0228	cross	other
260.5463	1.5226	response	hit
262.0689	6.0226	blank2	other
268.1082	0.4226	cross	other
268.6308	1.5226	4_letters_same	other
270.1534	3.0227	cross	other
274.676	1.5226	response	hit
276.1985	4.0226	blank2	other
280.2378	0.4226	cross	other
280.7604	1.5226	4_letters_different	other
282.283	3.0227	cross	other
286.8056	1.5226	response	hit
288.3282	1.5226	blank2	other
289.8675	0.4226	cross	other
290.3901	1.5226	2_letters_same	other
291.9127	3.0227	cross	other
296.4353	1.5226	response	hit
297.9578	5.0226	blank2	other
302.9971	0.4227	cross	other
303.5198	1.5226	6_letters_different	other
305.0424	3.0227	cross	other
309.565	1.5226	response	hit
311.0876	1.0226	blank2	other
312.1268	0.4226	cross	other
312.6495	1.5226	4_letters_same	other
314.172	3.0227	cross	other
318.6946	1.5226	response	hit
320.2172	3.0226	blank2	other
323.2564	0.4226	cross	other
323.7791	1.5227	2_letters_same	other
325.3017	3.0227	cross	other
329.8243	1.5226	response	hit
331.3469	6.0226	blank2	other
337.3862	0.4226	cross	other
337.8921	1.5226	2_letters_same	other
339.4147	3.0227	cross	other
343.9373	1.5226	response	hit
345.4599	3.0226	blank2	other
348.4992	0.4226	cross	other
349.0218	1.5226	2_letters_same	other
350.5444	3.0227	cross	other
355.0671	1.5226	response	hit
356.5896	1.5226	blank2	other
358.1289	0.4226	cross	other
358.6515	1.5226	4_letters_different	other
360.1741	3.0227	cross	other
364.6967	1.5226	response	hit
366.2193	5.5226	blank2	other
371.7586	0.4226	cross	other
372.2812	1.5226	4_letters_different	other
373.8038	3.0227	cross	other
378.3264	1.5226	response	hit
379.849	4.0227	blank2	other
383.8884	0.4227	cross	other
384.411	1.5226	6_letters_different	other
385.9337	3.0227	cross	other
390.4563	1.5226	response	hit
391.9788	4.0226	blank2	other
396.0181	0.4226	cross	other
396.5408	1.5226	4_letters_same	other
398.0633	3.0227	cross	other
402.586	1.5226	response	hit
404.1086	1.5226	blank2	other
