onset	duration	sample	value	event_code	user_answer	correct_answer	target_count
157.84	n/a	78920	dot_no5_OFF	25	n/a	n/a	8
159.16	n/a	79580	dot_no2_ON	12	n/a	n/a	8
159.74	n/a	79870	dot_no2_OFF	22	n/a	n/a	8
161.06	n/a	80530	dot_no7_ON	17	n/a	n/a	8
161.64	n/a	80820	dot_no7_OFF	27	1-6-4-2-5-8-3-7-5-7	1-6-4-2-7-3-8-5-2-7	8
191.492	n/a	95746	learningBlock_4	34	n/a	n/a	8
191.5	n/a	95750	dot_no1_ON	11	n/a	n/a	8
192.082	n/a	96041	dot_no1_OFF	21	n/a	n/a	8
193.402	n/a	96701	dot_no6_ON	16	n/a	n/a	8
193.982	n/a	96991	dot_no6_OFF	26	n/a	n/a	8
195.302	n/a	97651	dot_no4_ON	14	n/a	n/a	8
195.882	n/a	97941	dot_no4_OFF	24	n/a	n/a	8
197.202	n/a	98601	dot_no2_ON	12	n/a	n/a	8
197.792	n/a	98896	dot_no2_OFF	22	n/a	n/a	8
199.112	n/a	99556	dot_no7_ON	17	n/a	n/a	8
199.692	n/a	99846	dot_no7_OFF	27	n/a	n/a	8
201.012	n/a	100506	dot_no3_ON	13	n/a	n/a	8
201.592	n/a	100796	dot_no3_OFF	23	n/a	n/a	8
202.912	n/a	101456	dot_no8_ON	18	n/a	n/a	8
203.492	n/a	101746	dot_no8_OFF	28	n/a	n/a	8
204.812	n/a	102406	dot_no5_ON	15	n/a	n/a	8
205.402	n/a	102701	dot_no5_OFF	25	n/a	n/a	8
206.722	n/a	103361	dot_no2_ON	12	n/a	n/a	8
207.302	n/a	103651	dot_no2_OFF	22	n/a	n/a	8
208.622	n/a	104311	dot_no7_ON	17	n/a	n/a	8
209.202	n/a	104601	dot_no7_OFF	27	1-6-4-7-2-8-3-5-2-7	1-6-4-2-7-3-8-5-2-7	8
227.144	n/a	113572	learningBlock_5	35	n/a	n/a	8
227.152	n/a	113576	dot_no1_ON	11	n/a	n/a	8
227.732	n/a	113866	dot_no1_OFF	21	n/a	n/a	8
229.052	n/a	114526	dot_no6_ON	16	n/a	n/a	8
229.632	n/a	114816	dot_no6_OFF	26	n/a	n/a	8
230.952	n/a	115476	dot_no4_ON	14	n/a	n/a	8
231.532	n/a	115766	dot_no4_OFF	24	n/a	n/a	8
232.852	n/a	116426	dot_no2_ON	12	n/a	n/a	8
233.432	n/a	116716	dot_no2_OFF	22	n/a	n/a	8
234.752	n/a	117376	dot_no7_ON	17	n/a	n/a	8
235.332	n/a	117666	dot_no7_OFF	27	n/a	n/a	8
236.652	n/a	118326	dot_no3_ON	13	n/a	n/a	8
237.232	n/a	118616	dot_no3_OFF	23	n/a	n/a	8
238.552	n/a	119276	dot_no8_ON	18	n/a	n/a	8
239.132	n/a	119566	dot_no8_OFF	28	n/a	n/a	8
240.452	n/a	120226	dot_no5_ON	15	n/a	n/a	8
241.032	n/a	120516	dot_no5_OFF	25	n/a	n/a	8
242.352	n/a	121176	dot_no2_ON	12	n/a	n/a	8
242.932	n/a	121466	dot_no2_OFF	22	n/a	n/a	8
244.252	n/a	122126	dot_no7_ON	17	n/a	n/a	8
244.842	n/a	122421	dot_no7_OFF	27	1-6-4-2-7-3-8-5-7-1	1-6-4-2-7-3-8-5-2-7	8
268.286	n/a	134143	seqLearning_stop	50	n/a	n/a	8
271.177	n/a	135588.5	boundary	boundary	n/a	n/a	8
