onset	duration	trial_phase	trial	condition	n_grips	rewarded_response	phase
841.873857	8.800804	trialstart	34	Baseline	16	0	PIT
850.717736	11.699196	ITI	34	Baseline	16	0	PIT
862.417042	8.800943	trialstart	35	Baseline	14	0	PIT
871.260679	11.199057	ITI	35	Baseline	14	0	PIT
882.459840	8.801592	trialstart	36	Baseline	15	0	PIT
891.303761	10.698408	ITI	36	Baseline	15	0	PIT
902.018486	8.802707	trialstart	37	CSplus	16	0	PIT
910.863721	10.697293	ITI	37	CSplus	16	0	PIT
921.561093	8.786223	trialstart	38	CSplus	16	0	PIT
930.390284	11.713777	ITI	38	CSplus	16	0	PIT
942.104141	8.786541	trialstart	39	CSplus	17	0	PIT
950.933206	11.213459	ITI	39	CSplus	17	0	PIT
962.154122	8.796569	trialstart	40	CSminus	17	0	PIT
970.992962	10.703431	ITI	40	CSminus	17	0	PIT
981.696469	8.797048	trialstart	41	CSminus	15	0	PIT
990.536195	11.702952	ITI	41	CSminus	15	0	PIT
1002.239254	8.796162	trialstart	42	CSminus	14	0	PIT
1011.079128	11.203838	ITI	42	CSminus	14	0	PIT
1022.290078	8.788566	trialstart	43	Baseline	14	0	PIT
1031.122206	10.711434	ITI	43	Baseline	14	0	PIT
1041.833723	8.789717	trialstart	44	Baseline	15	0	PIT
1050.665525	11.710283	ITI	44	Baseline	15	0	PIT
1062.375887	8.789449	trialstart	45	Baseline	18	0	PIT
1071.208421	11.210551	ITI	45	Baseline	18	0	PIT
