onset	duration	trial_phase	trial	condition	perceived_liking	perceived_intensity
344.343657	2.428829	trialstart	20	chocolate	79.661017	50.000000
350.597612	1.702979	liking	20	chocolate	79.661017	50.000000
352.800538	0.706107	intensity	20	chocolate	79.661017	50.000000
353.506645	8.735728	ITI	20	chocolate	79.661017	50.000000
362.349153	2.428819	trialstart	21	chocolate	73.728814	44.915254
368.804466	2.343213	liking	21	chocolate	73.728814	44.915254
371.647621	4.103629	intensity	21	chocolate	73.728814	44.915254
375.751250	4.496611	ITI	21	chocolate	73.728814	44.915254
380.354171	2.428835	trialstart	22	neutral	36.440678	58.474576
386.612487	2.630410	liking	22	neutral	36.440678	58.474576
389.742842	3.172847	intensity	22	neutral	36.440678	58.474576
392.915689	5.337205	ITI	22	neutral	36.440678	58.474576
398.359252	2.428798	trialstart	23	neutral	45.762712	50.000000
404.819315	0.854968	liking	23	neutral	45.762712	50.000000
406.174227	1.622152	intensity	23	neutral	45.762712	50.000000
407.796379	8.461564	ITI	23	neutral	45.762712	50.000000
416.364326	2.428825	trialstart	24	neutral	44.067797	50.000000
422.826112	3.752624	liking	24	neutral	44.067797	50.000000
427.078679	3.484510	intensity	24	neutral	44.067797	50.000000
430.563189	3.699854	ITI	24	neutral	44.067797	50.000000
434.370039	2.428796	trialstart	25	empty	56.779661	19.491525
440.633093	1.433781	liking	25	empty	56.779661	19.491525
442.566785	1.779697	intensity	25	empty	56.779661	19.491525
444.346482	7.922256	ITI	25	empty	56.779661	19.491525
452.375067	2.428949	trialstart	26	empty	50.000000	15.254237
458.622107	0.597213	liking	26	empty	50.000000	15.254237
459.719266	2.192771	intensity	26	empty	50.000000	15.254237
461.912037	8.361862	ITI	26	empty	50.000000	15.254237
470.380160	2.428828	trialstart	27	empty	46.610169	15.254237
476.828799	2.762667	liking	27	empty	46.610169	15.254237
480.091409	4.162537	intensity	27	empty	46.610169	15.254237
484.253946	4.024926	ITI	27	empty	46.610169	15.254237
488.385516	2.428941	trialstart	28	empty	50.000000	12.711864
494.835845	0.568734	liking	28	empty	50.000000	12.711864
495.904521	1.366949	intensity	28	empty	50.000000	12.711864
497.271469	9.012867	ITI	28	empty	50.000000	12.711864
506.391259	2.428736	trialstart	29	empty	50.000000	13.559322
512.842383	1.252987	liking	29	empty	50.000000	13.559322
514.595311	2.195217	intensity	29	empty	50.000000	13.559322
516.790528	7.499362	ITI	29	empty	50.000000	13.559322
524.396379	2.428822	trialstart	30	empty	50.000000	15.254237
530.651308	2.223748	liking	30	empty	50.000000	15.254237
533.375002	2.435547	intensity	30	empty	50.000000	15.254237
535.810549	6.484540	ITI	30	empty	50.000000	15.254237
542.401572	2.428813	trialstart	31	chocolate	84.745763	67.796610
548.658190	2.352406	liking	31	chocolate	84.745763	67.796610
551.510544	0.809621	intensity	31	chocolate	84.745763	67.796610
552.320164	7.980110	ITI	31	chocolate	84.745763	67.796610
560.406708	2.428816	trialstart	32	chocolate	79.661017	50.000000
566.665083	1.699451	liking	32	chocolate	79.661017	50.000000
568.864480	0.463642	intensity	32	chocolate	79.661017	50.000000
569.328122	8.977292	ITI	32	chocolate	79.661017	50.000000
578.412427	2.428835	trialstart	33	chocolate	55.084746	21.186441
584.671971	3.076936	liking	33	chocolate	55.084746	21.186441
588.248827	2.050888	intensity	33	chocolate	55.084746	21.186441
590.299714	6.011442	ITI	33	chocolate	55.084746	21.186441
596.417643	2.428069	trialstart	34	neutral	55.932203	75.423729
602.678434	2.882980	liking	34	neutral	55.932203	75.423729
606.061357	4.012463	intensity	34	neutral	55.932203	75.423729
610.073820	4.241786	ITI	34	neutral	55.932203	75.423729
614.422826	2.428863	trialstart	35	neutral	55.932203	58.474576
620.887894	1.570746	liking	35	neutral	55.932203	58.474576
622.958583	1.687135	intensity	35	neutral	55.932203	58.474576
624.645719	7.675859	ITI	35	neutral	55.932203	58.474576
632.428039	2.428824	trialstart	36	neutral	54.237288	50.000000
638.675531	2.527612	liking	36	neutral	54.237288	50.000000
641.703087	2.624758	intensity	36	neutral	54.237288	50.000000
644.327845	5.998912	ITI	36	neutral	54.237288	50.000000
650.433910	2.428950	trialstart	37	chocolate	73.728814	50.000000
656.883676	1.311674	liking	37	chocolate	73.728814	50.000000
658.695293	1.756536	intensity	37	chocolate	73.728814	50.000000
660.451828	7.880928	ITI	37	chocolate	73.728814	50.000000
668.439216	2.428915	trialstart	38	chocolate	76.271186	45.762712
674.692393	2.686730	liking	38	chocolate	76.271186	45.762712
677.879071	0.681030	intensity	38	chocolate	76.271186	45.762712
678.560101	7.777862	ITI	38	chocolate	76.271186	45.762712
686.444573	2.428832	trialstart	39	chocolate	77.966102	54.237288
692.899149	1.713426	liking	39	chocolate	77.966102	54.237288
695.112516	4.589802	intensity	39	chocolate	77.966102	54.237288
699.702318	4.640978	ITI	39	chocolate	77.966102	54.237288
704.449872	2.428874	trialstart	40	empty	50.000000	19.491525
710.707163	2.683302	liking	40	empty	50.000000	19.491525
713.890391	1.591032	intensity	40	empty	50.000000	19.491525
715.481423	6.867186	ITI	40	empty	50.000000	19.491525
722.455616	2.427993	trialstart	41	empty	54.237288	20.338983
728.914180	2.715426	liking	41	empty	54.237288	20.338983
732.129546	1.087489	intensity	41	empty	54.237288	20.338983
733.217035	7.136464	ITI	41	empty	54.237288	20.338983
740.460956	2.428675	trialstart	42	empty	54.237288	16.101695
746.723594	0.983531	liking	42	empty	54.237288	16.101695
748.207069	1.368333	intensity	42	empty	54.237288	16.101695
749.575401	8.784127	ITI	42	empty	54.237288	16.101695
758.466256	2.428820	trialstart	43	neutral	56.779661	77.966102
764.713620	2.793025	liking	43	neutral	56.779661	77.966102
768.006591	1.029327	intensity	43	neutral	56.779661	77.966102
769.035918	7.329049	ITI	43	neutral	56.779661	77.966102
776.471504	2.428827	trialstart	44	neutral	62.711864	61.016949
782.921499	3.768840	liking	44	neutral	62.711864	61.016949
787.190283	6.529758	intensity	44	neutral	62.711864	61.016949
793.720042	0.650101	ITI	44	neutral	62.711864	61.016949
794.477142	2.428877	trialstart	45	neutral	52.542373	27.118644
800.729557	1.999486	liking	45	neutral	52.542373	27.118644
803.228959	1.002445	intensity	45	neutral	52.542373	27.118644
804.231404	8.144508	ITI	45	neutral	52.542373	27.118644
812.482468	2.428834	trialstart	46	chocolate	77.118644	50.000000
818.936352	2.114820	liking	46	chocolate	77.118644	50.000000
821.551117	1.980673	intensity	46	chocolate	77.118644	50.000000
823.531790	6.849405	ITI	46	chocolate	77.118644	50.000000
830.487845	2.428868	trialstart	47	chocolate	79.661017	57.627119
836.945171	2.406333	liking	47	chocolate	79.661017	57.627119
839.851446	0.848813	intensity	47	chocolate	79.661017	57.627119
840.700259	7.686319	ITI	47	chocolate	79.661017	57.627119
848.493283	2.428817	trialstart	48	chocolate	77.118644	46.610169
854.952952	1.627918	liking	48	chocolate	77.118644	46.610169
857.080799	2.479046	intensity	48	chocolate	77.118644	46.610169
859.559845	6.832165	ITI	48	chocolate	77.118644	46.610169
866.499190	2.427945	trialstart	49	empty	53.389831	24.576271
872.761076	1.768203	liking	49	empty	53.389831	24.576271
875.029224	3.354532	intensity	49	empty	53.389831	24.576271
878.383755	6.013277	ITI	49	empty	53.389831	24.576271
884.504621	2.430505	trialstart	50	empty	50.000000	14.406780
890.754172	1.576139	liking	50	empty	50.000000	14.406780
892.830255	2.129508	intensity	50	empty	50.000000	14.406780
894.959763	7.445254	ITI	50	empty	50.000000	14.406780
902.509995	2.428843	trialstart	51	empty	50.000000	12.711864
908.962642	2.446491	liking	51	empty	50.000000	12.711864
911.909074	1.492366	intensity	51	empty	50.000000	12.711864
913.401440	7.007289	ITI	51	empty	50.000000	12.711864
920.529637	2.428809	trialstart	52	neutral	55.932203	73.728814
926.972395	2.760990	liking	52	neutral	55.932203	73.728814
930.233326	1.335971	intensity	52	neutral	55.932203	73.728814
931.569297	6.859040	ITI	52	neutral	55.932203	73.728814
938.535649	2.428800	trialstart	53	neutral	56.779661	78.813559
944.800270	1.789307	liking	53	neutral	56.779661	78.813559
947.089522	2.543570	intensity	53	neutral	56.779661	78.813559
949.633093	6.801249	ITI	53	neutral	56.779661	78.813559
956.541074	2.429461	trialstart	54	neutral	56.779661	38.983051
962.788464	0.993021	liking	54	neutral	56.779661	38.983051
964.281425	1.479776	intensity	54	neutral	56.779661	38.983051
965.761201	8.679237	ITI	54	neutral	56.779661	38.983051
