onset	duration	trial_type	image_number	presented_calories	actual_calories	text	food_rating
127.5	2.5	calorie image	0184.jpg	620	729.3	620 calories	2
130	2.5	calorie image	0483.jpg	350	352	350 calories	1
132.5	2.5	calorie image	0033.jpg	350	348	350 calories	3
137.5	2.5	calorie image	0133.jpg	270	269	270 calories	2
142.5	2.5	calorie image	0481.jpg	480	420	480 calories	4
145	2.5	calorie image	0410.jpg	320	280	320 calories	2
150	2.5	calorie image	0485.jpg	780	779	780 calories	1
152.5	2.5	calorie image	0420.jpg	160	160	160 calories	4
157.5	2.5	calorie image	0414.jpg	770	670	770 calories	2
162.5	2.5	calorie image	0472.jpg	1180	1029	1180 calories	1
165	2.5	calorie image	0014.jpg	360	359.56	360 calories	2
170	2.5	calorie image	0442.jpg	700	820	700 calories	2
172.5	2.5	calorie image	0413.jpg	410	480	410 calories	1
177.5	2.5	calorie image	0002.jpg	910	907	910 calories	1
180	2.5	calorie image	0227.jpg	280	243	280 calories	4
182.5	2.5	calorie image	0073.jpg	560	484	560 calories	2
185	2.5	calorie image	0307.jpg	240	212.5	240 calories	2
192.5	2.5	calorie image	0444.jpg	710	835	710 calories	1
195	2.5	calorie image	0237.jpg	500	500	500 calories	3
197.5	2.5	calorie image	0428.jpg	420	420	420 calories	3
200	2.5	calorie image	0499.jpg	660	570	660 calories	1
207.5	2.5	calorie image	0112.jpg	470	555	470 calories	2
210	2.5	calorie image	0028.jpg	270	235.5	270 calories	3
212.5	2.5	calorie image	0102.jpg	330	391	330 calories	2
215	2.5	calorie image	0293.jpg	80	73	80 calories	4
217.5	2.5	calorie image	0289.jpg	220	259	220 calories	3
222.5	2.5	calorie image	0134.jpg	300	299	300 calories	2
232.5	2.5	calorie image	0012.jpg	460	537.1	460 calories	1
235	2.5	calorie image	0430.jpg	360	420	360 calories	1
237.5	2.5	calorie image	0101.jpg	220	255	220 calories	2
240	2.5	calorie image	0046.jpg	500	435	500 calories	1
242.5	2.5	calorie image	0091.jpg	520	515	520 calories	1
245	2.5	calorie image	0118.jpg	450	445	450 calories	2
250	2.5	calorie image	0424.jpg	650	650	650 calories	1
252.5	2.5	calorie image	0189.jpg	400	345	400 calories	2
257.5	2.5	calorie image	0480.jpg	320	280	320 calories	3
260	2.5	calorie image	0452.jpg	290	340	290 calories	4
262.5	2.5	calorie image	0459.jpg	910	788	910 calories	2
265	2.5	calorie image	0107.jpg	450	450	450 calories	3
267.5	2.5	calorie image	0113.jpg	160	163	160 calories	3
270	2.5	calorie image	0141.jpg	490	430	490 calories	3
275	2.5	calorie image	0115.jpg	680	594	680 calories	2
277.5	2.5	calorie image	0080.jpg	340	343	340 calories	2
280	2.5	calorie image	0162.jpg	610	609	610 calories	2
285	2.5	calorie image	0008.jpg	60	69.4	60 calories	4
290	2.5	calorie image	0297.jpg	60	71	60 calories	4
292.5	2.5	calorie image	0298.jpg	50	53.33	50 calories	3
295	2.5	calorie image	0491.jpg	310	310	310 calories	3
297.5	2.5	calorie image	0010.jpg	350	347.5	350 calories	3
305	2.5	calorie image	0241.jpg	170	147	170 calories	2
307.5	2.5	calorie image	0154.jpg	80	70.4	80 calories	2
315	2.5	calorie image	0150.jpg	240	238.2	240 calories	2
317.5	2.5	calorie image	0467.jpg	440	520	440 calories	4
320	2.5	calorie image	0022.jpg	750	648.9	750 calories	2
325	2.5	calorie image	0498.jpg	1180	1030	1180 calories	1
330	2.5	calorie image	0063.jpg	130	156.8	130 calories	1
335	2.5	calorie image	0043.jpg	110	107	110 calories	2
337.5	2.5	calorie image	0169.jpg	200	231	200 calories	2
340	2.5	calorie image	0478.jpg	450	532	450 calories	3
