onset	duration	trial_idx	condition	day	rep	tested	wordID	picID	word	pic	run	real_onsest	pic_rating	rating_RT	cat_group	exp_phase	rounded_onset
580.1477	4	OLD1_T_17	OLD1_T	O	1	TRUE	word98	face09	qqquieted	qqMadonna_A	1	580.1477	1	2.5361	OFS	D1S	580
590.1499	4	OLD3_T_14	OLD3_T	O	3	TRUE	word75	object23	qqlaunch	qqUmbrella_A	1	590.1499	2	2.1242	OFS	D1S	590
600.1504	4	OLD1_T_16	OLD1_T	O	1	TRUE	word46	face28	qqescape	qqJohnny_Depp_A	1	600.1504	2	2.5842	OFS	D1S	600
610.1405	4	OLD3_T_06	OLD3_T	O	3	TRUE	word133	object02	qqvisit	qqBasket_A	1	610.1405	3	3.275	OFS	D1S	610
620.1445	4	OLD3_T_15	OLD3_T	O	3	TRUE	word51	object11	qqflaunt	qqFrying_Pan_A	1	620.1445	1	1.4718	OFS	D1S	620
630.1478	4	OLD1_T_11	OLD1_T	O	1	TRUE	word05	face10	qqaudit	qqMiley_Cyrus_A	1	630.1478	1	2.2501	OFS	D1S	630
640.1499	4	OLD3_T_03	OLD3_T	O	3	TRUE	word124	object03	qqswipe	qqBasketball_A	1	640.1499	1	1.2158	OFS	D1S	640
650.1496	4	OLD1_T_04	OLD1_T	O	1	TRUE	word90	face14	qqpay	qqSarah_Palin_A	1	650.1496	2	3.7959	OFS	D1S	650
660.1493	4	OLD1_T_01	OLD1_T	O	1	TRUE	word26	face27	qqcrawl	qqJoe_Biden_A	1	660.1493	1	2.3837	OFS	D1S	660
670.1434	4	OLD3_T_11	OLD3_T	O	3	TRUE	word114	object21	qqsnap	qqMug_A	1	670.1434	1	1.5334	OFS	D1S	670
680.1477	4	OLD3_T_12	OLD3_T	O	3	TRUE	word20	object17	qqclimb	qqLighter_A	1	680.1477	1	1.7869	OFS	D1S	680
690.1492	4	OLD3_T_16	OLD3_T	O	3	TRUE	word99	object09	qqrefuse	qqFork_A	1	690.1492	1	1.5428	OFS	D1S	690
700.1532	4	OLD1_T_13	OLD1_T	O	1	TRUE	word68	face08	qqinject	qqLea_Michele_A	1	700.1532	2	2.9818	OFS	D1S	700
710.1484	4	OLD1_T_03	OLD1_T	O	1	TRUE	word07	face29	qqbalance	qqJon_Stewart_A	1	710.1484	1	2.8446	OFS	D1S	710
