onset	duration	trial_type	stim_type	button_press
34.002	0.500	stimulus display	4	n/a
34.123	0.000	button pressed	n/a	v
34.518	0.500	stimulus display	1	n/a
34.651	0.000	button pressed	n/a	b
35.034	0.500	stimulus display	2	n/a
35.338	0.000	button pressed	n/a	g
35.550	0.500	stimulus display	3	n/a
35.794	0.000	button pressed	n/a	f
36.066	0.500	stimulus display	4	n/a
36.259	0.000	button pressed	n/a	v
36.582	0.500	stimulus display	1	n/a
36.690	0.000	button pressed	n/a	b
37.098	0.500	stimulus display	2	n/a
37.419	0.000	button pressed	n/a	g
37.614	0.500	stimulus display	3	n/a
37.978	0.000	button pressed	n/a	f
38.130	0.500	stimulus display	4	n/a
38.546	0.000	button pressed	n/a	v
38.646	0.500	stimulus display	1	n/a
39.026	0.000	button pressed	n/a	b
39.162	0.500	stimulus display	2	n/a
39.570	0.000	button pressed	n/a	g
39.678	0.500	stimulus display	3	n/a
40.074	0.000	button pressed	n/a	f
40.194	0.500	stimulus display	4	n/a
40.578	0.000	button pressed	n/a	v
41.420	30.024	rest block	n/a	n/a
71.444	21.351	active block	n/a	n/a
71.444	0.500	stimulus display	1	n/a
71.960	0.500	stimulus display	2	n/a
72.122	0.000	button pressed	n/a	g
72.476	0.500	stimulus display	3	n/a
72.498	0.000	button pressed	n/a	f
72.992	0.500	stimulus display	4	n/a
73.259	0.000	button pressed	n/a	b
73.508	0.500	stimulus display	1	n/a
73.906	0.000	button pressed	n/a	g
74.024	0.500	stimulus display	2	n/a
74.315	0.000	button pressed	n/a	f
74.540	0.500	stimulus display	3	n/a
74.802	0.000	button pressed	n/a	v
75.056	0.500	stimulus display	4	n/a
75.266	0.000	button pressed	n/a	b
75.572	0.500	stimulus display	1	n/a
75.882	0.000	button pressed	n/a	g
76.088	0.500	stimulus display	2	n/a
76.362	0.000	button pressed	n/a	f
76.604	0.500	stimulus display	3	n/a
76.874	0.000	button pressed	n/a	v
77.120	0.500	stimulus display	4	n/a
77.378	0.000	button pressed	n/a	b
77.636	0.500	stimulus display	1	n/a
77.978	0.000	button pressed	n/a	g
78.152	0.500	stimulus display	2	n/a
78.490	0.000	button pressed	n/a	f
78.668	0.500	stimulus display	3	n/a
79.010	0.000	button pressed	n/a	v
79.184	0.500	stimulus display	4	n/a
79.522	0.000	button pressed	n/a	b
79.700	0.500	stimulus display	1	n/a
80.139	0.000	button pressed	n/a	g
80.216	0.500	stimulus display	2	n/a
80.642	0.000	button pressed	n/a	f
80.732	0.500	stimulus display	3	n/a
81.248	0.500	stimulus display	4	n/a
81.730	0.000	button pressed	n/a	b
81.764	0.500	stimulus display	1	n/a
82.218	0.000	button pressed	n/a	g
82.280	0.500	stimulus display	2	n/a
82.796	0.500	stimulus display	3	n/a
83.312	0.500	stimulus display	4	n/a
83.322	0.000	button pressed	n/a	v
83.828	0.500	stimulus display	1	n/a
83.850	0.000	button pressed	n/a	b
84.344	0.500	stimulus display	2	n/a
84.434	0.000	button pressed	n/a	g
84.860	0.500	stimulus display	3	n/a
84.941	0.000	button pressed	n/a	f
85.376	0.500	stimulus display	4	n/a
85.506	0.000	button pressed	n/a	v
85.892	0.500	stimulus display	1	n/a
86.034	0.000	button pressed	n/a	b
86.408	0.500	stimulus display	2	n/a
86.594	0.000	button pressed	n/a	g
86.924	0.500	stimulus display	3	n/a
87.138	0.000	button pressed	n/a	f
87.440	0.500	stimulus display	4	n/a
87.674	0.000	button pressed	n/a	v
87.956	0.500	stimulus display	1	n/a
88.194	0.000	button pressed	n/a	b
88.472	0.500	stimulus display	2	n/a
88.738	0.000	button pressed	n/a	g
88.988	0.500	stimulus display	3	n/a
89.330	0.000	button pressed	n/a	f
89.504	0.500	stimulus display	4	n/a
89.874	0.000	button pressed	n/a	v
90.020	0.500	stimulus display	1	n/a
90.346	0.000	button pressed	n/a	b
90.536	0.500	stimulus display	2	n/a
90.962	0.000	button pressed	n/a	g
91.052	0.500	stimulus display	3	n/a
91.362	0.000	button pressed	n/a	f
91.568	0.500	stimulus display	4	n/a
91.938	0.000	button pressed	n/a	v
92.795	30.024	rest block	n/a	n/a
122.819	21.351	active block	n/a	n/a
122.819	0.500	stimulus display	1	n/a
123.306	0.000	button pressed	n/a	g
123.335	0.500	stimulus display	2	n/a
123.658	0.000	button pressed	n/a	f
123.851	0.500	stimulus display	3	n/a
124.146	0.000	button pressed	n/a	v
124.367	0.500	stimulus display	4	n/a
124.610	0.000	button pressed	n/a	b
124.883	0.500	stimulus display	1	n/a
125.122	0.000	button pressed	n/a	g
125.399	0.500	stimulus display	2	n/a
125.554	0.000	button pressed	n/a	f
125.915	0.500	stimulus display	3	n/a
126.050	0.000	button pressed	n/a	v
126.431	0.500	stimulus display	4	n/a
126.602	0.000	button pressed	n/a	b
126.947	0.500	stimulus display	1	n/a
127.114	0.000	button pressed	n/a	g
127.463	0.500	stimulus display	2	n/a
127.722	0.000	button pressed	n/a	f
127.979	0.500	stimulus display	3	n/a
128.250	0.000	button pressed	n/a	v
128.495	0.500	stimulus display	4	n/a
128.810	0.000	button pressed	n/a	b
129.011	0.500	stimulus display	1	n/a
129.474	0.000	button pressed	n/a	g
129.527	0.500	stimulus display	2	n/a
129.946	0.000	button pressed	n/a	f
130.043	0.500	stimulus display	3	n/a
130.442	0.000	button pressed	n/a	v
130.559	0.500	stimulus display	4	n/a
130.946	0.000	button pressed	n/a	b
131.075	0.500	stimulus display	1	n/a
131.474	0.000	button pressed	n/a	g
131.591	0.500	stimulus display	2	n/a
132.026	0.000	button pressed	n/a	f
132.107	0.500	stimulus display	3	n/a
132.562	0.000	button pressed	n/a	v
132.623	0.500	stimulus display	4	n/a
133.098	0.000	button pressed	n/a	b
133.139	0.500	stimulus display	1	n/a
133.655	0.500	stimulus display	2	n/a
133.786	0.000	button pressed	n/a	g
134.171	0.500	stimulus display	3	n/a
134.258	0.000	button pressed	n/a	f
134.687	0.500	stimulus display	4	n/a
134.754	0.000	button pressed	n/a	v
135.203	0.500	stimulus display	1	n/a
135.242	0.000	button pressed	n/a	b
135.719	0.500	stimulus display	2	n/a
135.890	0.000	button pressed	n/a	g
136.235	0.500	stimulus display	3	n/a
136.354	0.000	button pressed	n/a	f
136.751	0.500	stimulus display	4	n/a
136.890	0.000	button pressed	n/a	v
137.267	0.500	stimulus display	1	n/a
137.370	0.000	button pressed	n/a	b
137.783	0.500	stimulus display	2	n/a
137.914	0.000	button pressed	n/a	g
138.299	0.500	stimulus display	3	n/a
138.474	0.000	button pressed	n/a	f
138.815	0.500	stimulus display	4	n/a
139.002	0.000	button pressed	n/a	v
139.331	0.500	stimulus display	1	n/a
139.538	0.000	button pressed	n/a	b
139.847	0.500	stimulus display	2	n/a
140.210	0.000	button pressed	n/a	g
140.363	0.500	stimulus display	3	n/a
140.658	0.000	button pressed	n/a	f
140.879	0.500	stimulus display	4	n/a
141.250	0.000	button pressed	n/a	v
141.395	0.500	stimulus display	1	n/a
141.786	0.000	button pressed	n/a	b
141.911	0.500	stimulus display	2	n/a
142.322	0.000	button pressed	n/a	g
142.427	0.500	stimulus display	3	n/a
142.810	0.000	button pressed	n/a	f
142.943	0.500	stimulus display	4	n/a
143.306	0.000	button pressed	n/a	v
144.170	30.024	rest block	n/a	n/a
144.338	0.000	button pressed	n/a	g
174.194	21.350	active block	n/a	n/a
174.194	0.500	stimulus display	1	n/a
174.690	0.000	button pressed	n/a	g
174.710	0.500	stimulus display	2	n/a
175.098	0.000	button pressed	n/a	f
175.226	0.500	stimulus display	3	n/a
175.570	0.000	button pressed	n/a	v
175.742	0.500	stimulus display	4	n/a
176.026	0.000	button pressed	n/a	b
176.258	0.500	stimulus display	1	n/a
176.514	0.000	button pressed	n/a	g
176.774	0.500	stimulus display	2	n/a
176.954	0.000	button pressed	n/a	f
177.290	0.500	stimulus display	3	n/a
177.362	0.000	button pressed	n/a	v
177.806	0.500	stimulus display	4	n/a
178.002	0.000	button pressed	n/a	b
178.322	0.500	stimulus display	1	n/a
178.426	0.000	button pressed	n/a	g
178.838	0.500	stimulus display	2	n/a
179.154	0.000	button pressed	n/a	f
179.354	0.500	stimulus display	3	n/a
179.634	0.000	button pressed	n/a	v
179.870	0.500	stimulus display	4	n/a
180.338	0.000	button pressed	n/a	b
180.386	0.500	stimulus display	1	n/a
180.794	0.000	button pressed	n/a	g
180.902	0.500	stimulus display	2	n/a
181.314	0.000	button pressed	n/a	f
181.418	0.500	stimulus display	3	n/a
181.802	0.000	button pressed	n/a	v
181.934	0.500	stimulus display	4	n/a
182.242	0.000	button pressed	n/a	b
182.450	0.500	stimulus display	1	n/a
182.794	0.000	button pressed	n/a	g
182.966	0.500	stimulus display	2	n/a
183.258	0.000	button pressed	n/a	f
183.482	0.500	stimulus display	3	n/a
183.826	0.000	button pressed	n/a	v
183.998	0.500	stimulus display	4	n/a
184.426	0.000	button pressed	n/a	b
184.514	0.500	stimulus display	1	n/a
184.938	0.000	button pressed	n/a	g
185.030	0.500	stimulus display	2	n/a
185.506	0.000	button pressed	n/a	f
185.546	0.500	stimulus display	3	n/a
186.026	0.000	button pressed	n/a	v
186.062	0.500	stimulus display	4	n/a
186.578	0.500	stimulus display	1	n/a
186.602	0.000	button pressed	n/a	b
187.094	0.500	stimulus display	2	n/a
187.114	0.000	button pressed	n/a	g
187.610	0.500	stimulus display	3	n/a
187.650	0.000	button pressed	n/a	f
188.126	0.500	stimulus display	4	n/a
188.218	0.000	button pressed	n/a	v
188.642	0.500	stimulus display	1	n/a
188.762	0.000	button pressed	n/a	b
189.158	0.500	stimulus display	2	n/a
189.266	0.000	button pressed	n/a	g
189.674	0.500	stimulus display	3	n/a
189.890	0.000	button pressed	n/a	f
190.190	0.500	stimulus display	4	n/a
190.410	0.000	button pressed	n/a	v
190.706	0.500	stimulus display	1	n/a
191.011	0.000	button pressed	n/a	b
191.222	0.500	stimulus display	2	n/a
191.482	0.000	button pressed	n/a	g
191.738	0.500	stimulus display	3	n/a
191.994	0.000	button pressed	n/a	f
192.254	0.500	stimulus display	4	n/a
192.578	0.000	button pressed	n/a	v
192.770	0.500	stimulus display	1	n/a
193.034	0.000	button pressed	n/a	b
193.286	0.500	stimulus display	2	n/a
193.586	0.000	button pressed	n/a	g
193.802	0.500	stimulus display	3	n/a
194.138	0.000	button pressed	n/a	f
194.318	0.500	stimulus display	4	n/a
194.690	0.000	button pressed	n/a	v
195.514	0.000	button pressed	n/a	b
195.544	30.025	rest block	n/a	n/a
225.569	21.350	active block	n/a	n/a
225.569	0.500	stimulus display	1	n/a
226.009	0.000	button pressed	n/a	g
226.085	0.500	stimulus display	2	n/a
226.401	0.000	button pressed	n/a	f
226.601	0.500	stimulus display	3	n/a
226.849	0.000	button pressed	n/a	v
227.117	0.500	stimulus display	4	n/a
227.394	0.000	button pressed	n/a	b
227.633	0.500	stimulus display	1	n/a
227.825	0.000	button pressed	n/a	g
228.149	0.500	stimulus display	2	n/a
228.345	0.000	button pressed	n/a	f
228.665	0.500	stimulus display	3	n/a
228.857	0.000	button pressed	n/a	v
229.181	0.500	stimulus display	4	n/a
229.489	0.000	button pressed	n/a	b
229.697	0.500	stimulus display	1	n/a
229.977	0.000	button pressed	n/a	g
230.213	0.500	stimulus display	2	n/a
230.449	0.000	button pressed	n/a	f
230.729	0.500	stimulus display	3	n/a
231.025	0.000	button pressed	n/a	v
231.245	0.500	stimulus display	4	n/a
231.505	0.000	button pressed	n/a	b
231.761	0.500	stimulus display	1	n/a
232.049	0.000	button pressed	n/a	g
232.277	0.500	stimulus display	2	n/a
232.585	0.000	button pressed	n/a	f
232.793	0.500	stimulus display	3	n/a
233.177	0.000	button pressed	n/a	v
233.309	0.500	stimulus display	4	n/a
233.681	0.000	button pressed	n/a	b
233.825	0.500	stimulus display	1	n/a
234.341	0.500	stimulus display	2	n/a
234.345	0.000	button pressed	n/a	g
234.857	0.500	stimulus display	3	n/a
235.373	0.500	stimulus display	4	n/a
235.417	0.000	button pressed	n/a	v
235.889	0.500	stimulus display	1	n/a
235.913	0.000	button pressed	n/a	b
236.405	0.500	stimulus display	2	n/a
236.433	0.000	button pressed	n/a	g
236.921	0.500	stimulus display	3	n/a
236.946	0.000	button pressed	n/a	f
237.437	0.500	stimulus display	4	n/a
237.457	0.000	button pressed	n/a	v
237.953	0.500	stimulus display	1	n/a
238.129	0.000	button pressed	n/a	b
238.469	0.500	stimulus display	2	n/a
238.681	0.000	button pressed	n/a	g
238.985	0.500	stimulus display	3	n/a
239.169	0.000	button pressed	n/a	f
239.501	0.500	stimulus display	4	n/a
239.665	0.000	button pressed	n/a	v
240.017	0.500	stimulus display	1	n/a
240.217	0.000	button pressed	n/a	b
240.533	0.500	stimulus display	2	n/a
240.745	0.000	button pressed	n/a	g
241.049	0.500	stimulus display	3	n/a
241.257	0.000	button pressed	n/a	f
241.565	0.500	stimulus display	4	n/a
241.817	0.000	button pressed	n/a	v
242.081	0.500	stimulus display	1	n/a
242.497	0.000	button pressed	n/a	b
242.597	0.500	stimulus display	2	n/a
242.945	0.000	button pressed	n/a	g
243.113	0.500	stimulus display	3	n/a
243.417	0.000	button pressed	n/a	f
243.629	0.500	stimulus display	4	n/a
243.945	0.000	button pressed	n/a	v
244.145	0.500	stimulus display	1	n/a
244.441	0.000	button pressed	n/a	b
244.661	0.500	stimulus display	2	n/a
244.945	0.000	button pressed	n/a	g
245.177	0.500	stimulus display	3	n/a
245.537	0.000	button pressed	n/a	f
245.693	0.500	stimulus display	4	n/a
246.057	0.000	button pressed	n/a	v
246.919	30.024	rest block	n/a	n/a
247.097	0.000	button pressed	n/a	g
276.943	21.351	active block	n/a	n/a
276.943	0.500	stimulus display	1	n/a
277.377	0.000	button pressed	n/a	g
277.459	0.500	stimulus display	2	n/a
277.801	0.000	button pressed	n/a	f
277.975	0.500	stimulus display	3	n/a
278.225	0.000	button pressed	n/a	v
278.491	0.500	stimulus display	4	n/a
278.721	0.000	button pressed	n/a	b
279.007	0.500	stimulus display	1	n/a
279.225	0.000	button pressed	n/a	g
279.523	0.500	stimulus display	2	n/a
279.721	0.000	button pressed	n/a	f
280.039	0.500	stimulus display	3	n/a
280.281	0.000	button pressed	n/a	v
280.555	0.500	stimulus display	4	n/a
280.809	0.000	button pressed	n/a	b
281.071	0.500	stimulus display	1	n/a
281.281	0.000	button pressed	n/a	g
281.587	0.500	stimulus display	2	n/a
281.873	0.000	button pressed	n/a	f
282.103	0.500	stimulus display	3	n/a
282.434	0.000	button pressed	n/a	v
282.619	0.500	stimulus display	4	n/a
282.969	0.000	button pressed	n/a	b
283.135	0.500	stimulus display	1	n/a
283.465	0.000	button pressed	n/a	g
283.651	0.500	stimulus display	2	n/a
284.057	0.000	button pressed	n/a	f
284.167	0.500	stimulus display	3	n/a
284.617	0.000	button pressed	n/a	v
284.683	0.500	stimulus display	4	n/a
285.177	0.000	button pressed	n/a	b
285.199	0.500	stimulus display	1	n/a
285.649	0.000	button pressed	n/a	g
285.715	0.500	stimulus display	2	n/a
286.177	0.000	button pressed	n/a	f
286.231	0.500	stimulus display	3	n/a
286.747	0.500	stimulus display	4	n/a
286.785	0.000	button pressed	n/a	v
287.263	0.500	stimulus display	1	n/a
287.273	0.000	button pressed	n/a	b
287.779	0.500	stimulus display	2	n/a
287.825	0.000	button pressed	n/a	g
288.295	0.500	stimulus display	3	n/a
288.385	0.000	button pressed	n/a	f
288.811	0.500	stimulus display	4	n/a
288.857	0.000	button pressed	n/a	v
289.327	0.500	stimulus display	1	n/a
289.417	0.000	button pressed	n/a	b
289.843	0.500	stimulus display	2	n/a
289.993	0.000	button pressed	n/a	g
290.359	0.500	stimulus display	3	n/a
290.465	0.000	button pressed	n/a	f
290.875	0.500	stimulus display	4	n/a
290.977	0.000	button pressed	n/a	v
291.391	0.500	stimulus display	1	n/a
291.489	0.000	button pressed	n/a	b
291.907	0.500	stimulus display	2	n/a
292.081	0.000	button pressed	n/a	g
292.423	0.500	stimulus display	3	n/a
292.577	0.000	button pressed	n/a	f
292.939	0.500	stimulus display	4	n/a
293.137	0.000	button pressed	n/a	v
293.455	0.500	stimulus display	1	n/a
293.657	0.000	button pressed	n/a	b
293.971	0.500	stimulus display	2	n/a
294.209	0.000	button pressed	n/a	g
294.487	0.500	stimulus display	3	n/a
294.729	0.000	button pressed	n/a	f
295.003	0.500	stimulus display	4	n/a
295.273	0.000	button pressed	n/a	v
295.519	0.500	stimulus display	1	n/a
295.778	0.000	button pressed	n/a	b
296.035	0.500	stimulus display	2	n/a
296.403	0.000	button pressed	n/a	g
296.551	0.500	stimulus display	3	n/a
296.897	0.000	button pressed	n/a	f
297.067	0.500	stimulus display	4	n/a
297.441	0.000	button pressed	n/a	v
298.294	30.024	rest block	n/a	n/a
328.318	21.351	active block	n/a	n/a
328.318	0.500	stimulus display	1	n/a
328.834	0.500	stimulus display	2	n/a
329.193	0.000	button pressed	n/a	f
329.350	0.500	stimulus display	3	n/a
329.641	0.000	button pressed	n/a	v
329.866	0.500	stimulus display	4	n/a
330.105	0.000	button pressed	n/a	b
330.382	0.500	stimulus display	1	n/a
330.497	0.000	button pressed	n/a	g
330.898	0.500	stimulus display	2	n/a
331.089	0.000	button pressed	n/a	f
331.414	0.500	stimulus display	3	n/a
331.609	0.000	button pressed	n/a	v
331.930	0.500	stimulus display	4	n/a
332.137	0.000	button pressed	n/a	b
332.446	0.500	stimulus display	1	n/a
332.649	0.000	button pressed	n/a	g
332.962	0.500	stimulus display	2	n/a
333.201	0.000	button pressed	n/a	f
333.478	0.500	stimulus display	3	n/a
333.649	0.000	button pressed	n/a	v
333.994	0.500	stimulus display	4	n/a
334.217	0.000	button pressed	n/a	b
334.510	0.500	stimulus display	1	n/a
334.681	0.000	button pressed	n/a	g
335.026	0.500	stimulus display	2	n/a
335.241	0.000	button pressed	n/a	f
335.542	0.500	stimulus display	3	n/a
335.905	0.000	button pressed	n/a	v
336.058	0.500	stimulus display	4	n/a
336.457	0.000	button pressed	n/a	b
336.574	0.500	stimulus display	1	n/a
336.929	0.000	button pressed	n/a	g
337.090	0.500	stimulus display	2	n/a
337.457	0.000	button pressed	n/a	f
337.606	0.500	stimulus display	3	n/a
338.033	0.000	button pressed	n/a	v
338.122	0.500	stimulus display	4	n/a
338.545	0.000	button pressed	n/a	b
338.638	0.500	stimulus display	1	n/a
339.137	0.000	button pressed	n/a	g
339.154	0.500	stimulus display	2	n/a
339.670	0.500	stimulus display	3	n/a
339.689	0.000	button pressed	n/a	f
340.186	0.500	stimulus display	4	n/a
340.702	0.500	stimulus display	1	n/a
340.737	0.000	button pressed	n/a	b
341.218	0.500	stimulus display	2	n/a
341.257	0.000	button pressed	n/a	g
341.734	0.500	stimulus display	3	n/a
341.825	0.000	button pressed	n/a	f
342.250	0.500	stimulus display	4	n/a
342.401	0.000	button pressed	n/a	v
342.766	0.500	stimulus display	1	n/a
342.897	0.000	button pressed	n/a	b
343.282	0.500	stimulus display	2	n/a
343.401	0.000	button pressed	n/a	g
343.798	0.500	stimulus display	3	n/a
344.017	0.000	button pressed	n/a	f
344.314	0.500	stimulus display	4	n/a
344.521	0.000	button pressed	n/a	v
344.830	0.500	stimulus display	1	n/a
344.969	0.000	button pressed	n/a	b
345.346	0.500	stimulus display	2	n/a
345.537	0.000	button pressed	n/a	g
345.862	0.500	stimulus display	3	n/a
346.081	0.000	button pressed	n/a	f
346.378	0.500	stimulus display	4	n/a
346.625	0.000	button pressed	n/a	v
346.894	0.500	stimulus display	1	n/a
347.201	0.000	button pressed	n/a	b
347.410	0.500	stimulus display	2	n/a
347.697	0.000	button pressed	n/a	g
347.926	0.500	stimulus display	3	n/a
348.289	0.000	button pressed	n/a	f
348.442	0.500	stimulus display	4	n/a
348.801	0.000	button pressed	n/a	v
349.669	8.527	rest block	n/a	n/a
