onset	duration	trial_type	stimulus	response_time	correct
195.503	0.5	frequent	O	n/a	1
198.038	0.5	frequent	O	n/a	1
200.574	0.5	frequent	O	n/a	1
203.109	0.5	frequent	O	n/a	1
207.646	0.5	target	X	0.395	1
211.182	0.5	frequent	O	n/a	1
215.219	0.5	frequent	O	n/a	1
218.255	0.5	distractor	I	n/a	1
219.789	0.5	frequent	O	n/a	1
223.326	0.5	distractor	L	n/a	1
225.861	0.5	frequent	O	n/a	1
228.396	0.5	target	X	0.589	1
229.931	0.5	target	X	0.437	1
233.967	0.5	frequent	O	n/a	1
237.003	0.5	target	X	0.397	1
241.04	0.5	frequent	O	n/a	1
244.576	0.5	frequent	O	n/a	1
247.612	0.5	target	X	0.508	1
251.648	0.5	frequent	O	n/a	1
254.684	0.5	frequent	O	n/a	1
258.22	0.5	frequent	O	n/a	1
262.257	0.5	distractor	D	n/a	1
265.293	0.5	frequent	O	n/a	1
269.83	0.5	frequent	O	n/a	1
272.365	0.5	frequent	O	n/a	1
274.9	0.5	frequent	O	n/a	1
278.437	0.5	frequent	O	n/a	1
282.473	0.5	frequent	O	n/a	1
285.009	0.5	target	X	0.520	1
287.044	0.5	frequent	O	n/a	1
290.58	0.5	distractor	B	n/a	1
293.616	0.5	distractor	J	n/a	1
297.152	0.5	target	X	0.480	1
298.686	0.5	frequent	O	n/a	1
302.723	0.5	frequent	O	n/a	1
306.259	0.5	distractor	W	n/a	1
308.794	0.5	frequent	O	n/a	1
313.331	0.5	frequent	O	n/a	1
317.868	0.5	frequent	O	n/a	1
319.903	0.5	frequent	O	n/a	1
323.94	0.5	frequent	O	n/a	1
328.477	0.5	frequent	O	n/a	1
331.012	0.5	frequent	O	n/a	1
333.047	0.5	frequent	O	n/a	1
335.082	0.5	frequent	O	n/a	1
338.118	0.5	distractor	N	n/a	1
342.655	0.5	frequent	O	n/a	1
346.191	0.5	distractor	M	n/a	1
350.228	0.5	frequent	O	n/a	1
353.264	0.5	target	X	0.384	1
356.8	0.5	frequent	O	n/a	1
358.334	0.5	distractor	K	n/a	1
361.37	0.5	frequent	O	n/a	1
365.907	0.5	frequent	O	n/a	1
369.443	0.5	frequent	O	n/a	1
372.479	0.5	distractor	E	n/a	1
374.514	0.5	frequent	O	n/a	1
378.551	0.5	frequent	O	n/a	1
382.087	0.5	frequent	O	n/a	1
386.624	0.5	frequent	O	n/a	1
391.161	0.5	frequent	O	n/a	1
394.697	0.5	frequent	O	n/a	1
398.233	0.5	target	X	0.567	1
402.77	0.5	frequent	O	n/a	1
406.807	0.5	target	X	0.529	1
408.842	0.5	frequent	O	n/a	1
411.377	0.5	frequent	O	n/a	1
415.414	0.5	distractor	F	n/a	1
417.949	0.5	frequent	O	n/a	1
421.986	0.5	distractor	A	n/a	1
423.52	0.5	frequent	O	n/a	1
426.556	0.5	frequent	O	n/a	1
428.091	0.5	target	X	0.540	1
430.626	0.5	target	X	0.445	1
433.161	0.5	target	X	0.366	1
435.196	0.5	target	X	0.339	1
439.733	0.5	target	X	0.498	1
443.77	0.5	target	X	0.285	1
445.305	0.5	frequent	O	n/a	1
448.34	0.5	frequent	O	n/a	1
452.877	0.5	distractor	H	n/a	1
456.914	0.5	frequent	O	n/a	1
461.451	0.5	frequent	O	n/a	1
463.986	0.5	frequent	O	n/a	1
468.023	0.5	frequent	O	n/a	1
472.059	0.5	frequent	O	n/a	1
474.595	0.5	distractor	T	n/a	1
477.13	0.5	frequent	O	n/a	1
479.666	0.5	frequent	O	n/a	1
482.701	0.5	frequent	O	n/a	1
485.237	0.5	distractor	B	n/a	1
487.772	0.5	frequent	O	n/a	1
491.308	0.5	frequent	O	n/a	1
492.843	0.5	frequent	O	n/a	1
496.879	0.5	distractor	L	n/a	1
501.416	0.5	frequent	O	n/a	1
505.953	0.5	frequent	O	n/a	1
507.988	0.5	frequent	O	n/a	1
511.024	0.5	target	X	0.551	1
515.061	0.5	frequent	O	n/a	1
516.595	0.5	frequent	O	n/a	1
521.132	0.5	frequent	O	n/a	1
524.168	0.5	target	X	0.463	1
526.203	0.5	frequent	O	n/a	1
530.24	0.5	frequent	O	n/a	1
532.275	0.5	frequent	O	n/a	1
534.81	0.5	target	X	0.494	1
536.345	0.5	frequent	O	n/a	1
540.882	0.5	frequent	O	n/a	1
543.917	0.5	frequent	O	n/a	1
545.452	0.5	frequent	O	n/a	1
546.987	0.5	frequent	O	n/a	1
551.523	0.5	target	X	0.460	1
554.559	0.5	target	X	0.512	1
557.595	0.5	distractor	V	n/a	1
560.631	0.5	target	X	0.512	1
562.666	0.5	distractor	E	n/a	1
566.202	0.5	frequent	O	n/a	1
569.738	0.5	frequent	O	n/a	1
572.274	0.5	distractor	U	n/a	1
574.309	0.5	distractor	Y	n/a	1
578.846	0.5	frequent	O	n/a	1
580.881	0.5	frequent	O	n/a	1
583.916	0.5	frequent	O	n/a	1
585.451	0.5	frequent	O	n/a	1
587.486	0.5	target	X	0.521	1
589.02	0.5	frequent	O	n/a	1
593.057	0.5	distractor	Z	n/a	1
594.592	0.5	frequent	O	n/a	1
598.128	0.5	frequent	O	n/a	1
602.164	0.5	frequent	O	n/a	1
