onset	duration	trial_type	stim_type	button_press
73.436	0.000	button pressed	n/a	b
73.505	0.500	stimulus display	1	n/a
73.915	0.000	button pressed	n/a	g
74.021	0.500	stimulus display	2	n/a
74.395	0.000	button pressed	n/a	f
74.537	0.500	stimulus display	3	n/a
74.908	0.000	button pressed	n/a	v
75.053	0.500	stimulus display	4	n/a
75.422	0.000	button pressed	n/a	b
75.569	0.500	stimulus display	1	n/a
76.003	0.000	button pressed	n/a	g
76.085	0.500	stimulus display	2	n/a
76.531	0.000	button pressed	n/a	f
76.601	0.500	stimulus display	3	n/a
77.091	0.000	button pressed	n/a	v
77.117	0.500	stimulus display	4	n/a
77.633	0.500	stimulus display	1	n/a
78.149	0.500	stimulus display	2	n/a
78.259	0.000	button pressed	n/a	g
78.665	0.500	stimulus display	3	n/a
78.739	0.000	button pressed	n/a	f
79.181	0.500	stimulus display	4	n/a
79.697	0.500	stimulus display	1	n/a
79.755	0.000	button pressed	n/a	b
80.213	0.500	stimulus display	2	n/a
80.331	0.000	button pressed	n/a	g
80.729	0.500	stimulus display	3	n/a
80.795	0.000	button pressed	n/a	f
81.245	0.500	stimulus display	4	n/a
81.275	0.000	button pressed	n/a	v
81.761	0.500	stimulus display	1	n/a
81.900	0.000	button pressed	n/a	b
82.277	0.500	stimulus display	2	n/a
82.579	0.000	button pressed	n/a	g
82.793	0.500	stimulus display	3	n/a
82.948	0.000	button pressed	n/a	f
83.309	0.500	stimulus display	4	n/a
83.803	0.000	button pressed	n/a	v
83.825	0.500	stimulus display	1	n/a
84.132	0.000	button pressed	n/a	b
84.341	0.500	stimulus display	2	n/a
84.635	0.000	button pressed	n/a	g
84.857	0.500	stimulus display	3	n/a
85.051	0.000	button pressed	n/a	f
85.373	0.500	stimulus display	4	n/a
85.579	0.000	button pressed	n/a	v
85.889	0.500	stimulus display	1	n/a
86.027	0.000	button pressed	n/a	b
86.405	0.500	stimulus display	2	n/a
86.715	0.000	button pressed	n/a	g
86.921	0.500	stimulus display	3	n/a
87.147	0.000	button pressed	n/a	f
87.437	0.500	stimulus display	4	n/a
87.779	0.000	button pressed	n/a	v
87.953	0.500	stimulus display	1	n/a
88.323	0.000	button pressed	n/a	b
88.469	0.500	stimulus display	2	n/a
88.915	0.000	button pressed	n/a	g
88.985	0.500	stimulus display	3	n/a
89.427	0.000	button pressed	n/a	f
89.501	0.500	stimulus display	4	n/a
89.979	0.000	button pressed	n/a	v
90.017	0.500	stimulus display	1	n/a
90.427	0.000	button pressed	n/a	b
90.533	0.500	stimulus display	2	n/a
90.947	0.000	button pressed	n/a	g
91.049	0.500	stimulus display	3	n/a
91.483	0.000	button pressed	n/a	f
91.565	0.500	stimulus display	4	n/a
92.051	0.000	button pressed	n/a	v
92.792	30.024	rest block	n/a	n/a
122.816	21.351	active block	n/a	n/a
122.816	0.500	stimulus display	1	n/a
123.299	0.000	button pressed	n/a	g
123.332	0.500	stimulus display	2	n/a
123.739	0.000	button pressed	n/a	f
123.848	0.500	stimulus display	3	n/a
124.171	0.000	button pressed	n/a	v
124.364	0.500	stimulus display	4	n/a
124.627	0.000	button pressed	n/a	b
124.880	0.500	stimulus display	1	n/a
125.147	0.000	button pressed	n/a	g
125.396	0.500	stimulus display	2	n/a
125.667	0.000	button pressed	n/a	f
125.912	0.500	stimulus display	3	n/a
126.291	0.000	button pressed	n/a	v
126.428	0.500	stimulus display	4	n/a
126.763	0.000	button pressed	n/a	b
126.944	0.500	stimulus display	1	n/a
127.315	0.000	button pressed	n/a	g
127.460	0.500	stimulus display	2	n/a
127.787	0.000	button pressed	n/a	f
127.976	0.500	stimulus display	3	n/a
128.467	0.000	button pressed	n/a	v
128.492	0.500	stimulus display	4	n/a
128.875	0.000	button pressed	n/a	b
129.008	0.500	stimulus display	1	n/a
129.524	0.500	stimulus display	2	n/a
130.040	0.500	stimulus display	3	n/a
130.475	0.000	button pressed	n/a	v
130.556	0.500	stimulus display	4	n/a
131.072	0.500	stimulus display	1	n/a
131.588	0.500	stimulus display	2	n/a
131.611	0.000	button pressed	n/a	g
132.104	0.500	stimulus display	3	n/a
132.620	0.500	stimulus display	4	n/a
132.771	0.000	button pressed	n/a	v
133.136	0.500	stimulus display	1	n/a
133.228	0.000	button pressed	n/a	b
133.652	0.500	stimulus display	2	n/a
133.939	0.000	button pressed	n/a	g
134.168	0.500	stimulus display	3	n/a
134.363	0.000	button pressed	n/a	f
134.684	0.500	stimulus display	4	n/a
135.027	0.000	button pressed	n/a	v
135.200	0.500	stimulus display	1	n/a
135.539	0.000	button pressed	n/a	b
135.716	0.500	stimulus display	2	n/a
136.147	0.000	button pressed	n/a	g
136.232	0.500	stimulus display	3	n/a
136.563	0.000	button pressed	n/a	f
136.748	0.500	stimulus display	4	n/a
137.091	0.000	button pressed	n/a	v
137.264	0.500	stimulus display	1	n/a
137.547	0.000	button pressed	n/a	b
137.780	0.500	stimulus display	2	n/a
138.075	0.000	button pressed	n/a	g
138.296	0.500	stimulus display	3	n/a
138.540	0.000	button pressed	n/a	f
138.812	0.500	stimulus display	4	n/a
139.115	0.000	button pressed	n/a	v
139.328	0.500	stimulus display	1	n/a
139.539	0.000	button pressed	n/a	b
139.844	0.500	stimulus display	2	n/a
140.203	0.000	button pressed	n/a	g
140.360	0.500	stimulus display	3	n/a
140.659	0.000	button pressed	n/a	f
140.876	0.500	stimulus display	4	n/a
141.187	0.000	button pressed	n/a	v
141.392	0.500	stimulus display	1	n/a
141.627	0.000	button pressed	n/a	b
141.908	0.500	stimulus display	2	n/a
142.300	0.000	button pressed	n/a	g
142.424	0.500	stimulus display	3	n/a
142.739	0.000	button pressed	n/a	f
142.940	0.500	stimulus display	4	n/a
143.427	0.000	button pressed	n/a	v
144.167	30.024	rest block	n/a	n/a
144.387	0.000	button pressed	n/a	g
174.191	21.350	active block	n/a	n/a
174.191	0.500	stimulus display	1	n/a
174.707	0.500	stimulus display	2	n/a
174.723	0.000	button pressed	n/a	g
175.223	0.500	stimulus display	3	n/a
175.499	0.000	button pressed	n/a	v
175.739	0.500	stimulus display	4	n/a
176.019	0.000	button pressed	n/a	b
176.255	0.500	stimulus display	1	n/a
176.515	0.000	button pressed	n/a	g
176.771	0.500	stimulus display	2	n/a
176.987	0.000	button pressed	n/a	f
177.287	0.500	stimulus display	3	n/a
177.523	0.000	button pressed	n/a	v
177.803	0.500	stimulus display	4	n/a
178.003	0.000	button pressed	n/a	b
178.319	0.500	stimulus display	1	n/a
178.651	0.000	button pressed	n/a	g
178.835	0.500	stimulus display	2	n/a
179.075	0.000	button pressed	n/a	f
179.351	0.500	stimulus display	3	n/a
179.587	0.000	button pressed	n/a	v
179.867	0.500	stimulus display	4	n/a
180.107	0.000	button pressed	n/a	b
180.383	0.500	stimulus display	1	n/a
180.675	0.000	button pressed	n/a	g
180.899	0.500	stimulus display	2	n/a
181.227	0.000	button pressed	n/a	f
181.415	0.500	stimulus display	3	n/a
181.803	0.000	button pressed	n/a	v
181.931	0.500	stimulus display	4	n/a
182.203	0.000	button pressed	n/a	b
182.447	0.500	stimulus display	1	n/a
182.755	0.000	button pressed	n/a	g
182.963	0.500	stimulus display	2	n/a
183.331	0.000	button pressed	n/a	f
183.479	0.500	stimulus display	3	n/a
183.843	0.000	button pressed	n/a	v
183.995	0.500	stimulus display	4	n/a
184.427	0.000	button pressed	n/a	b
184.511	0.500	stimulus display	1	n/a
185.027	0.500	stimulus display	2	n/a
185.091	0.000	button pressed	n/a	g
185.543	0.500	stimulus display	3	n/a
185.603	0.000	button pressed	n/a	f
186.059	0.500	stimulus display	4	n/a
186.171	0.000	button pressed	n/a	v
186.575	0.500	stimulus display	1	n/a
186.643	0.000	button pressed	n/a	b
187.091	0.500	stimulus display	2	n/a
187.235	0.000	button pressed	n/a	g
187.607	0.500	stimulus display	3	n/a
187.747	0.000	button pressed	n/a	f
188.123	0.500	stimulus display	4	n/a
188.227	0.000	button pressed	n/a	v
188.639	0.500	stimulus display	1	n/a
188.819	0.000	button pressed	n/a	b
189.155	0.500	stimulus display	2	n/a
189.291	0.000	button pressed	n/a	g
189.671	0.500	stimulus display	3	n/a
189.851	0.000	button pressed	n/a	f
190.187	0.500	stimulus display	4	n/a
190.363	0.000	button pressed	n/a	v
190.703	0.500	stimulus display	1	n/a
190.915	0.000	button pressed	n/a	b
191.219	0.500	stimulus display	2	n/a
191.411	0.000	button pressed	n/a	g
191.735	0.500	stimulus display	3	n/a
191.907	0.000	button pressed	n/a	f
192.251	0.500	stimulus display	4	n/a
192.451	0.000	button pressed	n/a	v
192.767	0.500	stimulus display	1	n/a
192.995	0.000	button pressed	n/a	b
193.283	0.500	stimulus display	2	n/a
193.531	0.000	button pressed	n/a	g
193.799	0.500	stimulus display	3	n/a
194.115	0.000	button pressed	n/a	f
194.315	0.500	stimulus display	4	n/a
194.579	0.000	button pressed	n/a	v
195.541	30.025	rest block	n/a	n/a
225.566	21.350	active block	n/a	n/a
225.566	0.500	stimulus display	1	n/a
226.035	0.000	button pressed	n/a	g
226.082	0.500	stimulus display	2	n/a
226.419	0.000	button pressed	n/a	f
226.598	0.500	stimulus display	3	n/a
226.851	0.000	button pressed	n/a	v
227.114	0.500	stimulus display	4	n/a
227.331	0.000	button pressed	n/a	b
227.630	0.500	stimulus display	1	n/a
227.851	0.000	button pressed	n/a	g
228.146	0.500	stimulus display	2	n/a
228.355	0.000	button pressed	n/a	f
228.662	0.500	stimulus display	3	n/a
228.851	0.000	button pressed	n/a	v
229.178	0.500	stimulus display	4	n/a
229.403	0.000	button pressed	n/a	b
229.694	0.500	stimulus display	1	n/a
230.155	0.000	button pressed	n/a	g
230.210	0.500	stimulus display	2	n/a
230.643	0.000	button pressed	n/a	f
230.726	0.500	stimulus display	3	n/a
231.091	0.000	button pressed	n/a	v
231.242	0.500	stimulus display	4	n/a
231.691	0.000	button pressed	n/a	b
231.758	0.500	stimulus display	1	n/a
232.219	0.000	button pressed	n/a	g
232.274	0.500	stimulus display	2	n/a
232.683	0.000	button pressed	n/a	f
232.790	0.500	stimulus display	3	n/a
233.306	0.500	stimulus display	4	n/a
233.307	0.000	button pressed	n/a	v
233.822	0.500	stimulus display	1	n/a
234.299	0.000	button pressed	n/a	g
234.338	0.500	stimulus display	2	n/a
234.803	0.000	button pressed	n/a	f
234.854	0.500	stimulus display	3	n/a
235.243	0.000	button pressed	n/a	v
235.370	0.500	stimulus display	4	n/a
235.886	0.500	stimulus display	1	n/a
235.907	0.000	button pressed	n/a	b
236.402	0.500	stimulus display	2	n/a
236.475	0.000	button pressed	n/a	g
236.918	0.500	stimulus display	3	n/a
236.995	0.000	button pressed	n/a	f
237.434	0.500	stimulus display	4	n/a
237.555	0.000	button pressed	n/a	v
237.950	0.500	stimulus display	1	n/a
238.083	0.000	button pressed	n/a	b
238.466	0.500	stimulus display	2	n/a
238.675	0.000	button pressed	n/a	g
238.982	0.500	stimulus display	3	n/a
239.139	0.000	button pressed	n/a	f
239.498	0.500	stimulus display	4	n/a
239.667	0.000	button pressed	n/a	v
240.014	0.500	stimulus display	1	n/a
240.187	0.000	button pressed	n/a	b
240.530	0.500	stimulus display	2	n/a
240.771	0.000	button pressed	n/a	g
241.046	0.500	stimulus display	3	n/a
241.227	0.000	button pressed	n/a	f
241.562	0.500	stimulus display	4	n/a
241.763	0.000	button pressed	n/a	v
242.078	0.500	stimulus display	1	n/a
242.291	0.000	button pressed	n/a	b
242.594	0.500	stimulus display	2	n/a
242.883	0.000	button pressed	n/a	g
243.110	0.500	stimulus display	3	n/a
243.395	0.000	button pressed	n/a	f
243.626	0.500	stimulus display	4	n/a
243.915	0.000	button pressed	n/a	v
244.142	0.500	stimulus display	1	n/a
244.539	0.000	button pressed	n/a	b
244.658	0.500	stimulus display	2	n/a
245.075	0.000	button pressed	n/a	g
245.174	0.500	stimulus display	3	n/a
245.555	0.000	button pressed	n/a	f
245.690	0.500	stimulus display	4	n/a
246.027	0.000	button pressed	n/a	v
246.916	30.024	rest block	n/a	n/a
247.075	0.000	button pressed	n/a	g
276.940	21.351	active block	n/a	n/a
276.940	0.500	stimulus display	1	n/a
277.434	0.000	button pressed	n/a	g
277.456	0.500	stimulus display	2	n/a
277.810	0.000	button pressed	n/a	f
277.972	0.500	stimulus display	3	n/a
278.322	0.000	button pressed	n/a	v
278.488	0.500	stimulus display	4	n/a
278.690	0.000	button pressed	n/a	b
279.004	0.500	stimulus display	1	n/a
279.106	0.000	button pressed	n/a	g
279.520	0.500	stimulus display	2	n/a
279.602	0.000	button pressed	n/a	f
280.036	0.500	stimulus display	3	n/a
280.042	0.000	button pressed	n/a	v
280.552	0.500	stimulus display	4	n/a
280.770	0.000	button pressed	n/a	b
281.068	0.500	stimulus display	1	n/a
281.354	0.000	button pressed	n/a	g
281.584	0.500	stimulus display	2	n/a
281.874	0.000	button pressed	n/a	f
282.100	0.500	stimulus display	3	n/a
282.370	0.000	button pressed	n/a	v
282.616	0.500	stimulus display	4	n/a
282.938	0.000	button pressed	n/a	b
283.132	0.500	stimulus display	1	n/a
283.450	0.000	button pressed	n/a	g
283.648	0.500	stimulus display	2	n/a
284.114	0.000	button pressed	n/a	f
284.164	0.500	stimulus display	3	n/a
284.626	0.000	button pressed	n/a	v
284.680	0.500	stimulus display	4	n/a
285.114	0.000	button pressed	n/a	b
285.196	0.500	stimulus display	1	n/a
285.570	0.000	button pressed	n/a	g
285.712	0.500	stimulus display	2	n/a
286.074	0.000	button pressed	n/a	f
286.228	0.500	stimulus display	3	n/a
286.594	0.000	button pressed	n/a	v
286.744	0.500	stimulus display	4	n/a
287.260	0.500	stimulus display	1	n/a
287.266	0.000	button pressed	n/a	b
287.776	0.500	stimulus display	2	n/a
287.778	0.000	button pressed	n/a	g
288.292	0.500	stimulus display	3	n/a
288.298	0.000	button pressed	n/a	f
288.808	0.500	stimulus display	4	n/a
288.818	0.000	button pressed	n/a	v
289.324	0.500	stimulus display	1	n/a
289.840	0.500	stimulus display	2	n/a
289.938	0.000	button pressed	n/a	g
290.356	0.500	stimulus display	3	n/a
290.410	0.000	button pressed	n/a	f
290.872	0.500	stimulus display	4	n/a
290.922	0.000	button pressed	n/a	v
291.388	0.500	stimulus display	1	n/a
291.904	0.500	stimulus display	2	n/a
292.090	0.000	button pressed	n/a	g
292.420	0.500	stimulus display	3	n/a
292.594	0.000	button pressed	n/a	f
292.936	0.500	stimulus display	4	n/a
293.139	0.000	button pressed	n/a	v
293.452	0.500	stimulus display	1	n/a
293.666	0.000	button pressed	n/a	b
293.968	0.500	stimulus display	2	n/a
294.226	0.000	button pressed	n/a	g
294.484	0.500	stimulus display	3	n/a
294.802	0.000	button pressed	n/a	f
295.000	0.500	stimulus display	4	n/a
295.210	0.000	button pressed	n/a	v
295.516	0.500	stimulus display	1	n/a
295.722	0.000	button pressed	n/a	b
296.032	0.500	stimulus display	2	n/a
296.298	0.000	button pressed	n/a	g
296.548	0.500	stimulus display	3	n/a
296.858	0.000	button pressed	n/a	f
297.064	0.500	stimulus display	4	n/a
297.467	0.000	button pressed	n/a	v
298.291	30.024	rest block	n/a	n/a
298.394	0.000	button pressed	n/a	g
328.315	21.351	active block	n/a	n/a
328.315	0.500	stimulus display	1	n/a
328.831	0.500	stimulus display	2	n/a
329.178	0.000	button pressed	n/a	f
329.347	0.500	stimulus display	3	n/a
329.627	0.000	button pressed	n/a	v
329.863	0.500	stimulus display	4	n/a
330.058	0.000	button pressed	n/a	b
330.379	0.500	stimulus display	1	n/a
330.506	0.000	button pressed	n/a	g
330.895	0.500	stimulus display	2	n/a
331.002	0.000	button pressed	n/a	f
331.411	0.500	stimulus display	3	n/a
331.506	0.000	button pressed	n/a	v
331.927	0.500	stimulus display	4	n/a
332.066	0.000	button pressed	n/a	b
332.443	0.500	stimulus display	1	n/a
332.730	0.000	button pressed	n/a	g
332.959	0.500	stimulus display	2	n/a
333.266	0.000	button pressed	n/a	f
333.475	0.500	stimulus display	3	n/a
333.802	0.000	button pressed	n/a	v
333.991	0.500	stimulus display	4	n/a
334.306	0.000	button pressed	n/a	b
334.507	0.500	stimulus display	1	n/a
334.906	0.000	button pressed	n/a	g
335.023	0.500	stimulus display	2	n/a
335.466	0.000	button pressed	n/a	f
335.539	0.500	stimulus display	3	n/a
335.922	0.000	button pressed	n/a	v
336.055	0.500	stimulus display	4	n/a
336.370	0.000	button pressed	n/a	b
336.571	0.500	stimulus display	1	n/a
337.087	0.500	stimulus display	2	n/a
337.218	0.000	button pressed	n/a	g
337.603	0.500	stimulus display	3	n/a
337.626	0.000	button pressed	n/a	f
338.119	0.500	stimulus display	4	n/a
338.635	0.500	stimulus display	1	n/a
338.674	0.000	button pressed	n/a	b
339.151	0.500	stimulus display	2	n/a
339.290	0.000	button pressed	n/a	g
339.667	0.500	stimulus display	3	n/a
339.770	0.000	button pressed	n/a	f
340.183	0.500	stimulus display	4	n/a
340.298	0.000	button pressed	n/a	v
340.699	0.500	stimulus display	1	n/a
340.835	0.000	button pressed	n/a	b
341.215	0.500	stimulus display	2	n/a
341.538	0.000	button pressed	n/a	g
341.731	0.500	stimulus display	3	n/a
341.938	0.000	button pressed	n/a	f
342.247	0.500	stimulus display	4	n/a
342.506	0.000	button pressed	n/a	v
342.763	0.500	stimulus display	1	n/a
343.002	0.000	button pressed	n/a	b
343.279	0.500	stimulus display	2	n/a
343.626	0.000	button pressed	n/a	g
343.795	0.500	stimulus display	3	n/a
344.106	0.000	button pressed	n/a	f
344.311	0.500	stimulus display	4	n/a
344.626	0.000	button pressed	n/a	v
344.827	0.500	stimulus display	1	n/a
345.162	0.000	button pressed	n/a	b
345.343	0.500	stimulus display	2	n/a
345.730	0.000	button pressed	n/a	g
345.859	0.500	stimulus display	3	n/a
346.234	0.000	button pressed	n/a	f
346.375	0.500	stimulus display	4	n/a
346.746	0.000	button pressed	n/a	v
346.891	0.500	stimulus display	1	n/a
347.146	0.000	button pressed	n/a	b
347.407	0.500	stimulus display	2	n/a
347.923	0.500	stimulus display	3	n/a
348.330	0.000	button pressed	n/a	f
348.439	0.500	stimulus display	4	n/a
348.906	0.000	button pressed	n/a	v
349.666	9.530	rest block	n/a	n/a
