onset	duration	trial_type	stimulus	response_time	correct
493.302	0.5	frequent	O	n/a	1
496.838	0.5	frequent	O	n/a	1
500.375	0.5	frequent	O	n/a	1
502.91	0.5	target	X	0.533	1
505.445	0.5	frequent	O	n/a	1
508.481	0.5	frequent	O	n/a	1
510.516	0.5	target	X	0.447	1
513.051	0.5	frequent	O	n/a	1
517.088	0.5	frequent	O	n/a	1
520.124	0.5	frequent	O	n/a	1
521.658	0.5	distractor	G	n/a	1
523.693	0.5	target	X	0.365	1
526.729	0.5	frequent	O	n/a	1
531.266	0.5	frequent	O	n/a	1
533.802	0.5	frequent	O	n/a	1
535.837	0.5	target	X	0.429	1
539.873	0.5	frequent	O	n/a	1
541.908	0.5	frequent	O	n/a	1
546.445	0.5	frequent	O	n/a	1
550.482	0.5	frequent	O	n/a	1
552.016	0.5	frequent	O	n/a	1
555.052	0.5	frequent	O	n/a	1
557.087	0.5	frequent	O	n/a	1
561.624	0.5	target	X	0.394	1
563.659	0.5	frequent	O	n/a	1
565.194	0.5	frequent	O	n/a	1
567.729	0.5	frequent	O	n/a	1
571.766	0.5	frequent	O	n/a	1
573.3	0.5	target	X	0.446	1
574.835	0.5	frequent	O	n/a	1
576.87	0.5	frequent	O	n/a	1
578.404	0.5	frequent	O	n/a	1
582.441	0.5	frequent	O	n/a	1
585.977	0.5	distractor	A	n/a	1
590.514	0.5	frequent	O	n/a	1
593.55	0.5	distractor	I	n/a	1
596.085	0.5	distractor	K	n/a	1
597.62	0.5	target	X	0.390	1
600.655	0.5	frequent	O	n/a	1
