onset	duration	trial_type	value	sample
1515.132	5.0	production_9	94	1515132
1520.125	5.0	rest_10	96	1520125
1525.132	4.0	perception_10	6	1525132
1529.132	1.0	preparation_10	36	1529132
1530.133	5.0	production_10	66	1530133
1535.121	5.0	rest_11	97	1535121
1540.116	4.0	perception_11	7	1540116
1544.116	1.0	preparation_11	37	1544116
1545.116	5.0	production_11	67	1545116
1550.107	5.0	rest_12	98	1550107
1555.1	4.0	perception_12	8	1555100
1559.1	1.0	preparation_12	38	1559100
1560.1	5.0	production_12	68	1560100
1565.093	5.0	rest_13	99	1565093
1570.085	4.0	perception_13	9	1570085
1573.0	15.0	bad_artifact	3	1573000
1574.084	1.0	preparation_13	39	1574084
1575.084	5.0	production_13	69	1575084
1580.089	5.0	rest_14	100	1580089
1585.086	4.0	perception_14	10	1585086
1589.085	1.0	preparation_14	40	1589085
1590.085	5.0	production_14	70	1590085
1595.074	5.0	rest_15	101	1595074
1600.069	4.0	perception_15	11	1600069
1604.072	1.0	preparation_15	41	1604072
1605.069	5.0	production_15	71	1605069
1610.059	5.0	rest_16	102	1610059
1615.053	4.0	perception_16	12	1615053
1619.053	1.0	preparation_16	42	1619053
1620.053	5.0	production_16	72	1620053
1625.042	5.0	rest_17	103	1625042
1630.037	4.0	perception_17	13	1630037
1634.036	1.0	preparation_17	43	1634036
1635.037	5.0	production_17	73	1635037
1640.027	5.0	rest_18	104	1640027
1645.021	4.0	perception_18	14	1645021
1649.021	1.0	preparation_18	44	1649021
1650.021	5.0	production_18	74	1650021
1655.01	5.0	rest_19	105	1655010
1660.004	4.0	perception_19	15	1660004
1664.005	1.0	preparation_19	45	1664005
1665.005	5.0	production_19	75	1665005
1667.0	2.5	bad_artifact	3	1667000
1669.994	5.0	rest_20	107	1669994
1674.988	4.0	perception_20	17	1674988
1678.989	1.0	preparation_20	47	1678989
1679.989	5.0	production_20	77	1679989
1684.978	5.0	rest_21	108	1684978
1689.972	4.0	perception_21	18	1689972
1693.972	1.0	preparation_21	48	1693972
1694.973	5.0	production_21	78	1694973
1699.963	5.0	rest_22	109	1699963
1704.956	4.0	perception_22	19	1704956
1708.956	1.0	preparation_22	49	1708956
1709.956	5.0	production_22	79	1709956
1714.947	5.0	rest_23	110	1714947
1719.94	4.0	perception_23	20	1719940
1723.94	1.0	preparation_23	50	1723940
1724.94	5.0	production_23	80	1724940
1729.932	5.0	rest_24	111	1729932
1734.924	4.0	perception_24	21	1734924
1738.924	1.0	preparation_24	51	1738924
1739.925	5.0	production_24	81	1739925
1744.916	5.0	rest_25	112	1744916
1749.908	4.0	perception_25	22	1749908
1753.908	1.0	preparation_25	52	1753908
1754.908	5.0	production_25	82	1754908
1759.904	5.0	rest_26	113	1759904
1764.909	4.0	perception_26	23	1764909
1768.909	1.0	preparation_26	53	1768909
1769.909	5.0	production_26	83	1769909
1774.899	5.0	rest_27	114	1774899
1778.0	3.0	bad_artifact	3	1778000
1779.892	4.0	perception_27	24	1779892
1783.893	1.0	preparation_27	54	1783893
1784.893	5.0	production_27	84	1784893
1789.883	5.0	rest_28	115	1789883
1794.876	4.0	perception_28	25	1794876
1798.877	1.0	preparation_28	55	1798877
1799.877	5.0	production_28	85	1799877
1804.866	5.0	rest_29	116	1804866
1809.861	4.0	perception_29	26	1809861
1813.861	1.0	preparation_29	56	1813861
1814.861	5.0	production_29	86	1814861
1819.851	5.0	rest_30	118	1819851
1824.844	4.0	perception_30	28	1824844
1828.845	1.0	preparation_30	58	1828845
1829.844	5.0	production_30	88	1829844
1834.835	5.0	rest_1	95	1834835
1839.828	4.0	perception_1	5	1839828
1843.828	1.0	preparation_1	35	1843828
1844.828	5.0	production_1	65	1844828
1849.828	5.0	rest_2	106	1849828
1854.829	4.0	perception_2	16	1854829
1858.0	4.0	bad_artifact	3	1858000
1858.829	1.0	preparation_2	46	1858829
1859.829	5.0	production_2	76	1859829
1864.819	5.0	rest_3	117	1864819
1869.813	4.0	perception_3	27	1869813
1873.813	1.0	preparation_3	57	1873813
1874.813	5.0	production_3	87	1874813
1879.804	5.0	rest_4	119	1879804
1884.797	4.0	perception_4	29	1884797
1888.798	1.0	preparation_4	59	1888798
1889.797	5.0	production_4	89	1889797
1894.786	5.0	rest_5	120	1894786
1899.781	4.0	perception_5	30	1899781
1903.781	1.0	preparation_5	60	1903781
1904.781	5.0	production_5	90	1904781
1909.771	5.0	rest_6	121	1909771
1914.765	4.0	perception_6	31	1914765
1918.765	1.0	preparation_6	61	1918765
1919.765	5.0	production_6	91	1919765
1924.755	5.0	rest_7	122	1924755
1929.749	4.0	perception_7	32	1929749
1933.749	1.0	preparation_7	62	1933749
1934.749	5.0	production_7	92	1934749
1939.738	5.0	rest_8	123	1939738
1944.733	4.0	perception_8	33	1944733
1948.733	1.0	preparation_8	63	1948733
1949.733	5.0	production_8	93	1949733
1954.723	5.0	rest_9	124	1954723
1959.717	4.0	perception_9	34	1959717
1962.0	6.0	bad_artifact	3	1962000
1963.717	1.0	preparation_9	64	1963717
1964.718	5.0	production_9	94	1964718
1969.706	5.0	rest_10	96	1969706
1974.703	4.0	perception_10	6	1974703
1975.0	9.0	bad_artifact	3	1975000
1978.702	1.0	preparation_10	36	1978702
1979.701	5.0	production_10	66	1979701
1984.691	5.0	rest_11	97	1984691
1989.685	4.0	perception_11	7	1989685
1993.685	1.0	preparation_11	37	1993685
1994.685	5.0	production_11	67	1994685
1999.674	5.0	rest_12	98	1999674
2004.669	4.0	perception_12	8	2004669
2007.0	6.0	bad_artifact	3	2007000
2008.67	1.0	preparation_12	38	2008670
2009.67	5.0	production_12	68	2009670
2014.675	5.0	rest_13	99	2014675
2019.669	4.0	perception_13	9	2019669
2023.669	1.0	preparation_13	39	2023669
2024.669	5.0	production_13	69	2024669
2029.659	5.0	rest_14	100	2029659
2034.653	4.0	perception_14	10	2034653
2038.653	1.0	preparation_14	40	2038653
2039.653	5.0	production_14	70	2039653
2044.644	5.0	rest_15	101	2044644
2045.0	14.0	bad_artifact	3	2045000
2049.637	4.0	perception_15	11	2049637
2053.637	1.0	preparation_15	41	2053637
2054.638	5.0	production_15	71	2054638
2059.627	5.0	rest_16	102	2059627
2064.621	4.0	perception_16	12	2064621
2068.621	1.0	preparation_16	42	2068621
2069.622	5.0	production_16	72	2069622
2074.611	5.0	rest_17	103	2074611
2079.606	4.0	perception_17	13	2079606
2083.606	1.0	preparation_17	43	2083606
2084.605	5.0	production_17	73	2084605
2089.595	5.0	rest_18	104	2089595
2094.589	4.0	perception_18	14	2094589
2098.592	1.0	preparation_18	44	2098592
2099.589	5.0	production_18	74	2099589
2104.579	5.0	rest_19	105	2104579
2109.573	4.0	perception_19	15	2109573
2113.573	1.0	preparation_19	45	2113573
2114.574	5.0	production_19	75	2114574
2119.575	5.0	rest_20	107	2119575
2124.574	4.0	perception_20	17	2124574
2128.574	1.0	preparation_20	47	2128574
2129.573	5.0	production_20	77	2129573
2134.564	5.0	rest_21	108	2134564
2139.558	4.0	perception_21	18	2139558
2141.0	3.0	bad_artifact	3	2141000
