onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
44.64	0.72	53	1	4	58	per	lib	mod	mod	mod	tg	ht	wh/0061.bmp
45.36	0.72	54	1	3	126	per	lib	low	low	low	tg	ht	wh/0120.bmp
46.08	0.72	55	1	1	97	mem	lib	mod	mod	low	tg	ht	wh/0386.bmp
46.80	0.72	56	1	3	13	per	con	mod	mod	mod	nt	fa	nh/0229_nh.bmp
47.52	0.72	57	1	2	64	per	con	mod	mod	mod	nt	cr	nh/0796_nh.bmp
48.24	0.72	58	2	2	100	mem	lib	mod	mod	mod	tg	ht	wh/0583.bmp
48.96	0.72	59	1	4	32	mem	con	mod	mod	low	nt	ht	nh/0131_nh.bmp
49.68	0.72	60	1	4	18	mem	con	mod	mod	low	tg	ht	wh/0615.bmp
50.40	0.72	61	1	4	109	per	con	low	mod	low	tg	ms	wh/0081.bmp
51.12	0.72	62	1	3	96	mem	con	mod	mod	mod	nt	ht	nh/0538_nh.bmp
51.84	0.72	63	1	3	46	mem	lib	mod	mod	low	tg	ht	wh/0174.bmp
52.56	0.72	64	1	2	91	per	lib	mod	low	mod	tg	ht	wh/0773.bmp
53.28	0.72	65	1	1	36	per	lib	low	mod	low	tg	ms	wh/0259.bmp
54.00	0.72	66	2	4	3	per	lib	low	mod	low	tg	ms	wh/1000.bmp
54.72	0.72	67	1	3	3	per	con	mod	mod	mod	tg	ht	wh/0592.bmp
55.44	0.72	68	1	4	6	per	lib	low	mod	low	nt	fa	nh/0132_nh.bmp
56.16	0.72	69	2	3	3	per	con	mod	mod	mod	tg	ht	wh/0592.bmp
56.88	0.72	70	2	4	107	per	con	low	mod	low	tg	ht	wh/0575.bmp
57.60	0.72	71	2	4	12	per	lib	low	mod	low	nt	cr	nh/0703_nh.bmp
58.32	0.72	72	1	3	1	per	con	mod	mod	mod	nt	cr	nh/0895_nh.bmp
59.04	0.72	73	2	4	111	per	con	low	mod	low	tg	ms	wh/0315.bmp
59.76	0.72	74	2	3	7	per	con	mod	mod	mod	tg	ht	wh/0806.bmp
60.48	0.72	75	1	2	26	mem	con	mod	mod	mod	tg	ht	wh/0487.bmp
61.20	0.72	76	2	2	64	per	con	mod	mod	mod	nt	cr	nh/0796_nh.bmp
61.92	0.72	77	1	1	108	mem	lib	mod	mod	low	nt	ht	nh/0124_nh.bmp
62.64	0.72	78	1	2	111	mem	lib	mod	mod	mod	nt	ht	nh/0983_nh.bmp
63.36	0.72	79	2	2	104	mem	lib	mod	mod	mod	nt	ht	nh/0104_nh.bmp
64.08	0.72	80	1	4	14	per	lib	low	mod	low	tg	ms	wh/0283.bmp
64.80	0.72	81	1	3	10	per	con	mod	mod	mod	nt	cr	nh/0664_nh.bmp
65.52	0.72	82	2	3	87	mem	con	mod	mod	mod	nt	ht	nh/0705_nh.bmp
66.24	0.72	83	1	4	41	mem	lib	mod	mod	mod	nt	ht	nh/0809_nh.bmp
66.96	0.72	84	1	1	110	mem	lib	mod	mod	low	nt	ht	nh/0511_nh.bmp
67.68	0.72	85	1	2	46	per	con	low	mod	low	nt	cr	nh/0293_nh.bmp
68.40	0.72	86	1	4	48	mem	lib	mod	mod	mod	tg	ht	wh/0344.bmp
69.12	0.72	87	1	3	82	mem	con	mod	mod	mod	tg	ht	wh/0445.bmp
69.84	0.72	88	2	1	97	mem	lib	mod	mod	low	tg	ht	wh/0386.bmp
70.56	0.72	89	2	3	84	mem	con	mod	mod	mod	nt	ht	nh/0343_nh.bmp
71.28	0.72	90	1	1	41	per	lib	low	mod	low	nt	cr	nh/0882_nh.bmp
72.00	0.72	91	1	1	73	mem	con	mod	mod	low	tg	ms	wh/1013.bmp
72.72	0.72	92	1	2	25	mem	con	mod	mod	mod	nt	ht	nh/0901_nh.bmp
73.44	0.72	93	3	2	104	mem	lib	mod	mod	mod	nt	ht	nh/0104_nh.bmp
74.16	0.72	94	3	2	102	mem	lib	mod	mod	mod	tg	ht	wh/0970.bmp
74.88	0.72	95	2	4	6	per	lib	low	mod	low	nt	fa	nh/0132_nh.bmp
75.60	0.72	96	2	2	26	mem	con	mod	mod	mod	tg	ht	wh/0487.bmp
76.32	0.72	97	1	2	69	mem	lib	low	low	mod	nt	ht	nh/0470_nh.bmp
77.04	0.72	98	1	4	27	mem	con	mod	mod	low	nt	ht	nh/0523_nh.bmp
77.76	0.72	99	1	4	55	per	lib	mod	mod	mod	tg	ht	wh/0943.bmp
78.48	0.72	100	2	4	24	mem	con	mod	mod	low	nt	ht	nh/0291_nh.bmp
79.20	0.72	101	1	2	47	per	con	low	mod	low	nt	cr	nh/0263_nh.bmp
79.92	0.72	102	1	3	102	per	lib	mod	low	mod	tg	ht	wh/1020.bmp
80.64	0.72	103	2	4	7	per	lib	low	mod	low	nt	cr	nh/0454_nh.bmp
81.36	0.72	104	3	2	22	mem	con	mod	mod	mod	tg	ht	wh/1010.bmp
82.08	0.72	105	2	4	58	per	lib	mod	mod	mod	tg	ht	wh/0061.bmp
82.80	0.72	106	3	4	107	per	con	low	mod	low	tg	ht	wh/0575.bmp
83.52	0.72	107	1	3	127	per	lib	low	low	low	nt	fa	nh/0127_nh.bmp
84.24	0.72	108	1	1	1	per	lib	mod	mod	mod	tg	n/a	wh/0097.bmp
84.96	0.72	109	1	3	88	mem	con	mod	mod	mod	tg	ht	wh/0282.bmp
85.68	0.72	110	1	3	71	mem	lib	low	low	low	nt	ht	nh/0565_nh.bmp
86.40	0.72	111	3	4	24	mem	con	mod	mod	low	nt	ht	nh/0291_nh.bmp
87.12	0.72	112	2	3	10	per	con	mod	mod	mod	nt	cr	nh/0664_nh.bmp
87.84	0.72	113	1	4	23	mem	con	mod	mod	low	tg	ht	wh/0236.bmp
88.56	0.72	114	1	3	114	per	lib	low	low	low	nt	fa	nh/0492_nh.bmp
89.28	0.72	115	1	1	45	per	lib	low	mod	low	tg	ht	wh/0671.bmp
90.00	0.72	116	1	4	30	mem	con	mod	mod	low	nt	ht	nh/0390_nh.bmp
90.72	0.72	117	1	4	113	mem	con	low	low	mod	tg	ms	wh/0201.bmp
91.44	0.72	118	1	4	93	per	con	mod	low	mod	nt	cr	nh/0985_nh.bmp
92.16	0.72	119	1	2	61	per	con	mod	mod	mod	tg	ms	wh/0645.bmp
92.88	0.72	120	2	4	48	mem	lib	mod	mod	mod	tg	ht	wh/0344.bmp
93.60	0.72	121	1	1	58	mem	con	low	low	mod	nt	ms	nh/0547_nh.bmp
94.32	0.72	122	2	1	9	per	lib	mod	mod	mod	nt	cr	nh/0562_nh.bmp
95.04	0.72	123	1	4	15	per	lib	low	mod	low	nt	cr	nh/0641_nh.bmp
95.76	0.72	124	2	1	73	mem	con	mod	mod	low	tg	ms	wh/1013.bmp
96.48	0.72	125	1	3	16	per	con	mod	mod	mod	tg	ht	wh/0689.bmp
97.20	0.72	126	1	3	40	mem	lib	mod	mod	low	tg	ht	wh/0067.bmp
97.92	0.72	127	1	1	75	mem	con	mod	mod	low	nt	ht	nh/0415_nh.bmp
98.64	0.72	128	2	1	1	per	lib	mod	mod	mod	tg	n/a	wh/0097.bmp
99.36	0.72	129	4	4	24	mem	con	mod	mod	low	nt	ht	nh/0291_nh.bmp
100.08	0.72	130	2	2	47	per	con	low	mod	low	nt	cr	nh/0263_nh.bmp
100.80	0.72	131	4	2	102	mem	lib	mod	mod	mod	tg	ht	wh/0970.bmp
101.52	0.72	132	1	4	26	mem	con	mod	mod	low	tg	ms	wh/0424.bmp
102.24	0.72	133	2	3	13	per	con	mod	mod	mod	nt	fa	nh/0229_nh.bmp
102.96	0.72	134	2	4	32	mem	con	mod	mod	low	nt	ht	nh/0131_nh.bmp
103.68	0.72	135	1	2	34	per	con	low	mod	low	nt	cr	nh/0412_nh.bmp
104.40	0.72	136	1	4	64	per	lib	mod	mod	mod	nt	cr	nh/0049_nh.bmp
105.12	0.72	137	2	1	108	mem	lib	mod	mod	low	nt	ht	nh/0124_nh.bmp
105.84	0.72	138	1	4	108	per	con	low	mod	low	nt	cr	nh/0166_nh.bmp
106.56	0.72	139	2	4	109	per	con	low	mod	low	tg	ms	wh/0081.bmp
107.28	0.72	140	2	2	34	per	con	low	mod	low	nt	cr	nh/0412_nh.bmp
108.00	0.72	141	2	1	67	mem	con	mod	mod	low	tg	ht	wh/0007.bmp
108.72	0.72	142	2	4	14	per	lib	low	mod	low	tg	ms	wh/0283.bmp
109.44	0.72	143	2	1	12	per	lib	mod	mod	mod	tg	ht	wh/0313.bmp
110.16	0.72	144	1	1	78	mem	con	mod	mod	low	nt	ht	nh/0444_nh.bmp
110.88	0.72	145	1	1	55	mem	con	low	low	mod	nt	ms	nh/0950_nh.bmp
111.60	0.72	146	1	1	2	per	lib	mod	mod	mod	nt	cr	nh/0628_nh.bmp
112.32	0.72	147	1	4	42	mem	lib	mod	mod	mod	nt	ht	nh/0861_nh.bmp
113.04	0.72	148	3	2	47	per	con	low	mod	low	nt	cr	nh/0263_nh.bmp
113.76	0.72	149	1	4	118	mem	con	low	low	mod	tg	ms	wh/0474.bmp
114.48	0.72	150	2	2	30	mem	con	mod	mod	mod	nt	ht	nh/0071_nh.bmp
115.20	0.72	151	1	1	72	mem	con	mod	mod	low	nt	ht	nh/0295_nh.bmp
115.92	0.72	152	1	3	118	per	lib	low	low	low	nt	fa	nh/0607_nh.bmp
116.64	0.72	153	3	3	10	per	con	mod	mod	mod	nt	cr	nh/0664_nh.bmp
117.36	0.72	154	2	3	88	mem	con	mod	mod	mod	tg	ht	wh/0282.bmp
118.08	0.72	155	3	4	3	per	lib	low	mod	low	tg	ms	wh/1000.bmp
118.80	0.72	156	1	3	69	mem	lib	low	low	low	nt	ht	nh/0632_nh.bmp
119.52	0.72	157	2	2	98	mem	lib	mod	mod	mod	nt	ht	nh/0761_nh.bmp
120.24	0.72	158	2	3	96	mem	con	mod	mod	mod	nt	ht	nh/0538_nh.bmp
120.96	0.72	159	2	3	1	per	con	mod	mod	mod	nt	cr	nh/0895_nh.bmp
121.68	0.72	160	1	2	23	mem	con	mod	mod	mod	tg	ht	wh/1006.bmp
122.40	0.72	161	1	4	110	per	con	low	mod	low	nt	cr	nh/0030_nh.bmp
123.12	0.72	162	1	2	118	per	lib	low	low	low	tg	ht	wh/0375.bmp
123.84	0.72	163	2	2	53	per	con	mod	mod	mod	tg	ht	wh/0925.bmp
124.56	0.72	164	3	1	97	mem	lib	mod	mod	low	tg	ht	wh/0386.bmp
125.28	0.72	165	1	3	8	per	con	mod	mod	mod	nt	cr	nh/0448_nh.bmp
126.00	0.72	166	1	2	48	per	con	low	mod	low	nt	cr	nh/0459_nh.bmp
126.72	0.72	167	2	1	45	per	lib	low	mod	low	tg	ht	wh/0671.bmp
127.44	0.72	168	4	1	97	mem	lib	mod	mod	low	tg	ht	wh/0386.bmp
128.16	0.72	169	1	4	20	mem	con	mod	mod	low	tg	ht	wh/0798.bmp
128.88	0.72	170	1	1	106	mem	lib	mod	mod	low	tg	ht	wh/0368.bmp
129.60	0.72	171	2	1	2	per	lib	mod	mod	mod	nt	cr	nh/0628_nh.bmp
130.32	0.72	172	2	3	45	mem	lib	mod	mod	low	tg	ht	wh/0643.bmp
131.04	0.72	173	1	2	108	mem	lib	mod	mod	mod	tg	ht	wh/0348.bmp
131.76	0.72	174	1	1	102	mem	lib	mod	mod	low	tg	ht	wh/0323.bmp
132.48	0.72	175	2	1	112	mem	lib	mod	mod	low	nt	ht	nh/0661_nh.bmp
133.20	0.72	176	2	4	104	per	con	low	mod	low	nt	cr	nh/0410_nh.bmp
133.92	0.72	177	1	3	39	mem	lib	mod	mod	low	nt	ht	nh/0792_nh.bmp
134.64	0.72	178	3	1	2	per	lib	mod	mod	mod	nt	cr	nh/0628_nh.bmp
135.36	0.72	179	1	4	53	per	lib	mod	mod	mod	nt	fa	nh/0604_nh.bmp
136.08	0.72	180	1	1	43	per	lib	low	mod	low	nt	cr	nh/0302_nh.bmp
136.80	0.72	181	2	4	97	per	con	low	mod	low	tg	ms	wh/0509.bmp
137.52	0.72	182	3	1	73	mem	con	mod	mod	low	tg	ms	wh/1013.bmp
138.24	0.72	183	1	1	104	mem	lib	mod	mod	low	nt	ht	nh/0988_nh.bmp
138.96	0.72	184	2	3	46	mem	lib	mod	mod	low	tg	ht	wh/0174.bmp
139.68	0.72	185	1	3	94	mem	con	mod	mod	mod	nt	ht	nh/0151_nh.bmp
140.40	0.72	186	2	3	8	per	con	mod	mod	mod	nt	cr	nh/0448_nh.bmp
141.12	0.72	187	2	3	39	mem	lib	mod	mod	low	nt	ht	nh/0792_nh.bmp
141.84	0.72	188	1	4	47	mem	lib	mod	mod	mod	tg	ht	wh/0834.bmp
142.56	0.72	189	1	4	16	per	lib	low	mod	low	tg	ms	wh/0400.bmp
143.28	0.72	190	3	1	45	per	lib	low	mod	low	tg	ht	wh/0671.bmp
144.00	0.72	191	1	4	61	per	lib	mod	mod	mod	tg	ht	wh/0072.bmp
144.72	0.72	192	3	3	8	per	con	mod	mod	mod	nt	cr	nh/0448_nh.bmp
145.44	0.72	193	2	4	27	mem	con	mod	mod	low	nt	ht	nh/0523_nh.bmp
146.16	0.72	194	1	1	34	per	lib	low	mod	low	nt	cr	nh/0496_nh.bmp
146.88	0.72	195	2	2	111	mem	lib	mod	mod	mod	nt	ht	nh/0983_nh.bmp
147.60	0.72	196	3	3	7	per	con	mod	mod	mod	tg	ht	wh/0806.bmp
148.32	0.72	197	3	4	58	per	lib	mod	mod	mod	tg	ht	wh/0061.bmp
149.04	0.72	198	2	1	41	per	lib	low	mod	low	nt	cr	nh/0882_nh.bmp
149.76	0.72	199	2	4	64	per	lib	mod	mod	mod	nt	cr	nh/0049_nh.bmp
150.48	0.72	200	2	4	108	per	con	low	mod	low	nt	cr	nh/0166_nh.bmp
151.20	0.72	201	3	4	27	mem	con	mod	mod	low	nt	ht	nh/0523_nh.bmp
151.92	0.72	202	2	1	5	per	lib	mod	mod	mod	tg	ms	wh/0331.bmp
152.64	0.72	203	2	1	34	per	lib	low	mod	low	nt	cr	nh/0496_nh.bmp
153.36	0.72	204	4	4	58	per	lib	mod	mod	mod	tg	ht	wh/0061.bmp
154.08	0.72	205	2	4	16	per	lib	low	mod	low	tg	ms	wh/0400.bmp
154.80	0.72	206	2	1	47	per	lib	low	mod	low	tg	ht	wh/0672.bmp
155.52	0.72	207	3	2	26	mem	con	mod	mod	mod	tg	ht	wh/0487.bmp
156.24	0.72	208	1	2	62	per	con	mod	mod	mod	nt	cr	nh/0738_nh.bmp
156.96	0.72	209	2	1	102	mem	lib	mod	mod	low	tg	ht	wh/0323.bmp
157.68	0.72	210	3	1	112	mem	lib	mod	mod	low	nt	ht	nh/0661_nh.bmp
158.40	0.72	211	1	4	100	per	con	low	mod	low	nt	fa	nh/0246_nh.bmp
159.12	0.72	212	2	2	48	per	con	low	mod	low	nt	cr	nh/0459_nh.bmp
159.84	0.72	213	1	3	61	per	con	low	low	low	nt	cr	nh/1003_nh.bmp
160.56	0.72	214	1	4	76	mem	lib	low	low	mod	nt	ht	nh/0707_nh.bmp
161.28	0.72	215	2	4	56	per	lib	mod	mod	mod	tg	ht	wh/0427.bmp
162.00	0.72	216	1	2	41	per	con	low	mod	low	tg	ms	wh/0914.bmp
162.72	0.72	217	3	3	45	mem	lib	mod	mod	low	tg	ht	wh/0643.bmp
163.44	0.72	218	2	2	25	mem	con	mod	mod	mod	nt	ht	nh/0901_nh.bmp
164.16	0.72	219	1	2	66	mem	lib	low	low	mod	tg	ht	wh/0813.bmp
164.88	0.72	220	2	4	18	mem	con	mod	mod	low	tg	ht	wh/0615.bmp
165.60	0.72	221	3	2	64	per	con	mod	mod	mod	nt	cr	nh/0796_nh.bmp
166.32	0.72	222	1	4	40	mem	lib	mod	mod	mod	tg	ht	wh/0358.bmp
167.04	0.72	223	2	1	75	mem	con	mod	mod	low	nt	ht	nh/0415_nh.bmp
167.76	0.72	224	2	3	48	mem	lib	mod	mod	low	nt	ht	nh/0976_nh.bmp
168.48	0.72	225	2	4	53	per	lib	mod	mod	mod	nt	fa	nh/0604_nh.bmp
169.20	0.72	226	3	1	108	mem	lib	mod	mod	low	nt	ht	nh/0124_nh.bmp
169.92	0.72	227	2	4	42	mem	lib	mod	mod	mod	nt	ht	nh/0861_nh.bmp
170.64	0.72	228	3	4	56	per	lib	mod	mod	mod	tg	ht	wh/0427.bmp
171.36	0.72	229	2	4	26	mem	con	mod	mod	low	tg	ms	wh/0424.bmp
172.08	0.72	230	1	2	45	per	con	low	mod	low	tg	ms	wh/0554.bmp
172.80	0.72	231	1	2	105	mem	lib	mod	mod	mod	tg	ht	wh/0674.bmp
173.52	0.72	232	2	2	41	per	con	low	mod	low	tg	ms	wh/0914.bmp
174.24	0.72	233	2	1	106	mem	lib	mod	mod	low	tg	ht	wh/0368.bmp
174.96	0.72	234	3	2	30	mem	con	mod	mod	mod	nt	ht	nh/0071_nh.bmp
175.68	0.72	235	3	1	75	mem	con	mod	mod	low	nt	ht	nh/0415_nh.bmp
176.40	0.72	236	2	2	62	per	con	mod	mod	mod	nt	cr	nh/0738_nh.bmp
177.12	0.72	237	1	3	34	mem	lib	mod	mod	low	tg	ht	wh/0757.bmp
177.84	0.72	238	5	4	24	mem	con	mod	mod	low	nt	ht	nh/0291_nh.bmp
178.56	0.72	239	4	1	45	per	lib	low	mod	low	tg	ht	wh/0671.bmp
179.28	0.72	240	4	4	56	per	lib	mod	mod	mod	tg	ht	wh/0427.bmp
180.00	0.72	241	2	1	43	per	lib	low	mod	low	nt	cr	nh/0302_nh.bmp
180.72	0.72	242	1	4	54	per	lib	mod	mod	mod	nt	cr	nh/0365_nh.bmp
181.44	0.72	243	4	2	104	mem	lib	mod	mod	mod	nt	ht	nh/0104_nh.bmp
182.16	0.72	244	1	3	99	per	lib	mod	low	mod	nt	fa	nh/0557_nh.bmp
182.88	0.72	245	3	2	98	mem	lib	mod	mod	mod	nt	ht	nh/0761_nh.bmp
183.60	0.72	246	4	2	47	per	con	low	mod	low	nt	cr	nh/0263_nh.bmp
184.32	0.72	247	2	3	16	per	con	mod	mod	mod	tg	ht	wh/0689.bmp
185.04	0.72	248	3	3	15	per	con	mod	mod	mod	tg	ht	wh/0479.bmp
185.76	0.72	249	3	2	34	per	con	low	mod	low	nt	cr	nh/0412_nh.bmp
186.48	0.72	250	4	2	22	mem	con	mod	mod	mod	tg	ht	wh/1010.bmp
187.20	0.72	251	3	4	26	mem	con	mod	mod	low	tg	ms	wh/0424.bmp
187.92	0.72	252	2	2	51	per	con	mod	mod	mod	nt	cr	nh/0137_nh.bmp
188.64	0.72	253	1	2	8	mem	con	low	low	low	tg	ms	wh/0504.bmp
189.36	0.72	254	3	2	100	mem	lib	mod	mod	mod	tg	ht	wh/0583.bmp
190.08	0.72	255	3	1	12	per	lib	mod	mod	mod	tg	ht	wh/0313.bmp
190.80	0.72	256	2	4	100	per	con	low	mod	low	nt	fa	nh/0246_nh.bmp
191.52	0.72	257	4	4	107	per	con	low	mod	low	tg	ht	wh/0575.bmp
192.24	0.72	258	2	4	47	mem	lib	mod	mod	mod	tg	ht	wh/0834.bmp
192.96	0.72	259	3	3	88	mem	con	mod	mod	mod	tg	ht	wh/0282.bmp
193.68	0.72	260	3	1	102	mem	lib	mod	mod	low	tg	ht	wh/0323.bmp
194.40	0.72	261	3	4	42	mem	lib	mod	mod	mod	nt	ht	nh/0861_nh.bmp
195.12	0.72	262	2	4	1	per	lib	low	mod	low	tg	ht	wh/0195.bmp
195.84	0.72	263	3	1	41	per	lib	low	mod	low	nt	cr	nh/0882_nh.bmp
196.56	0.72	264	1	2	32	mem	con	mod	mod	mod	nt	ht	nh/0742_nh.bmp
197.28	0.72	265	3	3	46	mem	lib	mod	mod	low	tg	ht	wh/0174.bmp
198.00	0.72	266	3	1	67	mem	con	mod	mod	low	tg	ht	wh/0007.bmp
198.72	0.72	267	2	2	105	mem	lib	mod	mod	mod	tg	ht	wh/0674.bmp
199.44	0.72	268	1	2	59	per	con	mod	mod	mod	nt	cr	nh/0961_nh.bmp
200.16	0.72	269	3	2	41	per	con	low	mod	low	tg	ms	wh/0914.bmp
200.88	0.72	270	3	4	32	mem	con	mod	mod	low	nt	ht	nh/0131_nh.bmp
201.60	0.72	271	4	1	41	per	lib	low	mod	low	nt	cr	nh/0882_nh.bmp
202.32	0.72	272	4	1	73	mem	con	mod	mod	low	tg	ms	wh/1013.bmp
203.04	0.72	273	5	4	56	per	lib	mod	mod	mod	tg	ht	wh/0427.bmp
203.76	0.72	274	2	2	23	mem	con	mod	mod	mod	tg	ht	wh/1006.bmp
204.48	0.72	275	3	4	64	per	lib	mod	mod	mod	nt	cr	nh/0049_nh.bmp
205.20	0.72	276	3	4	1	per	lib	low	mod	low	tg	ht	wh/0195.bmp
205.92	0.72	277	3	4	7	per	lib	low	mod	low	nt	cr	nh/0454_nh.bmp
206.64	0.72	278	2	1	78	mem	con	mod	mod	low	nt	ht	nh/0444_nh.bmp
207.36	0.72	279	1	2	114	per	lib	low	low	low	tg	ms	wh/0911.bmp
208.08	0.72	280	1	2	52	per	con	mod	mod	mod	tg	ms	wh/0665.bmp
208.80	0.72	281	1	1	71	mem	con	mod	mod	low	tg	ht	wh/0494.bmp
209.52	0.72	282	3	3	96	mem	con	mod	mod	mod	nt	ht	nh/0538_nh.bmp
210.24	0.72	283	2	2	52	per	con	mod	mod	mod	tg	ms	wh/0665.bmp
210.96	0.72	284	3	3	87	mem	con	mod	mod	mod	nt	ht	nh/0705_nh.bmp
211.68	0.72	285	2	2	32	mem	con	mod	mod	mod	nt	ht	nh/0742_nh.bmp
212.40	0.72	286	5	4	107	per	con	low	mod	low	tg	ht	wh/0575.bmp
213.12	0.72	287	4	2	30	mem	con	mod	mod	mod	nt	ht	nh/0071_nh.bmp
213.84	0.72	288	1	4	36	mem	lib	mod	mod	mod	tg	ht	wh/0759.bmp
214.56	0.72	289	2	1	35	per	lib	low	mod	low	nt	fa	nh/0212_nh.bmp
215.28	0.72	290	4	2	41	per	con	low	mod	low	tg	ms	wh/0914.bmp
216.00	0.72	291	1	4	96	per	con	mod	low	mod	tg	ht	wh/0644.bmp
216.72	0.72	292	3	2	111	mem	lib	mod	mod	mod	nt	ht	nh/0983_nh.bmp
217.44	0.72	293	1	3	75	mem	lib	low	low	low	nt	ht	nh/0484_nh.bmp
218.16	0.72	294	4	3	15	per	con	mod	mod	mod	tg	ht	wh/0479.bmp
218.88	0.72	295	3	1	47	per	lib	low	mod	low	tg	ht	wh/0672.bmp
219.60	0.72	296	4	1	12	per	lib	mod	mod	mod	tg	ht	wh/0313.bmp
220.32	0.72	297	1	1	79	mem	con	mod	mod	low	nt	ht	nh/0312_nh.bmp
221.04	0.72	298	1	4	33	mem	lib	mod	mod	mod	nt	ht	nh/0477_nh.bmp
