onset	duration	trial	pres	ts_blk	ts_trl	task	crit	disc	mem_disc	per_disc	per_type	accuracy	stim_file
137.52	0.72	182	1	6	85	per	con	low	mod	low	nt	cr	nh/0361_nh.bmp
138.24	0.72	183	2	5	73	mem	lib	mod	mod	low	nt	ht	nh/0577_nh.bmp
138.96	0.72	184	2	7	88	per	con	mod	mod	mod	tg	ht	wh/0680.bmp
139.68	0.72	185	3	8	74	per	lib	low	mod	low	tg	ms	wh/0351.bmp
140.40	0.72	186	4	6	44	per	lib	low	mod	low	nt	cr	nh/0510_nh.bmp
141.12	0.72	187	2	6	108	per	lib	mod	mod	mod	tg	ht	wh/0182.bmp
141.84	0.72	188	2	7	95	per	con	mod	mod	mod	nt	cr	nh/0196_nh.bmp
142.56	0.72	189	4	7	80	mem	lib	mod	mod	mod	nt	ht	nh/0843_nh.bmp
143.28	0.72	190	1	8	90	per	con	mod	low	mod	tg	ms	wh/0220.bmp
144.00	0.72	191	1	5	116	mem	con	mod	mod	mod	tg	ht	wh/0350.bmp
144.72	0.72	192	1	7	87	per	con	mod	mod	mod	nt	cr	nh/0099_nh.bmp
145.44	0.72	193	2	7	87	per	con	mod	mod	mod	nt	cr	nh/0099_nh.bmp
146.16	0.72	194	1	8	71	per	lib	low	mod	low	nt	cr	nh/0744_nh.bmp
146.88	0.72	195	4	8	99	mem	con	mod	mod	low	tg	ht	wh/0608.bmp
147.60	0.72	196	2	5	19	per	con	mod	mod	mod	tg	ht	wh/0772.bmp
148.32	0.72	197	3	7	87	per	con	mod	mod	mod	nt	cr	nh/0099_nh.bmp
149.04	0.72	198	1	6	8	per	con	mod	low	mod	tg	ht	wh/0781.bmp
149.76	0.72	199	1	5	126	mem	con	mod	mod	mod	nt	ms	nh/0748_nh.bmp
150.48	0.72	200	3	5	19	per	con	mod	mod	mod	tg	ht	wh/0772.bmp
151.20	0.72	201	1	7	29	per	lib	low	low	low	tg	ht	wh/0507.bmp
151.92	0.72	202	1	5	69	mem	lib	mod	mod	low	nt	ht	nh/0503_nh.bmp
152.64	0.72	203	2	8	65	per	lib	low	mod	low	nt	fa	nh/0404_nh.bmp
153.36	0.72	204	1	7	16	per	lib	mod	mod	mod	tg	ht	wh/0319.bmp
154.08	0.72	205	1	7	128	mem	lib	low	low	mod	tg	ht	wh/0900.bmp
154.80	0.72	206	3	5	73	mem	lib	mod	mod	low	nt	ht	nh/0577_nh.bmp
155.52	0.72	207	1	7	68	mem	lib	mod	mod	mod	tg	ht	wh/0876.bmp
156.24	0.72	208	3	7	53	mem	con	mod	mod	mod	tg	ht	wh/0591.bmp
156.96	0.72	209	4	6	38	per	lib	low	mod	low	nt	cr	nh/0338_nh.bmp
157.68	0.72	210	2	6	99	per	lib	mod	mod	mod	nt	fa	nh/0209_nh.bmp
158.40	0.72	211	2	7	6	per	lib	mod	mod	mod	nt	cr	nh/0222_nh.bmp
159.12	0.72	212	2	7	54	mem	con	mod	mod	mod	nt	ms	nh/0442_nh.bmp
159.84	0.72	213	2	6	65	mem	con	mod	mod	low	nt	ht	nh/0417_nh.bmp
160.56	0.72	214	1	6	14	per	con	mod	low	mod	nt	cr	nh/0949_nh.bmp
161.28	0.72	215	2	6	102	per	lib	mod	mod	mod	tg	ht	wh/0904.bmp
162.00	0.72	216	2	7	91	per	con	mod	mod	mod	nt	cr	nh/0714_nh.bmp
162.72	0.72	217	2	6	74	mem	con	mod	mod	low	tg	ht	wh/0150.bmp
163.44	0.72	218	3	7	54	mem	con	mod	mod	mod	nt	ms	nh/0442_nh.bmp
164.16	0.72	219	1	8	48	per	lib	mod	low	mod	tg	ht	wh/0129.bmp
164.88	0.72	220	2	7	55	mem	con	mod	mod	mod	tg	ms	wh/0398.bmp
