onset	duration	value	sample	trial_type	stim_file
175.328	1	1	175328	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
176.329	1	1	176329	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
177.329	1	1	177329	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
178.33	1	1	178330	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
179.33	1	1	179330	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
180.331	1	1	180331	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
181.331	1	1	181331	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
182.332	1	1	182332	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
183.332	1	1	183332	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
184.332	1	1	184332	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
185.333	1	1	185333	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
186.333	1	1	186333	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
187.334	1	1	187334	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
188.334	1	1	188334	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
189.335	1	1	189335	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
190.335	1	1	190335	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
191.336	1	1	191336	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
192.336	1	1	192336	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
193.337	1	1	193337	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
194.337	1	1	194337	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
195.338	1	1	195338	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
196.338	1	1	196338	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
197.339	1	1	197339	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
