onset	duration	trial_type	value	sample	stimulus	target	blank_jitter_frames	accuracy	response_time	block
325.387	0.0	nontarget	5	325387	l	0	38.0	n/a	n/a	1
327.554	0.0	nontarget	5	327554	o	0	27.0	n/a	n/a	1
329.82	0.0	nontarget	5	329820	a	0	33.0	n/a	n/a	1
332.02	0.0	nontarget	5	332020	w	0	29.0	n/a	n/a	1
334.153	0.0	nontarget	5	334153	y	0	25.0	n/a	n/a	1
336.52	0.0	nontarget	5	336520	n	0	39.0	n/a	n/a	1
338.57	0.0	target	6	338570	u	1	20.0	1	0.4551053	1
338.92	0.5	BAD keypress	2	338920	n/a	n/a	n/a	n/a	n/a	n/a
339.17	0.0	keypress	4	339170	n/a	n/a	n/a	n/a	n/a	n/a
340.636	0.0	target	6	340636	t	1	29.0	1	0.4523191	1
340.986	0.5	BAD keypress	2	340986	n/a	n/a	n/a	n/a	n/a	n/a
341.236	0.0	keypress	4	341236	n/a	n/a	n/a	n/a	n/a	n/a
342.686	0.0	nontarget	5	342686	a	0	28.0	n/a	n/a	1
344.72	0.0	nontarget	5	344720	k	0	19.0	n/a	n/a	1
346.969	0.0	nontarget	5	346969	y	0	32.0	n/a	n/a	1
349.153	0.0	nontarget	5	349153	m	0	28.0	n/a	n/a	1
351.369	0.0	nontarget	5	351369	w	0	30.0	n/a	n/a	1
353.902	0.0	nontarget	5	353902	b	0	49.0	n/a	n/a	1
356.102	0.0	nontarget	5	356102	k	0	29.0	n/a	n/a	1
358.419	0.0	nontarget	5	358419	c	0	36.0	n/a	n/a	1
360.819	0.0	nontarget	5	360819	h	0	41.0	n/a	n/a	1
362.919	0.0	nontarget	5	362919	v	0	23.0	n/a	n/a	1
365.102	0.0	target	6	365102	d	1	28.0	1	0.4331256	1
365.419	0.5	BAD keypress	2	365419	n/a	n/a	n/a	n/a	n/a	n/a
365.669	0.0	keypress	4	365669	n/a	n/a	n/a	n/a	n/a	n/a
367.269	0.0	target	6	367269	z	1	36.0	1	0.4904156	1
367.669	0.5	BAD keypress	2	367669	n/a	n/a	n/a	n/a	n/a	n/a
367.919	0.0	keypress	4	367919	n/a	n/a	n/a	n/a	n/a	n/a
369.468	0.0	nontarget	5	369468	a	0	34.0	n/a	n/a	1
371.418	0.0	nontarget	5	371418	o	0	14.0	n/a	n/a	1
373.618	0.0	target	6	373618	k	1	29.0	1	0.3962622	1
373.935	0.5	BAD keypress	2	373935	n/a	n/a	n/a	n/a	n/a	n/a
374.185	0.0	keypress	4	374185	n/a	n/a	n/a	n/a	n/a	n/a
375.601	0.0	nontarget	5	375601	m	0	26.0	n/a	n/a	1
377.768	0.0	nontarget	5	377768	k	0	27.0	n/a	n/a	1
379.818	0.0	nontarget	5	379818	u	0	20.0	n/a	n/a	1
382.285	0.0	nontarget	5	382285	c	0	45.0	n/a	n/a	1
384.751	0.0	nontarget	5	384751	m	0	45.0	n/a	n/a	1
387.168	0.0	target	6	387168	m	1	42.0	1	0.3820403	1
387.451	0.5	BAD keypress	2	387451	n/a	n/a	n/a	n/a	n/a	n/a
387.701	0.0	keypress	4	387701	n/a	n/a	n/a	n/a	n/a	n/a
388.968	0.0	nontarget	5	388968	v	0	17.0	n/a	n/a	1
391.284	0.0	target	6	391284	ü	1	36.0	1	0.4412399	1
391.634	0.5	BAD keypress	2	391634	n/a	n/a	n/a	n/a	n/a	n/a
391.884	0.0	keypress	4	391884	n/a	n/a	n/a	n/a	n/a	n/a
392.984	21.16599999999994	BAD_break	3	392984	n/a	n/a	n/a	n/a	n/a	n/a
414.65	0.0	nontarget	5	414650	e	0	45.0	n/a	n/a	2
417.033	0.0	nontarget	5	417033	ä	0	40.0	n/a	n/a	2
418.983	0.0	nontarget	5	418983	o	0	14.0	n/a	n/a	2
420.933	0.0	nontarget	5	420933	y	0	14.0	n/a	n/a	2
423.399	0.0	nontarget	5	423399	d	0	45.0	n/a	n/a	2
425.466	0.0	target	6	425466	w	1	21.0	1	0.4010725	2
425.733	0.5	BAD keypress	2	425733	n/a	n/a	n/a	n/a	n/a	n/a
425.983	0.0	keypress	4	425983	n/a	n/a	n/a	n/a	n/a	n/a
427.683	0.0	nontarget	5	427683	s	0	43.0	n/a	n/a	2
430.132	0.0	nontarget	5	430132	y	0	44.0	n/a	n/a	2
432.132	0.0	nontarget	5	432132	h	0	17.0	n/a	n/a	2
434.199	0.0	nontarget	5	434199	g	0	21.0	n/a	n/a	2
436.465	0.0	nontarget	5	436465	j	0	33.0	n/a	n/a	2
438.415	0.0	target	6	438415	i	1	14.0	1	0.506872	2
438.815	0.5	BAD keypress	2	438815	n/a	n/a	n/a	n/a	n/a	n/a
439.065	0.0	keypress	4	439065	n/a	n/a	n/a	n/a	n/a	n/a
440.465	0.0	nontarget	5	440465	w	0	25.0	n/a	n/a	2
442.849	0.0	nontarget	5	442849	l	0	40.0	n/a	n/a	2
444.998	0.0	nontarget	5	444998	ö	0	26.0	n/a	n/a	2
447.398	0.0	nontarget	5	447398	p	0	41.0	n/a	n/a	2
449.548	0.0	target	6	449548	o	1	26.0	1	0.36527	2
449.765	0.5	BAD keypress	2	449765	n/a	n/a	n/a	n/a	n/a	n/a
450.015	0.0	keypress	4	450015	n/a	n/a	n/a	n/a	n/a	n/a
451.831	0.0	nontarget	5	451831	v	0	50.0	n/a	n/a	2
454.248	0.0	nontarget	5	454248	l	0	42.0	n/a	n/a	2
456.248	0.0	nontarget	5	456248	n	0	17.0	n/a	n/a	2
458.264	0.0	nontarget	5	458264	ü	0	18.0	n/a	n/a	2
460.514	0.0	target	6	460514	k	1	32.0	1	0.3423306	2
460.748	0.5	BAD keypress	2	460748	n/a	n/a	n/a	n/a	n/a	n/a
460.998	0.0	keypress	4	460998	n/a	n/a	n/a	n/a	n/a	n/a
462.398	0.0	nontarget	5	462398	t	0	21.0	n/a	n/a	2
464.614	0.0	nontarget	5	464614	h	0	30.0	n/a	n/a	2
466.614	0.0	nontarget	5	466614	x	0	17.0	n/a	n/a	2
468.947	0.0	nontarget	5	468947	l	0	37.0	n/a	n/a	2
471.264	0.0	nontarget	5	471264	e	0	36.0	n/a	n/a	2
473.497	0.0	target	6	473497	o	1	31.0	1	0.414704	2
473.781	0.5	BAD keypress	2	473781	n/a	n/a	n/a	n/a	n/a	n/a
474.031	0.0	keypress	4	474031	n/a	n/a	n/a	n/a	n/a	n/a
475.814	0.0	nontarget	5	475814	w	0	48.0	n/a	n/a	2
477.997	0.0	target	6	477997	f	1	28.0	1	0.4265811	2
478.297	0.5	BAD keypress	2	478297	n/a	n/a	n/a	n/a	n/a	n/a
478.547	0.0	keypress	4	478547	n/a	n/a	n/a	n/a	n/a	n/a
480.164	0.0	target	6	480164	r	1	38.0	1	0.3718729	2
480.397	0.5	BAD keypress	2	480397	n/a	n/a	n/a	n/a	n/a	n/a
480.647	0.0	keypress	4	480647	n/a	n/a	n/a	n/a	n/a	n/a
481.88	0.0	nontarget	5	481880	u	0	15.0	n/a	n/a	2
484.147	0.0	nontarget	5	484147	f	0	33.0	n/a	n/a	2
486.397	0.0	nontarget	5	486397	b	0	32.0	n/a	n/a	2
488.43	0.0	nontarget	5	488430	l	0	19.0	n/a	n/a	2
490.88	0.0	nontarget	5	490880	ä	0	44.0	n/a	n/a	2
492.93	0.0	target	6	492930	t	1	20.0	1	0.4208806	2
493.213	0.5	BAD keypress	2	493213	n/a	n/a	n/a	n/a	n/a	n/a
493.463	0.0	keypress	4	493463	n/a	n/a	n/a	n/a	n/a	n/a
495.096	0.0	nontarget	5	495096	u	0	39.0	n/a	n/a	2
497.163	0.0	nontarget	5	497163	a	0	21.0	n/a	n/a	2
499.246	0.0	nontarget	5	499246	ä	0	22.0	n/a	n/a	2
501.413	0.0	target	6	501413	e	1	27.0	1	0.4014344	2
501.696	0.5	BAD keypress	2	501696	n/a	n/a	n/a	n/a	n/a	n/a
501.946	0.0	keypress	4	501946	n/a	n/a	n/a	n/a	n/a	n/a
503.762	0.0	nontarget	5	503762	i	0	50.0	n/a	n/a	2
506.112	0.0	nontarget	5	506112	ß	0	38.0	n/a	n/a	2
508.179	0.0	nontarget	5	508179	v	0	21.0	n/a	n/a	2
510.179	0.0	nontarget	5	510179	m	0	17.0	n/a	n/a	2
512.145	0.0	target	6	512145	y	1	15.0	1	0.3878705	2
512.396	0.5	BAD keypress	2	512396	n/a	n/a	n/a	n/a	n/a	n/a
512.646	0.0	keypress	4	512646	n/a	n/a	n/a	n/a	n/a	n/a
513.895	0.0	target	6	513895	i	1	16.0	1	0.5097564	2
514.279	0.5	BAD keypress	2	514279	n/a	n/a	n/a	n/a	n/a	n/a
514.529	0.0	keypress	4	514529	n/a	n/a	n/a	n/a	n/a	n/a
516.295	0.0	nontarget	5	516295	ü	0	47.0	n/a	n/a	2
518.512	0.0	nontarget	5	518512	p	0	30.0	n/a	n/a	2
520.912	0.0	nontarget	5	520912	h	0	41.0	n/a	n/a	2
523.312	0.0	target	6	523312	j	1	41.0	1	0.4529418	2
523.645	0.5	BAD keypress	2	523645	n/a	n/a	n/a	n/a	n/a	n/a
523.895	0.0	keypress	4	523895	n/a	n/a	n/a	n/a	n/a	n/a
525.528	0.0	nontarget	5	525528	s	0	39.0	n/a	n/a	2
528.045	0.0	nontarget	5	528045	v	0	48.0	n/a	n/a	2
530.478	0.0	target	6	530478	v	1	43.0	1	0.3740494	2
530.745	0.5	BAD keypress	2	530745	n/a	n/a	n/a	n/a	n/a	n/a
530.995	0.0	keypress	4	530995	n/a	n/a	n/a	n/a	n/a	n/a
532.511	0.0	nontarget	5	532511	ü	0	32.0	n/a	n/a	2
534.961	0.0	nontarget	5	534961	k	0	44.0	n/a	n/a	2
536.944	0.0	nontarget	5	536944	j	0	16.0	n/a	n/a	2
539.444	0.0	nontarget	5	539444	f	0	47.0	n/a	n/a	2
541.877	0.0	nontarget	5	541877	ö	0	43.0	n/a	n/a	2
544.394	0.0	nontarget	5	544394	v	0	48.0	n/a	n/a	2
546.861	0.0	nontarget	5	546861	q	0	45.0	n/a	n/a	2
548.844	0.0	nontarget	5	548844	r	0	16.0	n/a	n/a	2
551.294	0.0	nontarget	5	551294	h	0	44.0	n/a	n/a	2
553.777	0.0	nontarget	5	553777	b	0	46.0	n/a	n/a	2
556.127	0.0	nontarget	5	556127	m	0	38.0	n/a	n/a	2
558.66	0.0	nontarget	5	558660	c	0	49.0	n/a	n/a	2
559.76	26.015999999999963	BAD_break	3	559760	n/a	n/a	n/a	n/a	n/a	n/a
586.276	0.0	nontarget	5	586276	ß	0	18.0	n/a	n/a	3
588.742	0.0	nontarget	5	588742	q	0	45.0	n/a	n/a	3
590.909	0.0	nontarget	5	590909	t	0	27.0	n/a	n/a	3
593.009	0.0	nontarget	5	593009	n	0	23.0	n/a	n/a	3
595.092	0.0	nontarget	5	595092	g	0	22.0	n/a	n/a	3
597.158	0.0	nontarget	5	597158	z	0	21.0	n/a	n/a	3
599.492	0.0	nontarget	5	599492	ü	0	37.0	n/a	n/a	3
602.008	0.0	target	6	602008	a	1	48.0	1	0.3751053	3
602.258	0.5	BAD keypress	2	602258	n/a	n/a	n/a	n/a	n/a	n/a
602.508	0.0	keypress	4	602508	n/a	n/a	n/a	n/a	n/a	n/a
604.208	0.0	nontarget	5	604208	s	0	43.0	n/a	n/a	3
606.658	0.0	target	6	606658	x	1	44.0	1	0.380996	3
606.925	0.5	BAD keypress	2	606925	n/a	n/a	n/a	n/a	n/a	n/a
607.175	0.0	keypress	4	607175	n/a	n/a	n/a	n/a	n/a	n/a
608.541	0.0	nontarget	5	608541	ö	0	23.0	n/a	n/a	3
610.874	0.0	nontarget	5	610874	b	0	37.0	n/a	n/a	3
613.174	0.0	nontarget	5	613174	v	0	35.0	n/a	n/a	3
615.224	0.0	nontarget	5	615224	i	0	20.0	n/a	n/a	3
617.291	0.0	nontarget	5	617291	r	0	21.0	n/a	n/a	3
619.407	0.0	nontarget	5	619407	n	0	24.0	n/a	n/a	3
621.707	0.0	nontarget	5	621707	e	0	35.0	n/a	n/a	3
624.024	0.0	target	6	624024	z	1	36.0	1	0.3898716	3
624.324	0.5	BAD keypress	2	624324	n/a	n/a	n/a	n/a	n/a	n/a
624.574	0.0	keypress	4	624574	n/a	n/a	n/a	n/a	n/a	n/a
626.124	0.0	target	6	626124	m	1	34.0	1	0.4499118	3
626.44	0.5	BAD keypress	2	626440	n/a	n/a	n/a	n/a	n/a	n/a
626.69	0.0	keypress	4	626690	n/a	n/a	n/a	n/a	n/a	n/a
628.424	0.0	nontarget	5	628424	q	0	45.0	n/a	n/a	3
630.957	0.0	nontarget	5	630957	l	0	49.0	n/a	n/a	3
633.04	0.0	nontarget	5	633040	i	0	22.0	n/a	n/a	3
635.407	0.0	nontarget	5	635407	v	0	39.0	n/a	n/a	3
637.74	0.0	nontarget	5	637740	x	0	37.0	n/a	n/a	3
639.873	0.0	target	6	639873	y	1	25.0	1	0.3635219	3
640.157	0.5	BAD keypress	2	640157	n/a	n/a	n/a	n/a	n/a	n/a
640.407	0.0	keypress	4	640407	n/a	n/a	n/a	n/a	n/a	n/a
641.99	0.0	nontarget	5	641990	g	0	36.0	n/a	n/a	3
643.99	0.0	nontarget	5	643990	a	0	17.0	n/a	n/a	3
646.356	0.0	nontarget	5	646356	v	0	39.0	n/a	n/a	3
648.639	0.0	nontarget	5	648639	e	0	34.0	n/a	n/a	3
650.673	0.0	nontarget	5	650673	r	0	19.0	n/a	n/a	3
652.923	0.0	nontarget	5	652923	a	0	32.0	n/a	n/a	3
655.422	0.0	nontarget	5	655422	p	0	47.0	n/a	n/a	3
657.906	0.0	nontarget	5	657906	ä	0	46.0	n/a	n/a	3
660.089	0.0	nontarget	5	660089	w	0	28.0	n/a	n/a	3
662.372	0.0	nontarget	5	662372	k	0	34.0	n/a	n/a	3
664.472	0.0	nontarget	5	664472	z	0	23.0	n/a	n/a	3
666.705	0.0	nontarget	5	666705	g	0	31.0	n/a	n/a	3
669.189	0.0	nontarget	5	669189	h	0	46.0	n/a	n/a	3
671.638	0.0	target	6	671638	j	1	44.0	1	0.5321266	3
672.055	0.5	BAD keypress	2	672055	n/a	n/a	n/a	n/a	n/a	n/a
672.305	0.0	keypress	4	672305	n/a	n/a	n/a	n/a	n/a	n/a
674.005	0.0	nontarget	5	674005	a	0	43.0	n/a	n/a	3
676.538	0.0	nontarget	5	676538	v	0	49.0	n/a	n/a	3
679.021	0.0	nontarget	5	679021	s	0	46.0	n/a	n/a	3
681.071	0.0	nontarget	5	681071	ä	0	20.0	n/a	n/a	3
683.288	0.0	nontarget	5	683288	ü	0	30.0	n/a	n/a	3
685.638	0.0	nontarget	5	685638	c	0	38.0	n/a	n/a	3
687.721	0.0	nontarget	5	687721	e	0	22.0	n/a	n/a	3
689.954	0.0	nontarget	5	689954	m	0	31.0	n/a	n/a	3
692.421	0.0	nontarget	5	692421	v	0	45.0	n/a	n/a	3
694.704	0.0	nontarget	5	694704	w	0	34.0	n/a	n/a	3
696.821	0.0	nontarget	5	696821	z	0	24.0	n/a	n/a	3
698.854	0.0	nontarget	5	698854	y	0	19.0	n/a	n/a	3
701.27	0.0	nontarget	5	701270	ä	0	42.0	n/a	n/a	3
703.62	0.0	target	6	703620	s	1	38.0	1	0.4360118	3
703.937	0.5	BAD keypress	2	703937	n/a	n/a	n/a	n/a	n/a	n/a
704.187	0.0	keypress	4	704187	n/a	n/a	n/a	n/a	n/a	n/a
705.42	0.0	nontarget	5	705420	o	0	15.0	n/a	n/a	3
707.537	0.0	nontarget	5	707537	x	0	24.0	n/a	n/a	3
709.903	0.0	nontarget	5	709903	z	0	39.0	n/a	n/a	3
711.937	0.0	nontarget	5	711937	g	0	19.0	n/a	n/a	3
714.003	0.0	nontarget	5	714003	q	0	21.0	n/a	n/a	3
716.136	0.0	target	6	716136	d	1	25.0	1	0.4951455	3
716.52	0.5	BAD keypress	2	716520	n/a	n/a	n/a	n/a	n/a	n/a
716.77	0.0	keypress	4	716770	n/a	n/a	n/a	n/a	n/a	n/a
718.386	0.0	nontarget	5	718386	d	0	38.0	n/a	n/a	3
720.486	0.0	target	6	720486	g	1	23.0	1	0.369009	3
720.736	0.5	BAD keypress	2	720736	n/a	n/a	n/a	n/a	n/a	n/a
720.986	0.0	keypress	4	720986	n/a	n/a	n/a	n/a	n/a	n/a
722.236	0.0	nontarget	5	722236	i	0	16.0	n/a	n/a	3
724.219	0.0	target	6	724219	f	1	16.0	1	0.4275759	3
724.536	0.5	BAD keypress	2	724536	n/a	n/a	n/a	n/a	n/a	n/a
724.786	0.0	keypress	4	724786	n/a	n/a	n/a	n/a	n/a	n/a
726.053	0.0	target	6	726053	v	1	17.0	1	0.3702684	3
726.286	0.5	BAD keypress	2	726286	n/a	n/a	n/a	n/a	n/a	n/a
726.536	0.0	keypress	4	726536	n/a	n/a	n/a	n/a	n/a	n/a
728.336	0.0	nontarget	5	728336	k	0	49.0	n/a	n/a	3
730.786	0.0	target	6	730786	y	1	44.0	1	0.45276392	3
731.103	0.5	BAD keypress	2	731103	n/a	n/a	n/a	n/a	n/a	n/a
731.353	0.0	keypress	4	731353	n/a	n/a	n/a	n/a	n/a	n/a
732.453	109.09500000000004	BAD_break	3	732453	n/a	n/a	n/a	n/a	n/a	n/a
842.048	0.0	target	6	842048	k	1	26.0	1	0.3995286	4
842.331	0.5	BAD keypress	2	842331	n/a	n/a	n/a	n/a	n/a	n/a
842.581	0.0	keypress	4	842581	n/a	n/a	n/a	n/a	n/a	n/a
844.381	0.0	nontarget	5	844381	x	0	48.0	n/a	n/a	4
846.764	0.0	nontarget	5	846764	r	0	40.0	n/a	n/a	4
849.147	0.0	nontarget	5	849147	e	0	40.0	n/a	n/a	4
851.481	0.0	target	6	851481	h	1	37.0	1	0.3580319	4
851.697	0.5	BAD keypress	2	851697	n/a	n/a	n/a	n/a	n/a	n/a
851.947	0.0	keypress	4	851947	n/a	n/a	n/a	n/a	n/a	n/a
853.664	0.0	nontarget	5	853664	o	0	44.0	n/a	n/a	4
855.697	0.0	nontarget	5	855697	f	0	19.0	n/a	n/a	4
857.847	0.0	nontarget	5	857847	m	0	26.0	n/a	n/a	4
860.197	0.0	nontarget	5	860197	g	0	38.0	n/a	n/a	4
862.563	0.0	target	6	862563	s	1	39.0	1	0.458456	4
862.913	0.5	BAD keypress	2	862913	n/a	n/a	n/a	n/a	n/a	n/a
863.163	0.0	keypress	4	863163	n/a	n/a	n/a	n/a	n/a	n/a
864.78	0.0	nontarget	5	864780	ß	0	38.0	n/a	n/a	4
867.03	0.0	nontarget	5	867030	u	0	32.0	n/a	n/a	4
869.446	0.0	nontarget	5	869446	b	0	42.0	n/a	n/a	4
871.746	0.0	nontarget	5	871746	l	0	35.0	n/a	n/a	4
873.696	0.0	nontarget	5	873696	c	0	14.0	n/a	n/a	4
875.946	0.0	nontarget	5	875946	w	0	32.0	n/a	n/a	4
878.313	0.0	target	6	878313	u	1	39.0	1	0.4039959	4
878.596	0.5	BAD keypress	2	878596	n/a	n/a	n/a	n/a	n/a	n/a
878.846	0.0	keypress	4	878846	n/a	n/a	n/a	n/a	n/a	n/a
880.596	0.0	nontarget	5	880596	ä	0	46.0	n/a	n/a	4
882.563	0.0	nontarget	5	882563	s	0	15.0	n/a	n/a	4
884.579	0.0	target	6	884579	i	1	18.0	1	0.4092279	4
884.846	0.5	BAD keypress	2	884846	n/a	n/a	n/a	n/a	n/a	n/a
885.096	0.0	keypress	4	885096	n/a	n/a	n/a	n/a	n/a	n/a
886.896	0.0	nontarget	5	886896	p	0	48.0	n/a	n/a	4
889.212	0.0	nontarget	5	889212	c	0	36.0	n/a	n/a	4
891.529	0.0	nontarget	5	891529	u	0	36.0	n/a	n/a	4
893.829	0.0	nontarget	5	893829	o	0	35.0	n/a	n/a	4
896.145	0.0	target	6	896145	x	1	36.0	1	0.3462957	4
896.362	0.5	BAD keypress	2	896362	n/a	n/a	n/a	n/a	n/a	n/a
896.612	0.0	keypress	4	896612	n/a	n/a	n/a	n/a	n/a	n/a
897.995	0.0	nontarget	5	897995	n	0	23.0	n/a	n/a	4
900.262	0.0	nontarget	5	900262	d	0	33.0	n/a	n/a	4
902.528	0.0	nontarget	5	902528	c	0	33.0	n/a	n/a	4
905.062	0.0	nontarget	5	905062	ö	0	49.0	n/a	n/a	4
907.345	0.0	nontarget	5	907345	z	0	34.0	n/a	n/a	4
909.578	0.0	nontarget	5	909578	q	0	31.0	n/a	n/a	4
911.928	0.0	target	6	911928	l	1	38.0	1	0.4346151	4
912.211	0.5	BAD keypress	2	912211	n/a	n/a	n/a	n/a	n/a	n/a
912.461	0.0	keypress	4	912461	n/a	n/a	n/a	n/a	n/a	n/a
913.878	0.0	nontarget	5	913878	x	0	26.0	n/a	n/a	4
915.911	0.0	nontarget	5	915911	g	0	19.0	n/a	n/a	4
918.344	0.0	nontarget	5	918344	ü	0	43.0	n/a	n/a	4
920.611	0.0	nontarget	5	920611	u	0	33.0	n/a	n/a	4
923.011	0.0	nontarget	5	923011	e	0	41.0	n/a	n/a	4
925.311	0.0	nontarget	5	925311	q	0	35.0	n/a	n/a	4
927.361	0.0	target	6	927361	w	1	20.0	1	0.4567769	4
927.677	0.5	BAD keypress	2	927677	n/a	n/a	n/a	n/a	n/a	n/a
927.927	0.0	keypress	4	927927	n/a	n/a	n/a	n/a	n/a	n/a
929.61	0.0	nontarget	5	929610	v	0	42.0	n/a	n/a	4
931.694	0.0	nontarget	5	931694	o	0	22.0	n/a	n/a	4
933.777	0.0	nontarget	5	933777	d	0	22.0	n/a	n/a	4
935.727	0.0	target	6	935727	q	1	14.0	1	0.3940171	4
935.994	0.5	BAD keypress	2	935994	n/a	n/a	n/a	n/a	n/a	n/a
936.244	0.0	keypress	4	936244	n/a	n/a	n/a	n/a	n/a	n/a
937.493	0.0	nontarget	5	937493	v	0	16.0	n/a	n/a	4
939.927	0.0	nontarget	5	939927	o	0	43.0	n/a	n/a	4
942.11	0.0	nontarget	5	942110	d	0	28.0	n/a	n/a	4
944.126	0.0	nontarget	5	944126	e	0	18.0	n/a	n/a	4
946.343	0.0	nontarget	5	946343	i	0	30.0	n/a	n/a	4
948.743	0.0	nontarget	5	948743	v	0	41.0	n/a	n/a	4
951.159	0.0	nontarget	5	951159	k	0	42.0	n/a	n/a	4
953.276	0.0	nontarget	5	953276	n	0	24.0	n/a	n/a	4
955.643	0.0	target	6	955643	n	1	39.0	1	0.3809404	4
955.893	0.5	BAD keypress	2	955893	n/a	n/a	n/a	n/a	n/a	n/a
956.143	0.0	keypress	4	956143	n/a	n/a	n/a	n/a	n/a	n/a
957.376	0.0	nontarget	5	957376	h	0	15.0	n/a	n/a	4
959.642	0.0	target	6	959642	j	1	33.0	1	0.4128034	4
959.959	0.5	BAD keypress	2	959959	n/a	n/a	n/a	n/a	n/a	n/a
960.209	0.0	keypress	4	960209	n/a	n/a	n/a	n/a	n/a	n/a
961.592	0.0	nontarget	5	961592	e	0	24.0	n/a	n/a	4
963.759	0.0	nontarget	5	963759	ß	0	27.0	n/a	n/a	4
966.092	0.0	target	6	966092	ü	1	37.0	1	0.362629	4
966.326	0.5	BAD keypress	2	966326	n/a	n/a	n/a	n/a	n/a	n/a
966.576	0.0	keypress	4	966576	n/a	n/a	n/a	n/a	n/a	n/a
967.942	0.0	nontarget	5	967942	p	0	23.0	n/a	n/a	4
969.959	0.0	nontarget	5	969959	s	0	18.0	n/a	n/a	4
972.109	0.0	nontarget	5	972109	u	0	26.0	n/a	n/a	4
974.342	0.0	nontarget	5	974342	ü	0	31.0	n/a	n/a	4
976.675	0.0	target	6	976675	v	1	37.0	1	0.3711298	4
976.942	0.5	BAD keypress	2	976942	n/a	n/a	n/a	n/a	n/a	n/a
977.192	0.0	keypress	4	977192	n/a	n/a	n/a	n/a	n/a	n/a
978.442	0.0	nontarget	5	978442	b	0	16.0	n/a	n/a	4
980.625	0.0	nontarget	5	980625	ö	0	28.0	n/a	n/a	4
982.891	0.0	nontarget	5	982891	d	0	33.0	n/a	n/a	4
984.908	0.0	nontarget	5	984908	a	0	18.0	n/a	n/a	4
986.008	21.881999999999948	BAD_break	3	986008	n/a	n/a	n/a	n/a	n/a	n/a
1008.39	0.0	target	6	1008390	b	1	30.0	1	0.4936048	5
1008.757	0.5	BAD keypress	2	1008757	n/a	n/a	n/a	n/a	n/a	n/a
1009.007	0.0	keypress	4	1009007	n/a	n/a	n/a	n/a	n/a	n/a
