onset	duration	trial_type	value	sample	stim_file
684.82421875	0.0	endOfClip	129	1402520	n/a
686.7529296875	0.0	trialEnd	193	1406470	n/a
687.5458984375	0.0	trialStart	192	1408094	n/a
689.3544921875	0.0	startOfNotRecognisedClip	1	1411798	The_Pianist_311_321_29.txt
699.36572265625	0.0	endOfClip	129	1432301	n/a
701.8564453125	0.0	trialEnd	193	1437402	n/a
702.05712890625	0.0	trialStart	192	1437813	n/a
703.82177734375	0.0	startOfNotRecognisedClip	1	1441427	Red_361_371_6.txt
713.83056640625	0.0	endOfClip	129	1461925	n/a
715.51171875	0.0	trialEnd	193	1465368	n/a
715.7119140625	0.0	trialStart	192	1465778	n/a
717.60009765625	0.0	startOfRememberedClipFirstWatch	3	1469645	The_Dark_Knight_Rises_4873_4883_28.txt
727.60791015625	0.0	endOfClip	129	1490141	n/a
730.6083984375	0.0	startOfSecondWatch	128	1496286	The_Dark_Knight_Rises_4873_4883_28.txt
731.41845703125	0.0	firstRecognitionClick	257	1497945	n/a
733.95654296875	0.0	recognitionClick	160	1503143	n/a
735.75146484375	0.0	recognitionClick	160	1506819	n/a
736.28857421875	0.0	recognitionClick	160	1507919	n/a
740.61669921875	0.0	endOfClip	129	1516783	n/a
742.904296875	0.0	trialEnd	193	1521468	n/a
743.10498046875	0.0	trialStart	192	1521879	n/a
744.91845703125	0.0	startOfRememberedClipFirstWatch	3	1525593	Fantastic_Beasts_and_Where_to_Find_Them_3812_3822_83.txt
754.92919921875	0.0	endOfClip	129	1546095	n/a
757.8115234375	0.0	startOfSecondWatch	128	1551998	Fantastic_Beasts_and_Where_to_Find_Them_3812_3822_83.txt
758.775390625	0.0	firstRecognitionClick	257	1553972	n/a
760.7548828125	0.0	recognitionClick	160	1558026	n/a
764.087890625	0.0	recognitionClick	160	1564852	n/a
767.81982421875	0.0	endOfClip	129	1572495	n/a
770.85546875	0.0	trialEnd	193	1578712	n/a
771.05615234375	0.0	trialStart	192	1579123	n/a
772.8408203125	0.0	startOfNotRecognisedClip	1	1582778	Terminator_2_-_Judgement_Day_4757_4767_4.txt
782.84912109375	0.0	endOfClip	129	1603275	n/a
784.54296875	0.0	trialEnd	193	1606744	n/a
784.7431640625	0.0	trialStart	192	1607154	n/a
786.5458984375	0.0	startOfNotRecognisedClip	1	1610846	Transcendence_321_331_4.txt
796.55419921875	0.0	endOfClip	129	1631343	n/a
797.982421875	0.0	trialEnd	193	1634268	n/a
798.18359375	0.0	trialStart	192	1634680	n/a
799.97265625	0.0	startOfRecognisedClipFirstWatch	2	1638344	Black_Swan_1655_1665_11.txt
809.98388671875	0.0	endOfClip	129	1658847	n/a
813.23486328125	0.0	startOfSecondWatch	128	1665505	Black_Swan_1655_1665_11.txt
814.46826171875	0.0	firstRecognitionClick	257	1668031	n/a
818.58056640625	0.0	recognitionClick	160	1676453	n/a
823.2431640625	0.0	endOfClip	129	1686002	n/a
827.28466796875	0.0	trialEnd	193	1694279	n/a
827.48486328125	0.0	trialStart	192	1694689	n/a
829.24658203125	0.0	startOfNotRecognisedClip	1	1698297	The_Maze_Runner_926_936_227.txt
839.2548828125	0.0	endOfClip	129	1718794	n/a
840.80517578125	0.0	trialEnd	193	1721969	n/a
841.00537109375	0.0	trialStart	192	1722379	n/a
842.80908203125	0.0	startOfNotRecognisedClip	1	1726073	The_Ninth_Gate_4410_4420_7.txt
852.8173828125	0.0	endOfClip	129	1746570	n/a
854.35595703125	0.0	trialEnd	193	1749721	n/a
854.55615234375	0.0	trialStart	192	1750131	n/a
856.3291015625	0.0	startOfNotRecognisedClip	1	1753762	The_Hunger_Games_1_1805_1815_4.txt
866.34033203125	0.0	endOfClip	129	1774265	n/a
868.97265625	0.0	trialEnd	193	1779656	n/a
870.13330078125	0.0	trialStart	192	1782033	n/a
871.92578125	0.0	startOfRememberedClipFirstWatch	3	1785704	Inception_275_285_36.txt
881.9345703125	0.0	endOfClip	129	1806202	n/a
884.947265625	0.0	startOfSecondWatch	128	1812372	Inception_275_285_36.txt
886.22412109375	0.0	firstRecognitionClick	257	1814987	n/a
887.6279296875	0.0	recognitionClick	160	1817862	n/a
893.89013671875	0.0	recognitionClick	160	1830687	n/a
894.95556640625	0.0	endOfClip	129	1832869	n/a
897.74072265625	0.0	trialEnd	193	1838573	n/a
897.94091796875	0.0	trialStart	192	1838983	n/a
899.7216796875	0.0	startOfRecognisedClipFirstWatch	2	1842630	The_Theory_of_Everything_4284_4294_240.txt
909.72998046875	0.0	endOfClip	129	1863127	n/a
913.24169921875	0.0	startOfSecondWatch	128	1870319	The_Theory_of_Everything_4284_4294_240.txt
914.38525390625	0.0	firstRecognitionClick	257	1872661	n/a
917.98974609375	0.0	recognitionClick	160	1880043	n/a
921.59130859375	0.0	recognitionClick	160	1887419	n/a
923.2529296875	0.0	endOfClip	129	1890822	n/a
925.5400390625	0.0	trialEnd	193	1895506	n/a
925.73974609375	0.0	trialStart	192	1895915	n/a
927.52880859375	0.0	startOfRememberedClipFirstWatch	3	1899579	GoodFellas_4311_4321_17.txt
937.53759765625	0.0	endOfClip	129	1920077	n/a
940.23486328125	0.0	startOfSecondWatch	128	1925601	GoodFellas_4311_4321_17.txt
940.98095703125	0.0	firstRecognitionClick	257	1927129	n/a
942.51123046875	0.0	recognitionClick	160	1930263	n/a
943.5107421875	0.0	recognitionClick	160	1932310	n/a
946.115234375	0.0	recognitionClick	160	1937644	n/a
946.98046875	0.0	recognitionClick	160	1939416	n/a
950.2431640625	0.0	endOfClip	129	1946098	n/a
953.25830078125	0.0	trialEnd	193	1952273	n/a
953.4580078125	0.0	trialStart	192	1952682	n/a
955.19384765625	0.0	startOfRememberedClipFirstWatch	3	1956237	The_Bourne_Ultimatum_5257_5267_50.txt
965.2021484375	0.0	endOfClip	129	1976734	n/a
967.83154296875	0.0	startOfSecondWatch	128	1982119	The_Bourne_Ultimatum_5257_5267_50.txt
968.84375	0.0	firstRecognitionClick	257	1984192	n/a
971.24658203125	0.0	recognitionClick	160	1989113	n/a
977.8427734375	0.0	endOfClip	129	2002622	n/a
979.818359375	0.0	trialEnd	193	2006668	n/a
980.01953125	0.0	trialStart	192	2007080	n/a
981.93212890625	0.0	startOfNotRecognisedClip	1	2010997	Boyhood_183_193_7.txt
991.9404296875	0.0	endOfClip	129	2031494	n/a
993.57080078125	0.0	trialEnd	193	2034833	n/a
993.77099609375	0.0	trialStart	192	2035243	n/a
995.5703125	0.0	startOfNotRecognisedClip	1	2038928	Hook_2391_2401_47.txt
1005.57861328125	0.0	endOfClip	129	2059425	n/a
1006.99365234375	0.0	trialEnd	193	2062323	n/a
1007.1943359375	0.0	trialStart	192	2062734	n/a
1008.951171875	0.0	startOfNotRecognisedClip	1	2066332	Never_Let_Me_Go_3111_3121_3.txt
1018.95947265625	0.0	endOfClip	129	2086829	n/a
1020.27197265625	0.0	trialEnd	193	2089517	n/a
1020.47216796875	0.0	trialStart	192	2089927	n/a
1022.23828125	0.0	startOfNotRecognisedClip	1	2093544	Paranoia_348_358_141.txt
1032.24951171875	0.0	endOfClip	129	2114047	n/a
1033.6884765625	0.0	trialEnd	193	2116994	n/a
1033.888671875	0.0	trialStart	192	2117404	n/a
1035.7373046875	0.0	startOfRememberedClipFirstWatch	3	2121190	James_Bond_-_Casino_Royale_2109_2119_3.txt
1045.74609375	0.0	endOfClip	129	2141688	n/a
1048.755859375	0.0	startOfSecondWatch	128	2147852	James_Bond_-_Casino_Royale_2109_2119_3.txt
1049.69921875	0.0	firstRecognitionClick	257	2149784	n/a
1054.63623046875	0.0	recognitionClick	160	2159895	n/a
1058.76416015625	0.0	endOfClip	129	2168349	n/a
1061.06591796875	0.0	trialEnd	193	2173063	n/a
1061.26513671875	0.0	trialStart	192	2173471	n/a
1063.03076171875	0.0	startOfNotRecognisedClip	1	2177087	Armageddon_4604_4614_10.txt
1073.0390625	0.0	endOfClip	129	2197584	n/a
1074.640625	0.0	trialEnd	193	2200864	n/a
1075.67236328125	0.0	trialStart	192	2202977	n/a
1077.47900390625	0.0	startOfRecognisedClipFirstWatch	2	2206677	Resident_Evil_1_3328_3338_13.txt
1087.490234375	0.0	endOfClip	129	2227180	n/a
1090.70849609375	0.0	startOfSecondWatch	128	2233771	Resident_Evil_1_3328_3338_13.txt
1092.65185546875	0.0	firstRecognitionClick	257	2237751	n/a
1095.25390625	0.0	recognitionClick	160	2243080	n/a
1100.716796875	0.0	endOfClip	129	2254268	n/a
1102.51171875	0.0	trialEnd	193	2257944	n/a
1102.7119140625	0.0	trialStart	192	2258354	n/a
1104.47314453125	0.0	startOfNotRecognisedClip	1	2261961	Saving_Mr_Banks_4408_4418_3.txt
1114.4814453125	0.0	endOfClip	129	2282458	n/a
1116.05615234375	0.0	trialEnd	193	2285683	n/a
1116.25537109375	0.0	trialStart	192	2286091	n/a
1118.13427734375	0.0	startOfNotRecognisedClip	1	2289939	The_Hunger_Games_2_-_Catching_Fire_356_366_13.txt
1128.14208984375	0.0	endOfClip	129	2310435	n/a
1131.087890625	0.0	trialEnd	193	2316468	n/a
1131.287109375	0.0	trialStart	192	2316876	n/a
1133.0927734375	0.0	startOfRememberedClipFirstWatch	3	2320574	Harry_Potter_7_-_and_the_Deathly_Hallows_-_Part_1_4227_4237_7.txt
1143.103515625	0.0	endOfClip	129	2341076	n/a
1146.4931640625	0.0	startOfSecondWatch	128	2348018	Harry_Potter_7_-_and_the_Deathly_Hallows_-_Part_1_4227_4237_7.txt
1147.26123046875	0.0	firstRecognitionClick	257	2349591	n/a
1149.6572265625	0.0	recognitionClick	160	2354498	n/a
1150.90576171875	0.0	recognitionClick	160	2357055	n/a
1156.501953125	0.0	endOfClip	129	2368516	n/a
1158.47802734375	0.0	trialEnd	193	2372563	n/a
1158.67822265625	0.0	trialStart	192	2372973	n/a
1160.50390625	0.0	startOfRememberedClipFirstWatch	3	2376712	Batman_Begins_1550_1560_5.txt
1170.51220703125	0.0	endOfClip	129	2397209	n/a
1176.20654296875	0.0	startOfSecondWatch	128	2408871	Batman_Begins_1550_1560_5.txt
1177.21923828125	0.0	firstRecognitionClick	257	2410945	n/a
1182.34912109375	0.0	recognitionClick	160	2421451	n/a
1186.21435546875	0.0	endOfClip	129	2429367	n/a
1188.51708984375	0.0	trialEnd	193	2434083	n/a
1188.71728515625	0.0	trialStart	192	2434493	n/a
1190.51513671875	0.0	startOfNotRecognisedClip	1	2438175	Perfume_The_Story_Of_A_Murderer_4437_4447_18.txt
1200.52587890625	0.0	endOfClip	129	2458677	n/a
1201.93310546875	0.0	trialEnd	193	2461559	n/a
1202.1337890625	0.0	trialStart	192	2461970	n/a
1203.966796875	0.0	startOfRememberedClipFirstWatch	3	2465724	127_hours_4524_4534_7.txt
1213.97509765625	0.0	endOfClip	129	2486221	n/a
1218.67431640625	0.0	startOfSecondWatch	128	2495845	127_hours_4524_4534_7.txt
1228.6826171875	0.0	endOfClip	129	2516342	n/a
1231.27587890625	0.0	trialEnd	193	2521653	n/a
1231.47607421875	0.0	trialStart	192	2522063	n/a
1233.30517578125	0.0	startOfNotRecognisedClip	1	2525809	Primal_Fear_1510_1520_150.txt
1243.3134765625	0.0	endOfClip	129	2546306	n/a
1244.69287109375	0.0	trialEnd	193	2549131	n/a
1244.892578125	0.0	trialStart	192	2549540	n/a
1246.68603515625	0.0	startOfRememberedClipFirstWatch	3	2553213	The_Hobbit_-_An_Unexpected_Journey_9264_9274_5.txt
1256.697265625	0.0	endOfClip	129	2573716	n/a
