onset	duration	trial_type	path_type	community	object	object_type	response	response_time
312.000	1.500	hamiltonian	forward	3	16	central	0	n/a
313.500	1.500	hamiltonian	forward	3	17	boundary	1	0.136
315.000	1.500	structured	structured	3	13	central	0	n/a
316.500	1.500	structured	structured	3	12	central	1	0.677
318.000	1.500	structured	structured	3	13	central	0	n/a
319.500	1.500	structured	structured	3	14	central	0	n/a
321.000	1.500	structured	structured	3	13	central	1	0.842
322.500	1.500	structured	structured	3	15	central	0	n/a
324.000	1.500	structured	structured	3	12	central	0	n/a
325.500	1.500	structured	structured	3	13	central	0	n/a
327.000	1.500	structured	structured	3	15	central	1	1.119
328.500	1.500	structured	structured	3	13	central	0	n/a
330.000	1.500	structured	structured	3	17	boundary	0	n/a
331.500	1.500	structured	structured	3	13	central	1	0.871
333.000	1.500	structured	structured	3	11	boundary	0	n/a
334.500	1.500	structured	structured	3	16	central	0	n/a
336.000	1.500	structured	structured	3	15	central	1	0.769
337.500	1.500	structured	structured	3	17	boundary	0	n/a
339.000	1.500	structured	structured	3	12	central	1	0.881
340.500	1.500	structured	structured	3	15	central	0	n/a
342.000	1.500	structured	structured	3	13	central	0	n/a
343.500	1.500	structured	structured	3	16	central	1	0.696
345.000	1.500	structured	structured	3	17	boundary	0	n/a
346.500	1.500	hamiltonian	forward	1	18	boundary	0	n/a
348.000	1.500	hamiltonian	forward	1	19	central	0	n/a
349.500	1.500	hamiltonian	forward	1	20	central	0	n/a
351.000	1.500	hamiltonian	forward	1	21	central	0	n/a
352.500	1.500	hamiltonian	forward	1	1	central	0	n/a
354.000	1.500	hamiltonian	forward	1	2	central	0	n/a
355.500	1.500	hamiltonian	forward	1	3	boundary	0	n/a
357.000	1.500	hamiltonian	forward	2	4	boundary	1	0.785
358.500	1.500	hamiltonian	forward	2	5	central	1	0.681
360.000	1.500	hamiltonian	forward	2	6	central	0	n/a
361.500	1.500	hamiltonian	forward	2	7	central	0	n/a
363.000	1.500	hamiltonian	forward	2	8	central	1	0.788
364.500	1.500	hamiltonian	forward	2	9	central	0	n/a
366.000	1.500	hamiltonian	forward	2	10	boundary	0	n/a
367.500	1.500	hamiltonian	forward	3	11	boundary	1	0.867
369.000	1.500	hamiltonian	forward	3	12	central	0	n/a
370.500	1.500	hamiltonian	forward	3	13	central	0	n/a
372.000	1.500	hamiltonian	forward	3	14	central	1	1.130
373.500	1.500	hamiltonian	forward	3	15	central	0	n/a
375.000	1.500	hamiltonian	forward	3	16	central	0	n/a
376.500	1.500	hamiltonian	forward	3	17	boundary	1	0.855
