onset	duration	trial_type	block	community	object	object_type	orientation	response	response_time
402.000	1.500	structured	1	1	2	central	canonical	canonical	0.721
403.500	1.500	structured	1	1	19	central	canonical	canonical	0.747
405.000	1.500	structured	1	1	1	central	canonical	canonical	0.770
406.500	1.500	structured	1	1	21	central	canonical	canonical	0.659
408.000	1.500	structured	1	1	1	central	rotated	rotated	1.147
409.500	1.500	structured	1	1	21	central	rotated	rotated	0.917
411.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.669
412.500	1.500	structured	1	1	20	central	canonical	canonical	0.626
414.000	1.500	structured	1	1	19	central	canonical	canonical	0.822
415.500	1.500	structured	1	1	21	central	canonical	canonical	1.258
417.000	1.500	structured	1	1	1	central	canonical	canonical	0.765
418.500	1.500	structured	1	1	21	central	rotated	rotated	0.843
420.000	1.500	structured	1	1	3	boundary	canonical	canonical	1.062
421.500	1.500	structured	1	1	19	central	canonical	canonical	0.966
423.000	1.500	structured	1	1	3	boundary	rotated	rotated	0.703
424.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.753
426.000	1.500	structured	1	1	3	boundary	rotated	rotated	0.812
427.500	1.500	structured	1	1	1	central	canonical	canonical	1.176
429.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.683
430.500	1.500	structured	1	1	20	central	canonical	canonical	0.696
432.000	1.500	structured	1	1	2	central	canonical	canonical	0.622
433.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.579
435.000	1.500	structured	1	1	20	central	canonical	canonical	0.630
436.500	1.500	structured	1	1	1	central	canonical	canonical	0.680
438.000	1.500	structured	1	1	2	central	canonical	canonical	0.759
439.500	1.500	structured	1	1	21	central	canonical	canonical	0.768
441.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.704
442.500	1.500	structured	1	1	19	central	canonical	canonical	1.029
444.000	1.500	structured	1	1	20	central	canonical	canonical	0.646
445.500	1.500	structured	1	1	3	boundary	canonical	canonical	0.872
447.000	1.500	structured	1	1	1	central	canonical	canonical	0.908
448.500	1.500	structured	1	1	2	central	canonical	canonical	0.564
450.000	1.500	structured	1	1	3	boundary	canonical	canonical	0.560
451.500	1.500	structured	1	2	4	boundary	canonical	canonical	0.609
453.000	1.500	structured	1	1	3	boundary	rotated	rotated	1.068
454.500	1.500	structured	1	1	2	central	canonical	canonical	0.703
456.000	1.500	structured	1	1	20	central	canonical	canonical	1.493
457.500	1.500	structured	1	1	3	boundary	canonical	canonical	1.224
459.000	1.500	structured	1	1	2	central	canonical	canonical	0.598
460.500	1.500	structured	1	1	21	central	canonical	canonical	0.604
462.000	1.500	structured	1	1	18	boundary	canonical	canonical	0.537
463.500	1.500	structured	1	3	17	boundary	canonical	canonical	0.675
465.000	1.500	structured	1	3	12	central	canonical	canonical	0.666
466.500	1.500	structured	1	3	17	boundary	rotated	rotated	0.754
468.000	1.500	structured	1	3	16	central	canonical	canonical	0.580
469.500	1.500	structured	1	3	12	central	canonical	canonical	0.533
471.000	1.500	structured	1	3	16	central	rotated	rotated	0.638
