onset	duration	trial_type	path_type	community	object	object_type	response	response_time
141.000	1.500	structured	structured	1	20	central	0	n/a
142.500	1.500	structured	structured	1	18	boundary	0	n/a
144.000	1.500	structured	structured	1	19	central	1	0.715
145.500	1.500	structured	structured	1	3	boundary	0	n/a
147.000	1.500	structured	structured	1	1	central	1	1.104
148.500	1.500	structured	structured	1	2	central	0	n/a
150.000	1.500	structured	structured	1	1	central	0	n/a
151.500	1.500	structured	structured	1	2	central	1	0.844
153.000	1.500	structured	structured	1	18	boundary	0	n/a
154.500	1.500	structured	structured	1	20	central	0	n/a
156.000	1.500	structured	structured	1	18	boundary	1	0.769
157.500	1.500	hamiltonian	forward	1	19	central	0	n/a
159.000	1.500	hamiltonian	forward	1	20	central	1	0.805
160.500	1.500	hamiltonian	forward	1	21	central	0	n/a
162.000	1.500	hamiltonian	forward	1	1	central	0	n/a
163.500	1.500	hamiltonian	forward	1	2	central	1	1.144
165.000	1.500	hamiltonian	forward	1	3	boundary	0	n/a
166.500	1.500	hamiltonian	forward	2	4	boundary	1	1.030
168.000	1.500	hamiltonian	forward	2	5	central	0	n/a
169.500	1.500	hamiltonian	forward	2	6	central	0	n/a
171.000	1.500	hamiltonian	forward	2	7	central	1	0.806
172.500	1.500	hamiltonian	forward	2	8	central	1	1.132
174.000	1.500	hamiltonian	forward	2	9	central	0	n/a
175.500	1.500	hamiltonian	forward	2	10	boundary	0	n/a
177.000	1.500	hamiltonian	forward	3	11	boundary	0	n/a
178.500	1.500	hamiltonian	forward	3	12	central	1	1.086
180.000	1.500	hamiltonian	forward	3	13	central	0	n/a
181.500	1.500	hamiltonian	forward	3	14	central	1	1.004
183.000	1.500	hamiltonian	forward	3	15	central	0	n/a
184.500	1.500	hamiltonian	forward	3	16	central	1	1.082
186.000	1.500	hamiltonian	forward	3	17	boundary	0	n/a
187.500	1.500	hamiltonian	forward	1	18	boundary	0	n/a
189.000	1.500	structured	structured	1	20	central	0	n/a
190.500	1.500	structured	structured	1	18	boundary	1	0.828
192.000	1.500	structured	structured	1	1	central	0	n/a
193.500	1.500	structured	structured	1	19	central	0	n/a
195.000	1.500	structured	structured	1	20	central	0	n/a
196.500	1.500	structured	structured	1	1	central	1	1.247
198.000	1.500	structured	structured	1	18	boundary	0	n/a
199.500	1.500	structured	structured	1	2	central	1	0.164
201.000	1.500	structured	structured	1	18	boundary	0	n/a
202.500	1.500	structured	structured	1	1	central	0	n/a
204.000	1.500	structured	structured	1	20	central	0	n/a
205.500	1.500	structured	structured	1	3	boundary	1	0.624
207.000	1.500	structured	structured	1	21	central	0	n/a
208.500	1.500	structured	structured	1	3	boundary	0	n/a
210.000	1.500	structured	structured	1	19	central	1	0.584
211.500	1.500	structured	structured	1	2	central	0	n/a
213.000	1.500	structured	structured	1	18	boundary	0	n/a
214.500	1.500	structured	structured	3	17	boundary	1	0.621
216.000	1.500	structured	structured	3	16	central	0	n/a
217.500	1.500	structured	structured	3	13	central	0	n/a
219.000	1.500	structured	structured	3	12	central	1	0.650
220.500	1.500	hamiltonian	forward	3	13	central	0	n/a
222.000	1.500	hamiltonian	forward	3	14	central	1	0.922
223.500	1.500	hamiltonian	forward	3	15	central	0	n/a
225.000	1.500	hamiltonian	forward	3	16	central	0	n/a
226.500	1.500	hamiltonian	forward	3	17	boundary	0	n/a
228.000	1.500	hamiltonian	forward	1	18	boundary	1	1.016
229.500	1.500	hamiltonian	forward	1	19	central	0	n/a
231.000	1.500	hamiltonian	forward	1	20	central	0	n/a
232.500	1.500	hamiltonian	forward	1	21	central	1	0.873
234.000	1.500	hamiltonian	forward	1	1	central	1	0.889
235.500	1.500	hamiltonian	forward	1	2	central	0	n/a
237.000	1.500	hamiltonian	forward	1	3	boundary	0	n/a
238.500	1.500	hamiltonian	forward	2	4	boundary	1	1.124
240.000	1.500	hamiltonian	forward	2	5	central	0	n/a
241.500	1.500	hamiltonian	forward	2	6	central	0	n/a
243.000	1.500	hamiltonian	forward	2	7	central	0	n/a
244.500	1.500	hamiltonian	forward	2	8	central	0	n/a
246.000	1.500	hamiltonian	forward	2	9	central	0	n/a
247.500	1.500	hamiltonian	forward	2	10	boundary	0	n/a
249.000	1.500	hamiltonian	forward	3	11	boundary	0	n/a
250.500	1.500	hamiltonian	forward	3	12	central	1	0.899
252.000	1.500	structured	structured	3	11	boundary	0	n/a
253.500	1.500	structured	structured	3	12	central	0	n/a
255.000	1.500	structured	structured	3	17	boundary	0	n/a
256.500	1.500	structured	structured	3	16	central	1	1.195
258.000	1.500	structured	structured	3	17	boundary	0	n/a
259.500	1.500	structured	structured	1	18	boundary	0	n/a
261.000	1.500	structured	structured	3	17	boundary	0	n/a
262.500	1.500	structured	structured	3	13	central	0	n/a
264.000	1.500	structured	structured	3	14	central	1	0.785
265.500	1.500	structured	structured	3	12	central	0	n/a
267.000	1.500	structured	structured	3	11	boundary	0	n/a
268.500	1.500	structured	structured	3	12	central	0	n/a
270.000	1.500	structured	structured	3	11	boundary	0	n/a
271.500	1.500	structured	structured	3	12	central	0	n/a
273.000	1.500	structured	structured	3	15	central	1	1.409
274.500	1.500	structured	structured	3	12	central	0	n/a
276.000	1.500	structured	structured	3	14	central	0	n/a
277.500	1.500	structured	structured	3	16	central	0	n/a
279.000	1.500	structured	structured	3	14	central	1	0.618
280.500	1.500	structured	structured	3	12	central	0	n/a
282.000	1.500	structured	structured	3	16	central	0	n/a
283.500	1.500	hamiltonian	backward	3	15	central	0	n/a
285.000	1.500	hamiltonian	backward	3	14	central	1	0.876
286.500	1.500	hamiltonian	backward	3	13	central	0	n/a
288.000	1.500	hamiltonian	backward	3	12	central	1	0.753
289.500	1.500	hamiltonian	backward	3	11	boundary	0	n/a
291.000	1.500	hamiltonian	backward	2	10	boundary	0	n/a
292.500	1.500	hamiltonian	backward	2	9	central	1	0.618
294.000	1.500	hamiltonian	backward	2	8	central	1	1.218
295.500	1.500	hamiltonian	backward	2	7	central	0	n/a
297.000	1.500	hamiltonian	backward	2	6	central	1	0.992
298.500	1.500	hamiltonian	backward	2	5	central	0	n/a
300.000	1.500	hamiltonian	backward	2	4	boundary	0	n/a
301.500	1.500	hamiltonian	backward	1	3	boundary	1	0.700
303.000	1.500	hamiltonian	backward	1	2	central	0	n/a
304.500	1.500	hamiltonian	backward	1	1	central	1	0.890
306.000	1.500	hamiltonian	backward	1	21	central	0	n/a
307.500	1.500	hamiltonian	backward	1	20	central	0	n/a
309.000	1.500	hamiltonian	backward	1	19	central	0	n/a
310.500	1.500	hamiltonian	backward	1	18	boundary	1	0.556
312.000	1.500	hamiltonian	backward	3	17	boundary	0	n/a
313.500	1.500	hamiltonian	backward	3	16	central	0	n/a
315.000	1.500	structured	structured	3	14	central	1	0.646
316.500	1.500	structured	structured	3	12	central	0	n/a
318.000	1.500	structured	structured	3	15	central	0	n/a
319.500	1.500	structured	structured	3	17	boundary	1	0.236
321.000	1.500	structured	structured	3	15	central	0	n/a
322.500	1.500	structured	structured	3	11	boundary	0	n/a
324.000	1.500	structured	structured	3	13	central	0	n/a
325.500	1.500	structured	structured	3	17	boundary	0	n/a
327.000	1.500	structured	structured	1	18	boundary	1	0.756
328.500	1.500	structured	structured	1	19	central	0	n/a
330.000	1.500	structured	structured	1	2	central	0	n/a
331.500	1.500	structured	structured	1	3	boundary	0	n/a
333.000	1.500	structured	structured	1	20	central	1	0.830
334.500	1.500	structured	structured	1	19	central	0	n/a
336.000	1.500	structured	structured	1	3	boundary	0	n/a
337.500	1.500	structured	structured	1	21	central	1	0.672
339.000	1.500	structured	structured	1	19	central	1	0.767
340.500	1.500	structured	structured	1	21	central	0	n/a
342.000	1.500	structured	structured	1	19	central	0	n/a
343.500	1.500	structured	structured	1	1	central	1	0.914
345.000	1.500	structured	structured	1	20	central	0	n/a
346.500	1.500	hamiltonian	backward	1	19	central	0	n/a
348.000	1.500	hamiltonian	backward	1	18	boundary	1	0.665
349.500	1.500	hamiltonian	backward	3	17	boundary	0	n/a
351.000	1.500	hamiltonian	backward	3	16	central	0	n/a
352.500	1.500	hamiltonian	backward	3	15	central	0	n/a
354.000	1.500	hamiltonian	backward	3	14	central	1	0.649
355.500	1.500	hamiltonian	backward	3	13	central	0	n/a
357.000	1.500	hamiltonian	backward	3	12	central	0	n/a
358.500	1.500	hamiltonian	backward	3	11	boundary	0	n/a
360.000	1.500	hamiltonian	backward	2	10	boundary	1	0.724
361.500	1.500	hamiltonian	backward	2	9	central	0	n/a
363.000	1.500	hamiltonian	backward	2	8	central	0	n/a
364.500	1.500	hamiltonian	backward	2	7	central	1	0.718
366.000	1.500	hamiltonian	backward	2	6	central	0	n/a
367.500	1.500	hamiltonian	backward	2	5	central	0	n/a
369.000	1.500	hamiltonian	backward	2	4	boundary	1	0.697
370.500	1.500	hamiltonian	backward	1	3	boundary	0	n/a
372.000	1.500	hamiltonian	backward	1	2	central	0	n/a
373.500	1.500	hamiltonian	backward	1	1	central	1	0.984
375.000	1.500	hamiltonian	backward	1	21	central	0	n/a
376.500	1.500	hamiltonian	backward	1	20	central	1	1.144
