onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
100.0	1.0	incongruent_correct	correct	incongruent	1	2	358	cond003
102.5	1.0	incongruent_correct	correct	incongruent	1	2	370	cond003
105.0	1.0	congruent_correct	correct	congruent	1	1	417	cond001
107.5	1.0	congruent_correct	correct	congruent	1	1	356	cond001
110.0	1.0	incongruent_correct	correct	incongruent	1	2	413	cond003
112.5	1.0	incongruent_correct	correct	incongruent	1	2	414	cond003
120.0	1.0	incongruent_correct	correct	incongruent	1	2	499	cond003
122.5	1.0	congruent_correct	correct	congruent	1	1	392	cond001
125.0	1.0	congruent_correct	correct	congruent	1	1	317	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	353	cond001
135.0	1.0	incongruent_correct	correct	incongruent	1	2	502	cond003
137.5	1.0	congruent_correct	correct	congruent	1	1	579	cond001
140.0	1.0	congruent_correct	correct	congruent	1	1	375	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	398	cond003
145.0	1.0	congruent_correct	correct	congruent	1	1	355	cond001
147.5	1.0	incongruent_correct	correct	incongruent	1	2	390	cond003
150.0	1.0	congruent_correct	correct	congruent	1	1	388	cond001
152.5	1.0	congruent_correct	correct	congruent	1	1	337	cond001
155.0	1.0	congruent_correct	correct	congruent	1	1	429	cond001
157.5	1.0	incongruent_correct	correct	incongruent	1	2	426	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	374	cond003
162.5	1.0	congruent_correct	correct	congruent	1	1	386	cond001
170.0	1.0	incongruent_correct	correct	incongruent	1	2	465	cond003
172.5	1.0	congruent_correct	correct	congruent	1	1	365	cond001
175.0	1.0	congruent_correct	correct	congruent	1	1	330	cond001
177.5	1.0	incongruent_correct	correct	incongruent	1	2	406	cond003
185.0	1.0	incongruent_correct	correct	incongruent	1	2	556	cond003
187.5	1.0	incongruent_correct	correct	incongruent	1	2	497	cond003
190.0	1.0	incongruent_correct	correct	incongruent	1	2	407	cond003
192.5	1.0	incongruent_correct	correct	incongruent	1	2	426	cond003
195.0	1.0	congruent_correct	correct	congruent	1	1	552	cond001
197.5	1.0	congruent_correct	correct	congruent	1	1	355	cond001
200.0	1.0	congruent_correct	correct	congruent	1	1	369	cond001
202.5	1.0	incongruent_correct	correct	incongruent	1	2	397	cond003
205.0	1.0	incongruent_correct	correct	incongruent	1	2	489	cond003
207.5	1.0	incongruent_correct	correct	incongruent	1	2	407	cond003
215.0	1.0	incongruent_correct	correct	incongruent	1	2	446	cond003
217.5	1.0	incongruent_correct	correct	incongruent	1	2	385	cond003
220.0	1.0	congruent_correct	correct	congruent	1	1	893	cond001
222.5	1.0	incongruent_correct	correct	incongruent	1	2	426	cond003
225.0	1.0	incongruent_correct	correct	incongruent	1	2	400	cond003
227.5	1.0	congruent_correct	correct	congruent	1	1	667	cond001
230.0	1.0	congruent_correct	correct	congruent	1	1	400	cond001
232.5	1.0	congruent_correct	correct	congruent	1	1	448	cond001
235.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	353	cond004
237.5	1.0	congruent_correct	correct	congruent	1	1	325	cond001
240.0	1.0	incongruent_correct	correct	incongruent	1	2	412	cond003
242.5	1.0	congruent_correct	correct	congruent	1	1	369	cond001
245.0	1.0	congruent_correct	correct	congruent	1	1	493	cond001
247.5	1.0	incongruent_correct	correct	incongruent	1	2	474	cond003
250.0	1.0	congruent_correct	correct	congruent	1	1	574	cond001
252.5	1.0	congruent_correct	correct	congruent	1	1	339	cond001
255.0	1.0	incongruent_correct	correct	incongruent	1	2	551	cond003
257.5	1.0	congruent_correct	correct	congruent	1	1	365	cond001
270.0	1.0	incongruent_incorrect	incorrect	incongruent	0	2	549	cond004
272.5	1.0	congruent_correct	correct	congruent	1	1	408	cond001
275.0	1.0	congruent_correct	correct	congruent	1	1	436	cond001
277.5	1.0	incongruent_correct	correct	incongruent	1	2	441	cond003
280.0	1.0	incongruent_correct	correct	incongruent	1	2	454	cond003
282.5	1.0	congruent_correct	correct	congruent	1	1	395	cond001
290.0	1.0	congruent_correct	correct	congruent	1	1	489	cond001
292.5	1.0	incongruent_correct	correct	incongruent	1	2	519	cond003
295.0	1.0	incongruent_correct	correct	incongruent	1	2	506	cond003
297.5	1.0	congruent_correct	correct	congruent	1	1	399	cond001
