onset	duration	trial_type	correctness	StimVar	behav_unlabeled	Rsponse	Stimulus	cond
125.0	1.0	congruent_correct	correct	congruent	1	1	505	cond001
127.5	1.0	congruent_correct	correct	congruent	1	1	364	cond001
130.0	1.0	congruent_correct	correct	congruent	1	1	313	cond001
132.5	1.0	incongruent_correct	correct	incongruent	1	2	543	cond003
135.0	1.0	congruent_correct	correct	congruent	1	1	419	cond001
137.5	1.0	incongruent_correct	correct	incongruent	1	2	496	cond003
140.0	1.0	congruent_correct	correct	congruent	1	1	356	cond001
142.5	1.0	incongruent_correct	correct	incongruent	1	2	392	cond003
150.0	1.0	incongruent_correct	correct	incongruent	1	2	559	cond003
152.5	1.0	congruent_correct	correct	congruent	1	1	532	cond001
155.0	1.0	incongruent_correct	correct	incongruent	1	2	471	cond003
157.5	1.0	incongruent_correct	correct	incongruent	1	2	356	cond003
160.0	1.0	incongruent_correct	correct	incongruent	1	2	384	cond003
162.5	1.0	incongruent_correct	correct	incongruent	1	2	381	cond003
165.0	1.0	incongruent_correct	correct	incongruent	1	2	347	cond003
167.5	1.0	incongruent_correct	correct	incongruent	1	2	359	cond003
170.0	1.0	incongruent_correct	correct	incongruent	1	2	412	cond003
172.5	1.0	incongruent_correct	correct	incongruent	1	2	401	cond003
175.0	1.0	congruent_correct	correct	congruent	1	1	694	cond001
177.5	1.0	congruent_correct	correct	congruent	1	1	356	cond001
185.0	1.0	incongruent_correct	correct	incongruent	1	2	640	cond003
187.5	1.0	congruent_correct	correct	congruent	1	1	414	cond001
190.0	1.0	congruent_correct	correct	congruent	1	1	481	cond001
192.5	1.0	incongruent_correct	correct	incongruent	1	2	349	cond003
195.0	1.0	incongruent_correct	correct	incongruent	1	2	402	cond003
197.5	1.0	incongruent_correct	correct	incongruent	1	2	415	cond003
200.0	1.0	incongruent_correct	correct	incongruent	1	2	428	cond003
202.5	1.0	congruent_correct	correct	congruent	1	1	400	cond001
210.0	1.0	incongruent_correct	correct	incongruent	1	2	726	cond003
212.5	1.0	incongruent_correct	correct	incongruent	1	2	339	cond003
215.0	1.0	congruent_correct	correct	congruent	1	1	367	cond001
217.5	1.0	incongruent_correct	correct	incongruent	1	2	573	cond003
225.0	1.0	congruent_correct	correct	congruent	1	1	521	cond001
227.5	1.0	congruent_correct	correct	congruent	1	1	383	cond001
230.0	1.0	congruent_correct	correct	congruent	1	1	508	cond001
232.5	1.0	congruent_correct	correct	congruent	1	1	321	cond001
235.0	1.0	incongruent_correct	correct	incongruent	1	2	436	cond003
237.5	1.0	congruent_correct	correct	congruent	1	1	433	cond001
240.0	1.0	congruent_correct	correct	congruent	1	1	471	cond001
242.5	1.0	incongruent_correct	correct	incongruent	1	2	499	cond003
245.0	1.0	incongruent_correct	correct	incongruent	1	2	448	cond003
247.5	1.0	congruent_correct	correct	congruent	1	1	388	cond001
250.0	1.0	incongruent_correct	correct	incongruent	1	2	425	cond003
252.5	1.0	congruent_correct	correct	congruent	1	1	408	cond001
260.0	1.0	incongruent_correct	correct	incongruent	1	2	539	cond003
262.5	1.0	congruent_correct	correct	congruent	1	1	448	cond001
270.0	1.0	congruent_correct	correct	congruent	1	1	511	cond001
272.5	1.0	congruent_correct	correct	congruent	1	1	483	cond001
275.0	1.0	incongruent_correct	correct	incongruent	1	2	480	cond003
277.5	1.0	congruent_correct	correct	congruent	1	1	421	cond001
285.0	1.0	congruent_correct	correct	congruent	1	1	418	cond001
287.5	1.0	incongruent_correct	correct	incongruent	1	2	479	cond003
290.0	1.0	congruent_correct	correct	congruent	1	1	557	cond001
292.5	1.0	incongruent_correct	correct	incongruent	1	2	535	cond003
295.0	1.0	incongruent_correct	correct	incongruent	1	2	485	cond003
297.5	1.0	incongruent_correct	correct	incongruent	1	2	466	cond003
