onset	duration	sample	value	gid
560.2587890625	n/a	573706	1312	1007
560.2587890625	n/a	573706	1311	1124
572.5263671875	n/a	586268	2110	0
573.09765625	n/a	586853	1312	1124
573.09765625	n/a	586853	1361	4045
585.16015625	n/a	599205	2120	0
588.3720703125	n/a	602494	1362	4045
588.3720703125	n/a	602494	1321	4015
595.94921875	n/a	610253	2120	0
598.6259765625	n/a	612994	1322	4015
598.6259765625	n/a	612994	1321	4001
603.564453125	n/a	618051	2120	0
606.56640625	n/a	621125	1322	4001
606.56640625	n/a	621125	1311	1010
616.484375	n/a	631281	2110	0
617.056640625	n/a	631867	1312	1010
617.056640625	n/a	631867	1311	1147
623.0791015625	n/a	638034	2110	0
623.650390625	n/a	638619	1312	1147
623.650390625	n/a	638619	1311	1239
629.7265625	n/a	644841	2110	0
630.298828125	n/a	645427	1312	1239
630.298828125	n/a	645427	1331	4028
638.8916015625	n/a	654226	2110	0
639.5146484375	n/a	654864	1332	4028
639.5146484375	n/a	654864	1232	0
662.9892578125	n/a	678902	1231	0
662.9892578125	n/a	678902	1311	1223
675.7861328125	n/a	692006	2110	0
697.9892578125	n/a	714742	1312	1223
697.9892578125	n/a	714742	1311	1252
706.7607421875	n/a	723724	2110	0
752.1064453125	n/a	770158	1312	1252
752.1064453125	n/a	770158	1311	1225
768.0947265625	n/a	786530	2110	0
768.6650390625	n/a	787114	1312	1225
768.6650390625	n/a	787114	1311	1142
778.6884765625	n/a	797378	2110	0
779.259765625	n/a	797963	1312	1142
779.259765625	n/a	797963	1331	4037
793.7255859375	n/a	812776	2110	0
794.296875	n/a	813361	1332	4037
794.296875	n/a	813361	1311	1146
805.029296875	n/a	824351	2110	0
805.5986328125	n/a	824934	1312	1146
805.5986328125	n/a	824934	1311	1106
816.236328125	n/a	835827	2110	0
816.80859375	n/a	836413	1312	1106
816.80859375	n/a	836413	1311	1175
827.2919921875	n/a	847148	2110	0
827.86328125	n/a	847733	1312	1175
827.86328125	n/a	847733	1311	1005
833.3798828125	n/a	853382	2110	0
833.951171875	n/a	853967	1312	1005
833.951171875	n/a	853967	1311	1082
843.8037109375	n/a	864056	2110	0
844.375	n/a	864641	1312	1082
844.375	n/a	864641	1311	1155
855.7626953125	n/a	876302	2110	0
856.3330078125	n/a	876886	1312	1155
856.3330078125	n/a	876886	1311	1031
869.6982421875	n/a	890572	2110	0
870.265625	n/a	891153	1312	1031
870.265625	n/a	891153	1331	4023
887.169921875	n/a	908463	2110	0
887.7392578125	n/a	909046	1332	4023
887.7392578125	n/a	909046	1311	1205
898.1455078125	n/a	919702	2110	0
898.7177734375	n/a	920288	1312	1205
898.7177734375	n/a	920288	1311	1211
912.2646484375	n/a	934160	2110	0
912.8359375	n/a	934745	1312	1211
912.8359375	n/a	934745	1311	1059
928.9873046875	n/a	951284	2110	0
929.55859375	n/a	951869	1312	1059
929.55859375	n/a	951869	1311	1044
944.263671875	n/a	966927	2110	0
944.8359375	n/a	967513	1312	1044
944.8359375	n/a	967513	1321	4013
952.0390625	n/a	974889	2120	0
954.369140625	n/a	977275	1322	4013
954.369140625	n/a	977275	1311	1149
970.9189453125	n/a	994222	2120	0
974.1630859375	n/a	997544	1312	1149
974.1630859375	n/a	997544	1232	0
981.943359375	n/a	1005511	1231	0
981.943359375	n/a	1005511	1311	1036
1001.9443359375	n/a	1025992	2120	0
1002.5126953125	n/a	1026574	1312	1036
1002.5126953125	n/a	1026574	1311	1046
1011.037109375	n/a	1035303	2110	0
1011.607421875	n/a	1035887	1312	1046
1011.607421875	n/a	1035887	1311	1218
1024.6953125	n/a	1049289	2110	0
1025.267578125	n/a	1049875	1312	1218
1025.267578125	n/a	1049875	1321	4012
1035.4072265625	n/a	1060258	2120	0
1037.3828125	n/a	1062281	1322	4012
1037.3828125	n/a	1062281	1341	4040
1053.916015625	n/a	1079211	2120	0
1056.486328125	n/a	1081843	1342	4040
1056.486328125	n/a	1081843	1311	1095
1061.794921875	n/a	1087279	2110	0
1062.3662109375	n/a	1087864	1312	1095
1062.3662109375	n/a	1087864	1331	4035
1076.70703125	n/a	1102549	2110	0
1077.2783203125	n/a	1103134	1332	4035
1077.2783203125	n/a	1103134	1351	4048
1089.28515625	n/a	1115429	2120	0
1094.8115234375	n/a	1121088	1352	4048
1094.8115234375	n/a	1121088	1311	1008
1104.6259765625	n/a	1131138	2110	0
1105.1962890625	n/a	1131722	1312	1008
1105.1962890625	n/a	1131722	1311	1052
1113.32421875	n/a	1140045	2110	0
1113.8955078125	n/a	1140630	1312	1052
1113.8955078125	n/a	1140630	1311	1231
1125.640625	n/a	1152657	2110	0
1126.2119140625	n/a	1153242	1312	1231
1126.2119140625	n/a	1153242	1321	4003
1132.705078125	n/a	1159891	2120	0
1135.1318359375	n/a	1162376	1322	4003
1135.1318359375	n/a	1162376	1311	1159
1142.6484375	n/a	1170073	2110	0
1143.2216796875	n/a	1170660	1312	1159
1143.2216796875	n/a	1170660	1311	1066
1163.2236328125	n/a	1191142	2120	0
1163.794921875	n/a	1191727	1312	1066
1163.794921875	n/a	1191727	1311	1177
1172.9541015625	n/a	1201106	2110	0
1173.521484375	n/a	1201687	1312	1177
1173.521484375	n/a	1201687	1311	1257
1181.4150390625	n/a	1209770	2110	0
1181.9833984375	n/a	1210352	1312	1257
1181.9833984375	n/a	1210352	1311	1004
1190.1533203125	n/a	1218718	2110	0
1190.72265625	n/a	1219301	1312	1004
1190.72265625	n/a	1219301	1311	1145
1202.23046875	n/a	1231085	2110	0
1202.802734375	n/a	1231671	1312	1145
1202.802734375	n/a	1231671	1331	4032
1214.25390625	n/a	1243397	2120	0
1217.0859375	n/a	1246297	1332	4032
1217.0859375	n/a	1246297	1311	1207
1228.63671875	n/a	1258125	2110	0
1229.2109375	n/a	1258713	1312	1207
1229.2109375	n/a	1258713	1311	1123
1235.3515625	n/a	1265001	2110	0
1235.921875	n/a	1265585	1312	1123
1235.921875	n/a	1265585	1311	1043
1242.4765625	n/a	1272297	2110	0
1243.048828125	n/a	1272883	1312	1043
1243.048828125	n/a	1272883	1311	1109
1254.3076171875	n/a	1284412	2110	0
1254.8798828125	n/a	1284998	1312	1109
1254.8798828125	n/a	1284998	1311	1115
1265.0068359375	n/a	1295368	2110	0
1265.5791015625	n/a	1295954	1312	1115
1265.5791015625	n/a	1295954	1311	1107
1279.0830078125	n/a	1309782	2110	0
1279.650390625	n/a	1310363	1312	1107
1279.650390625	n/a	1310363	1311	1074
1288.2509765625	n/a	1319170	2110	0
1288.9443359375	n/a	1319880	1312	1074
1288.9443359375	n/a	1319880	1232	0
1324.314453125	n/a	1356099	1231	0
1324.314453125	n/a	1356099	1311	1200
1334.5693359375	n/a	1366600	2110	0
1335.1357421875	n/a	1367180	1312	1200
1335.1357421875	n/a	1367180	1311	1161
1342.3203125	n/a	1374537	2110	0
1355.216796875	n/a	1387743	1312	1161
1355.216796875	n/a	1387743	1311	1183
1369.2158203125	n/a	1402078	2110	0
1369.7890625	n/a	1402665	1312	1183
1369.7890625	n/a	1402665	1311	1134
1378.5673828125	n/a	1411654	2110	0
1379.134765625	n/a	1412235	1312	1134
1379.134765625	n/a	1412235	1311	1037
1385.3994140625	n/a	1418650	2110	0
1385.970703125	n/a	1419235	1312	1037
1385.970703125	n/a	1419235	1311	1090
1392.0009765625	n/a	1425410	2110	0
1392.5810546875	n/a	1426004	1312	1090
1392.5810546875	n/a	1426004	1311	1189
1401.23828125	n/a	1434869	2110	0
1401.822265625	n/a	1435467	1312	1189
1401.822265625	n/a	1435467	1311	1237
1408.22265625	n/a	1442021	2110	0
1408.8056640625	n/a	1442618	1312	1237
1408.8056640625	n/a	1442618	1311	1009
1416.501953125	n/a	1450499	2110	0
1417.08984375	n/a	1451101	1312	1009
1417.08984375	n/a	1451101	1311	1235
1428.263671875	n/a	1462543	2110	0
1428.83203125	n/a	1463125	1312	1235
1428.83203125	n/a	1463125	1311	1012
1439.4609375	n/a	1474009	2110	0
1440.033203125	n/a	1474595	1312	1012
1440.033203125	n/a	1474595	1311	1236
1446.46875	n/a	1481185	2110	0
1447.041015625	n/a	1481771	1312	1236
1447.041015625	n/a	1481771	1311	1228
1452.9169921875	n/a	1487788	2110	0
1453.490234375	n/a	1488375	1312	1228
1453.490234375	n/a	1488375	1311	1016
1466.8359375	n/a	1502041	2110	0
1467.4072265625	n/a	1502626	1312	1016
1467.4072265625	n/a	1502626	1311	1203
1479.2431640625	n/a	1514746	2110	0
1479.8173828125	n/a	1515334	1312	1203
1479.8173828125	n/a	1515334	1311	1000
1486.546875	n/a	1522225	2110	0
1487.1201171875	n/a	1522812	1312	1000
1487.1201171875	n/a	1522812	1321	4008
1493.466796875	n/a	1529311	2120	0
1495.89453125	n/a	1531797	1322	4008
1495.89453125	n/a	1531797	1311	1045
1503.71484375	n/a	1539805	2110	0
1504.2919921875	n/a	1540396	1312	1045
1504.2919921875	n/a	1540396	1311	1148
1513.505859375	n/a	1549831	2120	0
1516.248046875	n/a	1552639	1312	1148
1516.248046875	n/a	1552639	1311	1093
1520.3486328125	n/a	1556838	2110	0
1520.9326171875	n/a	1557436	1312	1093
1520.9326171875	n/a	1557436	1311	1080
1531.060546875	n/a	1567807	2110	0
1531.6328125	n/a	1568393	1312	1080
1531.6328125	n/a	1568393	1311	1058
1536.201171875	n/a	1573071	2110	0
1536.7861328125	n/a	1573670	1312	1058
1536.7861328125	n/a	1573670	1311	1243
1549.0810546875	n/a	1586260	2110	0
1549.6728515625	n/a	1586866	1312	1243
1549.6728515625	n/a	1586866	1311	1201
1559.568359375	n/a	1596999	2110	0
1560.1533203125	n/a	1597598	1312	1201
1560.1533203125	n/a	1597598	1311	1085
1566.408203125	n/a	1604003	2110	0
1566.9853515625	n/a	1604594	1312	1085
1566.9853515625	n/a	1604594	1331	4022
1575.5283203125	n/a	1613342	2120	0
1578.380859375	n/a	1616263	1332	4022
1578.380859375	n/a	1616263	1311	1096
1586.0791015625	n/a	1624146	2110	0
1586.6708984375	n/a	1624752	1312	1096
1586.6708984375	n/a	1624752	1361	4044
1593.447265625	n/a	1631691	2120	0
1596.841796875	n/a	1635167	1362	4044
1596.841796875	n/a	1635167	1232	0
1606.841796875	n/a	1645407	3111	0
1790.140625	n/a	1833105	3112	0
1800.140625	n/a	1843345	1231	0
1800.140625	n/a	1843345	1361	4027
1803.095703125	n/a	1846371	2120	0
1806.0068359375	n/a	1849352	1362	4027
1806.0068359375	n/a	1849352	1321	4006
1809.3349609375	n/a	1852760	2120	0
1812.80859375	n/a	1856317	1322	4006
1812.80859375	n/a	1856317	1331	4025
1818.4228515625	n/a	1862066	2120	0
1821.865234375	n/a	1865591	1332	4025
1821.865234375	n/a	1865591	1311	1230
1827.134765625	n/a	1870987	2110	0
1827.7119140625	n/a	1871578	1312	1230
1827.7119140625	n/a	1871578	1311	1064
1835.501953125	n/a	1879555	2110	0
1836.0771484375	n/a	1880144	1312	1064
1836.0771484375	n/a	1880144	1311	1234
1847.3740234375	n/a	1891712	2110	0
1847.958984375	n/a	1892311	1312	1234
1847.958984375	n/a	1892311	1311	1250
1855.0322265625	n/a	1899554	2110	0
1855.6298828125	n/a	1900166	1312	1250
1855.6298828125	n/a	1900166	1311	1136
1861.869140625	n/a	1906555	2110	0
1862.4375	n/a	1907137	1312	1136
1862.4375	n/a	1907137	1311	1104
1869.869140625	n/a	1914747	2110	0
1870.4384765625	n/a	1915330	1312	1104
1870.4384765625	n/a	1915330	1311	1105
1883.84375	n/a	1929057	2110	0
1884.4140625	n/a	1929641	1312	1105
1884.4140625	n/a	1929641	1311	1102
1888.33203125	n/a	1933653	2110	0
1888.9052734375	n/a	1934240	1312	1102
1888.9052734375	n/a	1934240	1311	1127
1896.2119140625	n/a	1941722	2110	0
1896.7861328125	n/a	1942310	1312	1127
1896.7861328125	n/a	1942310	1311	1158
1908.3310546875	n/a	1954132	2110	0
1908.9150390625	n/a	1954730	1312	1158
1908.9150390625	n/a	1954730	1311	1094
1916.859375	n/a	1962865	2110	0
1917.431640625	n/a	1963451	1312	1094
1917.431640625	n/a	1963451	1321	4016
1920.314453125	n/a	1966403	2120	0
1927.5185546875	n/a	1973780	1322	4016
1927.5185546875	n/a	1973780	1311	1192
1934.39453125	n/a	1980821	2110	0
1934.9697265625	n/a	1981410	1312	1192
1934.9697265625	n/a	1981410	1311	1182
1942.90625	n/a	1989537	2110	0
1943.4912109375	n/a	1990136	1312	1182
1943.4912109375	n/a	1990136	1311	1097
1948.9853515625	n/a	1995762	2110	0
1949.5703125	n/a	1996361	1312	1097
1949.5703125	n/a	1996361	1311	1240
1959.7373046875	n/a	2006772	2110	0
1960.31640625	n/a	2007365	1312	1240
1960.31640625	n/a	2007365	1311	1251
1973.552734375	n/a	2020919	2120	0
1976.4365234375	n/a	2023872	1312	1251
1976.4365234375	n/a	2023872	1311	1166
1982.16796875	n/a	2029741	2110	0
1982.74609375	n/a	2030333	1312	1166
1982.74609375	n/a	2030333	1311	1068
1988.3681640625	n/a	2036090	2110	0
1988.9541015625	n/a	2036690	1312	1068
1988.9541015625	n/a	2036690	1311	1215
2004.2080078125	n/a	2052310	2110	0
2004.7939453125	n/a	2052910	1312	1215
2004.7939453125	n/a	2052910	1311	1255
2019.22265625	n/a	2067685	2110	0
2019.810546875	n/a	2068287	1312	1255
2019.810546875	n/a	2068287	1311	1137
2031.1025390625	n/a	2079850	2110	0
2031.6904296875	n/a	2080452	1312	1137
2031.6904296875	n/a	2080452	1311	1220
2039.5107421875	n/a	2088460	2110	0
2040.291015625	n/a	2089259	1312	1220
2040.291015625	n/a	2089259	1232	0
2061.7158203125	n/a	2111198	1231	0
2061.7158203125	n/a	2111198	1311	1038
2069.97265625	n/a	2119653	2110	0
2107.78125	n/a	2158369	1312	1038
2107.78125	n/a	2158369	1311	1032
2119.7392578125	n/a	2170614	2110	0
2120.3251953125	n/a	2171214	1312	1032
2120.3251953125	n/a	2171214	1311	1067
2132.8671875	n/a	2184057	2120	0
2136.7236328125	n/a	2188006	1312	1067
2136.7236328125	n/a	2188006	1311	1214
2141.9248046875	n/a	2193332	2110	0
2142.521484375	n/a	2193943	1312	1214
2142.521484375	n/a	2193943	1311	1227
2156.6982421875	n/a	2208460	2110	0
2157.2958984375	n/a	2209072	1312	1227
2157.2958984375	n/a	2209072	1311	1190
2164.025390625	n/a	2215963	2110	0
2164.619140625	n/a	2216571	1312	1190
2164.619140625	n/a	2216571	1311	1078
2172.5927734375	n/a	2224736	2110	0
2173.185546875	n/a	2225343	1312	1078
2173.185546875	n/a	2225343	1311	1130
2181.7763671875	n/a	2234140	2110	0
2182.369140625	n/a	2234747	1312	1130
2182.369140625	n/a	2234747	1311	1018
2188.1845703125	n/a	2240702	2110	0
2188.779296875	n/a	2241311	1312	1018
2188.779296875	n/a	2241311	1311	1222
2196.1279296875	n/a	2248836	2110	0
2196.720703125	n/a	2249443	1312	1222
2196.720703125	n/a	2249443	1311	1164
2202.3525390625	n/a	2255210	2110	0
2202.9365234375	n/a	2255808	1312	1164
2202.9365234375	n/a	2255808	1311	1099
2212.3681640625	n/a	2265466	2110	0
2212.958984375	n/a	2266071	1312	1099
2212.958984375	n/a	2266071	1311	1144
2222.5751953125	n/a	2275918	2110	0
2228.7001953125	n/a	2282190	1312	1144
2228.7001953125	n/a	2282190	1311	1210
2235.4072265625	n/a	2289058	2110	0
2236.00390625	n/a	2289669	1312	1210
2236.00390625	n/a	2289669	1311	1233
2244.0400390625	n/a	2297898	2110	0
2244.6357421875	n/a	2298508	1312	1233
2244.6357421875	n/a	2298508	1311	1065
2250.40625	n/a	2304417	2110	0
2250.994140625	n/a	2305019	1312	1065
2250.994140625	n/a	2305019	1311	1033
2265.1044921875	n/a	2319468	2120	0
2268.2041015625	n/a	2322642	1312	1033
2268.2041015625	n/a	2322642	1311	1216
2285.4052734375	n/a	2340256	2120	0
2287.9423828125	n/a	2342854	1312	1216
2287.9423828125	n/a	2342854	1311	1011
2293.2607421875	n/a	2348300	2110	0
2293.8330078125	n/a	2348886	1312	1011
2293.8330078125	n/a	2348886	1311	1014
2306.6123046875	n/a	2361972	2110	0
2307.2109375	n/a	2362585	1312	1014
2307.2109375	n/a	2362585	1311	1254
2311.1162109375	n/a	2366584	2110	0
2311.7060546875	n/a	2367188	1312	1254
2311.7060546875	n/a	2367188	1311	1103
2323.3876953125	n/a	2379150	2120	0
2325.603515625	n/a	2381419	1312	1103
2325.603515625	n/a	2381419	1311	1073
2339.6298828125	n/a	2395782	2110	0
2340.216796875	n/a	2396383	1312	1073
2340.216796875	n/a	2396383	1321	4018
2343.482421875	n/a	2399727	2120	0
2345.90625	n/a	2402209	1322	4018
2345.90625	n/a	2402209	1311	1253
2354.5859375	n/a	2411097	2120	0
2356.6240234375	n/a	2413184	1312	1253
2356.6240234375	n/a	2413184	1232	0
2361.2099609375	n/a	2417880	1231	0
2361.2099609375	n/a	2417880	1311	1213
2369.833984375	n/a	2426711	2110	0
2378.2080078125	n/a	2435286	1312	1213
2378.2080078125	n/a	2435286	1311	1221
2389.361328125	n/a	2446707	2110	0
2404.2783203125	n/a	2461982	1312	1221
2404.2783203125	n/a	2461982	1311	1119
2413.927734375	n/a	2471863	2110	0
2450.21484375	n/a	2509021	1312	1119
2450.21484375	n/a	2509021	1311	1003
2456.966796875	n/a	2515935	2110	0
2465.3583984375	n/a	2524528	1312	1003
2465.3583984375	n/a	2524528	1321	4014
2472.822265625	n/a	2532171	2120	0
2474.8623046875	n/a	2534260	1322	4014
2474.8623046875	n/a	2534260	1311	1030
2484.927734375	n/a	2544567	2110	0
2515.4541015625	n/a	2575826	1312	1030
2515.4541015625	n/a	2575826	1311	1162
2525.9794921875	n/a	2586604	2110	0
2526.5673828125	n/a	2587206	1312	1162
2526.5673828125	n/a	2587206	1311	1086
2532.6796875	n/a	2593465	2110	0
2533.2783203125	n/a	2594078	1312	1086
2533.2783203125	n/a	2594078	1311	1024
2546.611328125	n/a	2607731	2120	0
2548.958984375	n/a	2610135	1312	1024
2548.958984375	n/a	2610135	1311	1041
2556.794921875	n/a	2618159	2110	0
2557.3759765625	n/a	2618754	1312	1041
2557.3759765625	n/a	2618754	1311	1089
2562.322265625	n/a	2623819	2110	0
2562.91796875	n/a	2624429	1312	1089
2562.91796875	n/a	2624429	1311	1055
2578.857421875	n/a	2640751	2120	0
2581.2451171875	n/a	2643196	1312	1055
2581.2451171875	n/a	2643196	1311	1139
2585.529296875	n/a	2647583	2110	0
2586.1220703125	n/a	2648190	1312	1139
2586.1220703125	n/a	2648190	1311	1076
2593.3212890625	n/a	2655562	2110	0
2593.90625	n/a	2656161	1312	1076
2593.90625	n/a	2656161	1311	1168
2601.3447265625	n/a	2663778	2110	0
2601.9365234375	n/a	2664384	1312	1168
2601.9365234375	n/a	2664384	1351	4053
2616.7919921875	n/a	2679596	2120	0
2621.00390625	n/a	2683909	1352	4053
2621.00390625	n/a	2683909	1311	1246
2631.7275390625	n/a	2694890	2110	0
2632.330078125	n/a	2695507	1312	1246
2632.330078125	n/a	2695507	1311	1092
2646.958984375	n/a	2710487	2110	0
2647.5576171875	n/a	2711100	1312	1092
2647.5576171875	n/a	2711100	1311	1244
2653.52734375	n/a	2717213	2110	0
2654.11328125	n/a	2717813	1312	1244
2654.11328125	n/a	2717813	1311	1206
2660.7265625	n/a	2724585	2110	0
2661.572265625	n/a	2725451	1312	1206
2661.572265625	n/a	2725451	1232	0
2697.4423828125	n/a	2762182	1231	0
2697.4423828125	n/a	2762182	1311	1019
2705.052734375	n/a	2769975	2110	0
2728.28515625	n/a	2793765	1312	1019
2728.28515625	n/a	2793765	1341	4041
2736.0673828125	n/a	2801734	2120	0
2738.546875	n/a	2804273	1342	4041
2738.546875	n/a	2804273	1311	1160
2745.787109375	n/a	2811687	2110	0
2746.376953125	n/a	2812291	1312	1160
2746.376953125	n/a	2812291	1311	1054
2750.6435546875	n/a	2816660	2110	0
2751.21875	n/a	2817249	1312	1054
2751.21875	n/a	2817249	1311	1140
2755.998046875	n/a	2822143	2110	0
2756.57421875	n/a	2822733	1312	1140
2756.57421875	n/a	2822733	1311	1081
2770.154296875	n/a	2836639	2110	0
2770.744140625	n/a	2837243	1312	1081
2770.744140625	n/a	2837243	1311	1194
2779.3544921875	n/a	2846060	2110	0
2779.94921875	n/a	2846669	1312	1194
2779.94921875	n/a	2846669	1311	1173
2789.3935546875	n/a	2856340	2110	0
2789.9912109375	n/a	2856952	1312	1173
2789.9912109375	n/a	2856952	1311	1118
2798.3134765625	n/a	2865474	2110	0
2798.8994140625	n/a	2866074	1312	1118
2798.8994140625	n/a	2866074	1311	1122
2818.107421875	n/a	2885743	2110	0
2818.6982421875	n/a	2886348	1312	1122
2818.6982421875	n/a	2886348	1311	1131
2826.7890625	n/a	2894633	2110	0
2827.380859375	n/a	2895239	1312	1131
2827.380859375	n/a	2895239	1311	1169
2833.904296875	n/a	2901919	2110	0
2834.482421875	n/a	2902511	1312	1169
2834.482421875	n/a	2902511	1311	1196
2842.248046875	n/a	2910463	2110	0
2842.8486328125	n/a	2911078	1312	1196
2842.8486328125	n/a	2911078	1311	1180
2854.5751953125	n/a	2923086	2110	0
2855.1650390625	n/a	2923690	1312	1180
2855.1650390625	n/a	2923690	1311	1226
2875.166015625	n/a	2944171	2120	0
2875.744140625	n/a	2944763	1312	1226
2875.744140625	n/a	2944763	1311	1051
2882.0859375	n/a	2951257	2110	0
2882.6806640625	n/a	2951866	1312	1051
2882.6806640625	n/a	2951866	1331	4019
2894.068359375	n/a	2963527	2120	0
2896.244140625	n/a	2965755	1332	4019
2896.244140625	n/a	2965755	1311	1199
2901.7578125	n/a	2971401	2110	0
2902.353515625	n/a	2972011	1312	1199
2902.353515625	n/a	2972011	1311	1224
2918.125	n/a	2988161	2110	0
2918.7197265625	n/a	2988770	1312	1224
2918.7197265625	n/a	2988770	1311	1176
2928.916015625	n/a	2999211	2110	0
2929.5068359375	n/a	2999816	1312	1176
2929.5068359375	n/a	2999816	1311	1129
2939.412109375	n/a	3009959	2110	0
2940.0107421875	n/a	3010572	1312	1129
2940.0107421875	n/a	3010572	1311	1188
2952.37109375	n/a	3023229	2110	0
2952.9501953125	n/a	3023822	1312	1188
2952.9501953125	n/a	3023822	1311	1048
2961.0625	n/a	3032129	2110	0
2961.6611328125	n/a	3032742	1312	1048
2961.6611328125	n/a	3032742	1311	1125
2974.5546875	n/a	3045945	2110	0
2975.4443359375	n/a	3046856	1312	1125
2975.4443359375	n/a	3046856	1232	0
2981.2080078125	n/a	3052758	1231	0
2981.2080078125	n/a	3052758	1311	1035
2987.490234375	n/a	3059191	2110	0
2988.0849609375	n/a	3059800	1312	1035
2988.0849609375	n/a	3059800	1331	4031
2994.59375	n/a	3066465	2120	0
2996.7626953125	n/a	3068686	1332	4031
2996.7626953125	n/a	3068686	1321	4007
3000.84375	n/a	3072865	2120	0
3005.0830078125	n/a	3077206	1322	4007
3005.0830078125	n/a	3077206	1311	1217
3012.369140625	n/a	3084667	2110	0
3012.962890625	n/a	3085275	1312	1217
3012.962890625	n/a	3085275	1311	1167
3020.80078125	n/a	3093301	2110	0
3021.3916015625	n/a	3093906	1312	1167
3021.3916015625	n/a	3093906	1311	1195
3027.7607421875	n/a	3100428	2110	0
3028.353515625	n/a	3101035	1312	1195
3028.353515625	n/a	3101035	1311	1072
3034.6962890625	n/a	3107530	2110	0
3035.287109375	n/a	3108135	1312	1072
3035.287109375	n/a	3108135	1311	1121
3043.2724609375	n/a	3116312	2110	0
