onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
317.160375	4.01755566700001	3	21	test	BC	Scene	6	1	3017.42833339
325.179234	4.01844566700002	3	22	test	AB	Scene	4	1	1463.29633339
331.199304	4.01734666699998	3	23	test	BC	Scene	8	1	1439.48233339
337.21844	4.01719366699998	3	24	test	BC	Scene	7	0	2013.31633339
16.504885	4.0077627557	4	1	study	AB	Face	5	0	NA
22.513829	4.0011307557	4	2	study	AB	Face	2	1	NA
30.516531	4.00149475569999	4	3	study	AB	Face	3	1	NA
38.519389	4.00171675599999	4	4	study	AB	Face	6	0	NA
44.52262	4.00081875599999	4	5	study	AB	Face	8	1	NA
54.525212	4.002059756	4	6	study	AB	Face	4	1	NA
68.528726	4.00391775600001	4	7	study	AB	Face	1	0	NA
74.533722	4.00125875600001	4	8	study	AB	Face	7	0	NA
80.536705	4.00057975600001	4	9	study	BC	Face	3	1	NA
88.538877	4.00149775600001	4	10	study	BC	Face	2	1	NA
94.541872	4.00081175600001	4	11	study	BC	Face	5	0	NA
100.544079	4.00090175600001	4	12	study	BC	Face	1	0	NA
108.546606	4.00145875600001	4	13	study	BC	Face	8	1	NA
116.549497	4.001635756	4	14	study	BC	Face	4	1	NA
122.552493	4.00094575600002	4	15	study	BC	Face	6	0	NA
134.554743	4.00332275600001	4	16	study	BC	Face	7	0	NA
154.746896	4.01891975599999	4	1	test	AC	Face	8	1	2046.97324432
160.767447	4.01737075600002	4	2	test	AC	Face	4	1	2147.38824432
168.785846	4.01871775600003	4	3	test	AC	Face	5	0	2432.41724432
174.805889	4.01767575600001	4	4	test	AC	Face	1	0	2033.99324432
184.824943	4.019122756	4	5	test	AC	Face	6	0	2143.81824432
190.845586	4.01747775600001	4	6	test	AC	Face	7	0	2728.43424432
198.864539	4.01825375599999	4	7	test	AC	Face	3	1	2061.78124432
204.884276	4.01750175600001	4	8	test	AC	Face	2	1	2317.68024432
210.903326	4.017448756	4	9	test	AB	Face	4	1	2130.81124432
218.922287	4.01823775599999	4	10	test	BC	Face	5	0	2540.64624432
230.941664	4.02016175599999	4	11	test	AB	Face	2	1	1202.58724432
236.963199	4.017608756	4	12	test	BC	Face	3	1	1372.94724432
244.982199	4.01837275600003	4	13	test	BC	Face	1	1	2872.43824432
251.002024	4.017494756	4	14	test	BC	Face	2	1	1840.80624432
259.021094	4.01817775599999	4	15	test	AB	Face	3	1	1425.33624432
265.040649	4.01763175599999	4	16	test	BC	Face	6	1	1193.98824432
277.059771	4.01979375599994	4	17	test	BC	Face	4	1	1609.44424432
289.081263	4.01959575600002	4	18	test	AB	Face	5	1	1806.60424432
295.102534	4.01728175600001	4	19	test	AB	Face	1	1	1271.52124432
305.121251	4.019103756	4	20	test	AB	Face	7	1	1208.02224432
313.141577	4.01853175600001	4	21	test	AB	Face	6	1	3236.08324432
325.161542	4.01985375599994	4	22	test	AB	Face	8	1	1245.31824432
331.183056	4.01734075600002	4	23	test	BC	Face	7	1	2368.17124432
337.201732	4.01762675599998	4	24	test	BC	Face	8	1	2157.07324432
18.514318	4.0010957769	5	1	study	AB	Scene	5	1	NA
24.516964	4.00074677690001	5	2	study	AB	Scene	1	1	NA
34.519355	4.0021967769	5	3	study	AB	Scene	7	1	NA
42.523054	4.00158377690001	5	4	study	AB	Scene	8	1	NA
48.526288	4.00067277690001	5	5	study	AB	Scene	3	1	NA
54.528435	4.000818777	5	6	study	AB	Scene	4	0	NA
64.530634	4.002492777	5	7	study	AB	Scene	6	0	NA
72.534514	4.001677777	5	8	study	AB	Scene	2	1	NA
84.537629	4.003187777	5	9	study	BC	Scene	3	1	NA
90.542199	4.00090777700002	5	10	study	BC	Scene	1	1	NA
102.544563	4.00315277700001	5	11	study	BC	Scene	4	0	NA
108.549218	4.00082677700001	5	12	study	BC	Scene	8	1	NA
114.551501	4.000839777	5	13	study	BC	Scene	7	1	NA
126.553723	4.003240777	5	14	study	BC	Scene	2	1	NA
132.558084	4.00118177700002	5	15	study	BC	Scene	6	0	NA
138.560476	4.00111377700002	5	16	study	BC	Scene	5	1	NA
156.733582	4.01834077700001	5	1	test	AC	Scene	2	1	3085.06822308
162.753325	4.017596777	5	2	test	AC	Scene	1	1	1941.71222308
168.772127	4.01775277700002	5	3	test	AC	Scene	3	1	2137.08422308
176.791057	4.01857577700002	5	4	test	AC	Scene	7	1	2979.88822308
