onset	duration	trial_type	response	response_time	stim_file
240.0332398414612	2.0123209953308105	159.0	-1.0	2.451336145401001	Trimming_branches_or_hedges/v_Trimming_branches_or_hedges_id_UAsISmdRqjc_start_48.5_label_1.mp4
244.0338099002838	2.011785984039306	108.0	1.0	2.4268219470977783	Playing_pool/v_Playing_pool_id_sDMhbcOGSkk_start_57.5_label_1.mp4
252.03792786598208	2.023447036743164	84.0	-1.0	2.3988139629364014	Mowing_the_lawn/v_Mowing_the_lawn_id_c1Oq_qxXXEU_start_111.0_label_1.mp4
256.03769087791443	2.0236759185791016	155.0	-1.0	2.4069530963897705	Table_soccer/v_Table_soccer_id_Ux0taT28gcA_start_112.5_label_1.mp4
260.03311586380005	2.01094913482666	136.0	1.0	2.5075221061706543	Shot_put/v_Shot_put_id_XhwHasY98Oo_start_25.5_label_1.mp4
264.0320949554444	2.011275053024292	56.0	-1.0	2.3405089378356934	Grooming_horse/v_Grooming_horse_id_wXAM1a3JCLI_start_115.0_label_1.mp4
268.0333938598633	2.3104610443115234	41.0	1.0	2.8033390045166016	Doing_kickboxing/v_Doing_kickboxing_id_99YjGtMnLqY_start_24.5_label_1.mp4
276.0345268249512	2.0080580711364746	120.0	-1.0	2.578144073486328	Preparing_salad/v_Preparing_salad_id_Z4k3A2QE8xo_start_32.0_label_1.mp4
280.0320370197296	2.01029896736145	51.0	1.0	2.492583990097046	Futsal/v_Futsal_id_HBzk1UacQ_c_start_112.0_label_1.mp4
284.0382719039917	2.0204460620880127	47.0	1.0	2.46241307258606	Elliptical_trainer/v_Elliptical_trainer_id_ygn3529r1eo_start_87.0_label_1.mp4
288.03548192977905	2.023000955581665	123.0	1.0	2.377268075942993	Putting_on_shoes/v_Putting_on_shoes_id_0msNvIMDCFY_start_24.0_label_1.mp4
292.0392608642578	2.0184309482574463	129.0	1.0	2.485373020172119	Rollerblading/v_Rollerblading_id_ZCxLjPt0Ozw_start_67.0_label_1.mp4
