onset	duration	sample	stimuli	name	response_time	value
241.257	0	241258	Scrambled	DIN1	-1	1
245.757	0	245758	PANDA	DIN1	902	1
250.257	0	250258	PANTS	DIN1	1448	1
255.757	0	255758	PYRAMID	DIN1	1183	1
261.257	0	261258	RABBIT	DIN1	984	1
266.757	0	266758	Scrambled	DIN1	-1	1
271.257	0	271258	ROPE	DIN1	1051	1
275.756	0	275757	Scrambled	DIN1	-1	1
280.256	0	280257	SCISSORS	DIN1	761	1
284.756	0	284757	SCORPION	DIN1	Rien	0
289.256	0	289257	Scrambled	DIN1	-1	1
294.756	0	294757	SHARK	DIN1	1069	1
300.256	0	300257	SKELETON	DIN1	1073	1
305.756	0	305757	SNAIL	DIN1	797	1
310.256	0	310257	SNAKE	DIN1	858	1
314.755	0	314756	SPIDER	DIN1	1194	1
319.255	0	319256	Scrambled	DIN1	-1	1
324.755	0	324756	STARFISH	DIN1	934	1
329.255	0	329256	Scrambled	DIN1	-1	1
334.755	0	334756	SUITCASE	DIN1	1166	1
340.255	0	340256	SWING	DIN1	1418	1
344.755	0	344756	TABLE	DIN1	875	1
349.255	0	349256	SEAHORSE	DIN1	1109	1
353.755	0	353756	TENNISRA	DIN1	827	1
358.255	0	358256	THUMB	DIN1	1046	1
362.755	0	362756	Scrambled	DIN1	-1	1
368.255	0	368256	TRACTOR	DIN1	1429	1
373.755	0	373756	Scrambled	DIN1	-1	1
378.255	0	378256	HAND	DIN1	768	1
382.755	0	382756	VASE	DIN1	864	1
387.255	0	387256	LIZARD	DIN1	2136	1
391.754	0	391755	WINDMILL	DIN1	983	1
396.254	0	396255	ZEBRA	DIN1	786	1
400.754	0	400755	Scrambled	DIN1	-1	1
405.254	0	405255	Scrambled	DIN1	-1	1
410.754	0	410755	LEG	DIN1	1330	1
416.254	0	416255	Scrambled	DIN1	-1	1
421.754	0	421755	BUTTERFL	DIN1	882	1
427.253	0	427254	Scrambled	DIN1	-1	1
432.754	0	432755	Scrambled	DIN1	-1	1
437.253	0	437254	LLAMA	DIN1	Rien	0
442.753	0	442754	Scrambled	DIN1	-1	1
447.253	0	447254	BALLOON	DIN1	846	1
451.753	0	451754	TIGER	DIN1	899	1
456.253	0	456254	Scrambled	DIN1	-1	1
460.753	0	460754	TREE	DIN1	976	1
466.253	0	466254	LADYBUG	DIN1	688	1
471.753	0	471754	AXE	DIN1	880	1
476.253	0	476254	BINOCULA	DIN1	Rien	0
481.753	0	481754	Scrambled	DIN1	-1	1
486.253	0	486254	Scrambled	DIN1	-1	1
491.753	0	491754	STRAWBER	DIN1	832	1
496.253	0	496254	PALMTREE	DIN1	1445	1
500.753	0	500754	Scrambled	DIN1	-1	1
506.252	0	506253	Scrambled	DIN1	-1	1
511.752	0	511753	Scrambled	DIN1	-1	1
516.251	0	516252	ROCKET	DIN1	1119	1
521.751	0	521752	FEATHER	DIN1	854	1
527.252	0	527253	Scrambled	DIN1	-1	1
532.752	0	532753	GIRAFFE	DIN1	846	1
538.252	0	538253	Scrambled	DIN1	-1	1
543.752	0	543753	Scrambled	DIN1	-1	1
549.251	0	549252	CHIMNEY	DIN1	1230	1
554.752	0	554753	Scrambled	DIN1	-1	1
560.251	0	560252	SQUIRREL	DIN1	838	1
565.751	0	565752	Scrambled	DIN1	-1	1
571.251	0	571252	BALL	DIN1	1165	1
576.751	0	576752	CRAB	DIN1	1029	1
582.251	0	582252	FISH	DIN1	632	1
586.751	0	586752	FLAG	DIN1	865	1
592.251	0	592252	Scrambled	DIN1	-1	1
596.751	0	596752	HANGER	DIN1	1186	1
601.251	0	601252	rugbybal	DIN1	1210	1
