onset	duration	cue_type	current_mean_accuracy	duration_error	is_hit	isi_adjusted	onset_delay	response	response_type	reward	rt	rt_time	total_reward	trial_number	trial_phase	trial_type	one_press
34.576	1.45	Control	1.0	n/a	Yes	2.572	n/a	5.0	GoodResponse	0	0.034	33.61	0	2	Feedback	Neutral	True
36.026	2.572	Control	1.0	n/a	Yes	2.572	n/a	n/a	GoodResponse	0	0.0	n/a	0	2	ISIslide	Neutral	True
38.625	0.25	Win2	1.0	0.0	Yes	2.825	0.025	n/a	GoodResponse	1	n/a	n/a	1	3	Cue	Win	True
38.875	3.95	Win2	1.0	0.0	Yes	2.825	0.0	n/a	GoodResponse	1	n/a	n/a	1	3	Fixation	Win	True
42.823	0.37	Win2	1.0	0.002	Yes	2.825	-0.002	4.0	GoodResponse	1	0.229	42.052	1	3	Target	Win	True
43.052	0.3	Win2	1.0	0.002	Yes	2.825	-0.002	4.0	GoodResponse	1	0.229	n/a	1	3	ButtonPress	Win	True
43.206	0.33	Win2	1.0	n/a	Yes	2.825	n/a	n/a	GoodResponse	1	n/a	n/a	1	3	Blank	Win	True
43.523	1.45	Win2	1.0	n/a	Yes	2.825	n/a	5.0	GoodResponse	1	0.014	42.537	1	3	Feedback	Win	True
44.972	2.825	Win2	1.0	n/a	Yes	2.825	n/a	n/a	GoodResponse	1	0.0	n/a	1	3	ISIslide	Win	True
47.822	0.25	Win2	1.0	0.0	Yes	3.278	0.022	n/a	GoodResponse	1	n/a	n/a	2	4	Cue	Win	True
48.071	4.0	Win2	1.0	0.001	Yes	3.278	-0.001	n/a	GoodResponse	1	n/a	n/a	2	4	Fixation	Win	True
52.07	0.36	Win2	1.0	0.002	Yes	3.278	-0.002	4.0	GoodResponse	1	0.24	51.31	2	4	Target	Win	True
52.31	0.3	Win2	1.0	0.002	Yes	3.278	-0.002	4.0	GoodResponse	1	0.24	n/a	2	4	ButtonPress	Win	True
52.437	0.34	Win2	1.0	n/a	Yes	3.278	n/a	n/a	GoodResponse	1	n/a	n/a	2	4	Blank	Win	True
52.77	1.45	Win2	1.0	n/a	Yes	3.278	n/a	5.0	GoodResponse	1	0.034	51.804	2	4	Feedback	Win	True
54.219	3.278	Win2	1.0	n/a	Yes	3.278	n/a	n/a	GoodResponse	1	0.0	n/a	2	4	ISIslide	Win	True
57.518	0.25	Win2	1.0	0.0	Yes	2.782	0.018	n/a	GoodResponse	1	n/a	n/a	3	5	Cue	Win	True
57.768	4.0	Win2	1.0	0.0	Yes	2.782	0.0	n/a	GoodResponse	1	n/a	n/a	3	5	Fixation	Win	True
61.767	0.35	Win2	1.0	0.001	Yes	2.782	-0.001	4.0	GoodResponse	1	0.217	60.984	3	5	Target	Win	True
61.984	0.3	Win2	1.0	0.001	Yes	2.782	-0.001	4.0	GoodResponse	1	0.217	n/a	3	5	ButtonPress	Win	True
62.117	0.35	Win2	1.0	n/a	Yes	2.782	n/a	n/a	GoodResponse	1	n/a	n/a	3	5	Blank	Win	True
62.467	1.45	Win2	1.0	n/a	Yes	2.782	n/a	5.0	GoodResponse	1	0.045	61.512	3	5	Feedback	Win	True
63.916	2.782	Win2	1.0	n/a	Yes	2.782	n/a	n/a	GoodResponse	1	0.0	n/a	3	5	ISIslide	Win	True
66.715	0.25	Lose2	1.0	0.0	Yes	2.735	0.015	n/a	GoodResponse	0	n/a	n/a	3	6	Cue	AvoidedLoss	True
66.965	3.95	Lose2	1.0	0.0	Yes	2.735	0.0	n/a	GoodResponse	0	n/a	n/a	3	6	Fixation	AvoidedLoss	True
70.914	0.34	Lose2	1.0	0.001	Yes	2.735	-0.001	4.0	GoodResponse	0	0.216	70.13	3	6	Target	AvoidedLoss	True
71.13	0.3	Lose2	1.0	0.001	Yes	2.735	-0.001	4.0	GoodResponse	0	0.216	n/a	3	6	ButtonPress	AvoidedLoss	True
71.263	0.36	Lose2	1.0	n/a	Yes	2.735	n/a	n/a	GoodResponse	0	n/a	n/a	3	6	Blank	AvoidedLoss	True
71.613	1.45	Lose2	1.0	n/a	Yes	2.735	n/a	5.0	GoodResponse	0	0.021	70.634	3	6	Feedback	AvoidedLoss	True
73.063	2.735	Lose2	1.0	n/a	Yes	2.735	n/a	n/a	GoodResponse	0	0.0	n/a	3	6	ISIslide	AvoidedLoss	True
75.812	0.25	Lose2	1.0	0.0	Yes	4.038	0.012	n/a	GoodResponse	0	n/a	n/a	3	7	Cue	AvoidedLoss	True
76.062	4.05	Lose2	1.0	0.0	Yes	4.038	0.0	n/a	GoodResponse	0	n/a	n/a	3	7	Fixation	AvoidedLoss	True
80.11	0.33	Lose2	1.0	0.002	Yes	4.038	-0.002	4.0	GoodResponse	0	0.32	79.43	3	7	Target	AvoidedLoss	True
80.43	0.3	Lose2	1.0	0.002	Yes	4.038	-0.002	4.0	GoodResponse	0	0.32	n/a	3	7	ButtonPress	AvoidedLoss	True
80.444	0.37	Lose2	1.0	n/a	Yes	4.038	n/a	n/a	GoodResponse	0	n/a	n/a	3	7	Blank	AvoidedLoss	True
80.81	1.45	Lose2	1.0	n/a	Yes	4.038	n/a	5.0	GoodResponse	0	0.043	79.853	3	7	Feedback	AvoidedLoss	True
82.26	4.038	Lose2	1.0	n/a	Yes	4.038	n/a	n/a	GoodResponse	0	0.0	n/a	3	7	ISIslide	AvoidedLoss	True
86.325	0.25	Lose2	1.0	0.0	Yes	3.025	0.025	n/a	GoodResponse	0	n/a	n/a	3	8	Cue	AvoidedLoss	True
86.575	3.95	Lose2	1.0	0.0	Yes	3.025	0.0	n/a	GoodResponse	0	n/a	n/a	3	8	Fixation	AvoidedLoss	True
90.524	0.32	Lose2	1.0	0.001	Yes	3.025	-0.001	4.0	GoodResponse	0	0.212	89.736	3	8	Target	AvoidedLoss	True
90.736	0.3	Lose2	1.0	0.001	Yes	3.025	-0.001	4.0	GoodResponse	0	0.212	n/a	3	8	ButtonPress	AvoidedLoss	True
90.857	0.38	Lose2	1.0	n/a	Yes	3.025	n/a	n/a	GoodResponse	0	n/a	n/a	3	8	Blank	AvoidedLoss	True
91.223	1.45	Lose2	1.0	n/a	Yes	3.025	n/a	5.0	GoodResponse	0	0.021	90.244	3	8	Feedback	AvoidedLoss	True
92.673	3.025	Lose2	1.0	n/a	Yes	3.025	n/a	n/a	GoodResponse	0	0.0	n/a	3	8	ISIslide	AvoidedLoss	True
95.722	0.25	Lose2	1.0	0.0	Yes	3.128	0.022	n/a	GoodResponse	0	n/a	n/a	3	9	Cue	AvoidedLoss	True
95.972	3.95	Lose2	1.0	0.0	Yes	3.128	0.0	n/a	GoodResponse	0	n/a	n/a	3	9	Fixation	AvoidedLoss	True
99.92	0.31	Lose2	1.0	0.002	Yes	3.128	-0.002	4.0	GoodResponse	0	0.219	99.139	3	9	Target	AvoidedLoss	True
100.139	0.3	Lose2	1.0	0.002	Yes	3.128	-0.002	4.0	GoodResponse	0	0.219	n/a	3	9	ButtonPress	AvoidedLoss	True
100.237	0.39	Lose2	1.0	n/a	Yes	3.128	n/a	n/a	GoodResponse	0	n/a	n/a	3	9	Blank	AvoidedLoss	True
100.62	1.45	Lose2	1.0	n/a	Yes	3.128	n/a	5.0	GoodResponse	0	0.038	99.658	3	9	Feedback	AvoidedLoss	True
102.07	3.128	Lose2	1.0	n/a	Yes	3.128	n/a	n/a	GoodResponse	0	0.0	n/a	3	9	ISIslide	AvoidedLoss	True
105.219	0.25	Control	1.0	0.0	Yes	3.281	0.019	n/a	GoodResponse	0	n/a	n/a	3	10	Cue	Neutral	True
105.468	4.0	Control	1.0	0.001	Yes	3.281	-0.001	n/a	GoodResponse	0	n/a	n/a	3	10	Fixation	Neutral	True
109.467	0.3	Control	1.0	0.002	Yes	3.281	-0.002	4.0	GoodResponse	0	0.246	108.713	3	10	Target	Neutral	True
109.713	0.3	Control	1.0	0.002	Yes	3.281	-0.002	4.0	GoodResponse	0	0.246	n/a	3	10	ButtonPress	Neutral	True
109.767	0.4	Control	1.0	n/a	Yes	3.281	n/a	n/a	GoodResponse	0	n/a	n/a	3	10	Blank	Neutral	True
110.167	1.45	Control	1.0	n/a	Yes	3.281	n/a	5.0	GoodResponse	0	0.005	109.172	3	10	Feedback	Neutral	True
111.616	3.281	Control	1.0	n/a	Yes	3.281	n/a	n/a	GoodResponse	0	0.0	n/a	3	10	ISIslide	Neutral	True
114.915	0.25	Lose2	0.9167000000000001	0.0	No	2.735	0.015	n/a	NoResponse	-1	n/a	n/a	2	11	Cue	Loss	False
115.165	4.05	Lose2	0.9167000000000001	0.0	No	2.735	0.0	n/a	NoResponse	-1	n/a	n/a	2	11	Fixation	Loss	False
119.214	0.29	Lose2	0.9167000000000001	0.001	No	2.735	-0.001	n/a	NoResponse	-1	n/a	n/a	2	11	Target	Loss	False
119.514	0.41	Lose2	0.9167000000000001	n/a	No	2.735	n/a	n/a	NoResponse	-1	n/a	n/a	2	11	Blank	Loss	False
119.914	1.45	Lose2	0.9167000000000001	n/a	No	2.735	n/a	5.0	NoResponse	-1	0.013	118.927	2	11	Feedback	Loss	False
121.363	2.735	Lose2	0.9167000000000001	n/a	No	2.735	n/a	n/a	NoResponse	-1	0.0	n/a	2	11	ISIslide	Loss	False
124.112	0.25	Control	0.9231	0.0	Yes	2.988	0.012	n/a	GoodResponse	0	n/a	n/a	2	12	Cue	Neutral	True
124.362	3.9	Control	0.9231	0.0	Yes	2.988	0.0	n/a	GoodResponse	0	n/a	n/a	2	12	Fixation	Neutral	True
128.261	0.28	Control	0.9231	0.001	Yes	2.988	-0.001	4.0	GoodResponse	0	0.231	127.492	2	12	Target	Neutral	True
128.492	0.3	Control	0.9231	0.001	Yes	2.988	-0.001	4.0	GoodResponse	0	0.231	n/a	2	12	ButtonPress	Neutral	True
128.544	0.42	Control	0.9231	n/a	Yes	2.988	n/a	n/a	GoodResponse	0	n/a	n/a	2	12	Blank	Neutral	True
128.96	1.45	Control	0.9231	n/a	Yes	2.988	n/a	5.0	GoodResponse	0	0.039	127.999	2	12	Feedback	Neutral	True
130.41	2.988	Control	0.9231	n/a	Yes	2.988	n/a	n/a	GoodResponse	0	0.0	n/a	2	12	ISIslide	Neutral	True
133.426	0.25	Control	0.8571	0.0	No	2.774	0.026	n/a	NoResponse	0	n/a	n/a	2	13	Cue	Neutral	True
133.675	4.0	Control	0.8571	0.001	No	2.774	-0.001	n/a	NoResponse	0	n/a	n/a	2	13	Fixation	Neutral	True
137.674	0.27	Control	0.8571	0.002	No	2.774	-0.002	4.0	NoResponse	0	0.329	137.003	2	13	Target	Neutral	True
137.957	0.43	Control	0.8571	n/a	No	2.774	n/a	n/a	NoResponse	0	n/a	n/a	2	13	Blank	Neutral	True
138.003	0.3	Control	0.8571	0.002	No	2.774	-0.002	4.0	NoResponse	0	0.329	n/a	2	13	ButtonPress	Neutral	True
138.374	1.45	Control	0.8571	n/a	No	2.774	n/a	5.0	NoResponse	0	0.04	137.414	2	13	Feedback	Neutral	True
139.823	2.774	Control	0.8571	n/a	No	2.774	n/a	n/a	NoResponse	0	0.0	n/a	2	13	ISIslide	Neutral	True
142.622	0.25	Win2	0.8667	0.0	Yes	2.678	0.022	n/a	GoodResponse	1	n/a	n/a	3	14	Cue	Win	True
142.872	4.1	Win2	0.8667	0.0	Yes	2.678	0.0	n/a	GoodResponse	1	n/a	n/a	3	14	Fixation	Win	True
146.971	0.26	Win2	0.8667	0.001	Yes	2.678	-0.001	4.0	GoodResponse	1	0.231	146.202	3	14	Target	Win	True
147.202	0.3	Win2	0.8667	0.001	Yes	2.678	-0.001	4.0	GoodResponse	1	0.231	n/a	3	14	ButtonPress	Win	True
147.237	0.44	Win2	0.8667	n/a	Yes	2.678	n/a	n/a	GoodResponse	1	n/a	n/a	3	14	Blank	Win	True
147.671	1.45	Win2	0.8667	n/a	Yes	2.678	n/a	5.0	GoodResponse	1	0.011	146.682	3	14	Feedback	Win	True
149.12	2.678	Win2	0.8667	n/a	Yes	2.678	n/a	n/a	GoodResponse	1	0.0	n/a	3	14	ISIslide	Win	True
151.819	0.25	Control	0.875	0.0	Yes	2.981	0.019	n/a	GoodResponse	0	n/a	n/a	3	15	Cue	Neutral	True
152.069	4.0	Control	0.875	0.0	Yes	2.981	0.0	n/a	GoodResponse	0	n/a	n/a	3	15	Fixation	Neutral	True
156.068	0.25	Control	0.875	0.001	Yes	2.981	-0.001	4.0	GoodResponse	0	0.243	155.311	3	15	Target	Neutral	True
156.311	0.3	Control	0.875	0.001	Yes	2.981	-0.001	4.0	GoodResponse	0	0.243	n/a	3	15	ButtonPress	Neutral	True
156.318	0.45	Control	0.875	n/a	Yes	2.981	n/a	n/a	GoodResponse	0	n/a	n/a	3	15	Blank	Neutral	True
156.768	1.45	Control	0.875	n/a	Yes	2.981	n/a	5.0	GoodResponse	0	0.036	155.804	3	15	Feedback	Neutral	True
158.217	2.981	Control	0.875	n/a	Yes	2.981	n/a	n/a	GoodResponse	0	0.0	n/a	3	15	ISIslide	Neutral	True
161.216	0.25	Win2	0.8234999999999999	0.0	No	2.884	0.016	n/a	LatePress	0	n/a	n/a	3	16	Cue	MissedWin	True
161.466	4.0	Win2	0.8234999999999999	0.0	No	2.884	0.0	n/a	LatePress	0	n/a	n/a	3	16	Fixation	MissedWin	True
165.465	0.24	Win2	0.8234999999999999	0.001	No	2.884	-0.001	4.0	LatePress	0	0.24	164.705	3	16	Target	MissedWin	True
165.705	0.3	Win2	0.8234999999999999	0.001	No	2.884	-0.001	4.0	LatePress	0	0.24	n/a	3	16	ButtonPress	MissedWin	True
165.714	0.46	Win2	0.8234999999999999	n/a	No	2.884	n/a	n/a	LatePress	0	n/a	n/a	3	16	Blank	MissedWin	True
166.164	1.45	Win2	0.8234999999999999	n/a	No	2.884	n/a	5.0	LatePress	0	0.006	165.17	3	16	Feedback	MissedWin	True
167.614	2.884	Win2	0.8234999999999999	n/a	No	2.884	n/a	n/a	LatePress	0	0.0	n/a	3	16	ISIslide	MissedWin	True
170.513	0.25	Lose2	0.7778	0.0	No	2.737	0.013	n/a	LatePress	-1	n/a	n/a	2	17	Cue	Loss	True
170.763	3.95	Lose2	0.7778	0.0	No	2.737	0.0	n/a	LatePress	-1	n/a	n/a	2	17	Fixation	Loss	True
174.711	0.23	Lose2	0.7778	0.002	No	2.737	-0.002	4.0	LatePress	-1	0.233	173.944	2	17	Target	Loss	True
174.944	0.3	Lose2	0.7778	0.002	No	2.737	-0.002	4.0	LatePress	-1	0.233	n/a	2	17	ButtonPress	Loss	True
174.945	0.47	Lose2	0.7778	n/a	No	2.737	n/a	n/a	LatePress	-1	n/a	n/a	2	17	Blank	Loss	True
175.411	1.45	Lose2	0.7778	n/a	No	2.737	n/a	5.0	LatePress	-1	0.028	174.439	2	17	Feedback	Loss	True
176.861	2.737	Lose2	0.7778	n/a	No	2.737	n/a	n/a	LatePress	-1	0.0	n/a	2	17	ISIslide	Loss	True
179.626	0.25	Lose2	0.7368000000000001	0.0	No	2.724	0.026	n/a	NoResponse	-1	n/a	n/a	1	18	Cue	Loss	False
179.876	4.05	Lose2	0.7368000000000001	0.0	No	2.724	0.0	4.0	NoResponse	-1	3.134	182.01	1	18	Fixation	Loss	False
183.01	0.3	Lose2	0.7368000000000001	0.0	No	2.724	0.0	4.0	NoResponse	-1	3.134	n/a	1	18	ButtonPress	Loss	False
183.925	0.22	Lose2	0.7368000000000001	0.001	No	2.724	-0.001	4.0	NoResponse	-1	0.258	183.183	1	18	Target	Loss	False
184.142	0.48	Lose2	0.7368000000000001	n/a	No	2.724	n/a	n/a	NoResponse	-1	n/a	n/a	1	18	Blank	Loss	False
184.183	0.3	Lose2	0.7368000000000001	0.001	No	2.724	-0.001	4.0	NoResponse	-1	0.258	n/a	1	18	ButtonPress	Loss	False
184.625	1.45	Lose2	0.7368000000000001	n/a	No	2.724	n/a	5.0	NoResponse	-1	0.033	183.658	1	18	Feedback	Loss	False
186.074	2.724	Lose2	0.7368000000000001	n/a	No	2.724	n/a	n/a	NoResponse	-1	0.0	n/a	1	18	ISIslide	Loss	False
188.823	0.25	Control	0.7	0.0	No	2.927	0.023	n/a	NoResponse	0	n/a	n/a	1	19	Cue	Neutral	True
189.073	3.95	Control	0.7	0.0	No	2.927	0.0	n/a	NoResponse	0	n/a	n/a	1	19	Fixation	Neutral	True
193.022	0.21	Control	0.7	0.001	No	2.927	-0.001	4.0	NoResponse	0	0.23	192.252	1	19	Target	Neutral	True
193.238	0.49	Control	0.7	n/a	No	2.927	n/a	n/a	NoResponse	0	n/a	n/a	1	19	Blank	Neutral	True
193.252	0.3	Control	0.7	0.001	No	2.927	-0.001	4.0	NoResponse	0	0.23	n/a	1	19	ButtonPress	Neutral	True
193.722	1.45	Control	0.7	n/a	No	2.927	n/a	5.0	NoResponse	0	0.01	192.732	1	19	Feedback	Neutral	True
195.171	2.927	Control	0.7	n/a	No	2.927	n/a	n/a	NoResponse	0	0.0	n/a	1	19	ISIslide	Neutral	True
198.12	0.25	Control	0.6667000000000001	0.0	No	2.63	0.02	n/a	NoResponse	0	n/a	n/a	1	20	Cue	Neutral	True
198.37	4.05	Control	0.6667000000000001	0.0	No	2.63	0.0	n/a	NoResponse	0	n/a	n/a	1	20	Fixation	Neutral	True
202.419	0.2	Control	0.6667000000000001	0.001	No	2.63	-0.001	4.0	NoResponse	0	0.289	201.708	1	20	Target	Neutral	True
202.619	0.5	Control	0.6667000000000001	n/a	No	2.63	n/a	n/a	NoResponse	0	n/a	n/a	1	20	Blank	Neutral	True
202.708	0.3	Control	0.6667000000000001	0.001	No	2.63	-0.001	4.0	NoResponse	0	0.289	n/a	1	20	ButtonPress	Neutral	True
203.118	1.45	Control	0.6667000000000001	n/a	No	2.63	n/a	5.0	NoResponse	0	0.028	202.146	1	20	Feedback	Neutral	True
204.568	2.63	Control	0.6667000000000001	n/a	No	2.63	n/a	4.0	NoResponse	0	2.357	n/a	1	20	ISIslide	Neutral	True
207.2	0.25	Control	0.6364	0.0	No	2.8	0.0	n/a	NoResponse	0	n/a	n/a	1	21	Cue	Neutral	True
207.45	4.1	Control	0.6364	0.0	No	2.8	0.0	n/a	NoResponse	0	n/a	n/a	1	21	Fixation	Neutral	True
211.549	0.19	Control	0.6364	0.001	No	2.8	-0.001	4.0	NoResponse	0	0.224	210.773	1	21	Target	Neutral	True
211.749	0.51	Control	0.6364	n/a	No	2.8	n/a	n/a	NoResponse	0	n/a	n/a	1	21	Blank	Neutral	True
211.773	0.3	Control	0.6364	0.001	No	2.8	-0.001	4.0	NoResponse	0	0.224	n/a	1	21	ButtonPress	Neutral	True
212.249	1.45	Control	0.6364	n/a	No	2.8	n/a	5.0	NoResponse	0	0.019	211.268	1	21	Feedback	Neutral	True
213.698	2.8	Control	0.6364	n/a	No	2.8	n/a	n/a	NoResponse	0	0.0	n/a	1	21	ISIslide	Neutral	True
216.514	0.25	Control	0.6087	0.0	No	2.786	0.014	n/a	NoResponse	0	n/a	n/a	1	22	Cue	Neutral	True
216.764	4.0	Control	0.6087	0.0	No	2.786	0.0	n/a	NoResponse	0	n/a	n/a	1	22	Fixation	Neutral	True
220.762	0.2	Control	0.6087	0.002	No	2.786	-0.002	4.0	NoResponse	0	0.256	220.018	1	22	Target	Neutral	True
220.962	0.5	Control	0.6087	n/a	No	2.786	n/a	n/a	NoResponse	0	n/a	n/a	1	22	Blank	Neutral	True
221.018	0.3	Control	0.6087	0.002	No	2.786	-0.002	4.0	NoResponse	0	0.256	n/a	1	22	ButtonPress	Neutral	True
221.462	1.45	Control	0.6087	n/a	No	2.786	n/a	5.0	NoResponse	0	0.025	220.487	1	22	Feedback	Neutral	True
222.912	2.786	Control	0.6087	n/a	No	2.786	n/a	n/a	NoResponse	0	0.0	n/a	1	22	ISIslide	Neutral	True
225.727	0.25	Control	0.5832999999999999	0.0	No	2.773	0.027	n/a	NoResponse	0	n/a	n/a	1	23	Cue	Neutral	True
225.977	3.9	Control	0.5832999999999999	0.0	No	2.773	0.0	n/a	NoResponse	0	n/a	n/a	1	23	Fixation	Neutral	True
229.876	0.21	Control	0.5832999999999999	0.001	No	2.773	-0.001	4.0	NoResponse	0	0.223	229.099	1	23	Target	Neutral	True
230.092	0.49	Control	0.5832999999999999	n/a	No	2.773	n/a	n/a	NoResponse	0	n/a	n/a	1	23	Blank	Neutral	True
230.099	0.3	Control	0.5832999999999999	0.001	No	2.773	-0.001	4.0	NoResponse	0	0.223	n/a	1	23	ButtonPress	Neutral	True
230.576	1.45	Control	0.5832999999999999	n/a	No	2.773	n/a	5.0	NoResponse	0	0.033	229.609	1	23	Feedback	Neutral	True
232.025	2.773	Control	0.5832999999999999	n/a	No	2.773	n/a	n/a	NoResponse	0	0.0	n/a	1	23	ISIslide	Neutral	True
234.824	0.25	Win2	0.56	0.0	No	3.126	0.024	n/a	NoResponse	0	n/a	n/a	1	24	Cue	MissedWin	True
235.074	3.95	Win2	0.56	0.0	No	3.126	0.0	n/a	NoResponse	0	n/a	n/a	1	24	Fixation	MissedWin	True
239.023	0.22	Win2	0.56	0.001	No	3.126	-0.001	4.0	NoResponse	0	0.226	238.249	1	24	Target	MissedWin	True
239.239	0.48	Win2	0.56	n/a	No	3.126	n/a	n/a	NoResponse	0	n/a	n/a	1	24	Blank	MissedWin	True
239.249	0.3	Win2	0.56	0.001	No	3.126	-0.001	4.0	NoResponse	0	0.226	n/a	1	24	ButtonPress	MissedWin	True
239.722	1.45	Win2	0.56	n/a	No	3.126	n/a	5.0	NoResponse	0	0.009	238.731	1	24	Feedback	MissedWin	True
241.172	3.126	Win2	0.56	n/a	No	3.126	n/a	n/a	NoResponse	0	0.0	n/a	1	24	ISIslide	MissedWin	True
244.321	0.25	Win2	0.5769	0.0	Yes	3.079	0.021	n/a	GoodResponse	1	n/a	n/a	2	25	Cue	Win	True
244.571	4.0	Win2	0.5769	0.0	Yes	3.079	0.0	n/a	GoodResponse	1	n/a	n/a	2	25	Fixation	Win	True
248.569	0.23	Win2	0.5769	0.002	Yes	3.079	-0.002	4.0	GoodResponse	1	0.193	247.762	2	25	Target	Win	True
248.762	0.3	Win2	0.5769	0.002	Yes	3.079	-0.002	4.0	GoodResponse	1	0.193	n/a	2	25	ButtonPress	Win	True
248.803	0.47	Win2	0.5769	n/a	Yes	3.079	n/a	n/a	GoodResponse	1	n/a	n/a	2	25	Blank	Win	True
249.269	1.45	Win2	0.5769	n/a	Yes	3.079	n/a	5.0	GoodResponse	1	0.023	248.292	2	25	Feedback	Win	True
250.719	3.079	Win2	0.5769	n/a	Yes	3.079	n/a	n/a	GoodResponse	1	0.0	n/a	2	25	ISIslide	Win	True
253.818	0.25	Win2	0.5926	0.0	Yes	2.932	0.018	n/a	GoodResponse	1	n/a	n/a	3	26	Cue	Win	True
254.068	3.95	Win2	0.5926	0.0	Yes	2.932	0.0	n/a	GoodResponse	1	n/a	n/a	3	26	Fixation	Win	True
258.016	0.24	Win2	0.5926	0.002	Yes	2.932	-0.002	4.0	GoodResponse	1	0.217	257.233	3	26	Target	Win	True
258.233	0.3	Win2	0.5926	0.002	Yes	2.932	-0.002	4.0	GoodResponse	1	0.217	n/a	3	26	ButtonPress	Win	True
258.266	0.46	Win2	0.5926	n/a	Yes	2.932	n/a	n/a	GoodResponse	1	n/a	n/a	3	26	Blank	Win	True
258.716	1.45	Win2	0.5926	n/a	Yes	2.932	n/a	5.0	GoodResponse	1	0.04	257.756	3	26	Feedback	Win	True
260.165	2.932	Win2	0.5926	n/a	Yes	2.932	n/a	n/a	GoodResponse	1	0.0	n/a	3	26	ISIslide	Win	True
263.114	0.25	Lose2	0.5714	0.001	No	2.836	0.014	n/a	NoResponse	-1	n/a	n/a	2	27	Cue	Loss	False
263.364	4.05	Lose2	0.5714	0.0	No	2.836	0.0	4.0	NoResponse	-1	3.696	266.06	2	27	Fixation	Loss	False
267.06	0.3	Lose2	0.5714	0.0	No	2.836	0.0	4.0	NoResponse	-1	3.696	n/a	2	27	ButtonPress	Loss	False
267.413	0.25	Lose2	0.5714	0.001	No	2.836	-0.001	4.0	NoResponse	-1	0.275	266.688	2	27	Target	Loss	False
267.663	0.45	Lose2	0.5714	n/a	No	2.836	n/a	n/a	NoResponse	-1	n/a	n/a	2	27	Blank	Loss	False
267.688	0.3	Lose2	0.5714	0.001	No	2.836	-0.001	4.0	NoResponse	-1	0.275	n/a	2	27	ButtonPress	Loss	False
268.113	1.45	Lose2	0.5714	n/a	No	2.836	n/a	5.0	NoResponse	-1	0.009	267.122	2	27	Feedback	Loss	False
269.562	2.836	Lose2	0.5714	n/a	No	2.836	n/a	n/a	NoResponse	-1	0.0	n/a	2	27	ISIslide	Loss	False
272.411	0.25	Control	0.5517	0.0	No	2.839	0.011	n/a	NoResponse	0	n/a	n/a	2	28	Cue	Neutral	True
272.661	4.05	Control	0.5517	0.0	No	2.839	0.0	n/a	NoResponse	0	n/a	n/a	2	28	Fixation	Neutral	True
