onset	duration	value	accuracy	response_time	trial_type
76.24	1.583	D	1	494	OneBack_NonTarget
77.84	1.584	V	1	630	OneBack_NonTarget
79.441	1.783	B	1	469	OneBack_NonTarget
81.241	1.984	B	1	444	OneBack_Target
83.242	1.383	B	0	0	OneBack_Target
84.642	1.884	R	1	572	OneBack_NonTarget
86.543	1.583	D	1	663	OneBack_NonTarget
88.143	1.384	K	1	495	OneBack_NonTarget
89.544	1.883	P	1	454	OneBack_NonTarget
91.444	1.384	P	1	546	OneBack_Target
92.845	1.783	D	1	577	OneBack_NonTarget
94.645	1.484	D	1	649	OneBack_Target
96.146	1.783	D	1	692	OneBack_Target
97.946	1.684	D	1	572	OneBack_Target
99.647	1.883	D	1	455	OneBack_Target
101.547	1.584	F	1	467	OneBack_NonTarget
103.148	1.783	F	1	642	OneBack_Target
104.948	1.684	N	1	610	OneBack_NonTarget
106.649	1.383	+	NA	0	OneBack_fix
108.049	1.683	J	1	493	OneBack_NonTarget
109.75	1.883	Z	1	488	OneBack_NonTarget
111.65	1.484	S	1	443	OneBack_NonTarget
113.15	1.684	S	0	343	OneBack_Target
114.851	1.383	F	1	522	OneBack_NonTarget
116.251	1.784	F	1	770	OneBack_Target
118.052	1.483	N	1	521	OneBack_NonTarget
119.552	1.584	C	1	461	OneBack_NonTarget
121.153	1.883	Z	1	412	OneBack_NonTarget
123.053	1.384	Z	1	624	OneBack_Target
124.454	1.983	K	1	463	OneBack_NonTarget
126.454	1.584	+	NA	0	OneBack_fix
128.055	1.883	K	0	958	OneBack_Target
129.955	1.584	P	1	666	OneBack_NonTarget
131.556	1.483	G	1	577	OneBack_NonTarget
133.056	1.684	R	1	501	OneBack_NonTarget
134.757	1.983	R	1	496	OneBack_Target
136.757	1.584	L	1	448	OneBack_NonTarget
138.358	1.783	M	1	935	OneBack_NonTarget
140.158	1.784	M	1	511	OneBack_Target
141.959	1.383	P	1	590	OneBack_NonTarget
143.359	1.684	H	1	550	OneBack_NonTarget
145.06	1.383	R	1	569	OneBack_NonTarget
146.46	1.984	J	1	769	OneBack_NonTarget
148.461	1.683	R	1	928	OneBack_NonTarget
150.161	1.684	R	1	604	OneBack_Target
151.862	1.383	K	1	478	OneBack_NonTarget
153.262	1.683	H	1	463	OneBack_NonTarget
154.947	1.799	H	0	426	OneBack_Target
156.763	1.683	W	1	546	OneBack_NonTarget
158.464	1.483	W	0	0	OneBack_Target
159.964	1.583	K	1	561	OneBack_NonTarget
161.564	1.884	T	1	449	OneBack_NonTarget
163.465	1.983	T	0	980	OneBack_Target
165.45	1.999	T	1	707	OneBack_Target
167.466	1.584	F	1	435	OneBack_NonTarget
169.067	1.583	V	1	450	OneBack_NonTarget
170.667	1.983	+	NA	0	OneBack_fix
178.653	2	+	NA	0	TwoBack_fix
180.67	1.883	V	NA	951	TwoBack_na
182.57	1.984	P	NA	507	TwoBack_na
184.571	1.783	F	1	481	TwoBack_NonTarget
186.372	1.983	P	0	696	TwoBack_Target
188.372	1.884	H	1	496	TwoBack_NonTarget
190.273	1.483	V	1	667	TwoBack_NonTarget
191.773	1.784	N	1	623	TwoBack_NonTarget
193.574	1.783	V	0	478	TwoBack_Target
195.374	1.384	C	1	582	TwoBack_NonTarget
196.775	1.983	D	1	685	TwoBack_NonTarget
198.775	1.684	N	1	613	TwoBack_NonTarget
200.476	1.583	D	1	616	TwoBack_Target
202.076	1.384	K	1	424	TwoBack_NonTarget
203.476	1.484	P	0	0	TwoBack_NonTarget
204.977	1.983	+	NA	0	TwoBack_fix
206.977	1.584	K	0	803	TwoBack_Target
208.578	1.683	F	1	818	TwoBack_NonTarget
210.278	1.984	Q	1	574	TwoBack_NonTarget
212.279	1.883	F	1	629	TwoBack_Target
214.164	1.899	S	1	400	TwoBack_NonTarget
216.08	1.684	T	1	540	TwoBack_NonTarget
217.781	1.583	D	1	479	TwoBack_NonTarget
219.381	1.883	T	1	719	TwoBack_Target
221.282	1.783	C	1	562	TwoBack_NonTarget
223.082	1.484	M	1	434	TwoBack_NonTarget
224.583	1.483	C	1	469	TwoBack_Target
226.083	1.883	K	1	377	TwoBack_NonTarget
227.983	1.384	S	1	453	TwoBack_NonTarget
229.384	1.483	P	1	468	TwoBack_NonTarget
230.884	1.484	S	1	456	TwoBack_Target
232.385	1.883	W	1	427	TwoBack_NonTarget
234.285	1.584	S	0	695	TwoBack_Target
235.886	1.383	+	NA	0	TwoBack_fix
237.286	1.584	B	1	694	TwoBack_NonTarget
238.887	1.683	Z	1	501	TwoBack_NonTarget
240.587	1.684	B	1	409	TwoBack_Target
242.288	1.583	Z	0	716	TwoBack_Target
243.888	1.784	B	0	572	TwoBack_Target
245.689	1.883	K	1	515	TwoBack_NonTarget
247.589	1.584	L	1	423	TwoBack_NonTarget
249.19	1.783	D	1	494	TwoBack_NonTarget
250.99	1.584	W	1	558	TwoBack_NonTarget
252.591	1.983	D	1	437	TwoBack_Target
254.591	1.784	P	1	877	TwoBack_NonTarget
256.392	1.383	P	0	0	TwoBack_NonTarget
257.792	1.384	P	0	0	TwoBack_Target
259.192	1.784	M	1	667	TwoBack_NonTarget
260.993	1.683	R	1	818	TwoBack_NonTarget
262.693	1.884	H	1	486	TwoBack_NonTarget
264.594	1.583	R	1	449	TwoBack_Target
266.194	1.884	Z	1	505	TwoBack_NonTarget
268.095	1.383	D	1	812	TwoBack_NonTarget
269.495	1.984	G	1	716	TwoBack_NonTarget
271.496	1.383	D	1	499	TwoBack_Target
272.896	1.784	T	1	563	TwoBack_NonTarget
274.697	1.683	Y	1	690	TwoBack_NonTarget
276.397	1.584	T	0	0	TwoBack_Target
277.998	1.583	C	1	101	TwoBack_NonTarget
279.598	1.484	+	NA	0	TwoBack_fix
281.099	1.983	K	1	688	TwoBack_NonTarget
283.099	1.684	D	1	728	TwoBack_NonTarget
284.8	1.483	K	1	579	TwoBack_Target
286.3	1.784	B	1	671	TwoBack_NonTarget
288.101	1.483	V	1	766	TwoBack_NonTarget
289.601	1.684	Z	1	538	TwoBack_NonTarget
291.302	1.783	V	1	805	TwoBack_Target
293.102	1.684	Z	0	437	TwoBack_Target
294.803	1.983	V	0	568	TwoBack_Target
296.803	1.484	P	1	496	TwoBack_NonTarget
298.304	1.983	H	1	523	TwoBack_NonTarget
300.304	1.784	P	1	491	TwoBack_Target
302.105	1.683	T	1	522	TwoBack_NonTarget
303.805	1.784	P	1	574	TwoBack_Target
305.606	1.683	H	1	421	TwoBack_NonTarget
307.306	1.384	H	1	609	TwoBack_NonTarget
308.707	1.983	H	0	0	TwoBack_Target
310.707	1.484	C	1	736	TwoBack_NonTarget
312.208	1.583	D	1	739	TwoBack_NonTarget
313.808	1.384	J	1	531	TwoBack_NonTarget
315.209	1.483	P	1	498	TwoBack_NonTarget
316.709	1.383	J	0	574	TwoBack_Target
318.109	1.784	+	NA	0	TwoBack_fix
319.91	1.383	D	1	725	TwoBack_NonTarget
321.31	1.684	Q	1	541	TwoBack_NonTarget
323.011	1.983	D	1	504	TwoBack_Target
325.011	1.584	Q	0	383	TwoBack_Target
326.612	1.383	F	1	559	TwoBack_NonTarget
328.012	1.884	Z	1	439	TwoBack_NonTarget
329.913	1.683	T	1	458	TwoBack_NonTarget
331.613	1.784	Z	1	517	TwoBack_Target
333.414	1.683	M	1	428	TwoBack_NonTarget
335.114	1.484	D	1	400	TwoBack_NonTarget
336.615	1.583	J	1	427	TwoBack_NonTarget
338.215	1.884	D	0	427	TwoBack_Target
340.116	1.883	W	1	518	TwoBack_NonTarget
342.016	1.684	D	0	570	TwoBack_Target
343.717	1.583	+	NA	0	TwoBack_fix
351.302	1.5	+	NA	0	ZeroBack_fix
352.819	1.984	M	0	0	ZeroBack_NonTarget
354.82	1.783	X	0	0	ZeroBack_Target
356.62	1.984	N	0	0	ZeroBack_NonTarget
358.621	1.883	V	0	645	ZeroBack_NonTarget
360.522	1.483	F	1	744	ZeroBack_NonTarget
362.022	1.883	D	0	0	ZeroBack_NonTarget
363.923	1.683	X	1	583	ZeroBack_Target
365.623	1.884	W	1	563	ZeroBack_NonTarget
367.524	1.983	N	1	502	ZeroBack_NonTarget
369.524	1.784	X	1	430	ZeroBack_Target
371.325	1.783	Q	0	533	ZeroBack_NonTarget
373.125	1.784	Q	1	717	ZeroBack_NonTarget
374.926	1.983	X	1	588	ZeroBack_Target
376.926	1.784	L	1	420	ZeroBack_NonTarget
378.727	1.583	+	NA	0	ZeroBack_fix
380.327	1.784	F	1	507	ZeroBack_NonTarget
382.128	1.483	Z	1	482	ZeroBack_NonTarget
383.628	1.484	J	1	566	ZeroBack_NonTarget
385.129	1.883	H	1	561	ZeroBack_NonTarget
387.029	1.684	V	1	453	ZeroBack_NonTarget
388.73	1.483	F	1	432	ZeroBack_NonTarget
390.23	1.784	X	1	492	ZeroBack_Target
392.031	1.783	X	0	307	ZeroBack_Target
393.831	1.384	P	1	419	ZeroBack_NonTarget
395.232	1.483	B	1	402	ZeroBack_NonTarget
396.732	1.883	S	1	366	ZeroBack_NonTarget
398.633	1.783	X	1	585	ZeroBack_Target
400.433	1.684	X	1	609	ZeroBack_Target
402.134	1.383	D	1	459	ZeroBack_NonTarget
403.534	1.583	X	1	452	ZeroBack_Target
405.134	1.984	P	1	475	ZeroBack_NonTarget
407.135	1.983	X	1	498	ZeroBack_Target
409.136	1.683	J	1	425	ZeroBack_NonTarget
410.836	1.584	D	1	445	ZeroBack_NonTarget
412.436	1.684	B	1	445	ZeroBack_NonTarget
414.137	1.983	+	NA	0	ZeroBack_fix
416.138	1.483	X	1	695	ZeroBack_Target
417.638	1.683	L	1	387	ZeroBack_NonTarget
419.338	1.584	V	1	551	ZeroBack_NonTarget
420.939	1.683	C	1	398	ZeroBack_NonTarget
422.639	1.984	G	1	378	ZeroBack_NonTarget
424.64	1.983	M	1	529	ZeroBack_NonTarget
426.641	1.883	P	1	344	ZeroBack_NonTarget
428.541	1.584	X	1	588	ZeroBack_Target
430.142	1.983	D	1	395	ZeroBack_NonTarget
432.142	1.884	X	1	491	ZeroBack_Target
434.043	1.883	S	1	390	ZeroBack_NonTarget
435.943	1.784	+	NA	0	ZeroBack_fix
437.744	1.483	J	1	505	ZeroBack_NonTarget
439.244	1.384	X	1	533	ZeroBack_Target
440.645	1.583	B	1	420	ZeroBack_NonTarget
442.245	1.384	X	1	588	ZeroBack_Target
443.645	1.784	R	1	404	ZeroBack_NonTarget
445.446	1.383	R	1	411	ZeroBack_NonTarget
446.846	1.884	+	NA	0	ZeroBack_fix
448.747	1.683	H	1	414	ZeroBack_NonTarget
450.447	1.684	X	1	546	ZeroBack_Target
452.148	1.683	S	1	453	ZeroBack_NonTarget
453.848	1.984	B	1	577	ZeroBack_NonTarget
455.849	1.783	D	1	584	ZeroBack_NonTarget
457.649	1.584	X	1	480	ZeroBack_Target
459.25	1.883	N	1	471	ZeroBack_NonTarget
461.15	1.984	X	1	579	ZeroBack_Target
463.151	1.384	R	1	442	ZeroBack_NonTarget
464.551	1.484	S	1	490	ZeroBack_NonTarget
466.052	1.883	X	1	405	ZeroBack_Target
467.952	1.684	J	1	409	ZeroBack_NonTarget
469.653	1.683	X	1	540	ZeroBack_Target
471.353	1.984	X	1	528	ZeroBack_Target
473.354	1.783	F	1	423	ZeroBack_NonTarget
475.155	1.483	+	NA	0	ZeroBack_fix
476.655	1.783	T	1	514	ZeroBack_NonTarget
478.455	1.584	X	1	433	ZeroBack_Target
480.056	1.483	B	1	544	ZeroBack_NonTarget
481.556	1.484	F	1	444	ZeroBack_NonTarget
483.057	1.383	F	1	487	ZeroBack_NonTarget
484.457	1.584	B	1	479	ZeroBack_NonTarget
486.058	1.683	K	1	518	ZeroBack_NonTarget
487.758	1.384	Q	1	458	ZeroBack_NonTarget
489.159	1.683	T	1	441	ZeroBack_NonTarget
490.859	1.583	X	1	469	ZeroBack_Target
492.459	1.584	X	0	437	ZeroBack_Target
494.06	1.383	W	1	412	ZeroBack_NonTarget
495.46	1.584	+	NA	0	ZeroBack_fix
497.061	1.883	X	1	635	ZeroBack_Target
498.961	1.384	Z	1	511	ZeroBack_NonTarget
500.362	1.383	P	1	510	ZeroBack_NonTarget
501.762	1.484	S	0	438	ZeroBack_NonTarget
503.263	1.383	X	1	497	ZeroBack_Target
504.663	1.783	X	1	481	ZeroBack_Target
506.464	1.683	V	1	568	ZeroBack_NonTarget
508.164	1.583	D	1	492	ZeroBack_NonTarget
509.764	1.584	X	1	420	ZeroBack_Target
511.365	1.683	X	1	739	ZeroBack_Target
513.065	1.384	G	1	551	ZeroBack_NonTarget
514.466	1.883	X	1	494	ZeroBack_Target
516.366	1.584	+	NA	0	ZeroBack_fix
