onset	duration	trial_type	response_time	trust_value	choice	cLow	cHigh
388.208062	1.360352	choice_far_good	1.360352	16	high	0	16
394.960195	2.000000	outcome_far_good_recip	1.360352	16	high	0	16
399.385378	1.584233	choice_close_good	1.584233	16	high	4	16
404.638607	2.000000	outcome_close_good_defect	1.584233	16	high	4	16
409.063448	1.438561	choice_far_bad	1.438561	16	high	4	16
414.316887	2.000000	outcome_far_bad_recip	1.438561	16	high	4	16
423.587009	1.432145	choice_close_good	1.432145	10	high	4	10
430.340135	2.000000	outcome_close_good_recip	1.432145	10	high	4	10
436.379196	1.706173	choice_close_bad	1.706173	16	high	0	16
441.630361	2.000000	outcome_close_bad_defect	1.706173	16	high	0	16
449.287170	1.432148	choice_far_bad	1.432148	20	high	0	20
456.039433	2.000000	outcome_far_bad_recip	1.432148	20	high	0	20
458.849337	1.920003	choice_far_good	1.920003	10	high	4	10
464.101106	2.000000	outcome_far_good_recip	1.920003	10	high	4	10
468.526682	1.492782	choice_close_bad	1.492782	0	low	0	20
484.432265	2.920625	choice_close_bad	2.920625	4	high	0	4
492.684055	2.000000	outcome_close_bad_recip	2.920625	4	high	0	4
495.495323	1.474222	choice_far_bad	1.474222	4	high	0	4
503.747163	2.000000	outcome_far_bad_recip	1.474222	4	high	0	4
508.173664	1.479438	choice_close_bad	1.479438	16	high	4	16
513.426272	2.000000	outcome_close_bad_recip	1.479438	16	high	4	16
517.851629	1.751512	choice_close_good	1.751512	16	low	16	20
523.104146	2.000000	outcome_close_good_recip	1.751512	16	low	16	20
525.911579	1.357688	choice_close_good	1.357688	20	high	0	20
531.162282	2.000000	outcome_close_good_recip	1.357688	20	high	0	20
533.974646	1.578908	choice_far_bad	1.578908	10	high	0	10
539.227285	2.000000	outcome_far_bad_defect	1.578908	10	high	0	10
