onset	duration	weight	memtype	resolution	memcond	phase	trial	run	eye
91.689916600019	0.13	1	3	2	3	2	3	16	1
91.839916600019	0.082	1	3	2	3	2	3	16	1
91.931916600019	0.054	1	3	2	3	2	3	16	1
91.997916600019	0.052	1	3	2	3	2	3	16	1
92.153916600019	0.506	1	3	2	3	2	3	16	1
92.687916600019	0.136	1	3	2	3	2	3	16	1
93.233916600019	0.182	1	3	2	3	2	3	16	1
93.433916600019	0.248	1	3	2	3	2	3	16	1
94.9955511000007	3	1	3	2	3	3	3	16	0
102.995207400003	0.084	1	3	2	4	1	4	16	1
102.995207400003	5	1	3	2	4	1	4	16	0
103.093207400003	0.046	1	3	2	4	1	4	16	1
103.179207400003	0.094	1	3	2	4	1	4	16	1
103.309207400003	0.05	1	3	2	4	1	4	16	1
103.387207400003	0.092	1	3	2	4	1	4	16	1
103.491207400003	0.062	1	3	2	4	1	4	16	1
103.591207400003	0.042	1	3	2	4	1	4	16	1
103.669207400003	0.046	1	3	2	4	1	4	16	1
103.775207400003	0.072	1	3	2	4	1	4	16	1
103.859207400003	0.022	1	3	2	4	1	4	16	1
103.897207400003	0.032	1	3	2	4	1	4	16	1
104.013207400003	0.186	1	3	2	4	1	4	16	1
104.219207400003	0.066	1	3	2	4	1	4	16	1
104.343207400003	0.166	1	3	2	4	1	4	16	1
104.545207400003	0.07	1	3	2	4	1	4	16	1
104.635207400003	0.04	1	3	2	4	1	4	16	1
104.699207400003	0.02	1	3	2	4	1	4	16	1
104.813207400003	0.074	1	3	2	4	1	4	16	1
104.963207400003	0.386	1	3	2	4	1	4	16	1
105.369207400003	1.002	1	3	2	4	1	4	16	1
106.397207400003	0.182	1	3	2	4	1	4	16	1
106.613207400003	0.178	1	3	2	4	1	4	16	1
106.815207400003	0.32	1	3	2	4	1	4	16	1
107.169207400003	0.518	1	3	2	4	1	4	16	1
107.781207400003	0.028	1	3	2	4	1	4	16	1
107.819207400003	0.22	1	3	2	4	1	4	16	1
117.494439900009	0.122	1	3	2	4	2	4	16	1
117.494439900009	5	1	3	2	4	2	4	16	0
117.654439900009	0.056	1	3	2	4	2	4	16	1
117.740439900009	0.206	1	3	2	4	2	4	16	1
118.014439900009	0.026	1	3	2	4	2	4	16	1
118.106439900009	0.176	1	3	2	4	2	4	16	1
118.346439900009	0.094	1	3	2	4	2	4	16	1
118.482439900009	0.086	1	3	2	4	2	4	16	1
118.574439900009	0.038	1	3	2	4	2	4	16	1
118.628439900009	0.034	1	3	2	4	2	4	16	1
