onset	duration	balloon_number	balloon_idx	response	pumps	pumps_demean_all	pumps_demean_type	balloon_type	balloon_outcome	balloon_maxpumps	balloon_colour	balloon_payoff_cumulative	balloon_payoff_total	onset_explosion	duration_explosion
47.788	0.322	2	3	pump	6	-4.30769230769231	-2.875	exponential	explosion	6	blue	0.100451085663051	0	NA	NA
49.804	0.355	2	4	pump	6	-3.30769230769231	-1.875	exponential	explosion	6	blue	0.183791736799526	0	NA	NA
51.971	0.267	2	5	pump	6	-2.30769230769231	-0.875	exponential	explosion	6	blue	0.293654735772005	0	NA	NA
53.754	0.456	2	6	pump	6	NA	NA	exponential	explosion	6	blue	0.430643231586474	0	55.388	2
64.209	0.4	3	1	pump	3	-6.30769230769231	-4.44444444444444	linear	explosion	3	red	0.1	0	NA	NA
65.975	0.275	3	2	pump	3	-5.30769230769231	-3.44444444444444	linear	explosion	3	red	0.2	0	NA	NA
67.974	0.21	3	3	pump	3	NA	NA	linear	explosion	3	red	0.3	0	70.09	2
74.272	0.278	4	1	pump	5	-6.30769230769231	-4.875	exponential	cashout	15	blue	0.01	0.29	NA	NA
76.388	0.172	4	2	pump	5	-5.30769230769231	-3.875	exponential	cashout	15	blue	0.0428709385014517	0.29	NA	NA
78.438	0.243	4	3	pump	5	-4.30769230769231	-2.875	exponential	cashout	15	blue	0.100451085663051	0.29	NA	NA
80.238	0.239	4	4	pump	5	-3.30769230769231	-1.875	exponential	cashout	15	blue	0.183791736799526	0.29	NA	NA
81.888	0.856	4	5	pump	5	-2.30769230769231	-0.875	exponential	cashout	15	blue	0.293654735772005	0.29	NA	NA
83.805	0.656	4	6	cashout	5	NA	NA	exponential	cashout	15	blue	0.430643231586474	0.29	NA	NA
92.571	0.539	5	1	pump	6	-6.30769230769231	-4.44444444444444	linear	cashout	9	red	0.1	0.6	NA	NA
94.955	0.34	5	2	pump	6	-5.30769230769231	-3.44444444444444	linear	cashout	9	red	0.2	0.6	NA	NA
96.955	0.344	5	3	pump	6	-4.30769230769231	-2.44444444444444	linear	cashout	9	red	0.3	0.6	NA	NA
99.038	0.594	5	4	pump	6	-3.30769230769231	-1.44444444444444	linear	cashout	9	red	0.4	0.6	NA	NA
101.455	0.959	5	5	pump	6	-2.30769230769231	-0.444444444444445	linear	cashout	9	red	0.5	0.6	NA	NA
103.572	1.131	5	6	pump	6	-1.30769230769231	0.555555555555555	linear	cashout	9	red	0.6	0.6	NA	NA
106.605	0.702	5	7	cashout	6	NA	NA	linear	cashout	9	red	0.7	0.6	NA	NA
120.257	1.793	6	1	pump	3	-6.30769230769231	-9.44444444444444	control	control	3	grey	0	0	NA	NA
123.922	0.396	6	2	pump	3	-5.30769230769231	-8.44444444444444	control	control	3	grey	0	0	NA	NA
126.072	0.284	6	3	pump	3	-4.30769230769231	-7.44444444444444	control	control	3	grey	0	0	NA	NA
134.822	1.678	7	1	pump	7	-6.30769230769231	-4.875	exponential	cashout	8	blue	0.01	0.6	NA	NA
137.572	1.102	7	2	pump	7	-5.30769230769231	-3.875	exponential	cashout	8	blue	0.0428709385014517	0.6	NA	NA
139.789	0.78	7	3	pump	7	-4.30769230769231	-2.875	exponential	cashout	8	blue	0.100451085663051	0.6	NA	NA
141.955	0.577	7	4	pump	7	-3.30769230769231	-1.875	exponential	cashout	8	blue	0.183791736799526	0.6	NA	NA
144.155	0.57	7	5	pump	7	-2.30769230769231	-0.875	exponential	cashout	8	blue	0.293654735772005	0.6	NA	NA
145.922	1.231	7	6	pump	7	-1.30769230769231	0.125	exponential	cashout	8	blue	0.430643231586474	0.6	NA	NA
148.472	0.951	7	7	pump	7	-0.307692307692307	1.125	exponential	cashout	8	blue	0.595258881579143	0.6	NA	NA
151.222	0.778	7	8	cashout	7	NA	NA	exponential	cashout	8	blue	0.787932424540747	0.6	NA	NA
157.189	0.816	8	1	pump	6	-6.30769230769231	-4.44444444444444	linear	cashout	14	red	0.1	0.6	NA	NA
160.01	0.361	8	2	pump	6	-5.30769230769231	-3.44444444444444	linear	cashout	14	red	0.2	0.6	NA	NA
161.759	0.502	8	3	pump	6	-4.30769230769231	-2.44444444444444	linear	cashout	14	red	0.3	0.6	NA	NA
163.989	0.269	8	4	pump	6	-3.30769230769231	-1.44444444444444	linear	cashout	14	red	0.4	0.6	NA	NA
165.675	0.643	8	5	pump	6	-2.30769230769231	-0.444444444444445	linear	cashout	14	red	0.5	0.6	NA	NA
167.641	1.634	8	6	pump	6	-1.30769230769231	0.555555555555555	linear	cashout	14	red	0.6	0.6	NA	NA
171.29	0.875	8	7	cashout	6	NA	NA	linear	cashout	14	red	0.7	0.6	NA	NA
181.472	0.775	9	1	pump	15	-6.30769230769231	-9.44444444444444	control	control	15	grey	0	0	NA	NA
183.422	0.385	9	2	pump	15	-5.30769230769231	-8.44444444444444	control	control	15	grey	0	0	NA	NA
185.656	0.234	9	3	pump	15	-4.30769230769231	-7.44444444444444	control	control	15	grey	0	0	NA	NA
187.656	0.249	9	4	pump	15	-3.30769230769231	-6.44444444444444	control	control	15	grey	0	0	NA	NA
189.956	0.377	9	5	pump	15	-2.30769230769231	-5.44444444444444	control	control	15	grey	0	0	NA	NA
192.239	0.298	9	6	pump	15	-1.30769230769231	-4.44444444444444	control	control	15	grey	0	0	NA	NA
194.139	0.289	9	7	pump	15	-0.307692307692307	-3.44444444444444	control	control	15	grey	0	0	NA	NA
195.539	0.365	9	8	pump	15	0.692307692307693	-2.44444444444444	control	control	15	grey	0	0	NA	NA
197.889	0.385	9	9	pump	15	1.69230769230769	-1.44444444444444	control	control	15	grey	0	0	NA	NA
199.489	0.486	9	10	pump	15	2.69230769230769	-0.444444444444445	control	control	15	grey	0	0	NA	NA
201.722	0.347	9	11	pump	15	3.69230769230769	0.555555555555555	control	control	15	grey	0	0	NA	NA
203.706	0.387	9	12	pump	15	4.69230769230769	1.55555555555556	control	control	15	grey	0	0	NA	NA
205.489	0.464	9	13	pump	15	5.69230769230769	2.55555555555556	control	control	15	grey	0	0	NA	NA
207.177	0.7	9	14	pump	15	6.69230769230769	3.55555555555556	control	control	15	grey	0	0	NA	NA
209.077	0.51	9	15	pump	15	7.69230769230769	4.55555555555556	control	control	15	grey	0	0	NA	NA
214.608	0.406	10	1	pump	7	-6.30769230769231	-4.44444444444444	linear	cashout	15	red	0.1	0.7	NA	NA
216.341	0.35	10	2	pump	7	-5.30769230769231	-3.44444444444444	linear	cashout	15	red	0.2	0.7	NA	NA
218.174	0.293	10	3	pump	7	-4.30769230769231	-2.44444444444444	linear	cashout	15	red	0.3	0.7	NA	NA
220.506	0.322	10	4	pump	7	-3.30769230769231	-1.44444444444444	linear	cashout	15	red	0.4	0.7	NA	NA
222.106	0.497	10	5	pump	7	-2.30769230769231	-0.444444444444445	linear	cashout	15	red	0.5	0.7	NA	NA
223.956	0.592	10	6	pump	7	-1.30769230769231	0.555555555555555	linear	cashout	15	red	0.6	0.7	NA	NA
226.239	0.659	10	7	pump	7	-0.307692307692307	1.55555555555556	linear	cashout	15	red	0.7	0.7	NA	NA
228.139	0.466	10	8	cashout	7	NA	NA	linear	cashout	15	red	0.8	0.7	NA	NA
237.489	0.849	11	1	pump	7	-6.30769230769231	-4.875	exponential	cashout	14	blue	0.01	0.6	NA	NA
239.956	1.178	11	2	pump	7	-5.30769230769231	-3.875	exponential	cashout	14	blue	0.0428709385014517	0.6	NA	NA
243.106	0.259	11	3	pump	7	-4.30769230769231	-2.875	exponential	cashout	14	blue	0.100451085663051	0.6	NA	NA
245.323	0.357	11	4	pump	7	-3.30769230769231	-1.875	exponential	cashout	14	blue	0.183791736799526	0.6	NA	NA
247.54	0.946	11	5	pump	7	-2.30769230769231	-0.875	exponential	cashout	14	blue	0.293654735772005	0.6	NA	NA
250.156	1.087	11	6	pump	7	-1.30769230769231	0.125	exponential	cashout	14	blue	0.430643231586474	0.6	NA	NA
252.69	2.481	11	7	pump	7	-0.307692307692307	1.125	exponential	cashout	14	blue	0.595258881579143	0.6	NA	NA
256.761	1.441	11	8	cashout	7	NA	NA	exponential	cashout	14	blue	0.787932424540747	0.6	NA	NA
264.908	0.468	12	1	pump	3	-6.30769230769231	-9.44444444444444	control	control	3	grey	0	0	NA	NA
267.274	0.28	12	2	pump	3	-5.30769230769231	-8.44444444444444	control	control	3	grey	0	0	NA	NA
269.406	0.368	12	3	pump	3	-4.30769230769231	-7.44444444444444	control	control	3	grey	0	0	NA	NA
274.256	0.963	13	1	pump	4	-6.30769230769231	-4.44444444444444	linear	explosion	4	red	0.1	0	NA	NA
276.34	1.062	13	2	pump	4	-5.30769230769231	-3.44444444444444	linear	explosion	4	red	0.2	0	NA	NA
279.107	0.421	13	3	pump	4	-4.30769230769231	-2.44444444444444	linear	explosion	4	red	0.3	0	NA	NA
281.507	1.575	13	4	pump	4	NA	NA	linear	explosion	4	red	0.4	0	284.59	2
296.223	1.277	14	1	pump	10	-6.30769230769231	-9.44444444444444	control	control	10	grey	0	0	NA	NA
298.59	0.899	14	2	pump	10	-5.30769230769231	-8.44444444444444	control	control	10	grey	0	0	NA	NA
301.14	0.466	14	3	pump	10	-4.30769230769231	-7.44444444444444	control	control	10	grey	0	0	NA	NA
303.573	0.133	14	4	pump	10	-3.30769230769231	-6.44444444444444	control	control	10	grey	0	0	NA	NA
305.344	0.348	14	5	pump	10	-2.30769230769231	-5.44444444444444	control	control	10	grey	0	0	NA	NA
307.59	0.126	14	6	pump	10	-1.30769230769231	-4.44444444444444	control	control	10	grey	0	0	NA	NA
309.126	0.531	14	7	pump	10	-0.307692307692307	-3.44444444444444	control	control	10	grey	0	0	NA	NA
311.309	4.11	14	8	pump	10	0.692307692307693	-2.44444444444444	control	control	10	grey	0	0	NA	NA
317.257	2.181	14	9	pump	10	1.69230769230769	-1.44444444444444	control	control	10	grey	0	0	NA	NA
320.707	1.271	14	10	pump	10	2.69230769230769	-0.444444444444445	control	control	10	grey	0	0	NA	NA
332.94	0.675	15	1	pump	5	-6.30769230769231	-4.875	exponential	explosion	5	blue	0.01	0	NA	NA
334.74	0.847	15	2	pump	5	-5.30769230769231	-3.875	exponential	explosion	5	blue	0.0428709385014517	0	NA	NA
336.84	0.707	15	3	pump	5	-4.30769230769231	-2.875	exponential	explosion	5	blue	0.100451085663051	0	NA	NA
338.74	0.756	15	4	pump	5	-3.30769230769231	-1.875	exponential	explosion	5	blue	0.183791736799526	0	NA	NA
340.79	0.884	15	5	pump	5	NA	NA	exponential	explosion	5	blue	0.293654735772005	0	343.607	2
346.691	0.875	16	1	pump	6	-6.30769230769231	-4.875	exponential	cashout	10	blue	0.01	0.43	NA	NA
348.691	0.886	16	2	pump	6	-5.30769230769231	-3.875	exponential	cashout	10	blue	0.0428709385014517	0.43	NA	NA
351.079	0.545	16	3	pump	6	-4.30769230769231	-2.875	exponential	cashout	10	blue	0.100451085663051	0.43	NA	NA
353.661	0.475	16	4	pump	6	-3.30769230769231	-1.875	exponential	cashout	10	blue	0.183791736799526	0.43	NA	NA
356.144	1.463	16	5	pump	6	-2.30769230769231	-0.875	exponential	cashout	10	blue	0.293654735772005	0.43	NA	NA
359.543	0.543	16	6	pump	6	-1.30769230769231	0.125	exponential	cashout	10	blue	0.430643231586474	0.43	NA	NA
361.692	0.837	16	7	cashout	6	NA	NA	exponential	cashout	10	blue	0.595258881579143	0.43	NA	NA
377.274	0.705	17	1	pump	7	-6.30769230769231	-4.44444444444444	linear	cashout	14	red	0.1	0.7	NA	NA
379.791	2.071	17	2	pump	7	-5.30769230769231	-3.44444444444444	linear	cashout	14	red	0.2	0.7	NA	NA
383.708	0.378	17	3	pump	7	-4.30769230769231	-2.44444444444444	linear	cashout	14	red	0.3	0.7	NA	NA
386.008	0.32	17	4	pump	7	-3.30769230769231	-1.44444444444444	linear	cashout	14	red	0.4	0.7	NA	NA
388.374	0.582	17	5	pump	7	-2.30769230769231	-0.444444444444445	linear	cashout	14	red	0.5	0.7	NA	NA
390.241	0.777	17	6	pump	7	-1.30769230769231	0.555555555555555	linear	cashout	14	red	0.6	0.7	NA	NA
392.324	1.143	17	7	pump	7	-0.307692307692307	1.55555555555556	linear	cashout	14	red	0.7	0.7	NA	NA
394.958	0.843	17	8	cashout	7	NA	NA	linear	cashout	14	red	0.8	0.7	NA	NA
401.945	1.002	18	1	pump	14	-6.30769230769231	-9.44444444444444	control	control	14	grey	0	0	NA	NA
404.128	1.457	18	2	pump	14	-5.30769230769231	-8.44444444444444	control	control	14	grey	0	0	NA	NA
407.21	1.164	18	3	pump	14	-4.30769230769231	-7.44444444444444	control	control	14	grey	0	0	NA	NA
409.476	1.544	18	4	pump	14	-3.30769230769231	-6.44444444444444	control	control	14	grey	0	0	NA	NA
412.958	1.209	18	5	pump	14	-2.30769230769231	-5.44444444444444	control	control	14	grey	0	0	NA	NA
415.558	2.151	18	6	pump	14	-1.30769230769231	-4.44444444444444	control	control	14	grey	0	0	NA	NA
419.691	1.502	18	7	pump	14	-0.307692307692307	-3.44444444444444	control	control	14	grey	0	0	NA	NA
422.625	1.396	18	8	pump	14	0.692307692307693	-2.44444444444444	control	control	14	grey	0	0	NA	NA
426.041	2.173	18	9	pump	14	1.69230769230769	-1.44444444444444	control	control	14	grey	0	0	NA	NA
430.241	1.612	18	10	pump	14	2.69230769230769	-0.444444444444445	control	control	14	grey	0	0	NA	NA
433.625	1.06	18	11	pump	14	3.69230769230769	0.555555555555555	control	control	14	grey	0	0	NA	NA
436.641	0.39	18	12	pump	14	4.69230769230769	1.55555555555556	control	control	14	grey	0	0	NA	NA
438.575	0.85	18	13	pump	14	5.69230769230769	2.55555555555556	control	control	14	grey	0	0	NA	NA
441.325	0.752	18	14	pump	14	6.69230769230769	3.55555555555556	control	control	14	grey	0	0	NA	NA
445.908	0.974	19	1	pump	14	-6.30769230769231	-9.44444444444444	control	control	14	grey	0	0	NA	NA
448.075	0.439	19	2	pump	14	-5.30769230769231	-8.44444444444444	control	control	14	grey	0	0	NA	NA
450.275	0.457	19	3	pump	14	-4.30769230769231	-7.44444444444444	control	control	14	grey	0	0	NA	NA
452.262	0.349	19	4	pump	14	-3.30769230769231	-6.44444444444444	control	control	14	grey	0	0	NA	NA
454.561	0.389	19	5	pump	14	-2.30769230769231	-5.44444444444444	control	control	14	grey	0	0	NA	NA
456.027	0.412	19	6	pump	14	-1.30769230769231	-4.44444444444444	control	control	14	grey	0	0	NA	NA
457.693	0.404	19	7	pump	14	-0.307692307692307	-3.44444444444444	control	control	14	grey	0	0	NA	NA
459.443	0.648	19	8	pump	14	0.692307692307693	-2.44444444444444	control	control	14	grey	0	0	NA	NA
461.958	0.245	19	9	pump	14	1.69230769230769	-1.44444444444444	control	control	14	grey	0	0	NA	NA
463.758	0.299	19	10	pump	14	2.69230769230769	-0.444444444444445	control	control	14	grey	0	0	NA	NA
465.125	0.853	19	11	pump	14	3.69230769230769	0.555555555555555	control	control	14	grey	0	0	NA	NA
467.175	0.854	19	12	pump	14	4.69230769230769	1.55555555555556	control	control	14	grey	0	0	NA	NA
469.192	0.943	19	13	pump	14	5.69230769230769	2.55555555555556	control	control	14	grey	0	0	NA	NA
471.542	0.844	19	14	pump	14	6.69230769230769	3.55555555555556	control	control	14	grey	0	0	NA	NA
476.842	1.263	20	1	pump	6	-6.30769230769231	-4.875	exponential	explosion	6	blue	0.01	0	NA	NA
479.342	0.945	20	2	pump	6	-5.30769230769231	-3.875	exponential	explosion	6	blue	0.0428709385014517	0	NA	NA
482.342	0.371	20	3	pump	6	-4.30769230769231	-2.875	exponential	explosion	6	blue	0.100451085663051	0	NA	NA
484.208	1.81	20	4	pump	6	-3.30769230769231	-1.875	exponential	explosion	6	blue	0.183791736799526	0	NA	NA
487.792	0.641	20	5	pump	6	-2.30769230769231	-0.875	exponential	explosion	6	blue	0.293654735772005	0	NA	NA
490.242	2.018	20	6	pump	6	NA	NA	exponential	explosion	6	blue	0.430643231586474	0	494.192	2
499.546	1.018	21	1	pump	5	-6.30769230769231	-4.44444444444444	linear	cashout	7	red	0.1	0.5	NA	NA
502.278	0.29	21	2	pump	5	-5.30769230769231	-3.44444444444444	linear	cashout	7	red	0.2	0.5	NA	NA
504.461	0.074	21	3	pump	5	-4.30769230769231	-2.44444444444444	linear	cashout	7	red	0.3	0.5	NA	NA
506.027	0.302	21	4	pump	5	-3.30769230769231	-1.44444444444444	linear	cashout	7	red	0.4	0.5	NA	NA
507.743	1.603	21	5	pump	5	-2.30769230769231	-0.444444444444445	linear	cashout	7	red	0.5	0.5	NA	NA
511.192	1.71	21	6	cashout	5	NA	NA	linear	cashout	7	red	0.6	0.5	NA	NA
520.392	0.261	22	1	pump	5	-6.30769230769231	-4.875	exponential	cashout	16	blue	0.01	0.29	NA	NA
522.159	0.444	22	2	pump	5	-5.30769230769231	-3.875	exponential	cashout	16	blue	0.0428709385014517	0.29	NA	NA
523.692	0.614	22	3	pump	5	-4.30769230769231	-2.875	exponential	cashout	16	blue	0.100451085663051	0.29	NA	NA
525.509	0.917	22	4	pump	5	-3.30769230769231	-1.875	exponential	cashout	16	blue	0.183791736799526	0.29	NA	NA
527.959	0.58	22	5	pump	5	-2.30769230769231	-0.875	exponential	cashout	16	blue	0.293654735772005	0.29	NA	NA
530.342	0.5	22	6	cashout	5	NA	NA	exponential	cashout	16	blue	0.430643231586474	0.29	NA	NA
539.892	0.654	23	1	pump	6	-6.30769230769231	-4.44444444444444	linear	cashout	13	red	0.1	0.6	NA	NA
541.742	0.786	23	2	pump	6	-5.30769230769231	-3.44444444444444	linear	cashout	13	red	0.2	0.6	NA	NA
544.464	0.235	23	3	pump	6	-4.30769230769231	-2.44444444444444	linear	cashout	13	red	0.3	0.6	NA	NA
546.163	0.355	23	4	pump	6	-3.30769230769231	-1.44444444444444	linear	cashout	13	red	0.4	0.6	NA	NA
547.796	0.677	23	5	pump	6	-2.30769230769231	-0.444444444444445	linear	cashout	13	red	0.5	0.6	NA	NA
549.546	1.081	23	6	pump	6	-1.30769230769231	0.555555555555555	linear	cashout	13	red	0.6	0.6	NA	NA
552.261	0.442	23	7	cashout	6	NA	NA	linear	cashout	13	red	0.7	0.6	NA	NA
559.359	0.829	24	1	pump	5	-6.30769230769231	-9.44444444444444	control	control	5	grey	0	0	NA	NA
561.309	1.284	24	2	pump	5	-5.30769230769231	-8.44444444444444	control	control	5	grey	0	0	NA	NA
564.543	0.249	24	3	pump	5	-4.30769230769231	-7.44444444444444	control	control	5	grey	0	0	NA	NA
566.393	0.39	24	4	pump	5	-3.30769230769231	-6.44444444444444	control	control	5	grey	0	0	NA	NA
568.359	0.494	24	5	pump	5	-2.30769230769231	-5.44444444444444	control	control	5	grey	0	0	NA	NA
571.526	1.366	25	1	pump	5	-6.30769230769231	-4.44444444444444	linear	explosion	5	red	0.1	0	NA	NA
574.609	0.305	25	2	pump	5	-5.30769230769231	-3.44444444444444	linear	explosion	5	red	0.2	0	NA	NA
576.843	0.064	25	3	pump	5	-4.30769230769231	-2.44444444444444	linear	explosion	5	red	0.3	0	NA	NA
578.643	0.107	25	4	pump	5	-3.30769230769231	-1.44444444444444	linear	explosion	5	red	0.4	0	NA	NA
580.559	0.3	25	5	pump	5	NA	NA	linear	explosion	5	red	0.5	0	582.859	2
594.297	0.643	26	1	pump	15	-6.30769230769231	-9.44444444444444	control	control	15	grey	0	0	NA	NA
596.613	0.475	26	2	pump	15	-5.30769230769231	-8.44444444444444	control	control	15	grey	0	0	NA	NA
598.729	0.363	26	3	pump	15	-4.30769230769231	-7.44444444444444	control	control	15	grey	0	0	NA	NA
600.295	0.673	26	4	pump	15	-3.30769230769231	-6.44444444444444	control	control	15	grey	0	0	NA	NA
602.428	0.501	26	5	pump	15	-2.30769230769231	-5.44444444444444	control	control	15	grey	0	0	NA	NA
604.61	0.407	26	6	pump	15	-1.30769230769231	-4.44444444444444	control	control	15	grey	0	0	NA	NA
606.976	0.333	26	7	pump	15	-0.307692307692307	-3.44444444444444	control	control	15	grey	0	0	NA	NA
608.61	0.33	26	8	pump	15	0.692307692307693	-2.44444444444444	control	control	15	grey	0	0	NA	NA
610.526	0.39	26	9	pump	15	1.69230769230769	-1.44444444444444	control	control	15	grey	0	0	NA	NA
612.076	0.885	26	10	pump	15	2.69230769230769	-0.444444444444445	control	control	15	grey	0	0	NA	NA
614.093	0.968	26	11	pump	15	3.69230769230769	0.555555555555555	control	control	15	grey	0	0	NA	NA
616.243	0.738	26	12	pump	15	4.69230769230769	1.55555555555556	control	control	15	grey	0	0	NA	NA
618.226	0.74	26	13	pump	15	5.69230769230769	2.55555555555556	control	control	15	grey	0	0	NA	NA
620.51	0.423	26	14	pump	15	6.69230769230769	3.55555555555556	control	control	15	grey	0	0	NA	NA
622.077	1.347	26	15	pump	15	7.69230769230769	4.55555555555556	control	control	15	grey	0	0	NA	NA
