onset	duration	trial_type	response_time	task_type	response_type	update_cond	cate_c	cate_b	cate_o	trial_id	word_id	img_id	stim_c	stim_b	design_onset
146.020	2.000	correct	0.557	practice a-b	face	restudy	scene	face	object	33	36	36	260	36	146.000
150.519	2.000	incorrect	0.689	practice a-b	face	test	object	scene	face	34	135	135	187	239	150.500
155.019	2.000	incorrect	0.436	practice a-b	face	restudy	face	object	scene	35	70	70	70	122	155.000
159.518	2.000	correct	0.424	practice a-b	face	test	scene	face	object	36	41	41	265	41	159.500
164.017	2.000	incorrect	0.491	practice a-b	face	test	scene	object	face	37	77	77	277	129	164.000
168.516	2.000	incorrect	0.430	practice a-b	face	test	face	object	scene	38	53	53	53	105	168.500
173.015	2.000	correct	0.449	practice a-b	face	restudy	object	face	scene	39	10	10	158	10	173.000
177.515	2.000	incorrect	0.444	practice a-b	object	test	object	scene	face	40	123	123	175	227	177.500
182.014	2.000	incorrect	0.448	practice a-b	face	test	object	scene	face	41	139	139	191	243	182.000
186.513	2.000	correct	0.531	practice a-b	face	restudy	object	face	scene	42	20	20	168	20	186.500
191.012	2.000	incorrect	0.581	practice a-b	scene	test	face	object	scene	43	63	63	63	115	191.000
195.511	2.000	correct	0.328	practice a-b	face	restudy	scene	face	object	44	46	46	270	46	195.500
200.011	2.000	incorrect	0.674	practice a-b	object	test	object	face	scene	45	19	19	167	19	200.000
204.510	2.000	incorrect	0.534	practice a-b	face	restudy	scene	object	face	46	90	90	290	142	204.500
209.009	2.000	incorrect	0.466	practice a-b	face	restudy	face	scene	object	47	98	98	74	202	209.000
213.508	2.000	correct	0.548	practice a-b	face	restudy	object	face	scene	48	4	4	152	4	213.500
218.007	2.000	incorrect	0.479	practice a-b	face	test	face	scene	object	49	109	109	85	213	218.000
222.506	2.000	incorrect	0.315	practice a-b	face	test	object	scene	face	50	141	141	193	245	222.500
227.022	2.000	no response	n/a	practice a-b	no response	restudy	face	object	scene	51	54	54	54	106	227.000
231.521	2.000	incorrect	0.352	practice a-b	face	restudy	face	object	scene	52	52	52	52	104	231.500
236.020	2.000	correct	0.427	practice a-b	face	test	scene	face	object	53	35	35	259	35	236.000
240.520	2.000	correct	0.511	practice a-b	object	test	scene	object	face	54	85	85	285	137	240.500
245.019	2.000	incorrect	0.801	practice a-b	face	restudy	scene	object	face	55	86	86	286	138	245.000
249.518	2.000	correct	0.781	practice a-b	face	restudy	object	face	scene	56	18	18	166	18	249.500
254.017	2.000	no response	n/a	practice a-b	no response	test	face	object	scene	57	59	59	59	111	254.000
258.517	2.000	incorrect	0.484	practice a-b	face	test	scene	object	face	58	75	75	275	127	258.500
263.016	2.000	incorrect	0.663	practice a-b	face	restudy	face	scene	object	59	118	118	94	222	263.000
267.515	2.000	don't know	0.897	practice a-b	don't know	restudy	face	object	scene	60	66	66	66	118	267.500
272.014	2.000	incorrect	0.487	practice a-b	face	test	object	scene	face	61	127	127	179	231	272.000
276.513	2.000	incorrect	0.721	practice a-b	object	test	object	face	scene	62	13	13	161	13	276.500
281.012	2.000	incorrect	0.357	practice a-b	scene	restudy	face	object	scene	63	58	58	58	110	281.000
285.511	2.000	correct	0.312	practice a-b	face	test	scene	face	object	64	25	25	249	25	285.500
290.011	2.000	correct	0.634	practice a-b	scene	restudy	object	scene	face	65	128	128	180	232	290.000
294.510	2.000	incorrect	0.685	practice a-b	face	test	object	scene	face	66	125	125	177	229	294.500
299.009	2.000	don't know	0.750	practice a-b	don't know	test	scene	face	object	67	45	45	269	45	299.000
303.508	2.000	don't know	0.314	practice a-b	don't know	restudy	object	face	scene	68	24	24	172	24	303.500
308.007	2.000	correct	0.639	practice a-b	object	restudy	face	object	scene	69	72	72	72	124	308.000
312.507	2.000	incorrect	0.650	practice a-b	object	restudy	object	face	scene	70	12	12	160	12	312.500
317.022	2.000	don't know	0.866	practice a-b	don't know	test	face	object	scene	71	51	51	51	103	317.000
321.522	2.000	incorrect	0.248	practice a-b	face	restudy	face	scene	object	72	120	120	96	224	321.500
326.021	2.000	incorrect	0.595	practice a-b	face	test	face	scene	object	73	103	103	79	207	326.000
330.520	2.000	correct	0.790	practice a-b	scene	restudy	object	scene	face	74	132	132	184	236	330.500
335.019	2.000	incorrect	0.651	practice a-b	face	restudy	scene	object	face	75	80	80	280	132	335.000
339.518	2.000	incorrect	0.384	practice a-b	face	test	face	object	scene	76	71	71	71	123	339.500
344.018	2.000	incorrect	0.852	practice a-b	face	test	scene	object	face	77	93	93	293	145	344.000
348.517	2.000	correct	0.529	practice a-b	face	test	object	face	scene	78	23	23	171	23	348.500
353.016	2.000	correct	0.596	practice a-b	object	test	face	object	scene	79	65	65	65	117	353.000
357.515	2.000	incorrect	0.624	practice a-b	object	test	object	face	scene	80	7	7	155	7	357.500
362.014	2.000	incorrect	0.365	practice a-b	face	restudy	face	scene	object	81	100	100	76	204	362.000
366.513	2.000	no response	n/a	practice a-b	no response	restudy	face	scene	object	82	106	106	82	210	366.500
371.013	2.000	correct	0.594	practice a-b	face	test	scene	face	object	83	31	31	255	31	371.000
375.512	2.000	incorrect	0.924	practice a-b	face	test	face	object	scene	84	69	69	69	121	375.500
380.011	2.000	no response	n/a	practice a-b	no response	test	face	object	scene	85	49	49	49	101	380.000
384.510	2.000	correct	0.486	practice a-b	face	restudy	object	face	scene	86	6	6	154	6	384.500
389.009	2.000	correct	0.911	practice a-b	face	restudy	scene	face	object	87	26	26	250	26	389.000
393.508	2.000	correct	0.475	practice a-b	face	test	scene	face	object	88	43	43	267	43	393.500
398.008	2.000	incorrect	0.414	practice a-b	face	restudy	face	scene	object	89	110	110	86	214	398.000
402.507	2.000	don't know	0.328	practice a-b	don't know	test	scene	object	face	90	91	91	291	143	402.500
407.023	2.000	correct	0.316	practice a-b	face	test	object	face	scene	91	1	1	149	1	407.000
411.522	2.000	incorrect	0.455	practice a-b	face	test	face	scene	object	92	115	115	91	219	411.500
416.021	2.000	incorrect	0.787	practice a-b	face	restudy	scene	object	face	93	92	92	292	144	416.000
420.520	2.000	incorrect	0.615	practice a-b	face	test	face	object	scene	94	57	57	57	109	420.500
425.019	2.000	incorrect	0.347	practice a-b	object	test	scene	face	object	95	27	27	251	27	425.000
429.519	2.000	correct	0.430	practice a-b	object	restudy	scene	object	face	96	94	94	294	146	429.500
434.018	2.000	correct	0.530	practice a-b	object	restudy	scene	object	face	97	84	84	284	136	434.000
438.517	2.000	incorrect	0.750	practice a-b	object	restudy	object	scene	face	98	142	142	194	246	438.500
443.016	2.000	correct	0.362	practice a-b	object	restudy	face	object	scene	99	68	68	68	120	443.000
447.515	2.000	incorrect	0.389	practice a-b	face	restudy	scene	object	face	100	82	82	282	134	447.500
452.014	2.000	correct	0.384	practice a-b	face	restudy	scene	face	object	101	34	34	258	34	452.000
456.513	2.000	correct	0.371	practice a-b	object	test	face	object	scene	102	67	67	67	119	456.500
461.013	2.000	correct	0.464	practice a-b	object	test	scene	object	face	103	79	79	279	131	461.000
465.512	2.000	correct	0.546	practice a-b	object	restudy	scene	object	face	104	88	88	288	140	465.500
470.011	2.000	incorrect	0.526	practice a-b	object	test	object	face	scene	105	11	11	159	11	470.000
474.510	2.000	correct	0.417	practice a-b	object	restudy	scene	object	face	106	96	96	296	148	474.500
479.010	2.000	incorrect	0.358	practice a-b	face	restudy	object	scene	face	107	134	134	186	238	479.000
483.509	2.000	don't know	0.464	practice a-b	don't know	restudy	object	scene	face	108	122	122	174	226	483.500
488.008	2.000	correct	0.365	practice a-b	face	restudy	object	face	scene	109	2	2	150	2	488.000
492.507	2.000	incorrect	0.330	practice a-b	object	restudy	scene	face	object	110	32	32	256	32	492.500
497.006	2.000	incorrect	0.399	practice a-b	face	test	face	scene	object	111	119	119	95	223	497.000
501.522	2.000	correct	0.434	practice a-b	face	test	object	face	scene	112	17	17	165	17	501.500
506.021	2.000	correct	0.389	practice a-b	object	test	scene	object	face	113	81	81	281	133	506.000
510.520	2.000	correct	0.354	practice a-b	face	test	object	face	scene	114	5	5	153	5	510.500
515.020	2.000	correct	0.527	practice a-b	face	restudy	scene	face	object	115	30	30	254	30	515.000
519.519	2.000	correct	0.332	practice a-b	object	restudy	face	object	scene	116	60	60	60	112	519.500
524.018	2.000	incorrect	0.440	practice a-b	object	test	face	scene	object	117	101	101	77	205	524.000
528.517	2.000	incorrect	0.900	practice a-b	object	test	scene	face	object	118	47	47	271	47	528.500
533.016	2.000	incorrect	0.594	practice a-b	face	test	face	scene	object	119	105	105	81	209	533.000
537.515	2.000	correct	0.710	practice a-b	face	restudy	object	face	scene	120	8	8	156	8	537.500
542.015	2.000	incorrect	0.666	practice a-b	face	restudy	face	scene	object	121	108	108	84	212	542.000
546.514	2.000	correct	0.375	practice a-b	face	test	object	face	scene	122	21	21	169	21	546.500
551.013	2.000	correct	0.641	practice a-b	scene	test	face	scene	object	123	99	99	75	203	551.000
555.512	2.000	correct	0.621	practice a-b	scene	test	object	scene	face	124	121	121	173	225	555.500
560.011	2.000	correct	0.386	practice a-b	scene	restudy	face	scene	object	125	112	112	88	216	560.000
564.511	2.000	incorrect	0.343	practice a-b	face	restudy	object	scene	face	126	124	124	176	228	564.500
569.010	2.000	correct	0.387	practice a-b	scene	test	face	scene	object	127	107	107	83	211	569.000
573.509	2.000	correct	0.376	practice a-b	scene	restudy	object	scene	face	128	140	140	192	244	573.500
578.008	2.000	incorrect	0.572	practice a-b	scene	restudy	scene	object	face	129	78	78	278	130	578.000
582.507	2.000	correct	0.434	practice a-b	face	restudy	scene	face	object	130	44	44	268	44	582.500
587.023	2.000	no response	n/a	practice a-b	no response	test	object	scene	face	131	133	133	185	237	587.000
591.522	2.000	correct	0.505	practice a-b	scene	test	object	scene	face	132	129	129	181	233	591.500
596.021	2.000	no response	n/a	practice a-b	no response	restudy	scene	object	face	133	74	74	274	126	596.000
600.521	2.000	correct	0.620	practice a-b	scene	restudy	object	scene	face	134	136	136	188	240	600.500
605.020	2.000	correct	0.554	practice a-b	object	restudy	scene	object	face	135	76	76	276	128	605.000
609.519	2.000	incorrect	0.542	practice a-b	object	restudy	object	scene	face	136	144	144	196	248	609.500
614.018	2.000	correct	0.634	practice a-b	scene	restudy	object	scene	face	137	126	126	178	230	614.000
618.517	2.000	incorrect	0.432	practice a-b	scene	restudy	face	object	scene	138	56	56	56	108	618.500
623.016	2.000	incorrect	0.404	practice a-b	scene	restudy	face	object	scene	139	50	50	50	102	623.000
627.516	2.000	incorrect	0.353	practice a-b	object	restudy	object	face	scene	140	16	16	164	16	627.500
632.015	2.000	incorrect	0.374	practice a-b	face	restudy	object	scene	face	141	130	130	182	234	632.000
636.514	2.000	correct	0.306	practice a-b	face	restudy	scene	face	object	142	28	28	252	28	636.500
641.013	2.000	correct	0.494	practice a-b	face	restudy	object	face	scene	143	14	14	162	14	641.000
645.512	2.000	correct	0.394	practice a-b	face	test	object	face	scene	144	15	15	163	15	645.500
2.020	2.000	incorrect	0.511	practice a-b	face	restudy	object	scene	face	145	134	134	186	238	2.000
6.519	2.000	incorrect	0.490	practice a-b	scene	restudy	face	object	scene	146	62	62	62	114	6.500
11.018	2.000	correct	0.406	practice a-b	scene	restudy	face	scene	object	147	120	120	96	224	11.000
15.517	2.000	correct	0.449	practice a-b	scene	restudy	object	scene	face	148	142	142	194	246	15.500
20.016	2.000	incorrect	0.430	practice a-b	face	test	scene	object	face	149	87	87	287	139	20.000
24.516	2.000	incorrect	0.346	practice a-b	scene	test	scene	object	face	150	75	75	275	127	24.500
29.015	2.000	correct	0.463	practice a-b	face	restudy	object	face	scene	151	16	16	164	16	29.000
33.514	2.000	correct	0.331	practice a-b	face	test	scene	face	object	152	37	37	261	37	33.500
38.013	2.000	correct	0.997	practice a-b	scene	restudy	face	scene	object	153	108	108	84	212	38.000
42.512	2.000	incorrect	0.016	practice a-b	face	restudy	face	scene	object	154	100	100	76	204	42.500
47.012	2.000	no response	n/a	practice a-b	no response	test	object	face	scene	155	13	13	161	13	47.000
51.511	2.000	correct	0.576	practice a-b	object	test	scene	object	face	156	95	95	295	147	51.500
56.010	2.000	incorrect	0.557	practice a-b	face	restudy	face	object	scene	157	56	56	56	108	56.000
60.509	2.000	incorrect	0.376	practice a-b	object	restudy	scene	face	object	158	32	32	256	32	60.500
65.008	2.000	correct	0.531	practice a-b	object	test	face	object	scene	159	63	63	63	115	65.000
69.507	2.000	correct	0.575	practice a-b	face	test	scene	face	object	160	47	47	271	47	69.500
74.007	2.000	incorrect	0.689	practice a-b	scene	test	scene	object	face	161	91	91	291	143	74.000
78.522	2.000	incorrect	0.397	practice a-b	face	test	face	scene	object	162	115	115	91	219	78.500
83.022	2.000	incorrect	0.504	practice a-b	scene	restudy	scene	face	object	163	40	40	264	40	83.000
87.521	2.000	incorrect	0.468	practice a-b	object	test	face	scene	object	164	113	113	89	217	87.500
92.020	2.000	incorrect	0.455	practice a-b	scene	test	scene	object	face	165	89	89	289	141	92.000
96.519	2.000	incorrect	0.523	practice a-b	scene	restudy	face	object	scene	166	70	70	70	122	96.500
101.018	2.000	incorrect	0.376	practice a-b	face	test	face	scene	object	167	117	117	93	221	101.000
105.518	2.000	correct	0.604	practice a-b	object	test	face	object	scene	168	51	51	51	103	105.500
110.017	2.000	incorrect	0.544	practice a-b	scene	restudy	face	object	scene	169	58	58	58	110	110.000
114.516	2.000	correct	0.349	practice a-b	object	restudy	face	object	scene	170	50	50	50	102	114.500
119.015	2.000	incorrect	0.336	practice a-b	face	test	face	object	scene	171	69	69	69	121	119.000
123.514	2.000	incorrect	0.452	practice a-b	face	test	object	scene	face	172	131	131	183	235	123.500
128.013	2.000	correct	0.703	practice a-b	scene	restudy	face	scene	object	173	116	116	92	220	128.000
132.513	2.000	correct	0.364	practice a-b	scene	test	face	scene	object	174	105	105	81	209	132.500
137.012	2.000	correct	0.695	practice a-b	scene	restudy	face	scene	object	175	102	102	78	206	137.000
141.511	2.000	incorrect	0.340	practice a-b	scene	test	object	face	scene	176	11	11	159	11	141.500
146.010	2.000	correct	0.376	practice a-b	object	test	face	object	scene	177	49	49	49	101	146.000
150.509	2.000	incorrect	0.668	practice a-b	object	test	object	scene	face	178	141	141	193	245	150.500
155.025	2.000	incorrect	0.281	practice a-b	face	restudy	face	scene	object	179	104	104	80	208	155.000
159.508	2.000	correct	0.349	practice a-b	object	restudy	face	object	scene	180	66	66	66	118	159.500
164.007	2.000	incorrect	0.641	practice a-b	scene	test	face	object	scene	181	59	59	59	111	164.000
168.522	2.000	incorrect	0.427	practice a-b	scene	test	face	object	scene	182	53	53	53	105	168.500
173.022	2.000	correct	0.273	practice a-b	object	test	face	object	scene	183	55	55	55	107	173.000
177.521	2.000	incorrect	0.701	practice a-b	scene	test	object	face	scene	184	7	7	155	7	177.500
182.020	2.000	incorrect	0.523	practice a-b	object	restudy	object	scene	face	185	122	122	174	226	182.000
186.519	2.000	correct	0.590	practice a-b	scene	test	face	scene	object	186	111	111	87	215	186.500
191.018	2.000	correct	0.347	practice a-b	object	restudy	scene	object	face	187	74	74	274	126	191.000
195.518	2.000	incorrect	0.352	practice a-b	face	test	face	object	scene	188	71	71	71	123	195.500
200.017	2.000	correct	0.626	practice a-b	scene	test	face	scene	object	189	101	101	77	205	200.000
204.516	2.000	correct	0.709	practice a-b	scene	test	object	scene	face	190	123	123	175	227	204.500
209.015	2.000	correct	0.608	practice a-b	scene	test	object	scene	face	191	127	127	179	231	209.000
213.514	2.000	correct	0.627	practice a-b	object	restudy	scene	object	face	192	82	82	282	134	213.500
218.013	2.000	incorrect	0.384	practice a-b	object	restudy	object	face	scene	193	12	12	160	12	218.000
222.513	2.000	incorrect	0.491	practice a-b	face	restudy	face	scene	object	194	118	118	94	222	222.500
227.012	2.000	incorrect	0.958	practice a-b	object	restudy	object	scene	face	195	144	144	196	248	227.000
231.511	2.000	incorrect	0.331	practice a-b	scene	test	scene	object	face	196	93	93	293	145	231.500
236.010	2.000	correct	0.591	practice a-b	object	restudy	face	object	scene	197	52	52	52	104	236.000
240.509	2.000	correct	0.635	practice a-b	scene	restudy	object	scene	face	198	124	124	176	228	240.500
245.008	2.000	incorrect	0.319	practice a-b	scene	test	face	object	scene	199	57	57	57	109	245.000
249.508	2.000	correct	0.461	practice a-b	object	restudy	scene	object	face	200	78	78	278	130	249.500
254.007	2.000	correct	0.376	practice a-b	scene	restudy	face	scene	object	201	110	110	86	214	254.000
258.523	2.000	correct	0.691	practice a-b	scene	restudy	face	scene	object	202	106	106	82	210	258.500
263.022	2.000	correct	0.297	practice a-b	object	restudy	scene	object	face	203	86	86	286	138	263.000
267.521	2.000	incorrect	0.317	practice a-b	scene	restudy	scene	object	face	204	90	90	290	142	267.500
272.020	2.000	incorrect	0.370	practice a-b	object	test	object	face	scene	205	19	19	167	19	272.000
276.519	2.000	incorrect	0.407	practice a-b	face	test	object	scene	face	206	135	135	187	239	276.500
281.019	2.000	incorrect	0.339	practice a-b	object	test	face	scene	object	207	119	119	95	223	281.000
285.518	2.000	correct	0.494	practice a-b	scene	test	object	scene	face	208	133	133	185	237	285.500
290.017	2.000	incorrect	0.451	practice a-b	scene	restudy	face	object	scene	209	54	54	54	106	290.000
294.516	2.000	correct	0.662	practice a-b	object	test	scene	object	face	210	73	73	273	125	294.500
299.015	2.000	correct	0.530	practice a-b	object	test	scene	object	face	211	77	77	277	129	299.000
303.515	2.000	incorrect	0.788	practice a-b	scene	test	scene	object	face	212	83	83	283	135	303.500
308.014	2.000	correct	0.937	practice a-b	scene	restudy	face	scene	object	213	98	98	74	202	308.000
312.513	2.000	correct	0.805	practice a-b	scene	test	face	scene	object	214	109	109	85	213	312.500
317.012	2.000	correct	0.426	practice a-b	scene	test	face	scene	object	215	103	103	79	207	317.000
321.511	2.000	incorrect	0.638	practice a-b	scene	test	scene	face	object	216	33	33	257	33	321.500
326.010	2.000	correct	0.522	practice a-b	object	test	face	object	scene	217	61	61	61	113	326.000
330.510	2.000	incorrect	0.375	practice a-b	face	restudy	object	scene	face	218	130	130	182	234	330.500
335.009	2.000	incorrect	0.298	practice a-b	scene	restudy	face	object	scene	219	64	64	64	116	335.000
339.508	2.000	no response	n/a	practice a-b	no response	test	scene	face	object	220	27	27	251	27	339.500
344.007	2.000	correct	0.421	practice a-b	face	restudy	object	face	scene	221	24	24	172	24	344.000
348.506	2.000	incorrect	0.689	practice a-b	face	test	object	scene	face	222	139	139	191	243	348.500
353.022	2.000	incorrect	0.885	practice a-b	object	test	scene	face	object	223	45	45	269	45	353.000
357.521	2.000	incorrect	0.522	practice a-b	face	restudy	scene	object	face	224	80	80	280	132	357.500
362.020	2.000	incorrect	0.540	practice a-b	face	test	object	scene	face	225	125	125	177	229	362.000
366.520	2.000	incorrect	0.391	practice a-b	face	restudy	scene	object	face	226	92	92	292	144	366.500
2.015	2.000	incorrect	0.389	practice a-b	face	restudy	face	object	scene	227	70	70	70	122	2.000
6.514	2.000	incorrect	0.352	practice a-b	object	restudy	scene	face	object	228	40	40	264	40	6.500
11.013	2.000	correct	0.731	practice a-b	scene	restudy	object	scene	face	229	130	130	182	234	11.000
15.513	2.000	correct	0.376	practice a-b	face	test	object	face	scene	230	7	7	155	7	15.500
20.012	2.000	incorrect	0.435	practice a-b	object	test	object	face	scene	231	11	11	159	11	20.000
24.511	2.000	correct	0.454	practice a-b	face	test	scene	face	object	232	45	45	269	45	24.500
29.010	2.000	incorrect	0.450	practice a-b	scene	test	scene	object	face	233	75	75	275	127	29.000
33.509	2.000	incorrect	0.379	practice a-b	scene	test	scene	object	face	234	91	91	291	143	33.500
38.009	2.000	correct	0.303	practice a-b	object	test	scene	object	face	235	93	93	293	145	38.000
42.508	2.000	incorrect	0.385	practice a-b	object	test	scene	face	object	236	27	27	251	27	42.500
47.007	2.000	incorrect	0.452	practice a-b	object	test	face	scene	object	237	117	117	93	221	47.000
51.506	2.000	correct	0.375	practice a-b	object	restudy	scene	object	face	238	80	80	280	132	51.500
56.022	2.000	incorrect	0.433	practice a-b	object	restudy	object	scene	face	239	144	144	196	248	56.000
60.521	2.000	incorrect	0.475	practice a-b	scene	restudy	scene	object	face	240	90	90	290	142	60.500
65.020	2.000	correct	0.383	practice a-b	object	restudy	face	object	scene	241	62	62	62	114	65.000
69.519	2.000	correct	0.291	practice a-b	object	test	face	object	scene	242	53	53	53	105	69.500
74.019	2.000	incorrect	0.708	practice a-b	scene	test	object	face	scene	243	19	19	167	19	74.000
78.518	2.000	incorrect	0.487	practice a-b	scene	restudy	face	object	scene	244	56	56	56	108	78.500
83.017	2.000	incorrect	0.307	practice a-b	object	test	object	scene	face	245	135	135	187	239	83.000
87.516	2.000	correct	0.325	practice a-b	scene	test	object	scene	face	246	131	131	183	235	87.500
92.015	2.000	correct	0.752	practice a-b	scene	restudy	object	scene	face	247	134	134	186	238	92.000
96.515	2.000	incorrect	0.643	practice a-b	scene	restudy	scene	face	object	248	32	32	256	32	96.500
101.014	2.000	incorrect	0.511	practice a-b	object	restudy	face	scene	object	249	104	104	80	208	101.000
105.513	2.000	incorrect	0.658	practice a-b	scene	test	object	face	scene	250	13	13	161	13	105.500
110.012	2.000	incorrect	0.407	practice a-b	object	test	face	scene	object	251	119	119	95	223	110.000
114.511	2.000	incorrect	0.577	practice a-b	scene	restudy	scene	object	face	252	92	92	292	144	114.500
119.010	2.000	correct	0.454	practice a-b	object	test	scene	object	face	253	83	83	283	135	119.000
123.510	2.000	incorrect	0.409	practice a-b	object	test	face	scene	object	254	115	115	91	219	123.500
128.009	2.000	incorrect	0.461	practice a-b	face	test	scene	object	face	255	87	87	287	139	128.000
132.508	2.000	correct	0.478	practice a-b	object	restudy	face	object	scene	256	64	64	64	116	132.500
137.007	2.000	incorrect	0.522	practice a-b	object	test	object	scene	face	257	141	141	193	245	137.000
141.506	2.000	correct	0.533	practice a-b	face	restudy	object	face	scene	258	12	12	160	12	141.500
146.022	2.000	incorrect	0.376	practice a-b	object	test	face	scene	object	259	113	113	89	217	146.000
150.521	2.000	correct	0.515	practice a-b	object	restudy	face	object	scene	260	58	58	58	110	150.500
155.021	2.000	incorrect	0.367	practice a-b	object	restudy	object	scene	face	261	122	122	174	226	155.000
159.520	2.000	correct	0.267	practice a-b	object	test	face	object	scene	262	57	57	57	109	159.500
164.019	2.000	incorrect	0.399	practice a-b	face	test	object	scene	face	263	139	139	191	243	164.000
168.518	2.000	no response	n/a	practice a-b	no response	restudy	face	scene	object	264	100	100	76	204	168.500
173.017	2.000	correct	0.278	practice a-b	object	test	face	object	scene	265	71	71	71	123	173.000
177.516	2.000	correct	0.473	practice a-b	scene	test	object	scene	face	266	125	125	177	229	177.500
182.015	2.000	incorrect	0.310	practice a-b	scene	restudy	face	object	scene	267	54	54	54	106	182.000
186.515	2.000	incorrect	0.426	practice a-b	scene	test	scene	face	object	268	33	33	257	33	186.500
191.014	2.000	incorrect	0.318	practice a-b	object	restudy	face	scene	object	269	118	118	94	222	191.000
195.513	2.000	incorrect	0.403	practice a-b	face	test	scene	object	face	270	89	89	289	141	195.500
200.012	2.000	incorrect	0.310	practice a-b	scene	test	face	object	scene	271	69	69	69	121	200.000
204.511	2.000	incorrect	0.410	practice a-b	scene	test	face	object	scene	272	59	59	59	111	204.500
2.022	2.000	incorrect	0.307	practice a-b	object	test	object	scene	face	273	141	141	193	245	2.000
6.521	2.000	correct	0.487	practice a-b	object	test	face	object	scene	274	59	59	59	111	6.500
11.020	2.000	incorrect	0.348	practice a-b	object	test	object	face	scene	275	13	13	161	13	11.000
15.519	2.000	incorrect	0.408	practice a-b	object	restudy	scene	face	object	276	40	40	264	40	15.500
20.019	2.000	correct	0.612	practice a-b	object	restudy	scene	object	face	277	92	92	292	144	20.000
24.518	2.000	incorrect	0.392	practice a-b	object	test	scene	face	object	278	33	33	257	33	24.500
29.017	2.000	incorrect	0.378	practice a-b	scene	test	scene	object	face	279	87	87	287	139	29.000
33.516	2.000	correct	0.382	practice a-b	object	test	scene	object	face	280	91	91	291	143	33.500
38.015	2.000	incorrect	0.339	practice a-b	face	restudy	face	scene	object	281	104	104	80	208	38.000
42.514	2.000	incorrect	0.726	practice a-b	object	restudy	face	scene	object	282	100	100	76	204	42.500
47.014	2.000	incorrect	0.442	practice a-b	object	test	face	scene	object	283	115	115	91	219	47.000
51.513	2.000	incorrect	0.292	practice a-b	scene	restudy	face	object	scene	284	70	70	70	122	51.500
56.012	2.000	incorrect	0.320	practice a-b	object	restudy	face	scene	object	285	118	118	94	222	56.000
60.511	2.000	correct	0.315	practice a-b	scene	restudy	object	scene	face	286	122	122	174	226	60.500
