onset	duration	sample	trial_type	response_time	stim_file	value	HED	second_after_ready
137.7280028841	n/a	n/a	getready	n/a	n/a	D161	n/a	5
138.6679997972	n/a	n/a	getready	n/a	n/a	D156	n/a	6
139.8520006171	n/a	n/a	concentrate	n/a	n/a	D217	n/a	7
140.8000039241	n/a	n/a	concentrate	n/a	n/a	D214	n/a	8
141.8560030243	n/a	n/a	concentrate	n/a	n/a	D216	n/a	9
142.9159952632	n/a	n/a	concentrate	n/a	n/a	D211	n/a	10
144.0800002149	n/a	n/a	concentrate	n/a	n/a	D220	n/a	11
145.0240003250	n/a	n/a	concentrate	n/a	n/a	D225	n/a	12
146.1840020797	n/a	n/a	concentrate	n/a	n/a	D212	n/a	13
147.1199957958	n/a	n/a	concentrate	n/a	n/a	D209	n/a	14
148.2720012150	n/a	n/a	concentrate	n/a	n/a	D219	n/a	15
149.2119981281	n/a	n/a	concentrate	n/a	n/a	D212	n/a	16
150.3640035472	n/a	n/a	concentrate	n/a	n/a	D216	n/a	17
151.3040004603	n/a	n/a	concentrate	n/a	n/a	D211	n/a	18
152.4199972234	n/a	n/a	concentrate	n/a	n/a	D220	n/a	19
153.5799989781	n/a	n/a	concentrate	n/a	n/a	D223	n/a	20
154.5160027525	n/a	n/a	concentrate	n/a	n/a	D211	n/a	21
155.7039967111	n/a	n/a	relax	n/a	n/a	DI91	n/a	22
156.6359972886	n/a	n/a	relax	n/a	n/a	DI92	n/a	23
157.7919958464	n/a	n/a	relax	n/a	n/a	DI89	n/a	24
158.7279996208	n/a	n/a	relax	n/a	n/a	DI94	n/a	25
159.8839981786	n/a	n/a	relax	n/a	n/a	DI83	n/a	26
160.8519973538	n/a	n/a	relax	n/a	n/a	DI92	n/a	27
161.9160028479	n/a	n/a	relax	n/a	n/a	DI83	n/a	28
163.0840009383	n/a	n/a	relax	n/a	n/a	DI85	n/a	29
164.0359973840	n/a	n/a	relax	n/a	n/a	DI95	n/a	30
165.2159950069	n/a	n/a	getready	n/a	n/a	D144	n/a	1
166.1560019783	n/a	n/a	getready	n/a	n/a	D150	n/a	2
167.3079973391	n/a	n/a	getready	n/a	n/a	D157	n/a	3
168.1680007211	n/a	n/a	getready	n/a	n/a	D151	n/a	4
169.3239992789	n/a	n/a	getready	n/a	n/a	D154	n/a	5
170.2639961920	n/a	n/a	getready	n/a	n/a	D156	n/a	6
171.4440038732	n/a	n/a	concentrate	n/a	n/a	D224	n/a	7
172.5880028985	n/a	n/a	concentrate	n/a	n/a	D226	n/a	8
173.5320030085	n/a	n/a	concentrate	n/a	n/a	D223	n/a	9
174.6880015663	n/a	n/a	concentrate	n/a	n/a	D218	n/a	10
175.6239952824	n/a	n/a	concentrate	n/a	n/a	D217	n/a	11
176.7760007015	n/a	n/a	concentrate	n/a	n/a	D219	n/a	12
177.7279971472	n/a	n/a	concentrate	n/a	n/a	D209	n/a	13
178.8800025663	n/a	n/a	concentrate	n/a	n/a	D225	n/a	14
179.8279958150	n/a	n/a	concentrate	n/a	n/a	D217	n/a	15
180.8999976448	n/a	n/a	concentrate	n/a	n/a	D224	n/a	16
182.0640025965	n/a	n/a	concentrate	n/a	n/a	D214	n/a	17
183.0039995096	n/a	n/a	concentrate	n/a	n/a	D216	n/a	18
184.1680044613	n/a	n/a	concentrate	n/a	n/a	D220	n/a	19
185.1039981774	n/a	n/a	concentrate	n/a	n/a	D224	n/a	20
186.1479977450	n/a	n/a	concentrate	n/a	n/a	D227	n/a	21
187.3520044914	n/a	n/a	relax	n/a	n/a	DI86	n/a	22
188.3040009371	n/a	n/a	relax	n/a	n/a	DI91	n/a	23
189.2400047115	n/a	n/a	relax	n/a	n/a	DI87	n/a	24
190.3920000724	n/a	n/a	relax	n/a	n/a	DI90	n/a	25
191.5520018271	n/a	n/a	relax	n/a	n/a	DI86	n/a	26
192.5120046667	n/a	n/a	relax	n/a	n/a	DI89	n/a	27
193.4520015798	n/a	n/a	relax	n/a	n/a	DI90	n/a	28
194.6080001376	n/a	n/a	relax	n/a	n/a	DI86	n/a	29
195.7560023597	n/a	n/a	relax	n/a	n/a	DI91	n/a	30
196.7280047319	n/a	n/a	getready	n/a	n/a	D162	n/a	1
197.8800000927	n/a	n/a	getready	n/a	n/a	D150	n/a	2
198.8280033997	n/a	n/a	getready	n/a	n/a	D153	n/a	3
199.7840030423	n/a	n/a	getready	n/a	n/a	D152	n/a	4
200.8280026100	n/a	n/a	getready	n/a	n/a	D149	n/a	5
202.0919969610	n/a	n/a	getready	n/a	n/a	D149	n/a	6
203.0560029975	n/a	n/a	concentrate	n/a	n/a	D224	n/a	7
203.9919967136	n/a	n/a	concentrate	n/a	n/a	D216	n/a	8
205.1440021328	n/a	n/a	concentrate	n/a	n/a	D219	n/a	9
206.3040038875	n/a	n/a	concentrate	n/a	n/a	D222	n/a	10
207.2399976037	n/a	n/a	concentrate	n/a	n/a	D229	n/a	11
208.3959961615	n/a	n/a	concentrate	n/a	n/a	D204	n/a	12
209.3319999359	n/a	n/a	concentrate	n/a	n/a	D218	n/a	13
210.3759995035	n/a	n/a	concentrate	n/a	n/a	D220	n/a	14
211.5280049226	n/a	n/a	concentrate	n/a	n/a	D214	n/a	15
212.4639986387	n/a	n/a	concentrate	n/a	n/a	D215	n/a	16
213.6280035905	n/a	n/a	concentrate	n/a	n/a	D223	n/a	17
214.5720037005	n/a	n/a	concentrate	n/a	n/a	D215	n/a	18
215.7280022583	n/a	n/a	concentrate	n/a	n/a	D233	n/a	19
216.6639959744	n/a	n/a	concentrate	n/a	n/a	D212	n/a	20
217.8160013936	n/a	n/a	concentrate	n/a	n/a	D214	n/a	21
218.7840005687	n/a	n/a	relax	n/a	n/a	DI90	n/a	22
219.8280001364	n/a	n/a	relax	n/a	n/a	DI87	n/a	23
220.8799960396	n/a	n/a	relax	n/a	n/a	DI84	n/a	24
221.9200024686	n/a	n/a	relax	n/a	n/a	DI88	n/a	25
222.9760015688	n/a	n/a	relax	n/a	n/a	DI93	n/a	26
224.1759950600	n/a	n/a	relax	n/a	n/a	DI88	n/a	27
225.1160020313	n/a	n/a	relax	n/a	n/a	DI83	n/a	28
226.1679979346	n/a	n/a	relax	n/a	n/a	DI84	n/a	29
227.3200033537	n/a	n/a	relax	n/a	n/a	DI93	n/a	30
228.2520039312	n/a	n/a	relax	n/a	n/a	DI99	n/a	31
229.4039992920	n/a	n/a	relax	n/a	n/a	DI95	n/a	32
230.3400030664	n/a	n/a	relax	n/a	n/a	DI95	n/a	33
231.5039979599	n/a	n/a	relax	n/a	n/a	D100	n/a	34
232.4479980699	n/a	n/a	relax	n/a	n/a	DI99	n/a	35
233.6039966277	n/a	n/a	relax	n/a	n/a	DI88	n/a	36
234.5639994673	n/a	n/a	getready	n/a	n/a	D157	n/a	1
235.6199985675	n/a	n/a	getready	n/a	n/a	D155	n/a	2
236.7720039866	n/a	n/a	getready	n/a	n/a	D157	n/a	3
237.7400031618	n/a	n/a	getready	n/a	n/a	D150	n/a	4
238.8960017196	n/a	n/a	getready	n/a	n/a	D157	n/a	5
239.8479981652	n/a	n/a	getready	n/a	n/a	D154	n/a	6
240.9279963306	n/a	n/a	concentrate	n/a	n/a	D224	n/a	7
242.0719953558	n/a	n/a	concentrate	n/a	n/a	D222	n/a	8
243.0159954659	n/a	n/a	concentrate	n/a	n/a	D228	n/a	9
244.1800004176	n/a	n/a	concentrate	n/a	n/a	D224	n/a	10
245.1160041920	n/a	n/a	concentrate	n/a	n/a	D217	n/a	11
246.2720027498	n/a	n/a	concentrate	n/a	n/a	D214	n/a	12
247.2079964659	n/a	n/a	concentrate	n/a	n/a	D209	n/a	13
248.3639950237	n/a	n/a	concentrate	n/a	n/a	D215	n/a	14
249.2999987981	n/a	n/a	concentrate	n/a	n/a	D215	n/a	15
250.4520042173	n/a	n/a	concentrate	n/a	n/a	D215	n/a	16
251.6080027751	n/a	n/a	concentrate	n/a	n/a	D211	n/a	17
252.5439964912	n/a	n/a	concentrate	n/a	n/a	D217	n/a	18
253.6960019103	n/a	n/a	concentrate	n/a	n/a	D213	n/a	19
254.6319956264	n/a	n/a	concentrate	n/a	n/a	D219	n/a	20
255.7880042425	n/a	n/a	concentrate	n/a	n/a	D215	n/a	21
256.7560034177	n/a	n/a	relax	n/a	n/a	DI86	n/a	22
257.9079987786	n/a	n/a	relax	n/a	n/a	DI82	n/a	23
258.8599952242	n/a	n/a	relax	n/a	n/a	DI88	n/a	24
259.9040048501	n/a	n/a	relax	n/a	n/a	DI97	n/a	25
260.9519975564	n/a	n/a	relax	n/a	n/a	DI92	n/a	26
262.1319951794	n/a	n/a	relax	n/a	n/a	DI94	n/a	27
263.1799979440	n/a	n/a	relax	n/a	n/a	DI89	n/a	28
264.1160017184	n/a	n/a	relax	n/a	n/a	DI89	n/a	29
265.2679970793	n/a	n/a	relax	n/a	n/a	DI92	n/a	30
266.2040008537	n/a	n/a	relax	n/a	n/a	DI94	n/a	31
267.3599994115	n/a	n/a	relax	n/a	n/a	DI99	n/a	32
268.2960031859	n/a	n/a	relax	n/a	n/a	DI90	n/a	33
269.4520017437	n/a	n/a	relax	n/a	n/a	DI86	n/a	34
270.3879954598	n/a	n/a	relax	n/a	n/a	DI85	n/a	35
271.5440040759	n/a	n/a	relax	n/a	n/a	DI89	n/a	36
272.7000026337	n/a	n/a	relax	n/a	n/a	DI89	n/a	37
273.6759981445	n/a	n/a	getready	n/a	n/a	D154	n/a	1
274.6120019189	n/a	n/a	getready	n/a	n/a	D153	n/a	2
275.7720036737	n/a	n/a	getready	n/a	n/a	D153	n/a	3
276.7359996519	n/a	n/a	getready	n/a	n/a	D146	n/a	4
277.8879950128	n/a	n/a	getready	n/a	n/a	D152	n/a	5
278.8280019841	n/a	n/a	getready	n/a	n/a	D146	n/a	6
279.8919974200	n/a	n/a	concentrate	n/a	n/a	D220	n/a	7
280.9280006520	n/a	n/a	concentrate	n/a	n/a	D215	n/a	8
281.9839997522	n/a	n/a	concentrate	n/a	n/a	D221	n/a	9
283.1480047039	n/a	n/a	concentrate	n/a	n/a	D220	n/a	10
284.0839984200	n/a	n/a	concentrate	n/a	n/a	D218	n/a	11
285.2360038391	n/a	n/a	concentrate	n/a	n/a	D215	n/a	12
286.1760007522	n/a	n/a	concentrate	n/a	n/a	D217	n/a	13
287.3319993100	n/a	n/a	concentrate	n/a	n/a	D217	n/a	14
288.4800015322	n/a	n/a	concentrate	n/a	n/a	D209	n/a	15
289.4199984453	n/a	n/a	concentrate	n/a	n/a	D217	n/a	16
290.5720038644	n/a	n/a	concentrate	n/a	n/a	D219	n/a	17
291.5079975805	n/a	n/a	concentrate	n/a	n/a	D216	n/a	18
292.6639961383	n/a	n/a	concentrate	n/a	n/a	D217	n/a	19
293.5959967158	n/a	n/a	concentrate	n/a	n/a	D225	n/a	20
294.7519952736	n/a	n/a	concentrate	n/a	n/a	D217	n/a	21
295.8320034972	n/a	n/a	relax	n/a	n/a	D101	n/a	22
296.7799967459	n/a	n/a	relax	n/a	n/a	DI85	n/a	23
297.9320021651	n/a	n/a	relax	n/a	n/a	DI90	n/a	24
298.8799954138	n/a	n/a	relax	n/a	n/a	DI91	n/a	25
299.9519972435	n/a	n/a	relax	n/a	n/a	DI86	n/a	26
300.9359991482	n/a	n/a	relax	n/a	n/a	DI91	n/a	27
302.1039972386	n/a	n/a	relax	n/a	n/a	DI87	n/a	28
303.0440042100	n/a	n/a	relax	n/a	n/a	DI91	n/a	29
304.2079991034	n/a	n/a	relax	n/a	n/a	DI87	n/a	30
305.1599955491	n/a	n/a	getready	n/a	n/a	D159	n/a	1
306.3120009682	n/a	n/a	getready	n/a	n/a	D163	n/a	2
307.2519978813	n/a	n/a	getready	n/a	n/a	D158	n/a	3
308.4319955043	n/a	n/a	getready	n/a	n/a	D147	n/a	4
309.3720024756	n/a	n/a	getready	n/a	n/a	D160	n/a	5
310.4079956493	n/a	n/a	getready	n/a	n/a	D151	n/a	6
311.5720006011	n/a	n/a	concentrate	n/a	n/a	D209	n/a	7
312.5080043755	n/a	n/a	concentrate	n/a	n/a	D225	n/a	8
313.6599997363	n/a	n/a	concentrate	n/a	n/a	D211	n/a	9
314.8159982941	n/a	n/a	concentrate	n/a	n/a	D216	n/a	10
315.7479988716	n/a	n/a	concentrate	n/a	n/a	D210	n/a	11
316.9039974294	n/a	n/a	concentrate	n/a	n/a	D215	n/a	12
317.8400012038	n/a	n/a	concentrate	n/a	n/a	D218	n/a	13
318.9039966396	n/a	n/a	concentrate	n/a	n/a	D214	n/a	14
319.9680021337	n/a	n/a	concentrate	n/a	n/a	D216	n/a	15
321.1360002241	n/a	n/a	concentrate	n/a	n/a	D220	n/a	16
322.0800003341	n/a	n/a	concentrate	n/a	n/a	D216	n/a	17
323.2359988919	n/a	n/a	concentrate	n/a	n/a	D221	n/a	18
324.1759958050	n/a	n/a	concentrate	n/a	n/a	D222	n/a	19
325.3280012242	n/a	n/a	concentrate	n/a	n/a	D212	n/a	20
326.2640049986	n/a	n/a	concentrate	n/a	n/a	D213	n/a	21
327.4479957602	n/a	n/a	relax	n/a	n/a	DI93	n/a	22
328.3839995346	n/a	n/a	relax	n/a	n/a	DI92	n/a	23
329.5399980924	n/a	n/a	relax	n/a	n/a	DI89	n/a	24
330.4719986699	n/a	n/a	relax	n/a	n/a	DI85	n/a	25
331.6279972277	n/a	n/a	relax	n/a	n/a	DI85	n/a	26
332.5999995998	n/a	n/a	relax	n/a	n/a	DI84	n/a	27
333.6439991674	n/a	n/a	relax	n/a	n/a	DI93	n/a	28
334.7960045866	n/a	n/a	relax	n/a	n/a	DI97	n/a	29
335.7319983027	n/a	n/a	relax	n/a	n/a	DI81	n/a	30
336.8879968605	n/a	n/a	relax	n/a	n/a	DI84	n/a	31
337.8240006349	n/a	n/a	relax	n/a	n/a	DI93	n/a	32
338.8680002025	n/a	n/a	relax	n/a	n/a	DI95	n/a	33
339.9319956384	n/a	n/a	relax	n/a	n/a	DI82	n/a	34
340.9720020673	n/a	n/a	relax	n/a	n/a	DI90	n/a	35
342.2359964184	n/a	n/a	relax	n/a	n/a	DI89	n/a	36
343.1720001928	n/a	n/a	relax	n/a	n/a	DI83	n/a	37
344.1399993680	n/a	n/a	getready	n/a	n/a	D156	n/a	1
345.1880021325	n/a	n/a	getready	n/a	n/a	D156	n/a	2
346.3440006903	n/a	n/a	getready	n/a	n/a	D163	n/a	3
347.3280025951	n/a	n/a	getready	n/a	n/a	D159	n/a	4
348.4760048172	n/a	n/a	getready	n/a	n/a	D148	n/a	5
349.4160017303	n/a	n/a	getready	n/a	n/a	D153	n/a	6
350.6000025502	n/a	n/a	concentrate	n/a	n/a	D222	n/a	7
351.6479952565	n/a	n/a	concentrate	n/a	n/a	D229	n/a	8
352.5919953666	n/a	n/a	concentrate	n/a	n/a	D211	n/a	9
353.6440013281	n/a	n/a	concentrate	n/a	n/a	D209	n/a	10
354.8119994185	n/a	n/a	concentrate	n/a	n/a	D210	n/a	11
355.8639953218	n/a	n/a	concentrate	n/a	n/a	D219	n/a	12
356.8280013583	n/a	n/a	concentrate	n/a	n/a	D209	n/a	13
357.9039963267	n/a	n/a	concentrate	n/a	n/a	D217	n/a	14
358.9599954269	n/a	n/a	concentrate	n/a	n/a	D221	n/a	15
360.0079981915	n/a	n/a	concentrate	n/a	n/a	D214	n/a	16
361.1600036106	n/a	n/a	concentrate	n/a	n/a	D223	n/a	17
362.2079963169	n/a	n/a	concentrate	n/a	n/a	D217	n/a	18
363.1399968944	n/a	n/a	concentrate	n/a	n/a	D215	n/a	19
364.2959954522	n/a	n/a	concentrate	n/a	n/a	D225	n/a	20
365.2279960296	n/a	n/a	concentrate	n/a	n/a	D215	n/a	21
366.4200032434	n/a	n/a	relax	n/a	n/a	DI90	n/a	22
367.3559969596	n/a	n/a	relax	n/a	n/a	DI92	n/a	23
368.5080023787	n/a	n/a	relax	n/a	n/a	DI78	n/a	24
369.4439960948	n/a	n/a	relax	n/a	n/a	DI89	n/a	25
370.5960015140	n/a	n/a	relax	n/a	n/a	DI88	n/a	26
371.5479979596	n/a	n/a	relax	n/a	n/a	DI93	n/a	27
372.7039965174	n/a	n/a	relax	n/a	n/a	DI89	n/a	28
373.6400002918	n/a	n/a	relax	n/a	n/a	DI90	n/a	29
374.8039951853	n/a	n/a	relax	n/a	n/a	DI87	n/a	30
375.7999966226	n/a	n/a	getready	n/a	n/a	D152	n/a	1
376.9599983773	n/a	n/a	getready	n/a	n/a	D155	n/a	2
377.8999952904	n/a	n/a	getready	n/a	n/a	D149	n/a	3
378.9800035141	n/a	n/a	getready	n/a	n/a	D165	n/a	4
380.1439984075	n/a	n/a	getready	n/a	n/a	D151	n/a	5
381.0839953206	n/a	n/a	getready	n/a	n/a	D148	n/a	6
382.2679961405	n/a	n/a	concentrate	n/a	n/a	D225	n/a	7
383.2039999149	n/a	n/a	concentrate	n/a	n/a	D215	n/a	8
384.3559952757	n/a	n/a	concentrate	n/a	n/a	D218	n/a	9
385.2919990501	n/a	n/a	concentrate	n/a	n/a	D220	n/a	10
386.4400012723	n/a	n/a	concentrate	n/a	n/a	D220	n/a	11
387.3840013824	n/a	n/a	concentrate	n/a	n/a	D224	n/a	12
388.5359967432	n/a	n/a	concentrate	n/a	n/a	D215	n/a	13
389.4720005176	n/a	n/a	concentrate	n/a	n/a	D215	n/a	14
390.6279990754	n/a	n/a	concentrate	n/a	n/a	D215	n/a	15
391.5559964559	n/a	n/a	concentrate	n/a	n/a	D214	n/a	16
392.7119950137	n/a	n/a	concentrate	n/a	n/a	D220	n/a	17
393.6520019851	n/a	n/a	concentrate	n/a	n/a	D214	n/a	18
394.8039973459	n/a	n/a	concentrate	n/a	n/a	D206	n/a	19
395.9599959037	n/a	n/a	concentrate	n/a	n/a	D217	n/a	20
396.9000028751	n/a	n/a	concentrate	n/a	n/a	D210	n/a	21
397.8639988533	n/a	n/a	relax	n/a	n/a	DI88	n/a	22
398.9319974861	n/a	n/a	relax	n/a	n/a	DI82	n/a	23
400.0119956515	n/a	n/a	relax	n/a	n/a	DI88	n/a	24
401.1719974062	n/a	n/a	relax	n/a	n/a	DI93	n/a	25
402.2159969739	n/a	n/a	relax	n/a	n/a	DI90	n/a	26
403.1999988786	n/a	n/a	relax	n/a	n/a	DI92	n/a	27
404.3559974364	n/a	n/a	relax	n/a	n/a	DI90	n/a	28
405.2920012108	n/a	n/a	relax	n/a	n/a	DI94	n/a	29
406.4439965717	n/a	n/a	relax	n/a	n/a	DI90	n/a	30
407.3800003461	n/a	n/a	relax	n/a	n/a	DI87	n/a	31
408.5359989039	n/a	n/a	relax	n/a	n/a	DI96	n/a	32
409.5039980791	n/a	n/a	getready	n/a	n/a	D155	n/a	1
410.6560034982	n/a	n/a	getready	n/a	n/a	D155	n/a	2
411.5919972143	n/a	n/a	getready	n/a	n/a	D159	n/a	3
412.6680022410	n/a	n/a	getready	n/a	n/a	D150	n/a	4
413.8240007988	n/a	n/a	getready	n/a	n/a	D152	n/a	5
414.8639971695	n/a	n/a	getready	n/a	n/a	D147	n/a	6
415.8120004765	n/a	n/a	concentrate	n/a	n/a	D213	n/a	7
416.9759953699	n/a	n/a	concentrate	n/a	n/a	D222	n/a	8
417.9079959474	n/a	n/a	concentrate	n/a	n/a	D222	n/a	9
418.9519955150	n/a	n/a	concentrate	n/a	n/a	D215	n/a	10
420.0080046735	n/a	n/a	concentrate	n/a	n/a	D217	n/a	11
