onset	duration	BIDS_Subject	BIDS_Session	Run	SubTrial	Condition	Stimulus.ACC	ResponseCheck	Result	stimrt	Cue.OnsetTime	Cue.Duration	Fix.OnsetTime	Fix.Duration	Probe.Duration	Feedback.OnsetTime	Feedback.Duration
n/a	n/a	sub-01	ses-1	1	21.0	SmallPun	0.0	No Response Detected	You lose $0.20!	n/a	120.032	2.0	122.032	2.0	228.9835376554015	124.3089835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	22.0	LgPun	1.0	No Response Detected	You lose $5!	n/a	126.026	2.0	128.026	2.0	228.9835376554015	130.30298353765542	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	23.0	Triangle	1.0	No Response Detected	No money at stake!	n/a	132.019	2.0	134.019	2.0	228.9835376554015	136.29598353765542	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	24.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	138.029	2.0	140.029	2.0	228.9835376554015	142.3059835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	25.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	144.023	2.0	146.023	2.0	228.9835376554015	148.2999835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	26.0	Triangle	1.0	No Response Detected	No money at stake!	n/a	150.033	2.0	152.033	2.0	228.9835376554015	154.3099835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	27.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	156.026	2.0	158.026	2.0	228.9835376554015	160.30298353765542	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	28.0	LgPun	1.0	No Response Detected	You lose $5!	n/a	162.02	2.0	164.02	2.0	228.9835376554015	166.29698353765542	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	29.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	168.03	2.0	170.03	2.0	228.9835376554015	172.3069835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	30.0	LgReward	1.0	No Response Detected	You did not earn $5!	n/a	174.023	2.0	176.023	2.0	228.9835376554015	178.2999835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	31.0	SmallReward	0.0	No Response Detected	You did not earn $0.20!	n/a	180.033	2.0	182.033	2.0	228.9835376554015	184.3099835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	32.0	SmallPun	1.0	Correct Response!	You keep $0.20!	n/a	186.027	2.0	188.027	2.0	228.9835376554015	190.3039835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	33.0	LgPun	1.0	No Response Detected	You lose $5!	n/a	192.02	2.0	194.02	2.0	228.9835376554015	196.29698353765545	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	34.0	Triangle	1.0	No Response Detected	No money at stake!	n/a	198.03	2.0	200.03	2.0	228.9835376554015	202.3069835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	35.0	SmallReward	1.0	Correct Response!	You earn $0.20!	n/a	204.024	2.0	206.024	2.0	228.9835376554015	208.3009835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	36.0	LgReward	0.0	No Response Detected	You did not earn $5!	n/a	210.019	2.0	212.019	2.0	228.9835376554015	214.29598353765545	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	37.0	SmallPun	1.0	No Response Detected	You lose $0.20!	n/a	216.044	2.0	218.044	2.0	228.9835376554015	220.32098353765545	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	38.0	Triangle	1.0	No Response Detected	No money at stake!	n/a	222.021	2.0	224.021	2.0	228.9835376554015	226.2979835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	39.0	SmallReward	1.0	No Response Detected	You did not earn $0.20!	n/a	228.031	2.0	230.031	2.0	228.9835376554015	232.3079835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	40.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	234.025	2.0	236.025	2.0	228.9835376554015	238.3019835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	41.0	LgPun	1.0	Correct Response!	You keep $5!	n/a	240.035	2.0	242.035	2.0	228.9835376554015	244.31198353765535	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	42.0	SmallPun	1.0	No Response Detected	You lose $0.20!	n/a	246.028	2.0	248.028	2.0	228.9835376554015	250.30498353765535	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	43.0	LgReward	1.0	No Response Detected	You did not earn $5!	n/a	252.022	2.0	254.022	2.0	228.9835376554015	256.2989835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	44.0	Triangle	1.0	Correct Response!	No money at stake!	n/a	258.032	2.0	260.032	2.0	228.9835376554015	262.30898353765537	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	45.0	SmallReward	1.0	No Response Detected	You did not earn $0.20!	n/a	264.025	2.0	266.025	2.0	228.9835376554015	268.30198353765536	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	46.0	SmallPun	1.0	No Response Detected	You lose $0.20!	n/a	270.019	2.0	272.019	2.0	228.9835376554015	274.2959835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	47.0	LgReward	1.0	Correct Response!	You earn $5!	n/a	276.029	2.0	278.029	2.0	228.9835376554015	280.3059835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	48.0	Triangle	1.0	No Response Detected	No money at stake!	n/a	282.022	2.0	284.022	2.0	228.9835376554015	286.2989835376554	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	49.0	LgPun	1.0	No Response Detected	You lose $5!	n/a	288.032	2.0	290.032	2.0	228.9835376554015	292.30898353765537	1.6877699274198728
n/a	n/a	sub-01	ses-1	1	50.0	SmallPun	1.0	No Response Detected	You lose $0.20!	n/a	294.042	2.0	296.042	2.0	228.9835376554015	298.31898353765536	1.6877699274198728
