onset	duration	trial_type	value	sample	chapter_ind	att_story	att_side	EEG_trigger
699.742	64	Stimulus/S  4	4	349871	3	0	0	1
699.774	64	Stimulus/S  4	4	349887	3	0	0	1
699.804	64	Stimulus/S  4	4	349902	3	0	0	1
699.836	64	Stimulus/S  8	8	349918	3	0	0	1
699.866	64	Stimulus/S  8	8	349933	3	0	0	1
699.898	64	Stimulus/S  4	4	349949	3	0	0	1
699.928	64	Stimulus/S  4	4	349964	3	0	0	1
699.984	64	Stimulus/S  1	1	349992	3	0	0	1
812.19	64	Stimulus/S  4	4	406095	4	0	0	1
812.22	64	Stimulus/S  4	4	406110	4	0	0	1
812.252	64	Stimulus/S  4	4	406126	4	0	0	1
812.282	64	Stimulus/S  8	8	406141	4	0	0	1
812.314	64	Stimulus/S  4	4	406157	4	0	0	1
812.344	64	Stimulus/S  4	4	406172	4	0	0	1
812.376	64	Stimulus/S  4	4	406188	4	0	0	1
812.406	64	Stimulus/S  4	4	406203	4	0	0	1
812.45	64	Stimulus/S  1	1	406225	4	0	0	1
896.446	64	Stimulus/S  4	4	448223	5	0	1	1
896.476	64	Stimulus/S  4	4	448238	5	0	1	1
896.508	64	Stimulus/S  4	4	448254	5	0	1	1
896.538	64	Stimulus/S  8	8	448269	5	0	1	1
896.57	64	Stimulus/S  4	4	448285	5	0	1	1
896.6	64	Stimulus/S  8	8	448300	5	0	1	1
896.632	64	Stimulus/S  4	4	448316	5	0	1	1
896.662	64	Stimulus/S  8	8	448331	5	0	1	1
896.716	64	Stimulus/S  1	1	448358	5	0	1	1
993.43	64	Stimulus/S  4	4	496715	4	1	1	1
993.462	64	Stimulus/S  4	4	496731	4	1	1	1
993.492	64	Stimulus/S  4	4	496746	4	1	1	1
993.524	64	Stimulus/S  8	8	496762	4	1	1	1
993.554	64	Stimulus/S  4	4	496777	4	1	1	1
993.586	64	Stimulus/S  4	4	496793	4	1	1	1
993.616	64	Stimulus/S  8	8	496808	4	1	1	1
993.648	64	Stimulus/S  8	8	496824	4	1	1	1
993.7	64	Stimulus/S  1	1	496850	4	1	1	1
1086.346	64	Stimulus/S  4	4	543173	5	1	0	1
1086.376	64	Stimulus/S  4	4	543188	5	1	0	1
1086.408	64	Stimulus/S  4	4	543204	5	1	0	1
1086.438	64	Stimulus/S  8	8	543219	5	1	0	1
1086.47	64	Stimulus/S  4	4	543235	5	1	0	1
1086.5	64	Stimulus/S  8	8	543250	5	1	0	1
1086.532	64	Stimulus/S  8	8	543266	5	1	0	1
1086.562	64	Stimulus/S  4	4	543281	5	1	0	1
1086.616	64	Stimulus/S  1	1	543308	5	1	0	1
1225.674	64	Stimulus/S  4	4	612837	6	1	0	1
1225.704	64	Stimulus/S  4	4	612852	6	1	0	1
1225.736	64	Stimulus/S  4	4	612868	6	1	0	1
1225.766	64	Stimulus/S  8	8	612883	6	1	0	1
1225.798	64	Stimulus/S  8	8	612899	6	1	0	1
1225.828	64	Stimulus/S  4	4	612914	6	1	0	1
1225.86	64	Stimulus/S  8	8	612930	6	1	0	1
1225.89	64	Stimulus/S  4	4	612945	6	1	0	1
1225.932	64	Stimulus/S  1	1	612966	6	1	0	1
1310.29	64	Stimulus/S  4	4	655145	7	1	1	1
1310.322	64	Stimulus/S  4	4	655161	7	1	1	1
1310.352	64	Stimulus/S  4	4	655176	7	1	1	1
1310.384	64	Stimulus/S  8	8	655192	7	1	1	1
1310.414	64	Stimulus/S  8	8	655207	7	1	1	1
1310.446	64	Stimulus/S  8	8	655223	7	1	1	1
1310.476	64	Stimulus/S  8	8	655238	7	1	1	1
1310.508	64	Stimulus/S  8	8	655254	7	1	1	1
1310.566	64	Stimulus/S  1	1	655283	7	1	1	1
1407.194	64	Stimulus/S  4	4	703597	6	0	1	1
1407.226	64	Stimulus/S  4	4	703613	6	0	1	1
1407.256	64	Stimulus/S  4	4	703628	6	0	1	1
1407.288	64	Stimulus/S  8	8	703644	6	0	1	1
1407.318	64	Stimulus/S  8	8	703659	6	0	1	1
1407.35	64	Stimulus/S  4	4	703675	6	0	1	1
1407.38	64	Stimulus/S  4	4	703690	6	0	1	1
1407.412	64	Stimulus/S  8	8	703706	6	0	1	1
1407.466	64	Stimulus/S  1	1	703733	6	0	1	1
1491.944	64	Stimulus/S  4	4	745972	7	0	0	1
1491.974	64	Stimulus/S  4	4	745987	7	0	0	1
1492.006	64	Stimulus/S  4	4	746003	7	0	0	1
1492.036	64	Stimulus/S  8	8	746018	7	0	0	1
1492.068	64	Stimulus/S  8	8	746034	7	0	0	1
1492.098	64	Stimulus/S  8	8	746049	7	0	0	1
1492.13	64	Stimulus/S  4	4	746065	7	0	0	1
1492.16	64	Stimulus/S  4	4	746080	7	0	0	1
1492.216	64	Stimulus/S  1	1	746108	7	0	0	1
1597.274	64	Stimulus/S  4	4	798637	8	0	0	1
1597.304	64	Stimulus/S  4	4	798652	8	0	0	1
1597.336	64	Stimulus/S  8	8	798668	8	0	0	1
1597.366	64	Stimulus/S  4	4	798683	8	0	0	1
1597.398	64	Stimulus/S  4	4	798699	8	0	0	1
1597.428	64	Stimulus/S  4	4	798714	8	0	0	1
1597.46	64	Stimulus/S  4	4	798730	8	0	0	1
1597.49	64	Stimulus/S  4	4	798745	8	0	0	1
1597.548	64	Stimulus/S  1	1	798774	8	0	0	1
1688.622	64	Stimulus/S  4	4	844311	9	0	1	1
1688.652	64	Stimulus/S  4	4	844326	9	0	1	1
1688.684	64	Stimulus/S  8	8	844342	9	0	1	1
1688.714	64	Stimulus/S  4	4	844357	9	0	1	1
1688.746	64	Stimulus/S  4	4	844373	9	0	1	1
1688.776	64	Stimulus/S  8	8	844388	9	0	1	1
1688.808	64	Stimulus/S  4	4	844404	9	0	1	1
1688.838	64	Stimulus/S  8	8	844419	9	0	1	1
1688.882	64	Stimulus/S  1	1	844441	9	0	1	1
1773.596	64	Stimulus/S  4	4	886798	8	1	1	1
1773.628	64	Stimulus/S  4	4	886814	8	1	1	1
1773.658	64	Stimulus/S  8	8	886829	8	1	1	1
1773.69	64	Stimulus/S  4	4	886845	8	1	1	1
1773.72	64	Stimulus/S  4	4	886860	8	1	1	1
1773.752	64	Stimulus/S  4	4	886876	8	1	1	1
1773.782	64	Stimulus/S  8	8	886891	8	1	1	1
1773.814	64	Stimulus/S  8	8	886907	8	1	1	1
1773.864	64	Stimulus/S  1	1	886932	8	1	1	1
1859.042	64	Stimulus/S  4	4	929521	9	1	0	1
1859.074	64	Stimulus/S  4	4	929537	9	1	0	1
1859.104	64	Stimulus/S  8	8	929552	9	1	0	1
1859.136	64	Stimulus/S  4	4	929568	9	1	0	1
1859.166	64	Stimulus/S  4	4	929583	9	1	0	1
1859.198	64	Stimulus/S  8	8	929599	9	1	0	1
1859.228	64	Stimulus/S  8	8	929614	9	1	0	1
1859.26	64	Stimulus/S  4	4	929630	9	1	0	1
1859.314	64	Stimulus/S  1	1	929657	9	1	0	1
1970.022	64	Stimulus/S  4	4	985011	10	1	0	1
1970.054	64	Stimulus/S  4	4	985027	10	1	0	1
1970.084	64	Stimulus/S  8	8	985042	10	1	0	1
1970.116	64	Stimulus/S  4	4	985058	10	1	0	1
1970.146	64	Stimulus/S  8	8	985073	10	1	0	1
1970.178	64	Stimulus/S  4	4	985089	10	1	0	1
1970.208	64	Stimulus/S  8	8	985104	10	1	0	1
1970.24	64	Stimulus/S  4	4	985120	10	1	0	1
1970.298	64	Stimulus/S  1	1	985149	10	1	0	1
2056.658	64	Stimulus/S  4	4	1028329	11	1	1	1
2056.688	64	Stimulus/S  4	4	1028344	11	1	1	1
2056.72	64	Stimulus/S  8	8	1028360	11	1	1	1
2056.75	64	Stimulus/S  4	4	1028375	11	1	1	1
2056.782	64	Stimulus/S  8	8	1028391	11	1	1	1
2056.812	64	Stimulus/S  8	8	1028406	11	1	1	1
2056.844	64	Stimulus/S  8	8	1028422	11	1	1	1
2056.874	64	Stimulus/S  8	8	1028437	11	1	1	1
2056.93	64	Stimulus/S  1	1	1028465	11	1	1	1
2147.898	64	Stimulus/S  4	4	1073949	10	0	1	1
2147.93	64	Stimulus/S  4	4	1073965	10	0	1	1
2147.96	64	Stimulus/S  8	8	1073980	10	0	1	1
2147.992	64	Stimulus/S  4	4	1073996	10	0	1	1
2148.022	64	Stimulus/S  8	8	1074011	10	0	1	1
2148.054	64	Stimulus/S  4	4	1074027	10	0	1	1
2148.084	64	Stimulus/S  4	4	1074042	10	0	1	1
2148.116	64	Stimulus/S  8	8	1074058	10	0	1	1
2148.164	64	Stimulus/S  1	1	1074082	10	0	1	1
2239.844	64	Stimulus/S  4	4	1119922	11	0	0	1
2239.874	64	Stimulus/S  4	4	1119937	11	0	0	1
2239.906	64	Stimulus/S  8	8	1119953	11	0	0	1
2239.936	64	Stimulus/S  4	4	1119968	11	0	0	1
2239.968	64	Stimulus/S  8	8	1119984	11	0	0	1
2239.998	64	Stimulus/S  8	8	1119999	11	0	0	1
2240.03	64	Stimulus/S  4	4	1120015	11	0	0	1
2240.06	64	Stimulus/S  4	4	1120030	11	0	0	1
2240.114	64	Stimulus/S  1	1	1120057	11	0	0	1
2340.672	64	Stimulus/S  4	4	1170336	12	0	0	1
2340.702	64	Stimulus/S  4	4	1170351	12	0	0	1
2340.734	64	Stimulus/S  8	8	1170367	12	0	0	1
2340.764	64	Stimulus/S  8	8	1170382	12	0	0	1
2340.796	64	Stimulus/S  4	4	1170398	12	0	0	1
2340.826	64	Stimulus/S  4	4	1170413	12	0	0	1
2340.858	64	Stimulus/S  4	4	1170429	12	0	0	1
2340.888	64	Stimulus/S  4	4	1170444	12	0	0	1
2340.946	64	Stimulus/S  1	1	1170473	12	0	0	1
2433.058	64	Stimulus/S  4	4	1216529	13	0	1	1
2433.088	64	Stimulus/S  4	4	1216544	13	0	1	1
2433.12	64	Stimulus/S  8	8	1216560	13	0	1	1
2433.15	64	Stimulus/S  8	8	1216575	13	0	1	1
2433.182	64	Stimulus/S  4	4	1216591	13	0	1	1
2433.212	64	Stimulus/S  8	8	1216606	13	0	1	1
2433.244	64	Stimulus/S  4	4	1216622	13	0	1	1
2433.274	64	Stimulus/S  8	8	1216637	13	0	1	1
2433.33	64	Stimulus/S  1	1	1216665	13	0	1	1
2520.366	64	Stimulus/S  4	4	1260183	12	1	1	1
2520.396	64	Stimulus/S  4	4	1260198	12	1	1	1
2520.428	64	Stimulus/S  8	8	1260214	12	1	1	1
2520.458	64	Stimulus/S  8	8	1260229	12	1	1	1
2520.49	64	Stimulus/S  4	4	1260245	12	1	1	1
2520.52	64	Stimulus/S  4	4	1260260	12	1	1	1
2520.552	64	Stimulus/S  8	8	1260276	12	1	1	1
2520.582	64	Stimulus/S  8	8	1260291	12	1	1	1
2520.63	64	Stimulus/S  1	1	1260315	12	1	1	1
2607.908	64	Stimulus/S  4	4	1303954	13	1	0	1
2607.938	64	Stimulus/S  4	4	1303969	13	1	0	1
2607.97	64	Stimulus/S  8	8	1303985	13	1	0	1
2608.0	64	Stimulus/S  8	8	1304000	13	1	0	1
2608.032	64	Stimulus/S  4	4	1304016	13	1	0	1
2608.062	64	Stimulus/S  8	8	1304031	13	1	0	1
2608.094	64	Stimulus/S  8	8	1304047	13	1	0	1
2608.124	64	Stimulus/S  4	4	1304062	13	1	0	1
2608.18	64	Stimulus/S  1	1	1304090	13	1	0	1
2732.954	64	Stimulus/S  4	4	1366477	14	1	0	1
2732.984	64	Stimulus/S  4	4	1366492	14	1	0	1
2733.016	64	Stimulus/S  8	8	1366508	14	1	0	1
2733.046	64	Stimulus/S  8	8	1366523	14	1	0	1
2733.078	64	Stimulus/S  8	8	1366539	14	1	0	1
2733.108	64	Stimulus/S  4	4	1366554	14	1	0	1
2733.14	64	Stimulus/S  8	8	1366570	14	1	0	1
2733.17	64	Stimulus/S  4	4	1366585	14	1	0	1
2733.212	64	Stimulus/S  1	1	1366606	14	1	0	1
2833.172	64	Stimulus/S  4	4	1416586	15	1	1	1
2833.202	64	Stimulus/S  4	4	1416601	15	1	1	1
2833.234	64	Stimulus/S  8	8	1416617	15	1	1	1
2833.264	64	Stimulus/S  8	8	1416632	15	1	1	1
2833.296	64	Stimulus/S  8	8	1416648	15	1	1	1
2833.326	64	Stimulus/S  8	8	1416663	15	1	1	1
2833.358	64	Stimulus/S  8	8	1416679	15	1	1	1
2833.388	64	Stimulus/S  8	8	1416694	15	1	1	1
2833.446	64	Stimulus/S  1	1	1416723	15	1	1	1
2920.328	64	Stimulus/S  4	4	1460164	14	0	1	1
2920.36	64	Stimulus/S  4	4	1460180	14	0	1	1
2920.39	64	Stimulus/S  8	8	1460195	14	0	1	1
2920.422	64	Stimulus/S  8	8	1460211	14	0	1	1
2920.452	64	Stimulus/S  8	8	1460226	14	0	1	1
2920.484	64	Stimulus/S  4	4	1460242	14	0	1	1
2920.514	64	Stimulus/S  4	4	1460257	14	0	1	1
2920.546	64	Stimulus/S  8	8	1460273	14	0	1	1
2920.596	64	Stimulus/S  1	1	1460298	14	0	1	1
3007.106	64	Stimulus/S  4	4	1503553	15	0	0	1
3007.138	64	Stimulus/S  4	4	1503569	15	0	0	1
3007.168	64	Stimulus/S  8	8	1503584	15	0	0	1
3007.2	64	Stimulus/S  8	8	1503600	15	0	0	1
3007.23	64	Stimulus/S  8	8	1503615	15	0	0	1
3007.26	64	Stimulus/S  8	8	1503630	15	0	0	1
3007.292	64	Stimulus/S  4	4	1503646	15	0	0	1
3007.324	64	Stimulus/S  4	4	1503662	15	0	0	1
3007.378	64	Stimulus/S  1	1	1503689	15	0	0	1
3117.572	64	Stimulus/S  4	4	1558786	16	0	0	1
3117.602	64	Stimulus/S  8	8	1558801	16	0	0	1
3117.634	64	Stimulus/S  4	4	1558817	16	0	0	1
3117.664	64	Stimulus/S  4	4	1558832	16	0	0	1
3117.696	64	Stimulus/S  4	4	1558848	16	0	0	1
3117.726	64	Stimulus/S  4	4	1558863	16	0	0	1
3117.758	64	Stimulus/S  4	4	1558879	16	0	0	1
3117.788	64	Stimulus/S  4	4	1558894	16	0	0	1
3117.844	64	Stimulus/S  1	1	1558922	16	0	0	1
3206.988	64	Stimulus/S  4	4	1603494	17	0	1	1
3207.018	64	Stimulus/S  8	8	1603509	17	0	1	1
3207.05	64	Stimulus/S  4	4	1603525	17	0	1	1
3207.08	64	Stimulus/S  4	4	1603540	17	0	1	1
3207.112	64	Stimulus/S  4	4	1603556	17	0	1	1
3207.142	64	Stimulus/S  8	8	1603571	17	0	1	1
3207.174	64	Stimulus/S  4	4	1603587	17	0	1	1
3207.204	64	Stimulus/S  8	8	1603602	17	0	1	1
3207.262	64	Stimulus/S  1	1	1603631	17	0	1	1
3292.806	64	Stimulus/S  4	4	1646403	16	1	1	1
3292.838	64	Stimulus/S  8	8	1646419	16	1	1	1
3292.868	64	Stimulus/S  4	4	1646434	16	1	1	1
3292.9	64	Stimulus/S  4	4	1646450	16	1	1	1
3292.93	64	Stimulus/S  4	4	1646465	16	1	1	1
3292.962	64	Stimulus/S  4	4	1646481	16	1	1	1
3292.992	64	Stimulus/S  8	8	1646496	16	1	1	1
3293.024	64	Stimulus/S  8	8	1646512	16	1	1	1
3293.078	64	Stimulus/S  1	1	1646539	16	1	1	1
3377.606	64	Stimulus/S  4	4	1688803	17	1	0	1
3377.638	64	Stimulus/S  8	8	1688819	17	1	0	1
3377.668	64	Stimulus/S  4	4	1688834	17	1	0	1
3377.7	64	Stimulus/S  4	4	1688850	17	1	0	1
3377.73	64	Stimulus/S  4	4	1688865	17	1	0	1
3377.762	64	Stimulus/S  8	8	1688881	17	1	0	1
3377.792	64	Stimulus/S  8	8	1688896	17	1	0	1
3377.824	64	Stimulus/S  4	4	1688912	17	1	0	1
3377.878	64	Stimulus/S  1	1	1688939	17	1	0	1
3480.818	64	Stimulus/S  4	4	1740409	18	1	0	1
3480.848	64	Stimulus/S  8	8	1740424	18	1	0	1
3480.88	64	Stimulus/S  4	4	1740440	18	1	0	1
3480.91	64	Stimulus/S  4	4	1740455	18	1	0	1
3480.942	64	Stimulus/S  8	8	1740471	18	1	0	1
3480.972	64	Stimulus/S  4	4	1740486	18	1	0	1
3481.004	64	Stimulus/S  8	8	1740502	18	1	0	1
3481.034	64	Stimulus/S  4	4	1740517	18	1	0	1
3481.078	64	Stimulus/S  1	1	1740539	18	1	0	1
3570.652	64	Stimulus/S  4	4	1785326	19	1	1	1
3570.684	64	Stimulus/S  8	8	1785342	19	1	1	1
3570.714	64	Stimulus/S  4	4	1785357	19	1	1	1
3570.746	64	Stimulus/S  4	4	1785373	19	1	1	1
3570.776	64	Stimulus/S  8	8	1785388	19	1	1	1
3570.808	64	Stimulus/S  8	8	1785404	19	1	1	1
3570.838	64	Stimulus/S  8	8	1785419	19	1	1	1
3570.87	64	Stimulus/S  8	8	1785435	19	1	1	1
3570.928	64	Stimulus/S  1	1	1785464	19	1	1	1
3658.71	64	Stimulus/S  4	4	1829355	18	0	1	1
3658.742	64	Stimulus/S  8	8	1829371	18	0	1	1
3658.772	64	Stimulus/S  4	4	1829386	18	0	1	1
3658.804	64	Stimulus/S  4	4	1829402	18	0	1	1
3658.834	64	Stimulus/S  8	8	1829417	18	0	1	1
3658.866	64	Stimulus/S  4	4	1829433	18	0	1	1
3658.896	64	Stimulus/S  4	4	1829448	18	0	1	1
3658.928	64	Stimulus/S  8	8	1829464	18	0	1	1
3658.976	64	Stimulus/S  1	1	1829488	18	0	1	1
3746.624	64	Stimulus/S  4	4	1873312	19	0	0	1
3746.654	64	Stimulus/S  8	8	1873327	19	0	0	1
3746.686	64	Stimulus/S  4	4	1873343	19	0	0	1
3746.716	64	Stimulus/S  4	4	1873358	19	0	0	1
3746.748	64	Stimulus/S  8	8	1873374	19	0	0	1
3746.778	64	Stimulus/S  8	8	1873389	19	0	0	1
3746.81	64	Stimulus/S  4	4	1873405	19	0	0	1
3746.84	64	Stimulus/S  4	4	1873420	19	0	0	1
3746.894	64	Stimulus/S  1	1	1873447	19	0	0	1
3936.486	64	Stimulus/S  4	4	1968243	20	0	0	1
3936.518	64	Stimulus/S  8	8	1968259	20	0	0	1
3936.548	64	Stimulus/S  4	4	1968274	20	0	0	1
3936.58	64	Stimulus/S  8	8	1968290	20	0	0	1
3936.61	64	Stimulus/S  4	4	1968305	20	0	0	1
3936.642	64	Stimulus/S  4	4	1968321	20	0	0	1
3936.672	64	Stimulus/S  4	4	1968336	20	0	0	1
3936.704	64	Stimulus/S  4	4	1968352	20	0	0	1
3936.76	64	Stimulus/S  1	1	1968380	20	0	0	1
4105.854	64	Stimulus/S  4	4	2052927	21	0	1	1
4105.884	64	Stimulus/S  8	8	2052942	21	0	1	1
4105.916	64	Stimulus/S  4	4	2052958	21	0	1	1
4105.946	64	Stimulus/S  8	8	2052973	21	0	1	1
4105.978	64	Stimulus/S  4	4	2052989	21	0	1	1
4106.008	64	Stimulus/S  8	8	2053004	21	0	1	1
4106.04	64	Stimulus/S  4	4	2053020	21	0	1	1
4106.07	64	Stimulus/S  8	8	2053035	21	0	1	1
4106.126	64	Stimulus/S  1	1	2053063	21	0	1	1
4190.92	64	Stimulus/S  4	4	2095460	20	1	1	1
4190.952	64	Stimulus/S  8	8	2095476	20	1	1	1
4190.982	64	Stimulus/S  4	4	2095491	20	1	1	1
4191.014	64	Stimulus/S  8	8	2095507	20	1	1	1
4191.044	64	Stimulus/S  4	4	2095522	20	1	1	1
4191.076	64	Stimulus/S  4	4	2095538	20	1	1	1
4191.106	64	Stimulus/S  8	8	2095553	20	1	1	1
4191.138	64	Stimulus/S  8	8	2095569	20	1	1	1
4191.192	64	Stimulus/S  1	1	2095596	20	1	1	1
4285.474	64	Stimulus/S  4	4	2142737	21	1	0	1
4285.504	64	Stimulus/S  8	8	2142752	21	1	0	1
4285.536	64	Stimulus/S  4	4	2142768	21	1	0	1
4285.566	64	Stimulus/S  8	8	2142783	21	1	0	1
4285.598	64	Stimulus/S  4	4	2142799	21	1	0	1
4285.628	64	Stimulus/S  8	8	2142814	21	1	0	1
4285.66	64	Stimulus/S  8	8	2142830	21	1	0	1
4285.69	64	Stimulus/S  4	4	2142845	21	1	0	1
4285.742	64	Stimulus/S  1	1	2142871	21	1	0	1
4405.066	64	Stimulus/S  4	4	2202533	22	1	0	1
4405.096	64	Stimulus/S  8	8	2202548	22	1	0	1
4405.128	64	Stimulus/S  4	4	2202564	22	1	0	1
4405.158	64	Stimulus/S  8	8	2202579	22	1	0	1
4405.19	64	Stimulus/S  8	8	2202595	22	1	0	1
4405.22	64	Stimulus/S  4	4	2202610	22	1	0	1
4405.252	64	Stimulus/S  8	8	2202626	22	1	0	1
4405.282	64	Stimulus/S  4	4	2202641	22	1	0	1
4405.324	64	Stimulus/S  1	1	2202662	22	1	0	1
4492.714	64	Stimulus/S  4	4	2246357	23	1	1	1
4492.746	64	Stimulus/S  8	8	2246373	23	1	1	1
4492.776	64	Stimulus/S  4	4	2246388	23	1	1	1
4492.808	64	Stimulus/S  8	8	2246404	23	1	1	1
4492.838	64	Stimulus/S  8	8	2246419	23	1	1	1
4492.87	64	Stimulus/S  8	8	2246435	23	1	1	1
4492.9	64	Stimulus/S  8	8	2246450	23	1	1	1
4492.932	64	Stimulus/S  8	8	2246466	23	1	1	1
4492.974	64	Stimulus/S  1	1	2246487	23	1	1	1
4580.104	64	Stimulus/S  4	4	2290052	22	0	1	1
4580.136	64	Stimulus/S  8	8	2290068	22	0	1	1
4580.166	64	Stimulus/S  4	4	2290083	22	0	1	1
4580.198	64	Stimulus/S  8	8	2290099	22	0	1	1
4580.228	64	Stimulus/S  8	8	2290114	22	0	1	1
4580.26	64	Stimulus/S  4	4	2290130	22	0	1	1
4580.29	64	Stimulus/S  4	4	2290145	22	0	1	1
4580.322	64	Stimulus/S  8	8	2290161	22	0	1	1
4580.374	64	Stimulus/S  1	1	2290187	22	0	1	1
