onset	duration	 sample	trial_type	response_time	value
135.4848	0	155	TRIGGER	5.0074	24
135.4515	0.1500	155	KEYPRESS	0.3041	1
136.3343	0	156	TRIGGER	6.0749	24
136.8343	1.6733	156	DOT_FLIP	N/A	0
137.2203	0	157	TRIGGER	0.9051	25
137.2843	0.1501	157	KEYPRESS	0.4635	1
138.0843	0	158	TRIGGER	1.9909	25
138.9676	0	159	TRIGGER	3.1008	25
139.3510	2.5196	159	DOT_FLIP	N/A	1
139.6677	0.1500	159	KEYPRESS	0.3274	1
139.8510	0	160	TRIGGER	4.2110	25
140.7179	0	161	TRIGGER	5.3004	25
141.5859	0	162	TRIGGER	0.1080	26
142.1169	2.7636	162	DOT_FLIP	N/A	0
142.4503	0	163	TRIGGER	1.1942	26
142.4837	0.1335	163	KEYPRESS	0.3798	1
143.3337	0	164	TRIGGER	2.3043	26
143.7504	1.6414	164	DOT_FLIP	N/A	1
144.2004	0	165	TRIGGER	3.3934	26
144.0837	0.1543	165	KEYPRESS	0.3384	1
145.0170	1.2606	165	DOT_FLIP	N/A	0
145.0859	0	166	TRIGGER	4.5062	26
145.3337	0.1500	166	KEYPRESS	0.3277	1
145.9504	0	167	TRIGGER	5.5925	26
146.4665	1.4526	167	DOT_FLIP	N/A	1
146.8332	0	168	TRIGGER	0.4187	27
146.8582	0.1083	168	KEYPRESS	0.3998	1
147.6998	0	169	TRIGGER	1.5077	27
147.8999	1.4311	169	DOT_FLIP	N/A	0
148.2331	0.1168	169	KEYPRESS	0.3436	1
148.5666	0	170	TRIGGER	2.5969	27
149.1332	1.2339	170	DOT_FLIP	N/A	1
149.4665	0	171	TRIGGER	3.7278	27
149.4358	0.1475	171	KEYPRESS	0.3123	1
150.3165	0	172	TRIGGER	4.7960	27
151.1999	0	173	TRIGGER	5.9061	27
151.7714	2.6460	173	DOT_FLIP	N/A	0
152.0659	0	174	TRIGGER	0.7112	28
152.1160	0.1333	174	KEYPRESS	0.3465	1
152.9493	0	175	TRIGGER	1.8213	28
153.0827	1.3042	175	DOT_FLIP	N/A	1
153.4493	0.1500	175	KEYPRESS	0.3757	1
153.8160	0	176	TRIGGER	2.9103	28
154.6993	0	177	TRIGGER	4.0204	28
